SAL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL80001,0,0,0,0,28
SAL80002,6,0,0,0,39
SAL80003,0,0,0,0,0
SAL80004,0,0,3,0,5
SAL80005,0,0,0,0,0
SAL80006,0,0,0,0,16
SAL80007,0,0,0,0,0
SAL80008,0,0,0,0,36
SAL80009,5,0,0,0,12
SAL80010,0,3,0,0,104
SAL80011,4,4,0,0,6
SAL80012,13,8,0,0,50
SAL80013,0,0,0,0,0
SAL80014,8,3,0,0,41
SAL80015,9,12,0,0,38
SAL80016,0,0,0,0,0
SAL80017,0,0,0,0,1072
SAL80018,565,408,233,171,3361
SAL80019,423,203,81,9,3206
SAL80020,306,207,149,46,1652
SAL80021,379,168,66,10,2480
SAL80022,218,202,77,6,1607
SAL80023,0,0,0,0,4
SAL80024,308,214,179,112,6054
SAL80025,239,129,41,11,3687
SAL80026,341,206,67,13,1996
SAL80027,318,198,89,26,5058
SAL80028,401,349,186,95,4918
SAL80029,593,281,94,40,2998
SAL80030,519,368,180,77,4077
SAL80031,18,3,4,0,88
SAL80032,0,0,0,3,3
SAL80033,295,145,33,0,3472
SAL80034,338,296,195,42,1741
SAL80035,174,149,53,12,1506
SAL80036,219,152,105,29,1684
SAL80037,512,286,78,11,2590
SAL80038,244,150,53,14,3428
SAL80039,472,192,63,18,2483
SAL80040,282,243,155,41,1935
SAL80041,154,79,22,5,2872
SAL80042,222,143,93,25,2773
SAL80043,587,382,249,102,3397
SAL80044,330,311,188,92,2016
SAL80045,97,35,10,0,1656
SAL80046,216,92,44,13,2201
SAL80047,282,212,103,36,2610
SAL80048,335,199,137,37,1990
SAL80049,472,249,89,19,3528
SAL80050,435,317,101,14,2951
SAL80051,385,281,86,15,1762
SAL80052,351,243,254,133,2211
SAL80053,228,194,151,46,1782
SAL80054,430,287,115,24,2574
SAL80055,302,254,108,14,1992
SAL80056,239,129,31,5,2407
SAL80057,234,186,115,28,1286
SAL80058,294,149,36,7,4556
SAL80059,195,206,65,9,1136
SAL80060,0,4,0,0,24
SAL80061,323,264,219,75,2260
SAL80062,255,136,34,7,1301
SAL80063,260,274,90,8,1874
SAL80064,754,341,167,73,3990
SAL80065,279,250,73,12,1663
SAL80066,270,252,184,66,2639
SAL80067,539,366,193,89,3706
SAL80068,449,215,74,16,5164
SAL80069,321,206,108,43,1934
SAL80070,33,34,16,4,170
SAL80071,343,142,50,9,4721
SAL80072,268,266,189,42,1834
SAL80073,236,163,127,22,1758
SAL80074,243,194,123,38,1657
SAL80075,286,300,165,46,3026
SAL80076,330,243,152,136,1976
SAL80077,0,3,8,0,98
SAL80078,311,267,157,33,1492
SAL80079,352,187,92,43,2139
SAL80080,10,10,0,0,360
SAL80081,631,651,237,41,4308
SAL80082,1282,1303,529,100,8438
SAL80083,576,441,173,33,5197
SAL80084,258,222,98,20,1974
SAL80085,72,37,6,0,1891
SAL80086,410,315,187,133,3878
SAL80087,236,147,148,59,2020
SAL80088,142,115,23,4,760
SAL80089,382,285,120,17,3666
SAL80090,0,0,0,0,0
SAL80091,243,197,145,29,1919
SAL80092,314,221,163,48,2165
SAL80093,290,240,65,13,1536
SAL80094,253,224,138,18,1841
SAL80095,0,0,0,0,6
SAL80096,0,0,0,0,0
SAL80097,567,397,219,114,2955
SAL80098,124,70,18,0,2847
SAL80099,641,433,244,136,3954
SAL80100,660,389,244,48,5821
SAL80101,802,482,217,26,3763
SAL80102,592,417,148,61,3765
SAL80103,123,109,55,12,575
SAL80104,37,21,3,0,227
SAL80105,184,129,26,5,901
SAL80106,175,163,183,165,1827
SAL80107,463,302,87,17,3065
SAL80108,0,0,0,0,0
SAL80109,294,202,138,38,1637
SAL80110,283,164,84,22,3717
SAL80111,18,6,9,5,77
SAL80112,369,265,119,78,1873
SAL80113,187,154,79,13,1100
SAL80114,227,144,27,9,1430
SAL80115,231,235,127,29,1833
SAL80116,0,0,0,0,0
SAL80117,182,152,83,17,1673
SAL80118,166,213,68,12,1379
SAL80119,182,179,110,49,1185
SAL80120,12,6,4,0,429
SAL80121,92,68,36,0,400
SAL80122,69,34,6,0,1237
SAL80123,9,7,0,0,46
SAL80124,364,164,39,5,1872
SAL80125,53,22,11,0,1281
SAL80126,215,142,100,24,1380
SAL80127,263,234,95,27,3304
SAL80128,24,10,0,0,166
SAL80129,670,643,201,31,4245
SAL80130,195,175,121,31,1575
SAL80131,487,280,127,40,4193
SAL80132,244,218,162,38,1708
SAL80133,292,307,251,119,2381
SAL80134,0,0,0,0,4
SAL80135,182,96,20,5,2431
SAL80136,406,463,215,55,2066
SAL89494,64,24,8,4,368
SAL89797,0,0,0,0,0
