SAL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,8,0,0,0,0,4,4,0,0,6
SAL80012,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,3,3,0,0,14,0,0,0,0,6,0,0,0,6,0,4,0,6,5,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,6,3,6,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,8,16,5,10,13,8,0,0,50
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,5,0,0,3,0,0,14,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,7,18,6,8,3,0,0,41
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,7,0,5,0,0,12,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,6,5,9,9,12,0,0,38
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,28,3,0,0,0,0,173,0,8,0,0,0,0,0,0,12,155,107,15,3,0,0,0,0,280,29,0,0,0,0,0,0,0,32,48,0,0,0,0,0,0,0,48,22,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,4,71,0,0,0,0,0,0,0,75,7,0,0,0,0,0,0,0,7,466,28,3,0,0,0,0,0,506,753,254,50,7,0,0,0,0,1072
SAL80018,228,208,169,102,35,18,896,3,34,67,69,53,58,14,6,303,88,257,222,221,191,136,67,43,1218,11,24,43,62,50,44,31,17,285,35,42,47,52,35,28,22,12,267,8,5,0,3,0,0,0,0,26,4,0,5,7,15,10,9,4,50,41,45,56,59,59,37,36,19,355,0,4,3,0,5,3,6,6,30,28,24,25,30,40,31,38,61,277,183,509,640,653,565,408,233,171,3361
SAL80019,169,131,81,27,10,0,534,5,27,58,57,35,17,3,0,213,63,193,282,234,121,43,27,0,957,18,65,119,193,69,40,14,0,534,79,133,130,154,82,41,19,6,630,18,17,8,5,4,3,0,0,56,3,10,11,25,9,12,4,0,75,98,155,146,182,96,61,19,6,756,6,0,8,0,0,6,0,0,18,31,44,40,34,24,13,11,4,192,228,607,816,833,423,203,81,9,3206
SAL80020,110,98,102,64,45,11,485,0,6,31,39,30,24,15,0,145,34,111,108,116,113,64,49,11,608,5,18,30,21,35,24,14,3,161,20,27,21,13,17,8,14,7,124,5,0,0,0,0,0,3,0,15,4,5,0,0,0,7,7,3,25,26,29,22,19,22,10,18,7,160,0,0,3,4,0,7,0,5,8,11,10,15,5,10,21,9,10,83,87,231,322,302,306,207,149,46,1652
SAL80021,43,33,50,7,7,0,167,0,19,29,26,21,16,0,0,114,44,149,129,122,66,38,16,6,566,24,91,111,122,76,31,3,0,456,85,198,209,173,115,45,12,0,837,18,8,10,7,10,0,0,0,55,0,4,19,27,23,11,5,0,89,108,212,235,207,146,52,16,6,979,0,0,0,9,8,6,3,0,22,19,38,40,16,18,19,17,5,167,193,540,591,536,379,168,66,10,2480
SAL80022,106,75,85,59,19,0,470,3,42,14,11,17,22,6,0,122,52,222,88,75,58,61,21,0,576,9,9,13,32,25,27,6,0,119,3,19,9,13,9,3,3,0,73,0,0,0,0,3,0,0,0,0,0,4,0,0,5,3,0,0,14,10,23,9,17,18,10,7,0,91,0,0,0,0,0,5,0,0,11,16,59,48,35,29,23,16,0,227,90,494,281,243,218,202,77,6,1607
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
SAL80024,301,115,67,38,26,14,1589,15,110,67,38,25,21,18,5,296,461,1141,363,133,84,75,55,29,2338,103,212,130,60,50,29,28,21,642,109,166,100,65,38,23,19,14,538,16,25,13,9,0,3,4,0,68,0,11,11,10,7,14,9,14,76,124,208,126,85,43,36,32,28,687,12,20,3,3,7,4,5,0,50,82,180,73,38,29,16,20,24,458,860,2837,1066,479,308,214,179,112,6054
SAL80025,332,158,49,26,4,0,753,4,45,65,39,8,4,0,0,167,63,325,468,233,60,43,15,4,1205,36,117,211,139,56,20,4,3,583,62,149,168,99,45,16,11,0,554,13,12,16,16,3,0,0,0,62,5,12,14,21,7,4,5,0,65,80,171,205,136,54,18,13,0,676,0,3,13,6,5,0,0,0,40,57,73,75,32,17,14,8,5,271,249,914,1373,736,239,129,41,11,3687
SAL80026,64,48,34,23,10,0,215,6,28,18,20,33,18,6,0,117,46,136,136,118,81,54,17,4,584,18,55,76,75,67,44,15,3,351,38,95,96,96,79,34,12,5,453,4,11,5,3,7,3,0,0,43,3,10,11,10,15,15,10,0,74,51,113,115,108,106,57,19,8,567,4,3,4,4,6,0,0,0,23,17,22,28,33,12,17,7,8,140,141,383,429,402,341,206,67,13,1996
SAL80027,347,138,99,58,26,0,1403,14,176,73,36,28,28,9,0,369,451,1087,312,125,92,54,27,8,2152,22,119,79,43,38,21,5,5,337,52,127,59,28,28,9,6,3,306,15,6,3,0,8,0,0,0,27,5,11,4,5,13,7,6,0,52,73,140,69,38,39,10,17,4,390,8,13,9,3,5,0,0,0,45,64,161,53,28,23,17,6,8,363,679,2390,949,408,318,198,89,26,5058
SAL80028,340,156,107,86,30,3,1256,9,91,66,38,42,29,16,6,301,346,751,299,168,133,110,71,33,1918,95,127,84,56,49,47,17,18,492,157,145,64,50,29,25,15,7,493,22,3,0,0,0,6,3,0,42,12,12,3,6,9,14,9,6,68,194,162,70,50,46,42,26,15,598,11,5,8,0,3,5,4,0,40,79,89,37,18,26,24,17,29,309,756,1739,896,495,401,349,186,95,4918
SAL80029,55,62,65,28,8,0,261,6,22,44,37,40,11,0,0,156,47,184,161,175,153,67,23,4,813,24,88,98,122,127,56,21,14,545,86,224,155,130,132,67,20,4,821,14,15,13,11,10,3,0,0,59,6,9,13,17,40,18,7,0,103,106,246,183,153,177,88,28,8,979,0,4,3,10,8,10,0,0,35,21,29,40,17,29,21,30,13,204,205,620,582,574,593,281,94,40,2998
SAL80030,210,213,156,102,45,10,976,5,53,42,66,58,45,17,0,283,249,389,195,169,168,133,60,14,1382,43,55,58,59,63,31,19,8,343,108,79,33,39,31,21,6,14,330,33,5,3,0,3,0,0,0,47,8,3,7,9,8,10,4,0,55,153,91,45,52,41,31,11,15,438,8,7,0,0,0,4,3,4,29,301,127,61,44,35,26,20,18,629,763,961,608,602,519,368,180,77,4077
SAL80031,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,6,8,4,0,0,0,0,19,0,5,0,0,3,0,0,0,11,0,0,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,16,0,0,0,0,0,0,0,0,6,3,4,8,3,7,3,0,0,29,8,19,22,12,18,3,4,0,88
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
SAL80033,278,89,57,21,3,0,625,3,44,56,29,22,18,0,0,182,54,325,427,164,74,42,6,0,1097,19,134,211,128,53,18,4,0,570,66,228,184,107,45,23,5,0,658,15,7,12,5,3,0,0,0,44,10,11,15,12,13,10,0,0,70,87,250,204,123,63,33,11,0,768,5,11,11,7,6,0,0,0,39,26,54,48,19,27,11,0,0,186,191,992,1251,564,295,145,33,0,3472
SAL80034,77,84,81,59,31,0,343,0,3,18,37,36,43,7,4,157,21,63,135,147,117,100,65,11,660,4,12,36,53,45,28,26,5,212,15,23,29,37,36,37,25,10,204,9,0,0,0,4,8,4,4,22,0,3,3,4,4,8,9,0,39,16,22,33,43,42,53,35,12,263,0,0,3,0,0,3,0,0,16,4,5,11,3,7,17,22,9,87,57,131,308,374,338,296,195,42,1741
SAL80035,37,23,19,8,6,0,130,0,9,16,14,7,8,4,0,51,12,94,95,46,41,25,9,3,336,7,44,79,51,34,31,11,0,257,33,124,114,97,39,43,16,3,474,7,11,10,6,0,0,0,0,41,0,9,9,9,10,11,4,0,56,44,138,128,112,56,56,23,8,565,0,0,0,3,0,4,0,0,13,16,36,20,28,9,18,4,5,147,90,367,380,278,174,149,53,12,1506
SAL80036,93,57,41,23,12,4,345,0,23,29,29,17,17,6,0,131,53,193,129,76,70,55,34,7,616,12,36,42,57,32,22,14,0,226,20,34,38,30,31,18,20,9,197,0,3,4,5,5,0,0,0,22,0,0,0,7,8,6,0,0,32,17,35,47,43,47,26,24,11,252,0,0,3,0,0,3,8,0,15,14,23,12,15,10,3,12,5,100,102,433,370,277,219,152,105,29,1684
SAL80037,57,62,46,33,11,0,236,3,28,32,25,30,20,6,0,146,20,123,145,103,119,65,12,0,594,18,89,100,85,112,57,13,0,473,61,200,154,146,148,77,20,0,792,12,12,9,8,4,4,0,0,52,5,3,16,19,22,14,0,0,86,78,211,176,175,176,96,20,0,931,0,13,3,4,8,3,3,0,29,30,39,30,12,22,21,14,0,171,150,532,548,462,512,286,78,11,2590
SAL80038,158,106,71,47,11,0,925,0,71,31,23,16,15,4,4,161,350,541,169,86,72,44,24,5,1284,48,40,41,36,35,18,7,0,215,40,57,28,28,22,14,3,0,190,11,3,0,0,0,0,0,0,21,3,3,3,6,0,3,0,0,26,58,68,31,35,22,18,3,0,238,17,6,0,7,3,4,0,0,37,323,138,48,23,26,8,7,6,573,836,1347,482,304,244,150,53,14,3428
SAL80039,55,52,37,27,7,0,216,6,10,27,36,27,20,6,0,126,51,119,149,154,102,52,18,4,653,15,61,109,139,94,27,7,4,450,70,164,146,137,140,43,8,8,718,16,8,4,9,11,4,0,0,54,6,8,4,25,23,5,0,0,82,91,181,154,165,179,56,17,8,849,0,4,3,6,0,0,0,0,19,21,23,35,23,33,19,10,8,170,176,446,538,582,472,192,63,18,2483
SAL80040,126,134,83,68,32,10,512,0,19,24,44,23,28,13,0,157,20,144,167,153,92,75,60,11,721,11,28,35,31,37,23,21,10,192,25,36,32,23,25,19,21,3,181,5,7,0,4,3,8,3,0,29,0,0,0,0,4,10,0,3,25,28,48,39,29,35,25,23,8,230,0,5,0,0,0,0,3,0,9,11,21,18,12,15,9,12,8,104,66,332,417,403,282,243,155,41,1935
SAL80041,285,121,30,15,0,0,704,7,47,43,29,14,11,0,0,145,91,499,346,122,41,21,11,0,1136,19,96,129,53,30,11,11,5,350,40,109,73,43,24,5,0,0,292,5,8,5,0,3,0,0,0,19,7,0,7,9,6,0,0,0,33,48,115,85,42,31,12,0,0,344,0,8,7,0,0,0,0,0,23,23,68,30,23,14,14,0,0,166,201,1077,933,393,154,79,22,5,2872
SAL80042,258,140,60,32,16,8,684,0,34,58,31,21,10,4,0,155,57,267,364,142,59,40,30,0,964,10,93,112,82,36,23,15,7,383,43,104,98,48,25,18,10,5,350,9,11,8,0,4,0,0,0,34,3,9,10,8,4,7,3,0,47,52,124,113,61,36,29,15,11,432,0,5,12,0,6,4,5,0,26,13,38,28,19,15,7,16,0,125,144,727,950,476,222,143,93,25,2773
SAL80043,214,212,145,88,29,9,846,3,33,58,54,58,33,14,0,252,56,235,295,271,212,144,77,30,1316,22,38,64,57,82,57,42,21,370,35,43,53,66,54,25,28,13,319,12,5,0,5,0,3,4,0,26,4,0,13,5,11,16,13,9,68,50,47,65,78,63,46,48,22,421,0,0,3,3,4,5,5,3,22,14,24,27,27,21,17,26,13,170,146,515,720,701,587,382,249,102,3397
SAL80044,123,137,81,73,41,18,539,0,4,25,30,41,26,10,0,135,44,111,153,147,128,118,67,34,807,0,19,31,41,32,46,30,15,216,11,17,19,17,21,16,10,4,117,0,0,0,0,0,0,0,0,10,0,0,4,5,0,9,7,4,34,19,17,23,20,23,23,24,9,155,0,0,0,3,0,5,3,0,17,32,21,9,27,18,21,18,11,148,99,230,359,406,330,311,188,92,2016
SAL80045,207,62,25,8,6,0,451,0,34,42,18,7,0,0,0,104,48,268,229,68,28,11,5,0,655,8,57,56,27,15,8,3,0,177,27,51,39,28,10,7,0,0,159,0,4,3,0,0,0,0,0,9,4,7,3,5,0,0,0,0,24,30,62,43,33,18,4,0,0,189,0,5,8,0,0,0,0,0,12,11,21,24,13,8,0,0,0,72,107,581,607,223,97,35,10,0,1656
SAL80046,155,98,58,22,14,0,599,9,52,37,17,19,9,0,0,151,197,383,149,97,66,31,13,0,934,25,40,36,34,29,9,5,0,169,25,62,27,23,23,6,4,7,173,0,6,7,0,0,0,0,0,12,5,3,4,3,7,5,3,0,24,33,64,33,25,28,10,9,4,207,0,5,0,0,0,0,3,0,16,26,44,19,8,12,9,4,0,127,288,837,430,281,216,92,44,13,2201
SAL80047,247,118,61,48,21,8,670,4,57,47,33,25,14,10,0,183,106,287,227,159,96,84,17,5,981,18,37,58,52,37,18,18,5,234,42,57,49,56,28,29,18,12,285,8,6,7,0,3,6,0,0,30,3,10,9,0,12,5,9,4,41,57,70,63,55,43,32,28,11,354,0,3,3,3,0,0,0,0,14,30,34,33,21,23,19,17,9,175,208,645,675,438,282,212,103,36,2610
SAL80048,101,86,64,35,14,3,373,0,17,28,37,43,22,10,0,160,38,128,154,124,95,63,43,14,667,7,29,55,83,49,29,26,5,282,30,52,49,76,45,28,19,3,309,7,6,4,3,10,0,3,0,35,7,0,4,11,3,10,9,4,40,38,67,52,89,56,37,34,3,381,0,0,3,0,3,5,0,0,18,13,12,16,18,20,15,14,6,117,104,318,413,446,335,199,137,37,1990
SAL80049,137,86,54,25,4,5,381,6,22,62,50,29,17,3,0,196,45,216,281,202,110,60,20,0,933,21,87,190,169,94,48,11,4,622,95,189,219,224,109,56,19,9,914,29,17,21,11,7,8,0,0,97,0,11,21,34,26,26,7,0,125,128,208,258,269,143,87,28,5,1132,0,7,7,4,3,3,0,0,27,47,31,42,47,38,13,12,5,235,244,642,969,838,472,249,89,19,3528
SAL80050,100,112,60,29,11,0,398,4,30,47,50,30,34,7,0,210,47,235,234,176,98,92,22,7,914,20,66,93,91,87,67,16,4,436,67,155,137,125,102,52,23,7,663,19,8,4,8,3,5,0,0,50,5,12,14,16,19,18,9,0,87,89,170,155,151,126,71,35,9,806,3,7,3,0,4,4,0,0,29,30,21,29,24,31,17,7,0,164,193,610,662,612,435,317,101,14,2951
SAL80051,94,74,79,48,11,0,335,0,10,32,43,42,28,8,0,153,29,66,132,127,125,90,32,5,603,14,16,50,67,67,49,8,0,269,15,44,51,36,53,37,11,4,252,16,4,0,0,4,0,0,0,27,0,0,9,4,10,13,3,4,44,31,51,56,42,64,46,17,6,323,0,0,3,3,0,6,0,0,10,13,3,9,5,10,19,5,3,66,86,179,378,356,385,281,86,15,1762
SAL80052,113,99,78,48,39,11,454,0,9,40,41,37,22,17,3,166,32,112,143,158,112,82,84,26,754,11,31,48,70,55,43,37,27,316,27,36,47,36,47,19,25,16,249,4,5,4,0,0,0,3,0,20,0,0,4,6,9,11,15,12,49,30,39,59,45,56,25,41,27,320,0,4,3,0,4,0,3,0,20,15,23,8,20,16,25,32,38,184,103,281,409,437,351,243,254,133,2211
SAL80053,86,70,34,31,20,3,286,0,19,34,33,19,11,6,0,125,19,131,155,129,68,47,31,11,594,7,33,58,67,50,37,28,6,283,16,48,43,48,42,39,26,5,272,8,3,0,0,0,3,0,4,20,3,0,6,16,7,9,13,4,57,27,55,50,63,47,50,37,12,342,0,0,3,6,3,5,4,0,21,15,21,23,10,11,8,22,10,132,67,312,406,379,228,194,151,46,1782
SAL80054,128,74,62,42,14,0,442,0,27,33,35,26,29,9,4,162,61,220,205,140,133,72,36,6,864,26,47,69,59,82,43,15,0,346,52,86,84,83,71,56,25,0,456,11,18,3,8,7,5,0,0,54,3,4,10,11,14,17,12,0,62,63,101,90,101,93,75,36,8,570,0,10,0,0,4,0,0,0,18,11,35,31,26,19,22,9,8,168,167,555,558,436,430,287,115,24,2574
