SAL_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,0,14,5,6,10,3,0,0,15,53,108,345,400,196,816,452,108,133,33,2589,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,3,11,4,18,8,3,8,0,61,3,0,3,0,15,6,4,0,0,37,4,17,31,9,41,76,22,28,4,233,0,0,3,0,14,5,5,4,0,30,23,106,125,48,164,50,15,15,11,556,28,131,144,41,161,64,39,28,8,641,6,13,22,12,24,17,13,11,0,116,0,6,3,9,27,18,6,0,0,71,0,0,3,3,39,19,3,5,0,69,0,8,8,0,25,9,6,9,0,57,12,36,53,36,239,219,27,41,5,663,5,29,33,9,36,30,8,12,0,164,54,22,47,33,489,327,83,91,6,1159,15,90,49,22,139,69,21,43,0,446,32,91,114,82,182,134,31,30,4,701,4,14,14,8,23,14,0,9,5,89
SAL80025,0,0,3,0,9,3,3,0,17,40,85,251,246,196,565,321,89,111,31,1900,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,7,8,6,21,15,7,7,0,75,5,0,0,0,12,3,6,0,0,29,5,18,17,18,43,95,28,50,8,273,0,0,3,4,17,9,0,12,4,39,12,76,58,21,66,27,14,12,0,284,9,98,55,19,41,18,5,9,0,257,6,8,12,7,40,30,13,14,0,132,0,0,8,0,29,14,5,11,0,63,4,4,6,0,17,22,0,6,0,62,0,0,0,0,20,3,4,10,0,40,4,18,21,22,105,168,19,39,8,409,8,16,15,3,37,19,0,9,3,110,47,15,45,82,434,314,78,71,4,1096,11,41,35,33,91,41,23,41,0,314,14,47,71,72,143,47,20,24,8,443,4,9,8,3,4,0,0,3,0,37
SAL80026,0,0,0,0,7,4,0,0,6,17,55,140,139,106,300,197,51,55,12,1052,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,5,10,12,9,3,0,40,0,0,0,0,7,10,0,0,0,16,5,3,7,7,24,58,12,23,0,148,0,0,6,0,3,6,0,0,0,17,0,44,21,15,26,23,9,11,0,159,4,45,29,3,15,12,3,3,3,116,10,3,4,6,15,10,3,7,0,58,0,0,4,0,15,6,0,0,0,32,0,0,0,0,3,6,0,0,0,16,0,0,0,6,14,5,0,7,0,26,4,16,12,14,55,64,12,11,0,190,3,13,6,4,15,8,0,8,0,49,37,29,36,32,225,192,34,44,5,640,7,33,26,17,45,32,9,10,0,176,12,22,41,29,84,39,5,16,3,261,0,10,4,3,4,4,0,0,0,20
SAL80027,0,7,7,6,7,8,0,0,3,30,96,229,217,118,750,555,157,228,13,2365,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,4,0,15,10,3,0,0,37,4,0,0,0,14,3,3,8,0,27,4,8,10,0,21,40,11,33,4,128,0,3,3,0,4,8,5,0,0,23,5,31,41,11,42,28,4,13,5,176,3,70,71,19,66,37,12,26,0,307,5,0,6,0,12,12,0,8,0,46,0,0,4,3,21,27,10,3,0,82,6,5,0,5,24,16,3,11,0,69,0,0,4,0,18,17,3,5,0,50,19,41,47,26,186,286,66,98,5,770,6,4,3,4,17,16,0,3,0,62,73,50,53,79,753,570,150,211,0,1950,11,82,35,7,117,71,24,58,0,407,14,47,38,27,88,57,15,24,0,312,6,14,13,3,25,13,4,0,0,83
SAL80028,0,0,3,0,11,4,0,5,16,35,118,513,332,179,622,389,103,151,30,2434,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,4,8,12,4,10,3,6,0,0,53,0,0,0,0,8,9,4,5,0,24,3,12,9,5,34,64,8,21,0,171,0,7,0,0,4,3,0,0,0,25,24,176,101,22,68,31,5,10,10,451,23,166,94,39,81,39,9,19,9,477,0,9,13,5,24,15,0,9,0,75,5,9,8,7,22,18,7,0,0,67,0,5,7,0,24,18,0,3,0,57,0,4,3,0,23,7,4,7,0,54,4,40,41,38,151,184,40,52,5,552,3,34,19,14,31,24,3,9,0,139,54,42,50,42,418,318,73,104,5,1102,17,146,61,35,131,69,35,61,5,551,33,98,100,49,126,82,16,37,9,558,5,42,23,9,28,9,0,10,0,118
SAL80029,0,0,3,0,5,3,0,0,9,24,99,216,222,158,403,285,89,102,17,1594,0,0,0,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,3,8,13,23,12,18,0,71,5,0,0,3,10,10,0,8,0,35,10,14,21,17,58,120,27,68,4,329,0,8,0,0,10,11,3,3,0,32,4,57,30,18,49,45,10,12,0,227,15,56,21,15,12,5,0,11,0,137,5,6,10,8,14,24,9,14,4,91,0,0,6,4,11,7,3,0,0,36,0,5,3,5,16,5,0,5,0,39,0,3,4,0,9,10,5,8,0,42,7,16,24,12,53,88,16,28,0,245,3,16,14,3,27,12,0,7,0,86,68,33,66,58,323,241,64,74,5,928,15,32,46,30,61,46,27,24,0,272,11,62,56,42,112,58,17,25,6,388,4,17,3,4,7,0,0,0,0,46
SAL80030,0,3,4,0,5,0,3,0,0,19,84,220,169,102,291,405,163,300,13,1744,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,4,3,7,3,6,8,9,3,3,0,36,0,0,0,0,3,0,4,3,0,12,0,10,14,0,18,25,16,23,0,111,0,0,0,0,3,0,0,0,0,10,5,61,24,10,11,13,6,10,0,144,14,64,26,14,5,11,4,14,0,144,0,9,7,0,3,5,6,4,0,28,4,6,0,0,5,5,6,4,0,31,0,3,4,0,21,10,5,4,0,52,3,8,0,0,9,13,0,8,0,34,11,30,42,28,59,108,31,72,0,380,0,9,11,3,9,10,5,3,0,46,79,49,89,93,380,736,327,645,25,2412,11,70,28,18,42,66,20,46,0,303,16,26,41,20,35,28,4,27,0,191,0,16,7,4,15,17,7,4,0,67
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,4,0,32,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,4,4,0,0,0,3,0,5,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
