SAL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SAL80071,19,119,31,39,0,342,82,20,176,58,58,5,398,16,0,23,4,13,0,51,16,0,32,18,32,4,97,27,0,35,9,19,26,115,1094,185,1378,545,579,93,3883
SAL80072,15,72,10,6,0,165,26,8,73,22,24,0,155,3,4,13,5,4,0,21,4,0,10,5,8,0,26,8,0,11,0,5,0,20,274,93,462,145,168,17,1156
SAL80073,18,42,19,20,0,143,21,8,50,26,33,3,147,6,0,4,4,13,0,29,0,0,0,13,25,3,39,0,0,6,0,7,0,15,183,79,389,194,368,26,1245
SAL80074,22,50,7,9,0,120,28,4,55,15,14,5,121,5,0,5,3,0,0,16,5,3,9,7,17,0,35,0,0,5,3,4,0,18,226,105,452,153,182,14,1131
SAL80075,26,112,17,44,4,260,33,19,121,57,65,5,309,4,5,7,9,14,0,36,7,0,15,8,44,3,75,9,0,13,9,14,4,45,296,102,726,325,625,55,2129
SAL80076,14,52,8,9,0,119,66,19,85,23,21,6,214,5,0,11,4,0,0,25,9,0,15,0,14,0,37,12,0,3,3,3,4,18,371,118,529,113,130,16,1266
SAL80077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6
SAL80078,9,34,0,10,0,79,52,10,66,14,9,3,161,5,0,0,0,7,0,11,6,0,3,0,3,0,18,4,0,0,0,0,0,8,255,65,357,84,120,27,912
SAL80079,17,52,12,25,0,129,31,12,94,50,59,13,264,0,0,3,0,3,0,10,3,0,8,20,44,0,72,0,0,7,4,7,8,29,152,67,438,287,555,61,1559
SAL80080,5,14,0,4,0,32,10,4,28,10,10,0,59,0,0,0,0,0,0,0,0,0,0,4,5,0,10,0,0,5,4,0,0,4,69,10,110,46,70,6,303
SAL80081,42,140,38,42,0,369,48,19,102,53,55,10,292,10,5,22,10,9,0,58,11,3,18,16,38,4,87,11,0,13,4,15,8,57,577,220,1050,392,571,81,2886
SAL80082,65,236,57,90,3,572,109,74,333,168,165,21,871,7,5,30,10,20,0,78,19,4,32,30,100,3,189,8,0,26,16,32,17,98,775,381,1800,927,1547,123,5556
SAL80083,30,116,13,8,0,295,104,29,136,24,15,5,311,12,7,29,5,8,0,62,14,5,35,11,25,0,92,13,0,27,3,5,3,59,1149,354,1718,330,293,55,3901
SAL80084,18,60,17,28,0,178,22,11,62,25,29,0,152,0,0,11,4,4,0,15,3,3,9,9,27,0,49,4,0,3,0,4,5,19,200,95,406,236,419,21,1368
SAL80085,15,74,15,4,0,163,43,14,129,15,13,3,218,4,0,9,0,4,0,19,13,0,20,4,12,0,42,8,0,15,0,5,3,38,436,83,663,132,172,31,1524
SAL80086,40,113,11,14,0,371,77,24,109,36,21,0,256,13,3,33,12,10,0,70,8,0,15,9,13,0,56,6,3,15,3,12,9,51,861,209,1155,208,252,45,2739
SAL80087,10,57,14,9,0,146,67,21,86,33,23,0,230,5,0,7,0,4,0,21,7,0,7,7,8,0,28,6,3,9,4,4,4,29,407,104,495,197,184,35,1417
SAL80088,9,26,8,13,0,65,6,9,21,11,13,3,66,0,0,0,6,3,0,5,4,0,4,3,12,0,19,4,0,0,0,0,0,6,71,42,191,90,154,14,560
SAL80089,31,129,39,46,0,326,56,30,144,81,97,15,428,9,4,16,4,12,0,45,4,0,19,17,64,0,106,5,0,14,11,21,9,60,412,159,881,513,797,68,2822
SAL80090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,17,86,14,15,0,198,32,13,60,12,18,6,141,3,0,10,0,0,0,21,5,4,11,4,9,0,26,4,0,0,5,4,3,18,328,93,490,113,204,16,1246
SAL80092,11,50,14,11,3,120,73,25,141,36,30,10,315,0,0,6,0,0,0,8,7,0,14,8,14,0,42,3,0,4,5,4,0,22,325,106,596,207,224,30,1494
SAL80093,12,47,10,20,0,117,29,3,53,14,19,0,130,0,0,4,4,0,0,10,0,0,10,5,23,4,41,3,0,5,0,4,3,19,190,56,404,132,230,21,1028
SAL80094,14,69,18,27,3,175,25,10,47,23,34,0,142,6,3,12,7,7,0,29,6,3,9,14,13,0,41,0,0,6,7,4,4,15,227,79,406,192,328,30,1263
SAL80095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,17,81,27,25,0,186,40,18,96,48,50,6,266,4,4,13,10,12,0,37,0,5,14,7,31,0,60,9,0,4,4,13,7,30,243,111,638,352,536,42,1924
SAL80098,21,106,20,25,3,231,64,19,155,49,42,4,334,4,0,7,0,5,0,22,10,0,8,5,36,0,64,8,0,10,9,9,12,40,553,110,886,346,387,53,2340
SAL80099,33,78,13,21,0,243,82,24,127,28,37,8,298,8,3,13,0,7,4,43,9,0,23,9,19,0,63,19,3,14,8,8,14,61,802,211,993,252,323,56,2638
SAL80100,48,210,50,84,13,502,90,42,206,88,101,17,542,3,4,22,5,16,0,59,17,0,31,28,72,0,144,15,0,13,8,19,17,68,722,265,1454,695,1168,110,4409
SAL80101,23,132,35,32,4,321,59,19,108,41,36,6,266,3,0,11,5,7,3,33,9,4,13,14,44,0,81,8,0,8,5,7,5,34,554,173,971,433,518,54,2707
SAL80102,28,138,13,18,3,413,74,16,99,28,18,0,236,11,3,27,6,3,0,52,11,4,20,4,11,0,47,10,0,17,0,5,3,38,844,219,1125,213,230,39,2668
SAL80103,0,6,0,4,0,22,32,5,42,5,3,9,100,0,0,3,0,0,0,4,0,0,3,0,3,0,9,0,0,0,0,0,0,0,113,18,166,39,29,12,377
SAL80104,4,0,3,0,0,10,5,0,4,6,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,0,37,18,23,0,102
SAL80105,3,20,8,15,0,55,11,10,35,11,25,0,89,5,0,0,0,0,0,3,3,0,0,4,10,0,18,0,0,4,3,0,0,12,72,44,184,98,197,12,606
SAL80106,14,49,8,12,0,123,27,18,59,22,25,0,152,5,0,9,0,5,0,15,0,5,6,8,16,0,34,0,0,0,0,8,4,19,243,83,398,134,202,20,1087
SAL80107,27,107,19,37,8,276,42,18,103,41,47,4,254,4,0,9,3,9,0,30,7,0,15,14,29,0,60,9,0,17,3,5,11,42,418,142,780,319,508,64,2238
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,13,42,10,15,0,103,38,19,71,35,17,6,180,0,0,5,0,7,4,9,6,0,7,6,5,0,25,0,0,4,0,0,4,7,239,97,417,157,176,20,1103
SAL80110,14,71,5,15,0,169,179,58,393,77,60,13,777,9,0,7,3,5,3,32,12,0,14,15,17,4,64,16,0,21,3,6,15,53,724,209,1307,317,368,50,2981
SAL80111,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,11,6,21,0,58
SAL80112,17,44,3,7,0,118,68,17,89,14,7,9,204,0,4,9,0,3,0,17,4,4,4,3,7,0,25,4,0,9,6,0,3,19,391,103,582,95,108,31,1307
SAL80113,6,17,5,4,0,80,10,5,22,9,0,3,57,5,0,10,3,0,6,23,0,0,0,3,8,0,18,5,0,0,0,0,3,12,217,58,296,67,56,15,717
SAL80114,5,38,12,29,0,99,9,15,54,37,47,6,164,0,0,5,0,8,0,16,5,0,3,8,29,0,52,0,0,5,3,9,5,18,83,53,242,190,440,33,1044
SAL80115,20,67,15,9,0,160,42,17,82,28,33,4,206,7,0,16,3,8,0,28,0,0,3,8,17,0,32,3,0,3,3,3,4,19,236,107,441,165,248,23,1224
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,13,79,13,13,0,162,27,13,53,26,23,4,152,4,3,7,6,4,0,25,4,0,9,3,16,4,37,4,0,5,0,6,4,13,212,80,443,143,249,18,1148
SAL80118,10,51,11,19,0,123,19,15,45,25,16,0,121,0,0,0,0,0,0,8,6,5,3,3,21,4,33,0,0,7,4,5,0,9,124,75,286,162,273,24,940
SAL80119,8,42,5,8,0,84,19,3,40,9,17,0,89,0,0,8,0,4,0,10,0,0,5,3,5,0,11,0,0,0,0,0,5,5,123,47,283,92,140,20,703
SAL80120,0,12,4,3,0,29,18,12,32,7,14,4,82,0,0,0,0,0,0,3,4,0,0,3,5,0,15,4,0,3,0,0,0,6,91,19,128,61,67,12,370
SAL80121,0,0,0,0,0,7,0,0,4,0,11,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,8,5,20,14,51,5,104
SAL80122,3,34,11,11,0,74,40,5,55,33,18,9,167,0,0,0,0,0,0,7,4,0,9,8,7,0,28,11,0,9,0,5,8,36,268,35,356,156,134,30,980
SAL80123,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,16,0,36
SAL80124,6,52,16,29,0,134,17,11,65,32,51,3,186,0,4,10,0,6,0,28,0,0,12,8,47,0,70,0,0,0,7,5,3,24,137,54,388,293,523,42,1440
SAL80125,6,33,6,10,0,91,39,6,73,17,10,4,152,3,0,0,4,0,0,7,5,0,4,0,13,3,31,7,0,11,5,10,8,36,347,51,366,143,134,34,1073
SAL80126,13,32,3,5,0,94,41,6,55,16,13,5,138,0,0,0,0,5,0,9,0,0,6,4,20,0,30,3,0,4,0,0,0,12,205,74,380,114,168,15,950
SAL80127,11,87,6,5,6,262,67,11,84,9,10,4,186,11,3,24,5,3,0,47,9,3,13,4,9,0,34,5,0,10,3,8,3,30,792,191,1222,147,163,32,2538
SAL80128,0,5,4,7,0,21,4,0,4,0,0,3,14,0,0,4,0,0,0,4,0,0,0,0,10,0,10,0,0,0,0,0,0,0,14,12,41,30,37,8,140
SAL80129,43,146,25,43,6,310,69,38,171,56,92,13,426,7,5,15,3,11,0,40,7,3,17,16,43,0,84,6,0,8,3,18,8,40,452,194,1002,441,752,51,2894
SAL80130,8,43,11,16,0,112,35,6,67,21,18,0,156,3,0,9,0,6,0,13,4,0,9,7,14,0,31,3,0,5,6,0,3,18,205,78,389,151,218,15,1059
SAL80131,43,169,25,19,0,449,87,33,124,24,33,3,307,32,13,26,3,14,3,97,15,0,22,19,21,0,76,10,0,23,3,8,7,52,981,282,1270,302,381,51,3272
SAL80132,17,66,12,13,4,164,38,9,52,15,10,0,127,0,0,9,0,3,0,17,4,0,7,3,12,0,27,3,0,4,0,0,0,12,304,99,437,126,152,17,1138
SAL80133,23,74,8,9,0,170,47,17,94,22,22,4,206,3,0,9,8,4,0,16,0,3,11,3,10,0,33,5,6,12,0,6,7,28,390,140,571,174,214,28,1515
SAL80134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80135,16,83,9,15,4,201,104,22,186,43,31,3,384,3,0,7,5,3,0,16,9,0,8,6,17,0,38,10,4,12,3,4,4,42,506,110,867,224,271,41,2024
SAL80136,4,36,9,4,0,88,82,15,88,10,8,0,198,13,4,10,3,6,0,31,4,3,10,0,6,0,31,4,3,7,0,4,3,26,394,96,508,112,86,16,1215
SAL89494,0,3,0,6,0,13,3,0,8,5,0,0,22,0,0,0,0,3,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,3,24,4,49,15,42,0,138
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
