SAL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SAL80001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,4,3,0,20
SAL80002,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,13,0,19
SAL80003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,5
SAL80005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80006,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
SAL80007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80008,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,8,8,0,21
SAL80009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,9
SAL80010,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,17,4,25,0,58
SAL80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL80012,0,0,0,6,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,10,5,19,0,41
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,8,7,0,31
SAL80015,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,6,0,27
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,3,50,5,11,7,120,3,0,7,0,4,0,14,0,0,7,0,6,0,15,0,0,4,3,3,0,7,0,0,0,0,0,0,0,87,5,127,20,45,11,294
SAL80018,30,90,14,8,5,275,46,19,63,18,18,11,171,17,5,28,5,5,0,60,15,4,15,0,12,0,46,0,0,7,0,0,0,18,674,209,869,167,199,45,2159
SAL80019,29,98,28,35,0,247,47,17,99,46,53,3,267,0,3,15,8,8,0,42,0,0,24,15,30,0,72,4,0,7,7,3,3,32,451,171,797,425,599,51,2499
SAL80020,21,44,13,10,0,181,26,13,49,3,4,0,97,11,0,10,5,0,0,27,3,0,5,5,3,0,21,3,0,0,0,0,4,8,351,91,415,108,101,12,1085
SAL80021,16,54,15,42,0,152,22,15,79,58,79,3,259,0,0,4,3,8,0,20,0,0,4,12,55,0,72,0,0,11,8,21,0,43,142,86,458,404,809,55,1964
SAL80022,13,22,0,0,0,91,23,6,32,3,0,0,70,6,0,6,0,0,0,8,5,0,4,0,3,0,20,5,0,5,5,0,0,14,393,89,467,80,69,18,1112
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SAL80024,26,158,20,29,3,398,183,26,280,74,50,12,629,10,3,29,9,10,5,67,16,4,39,18,24,0,95,33,0,30,12,3,17,94,1309,233,1845,449,488,85,4405
SAL80025,22,111,31,37,7,285,76,18,149,81,54,8,389,4,0,12,0,11,0,27,19,0,23,20,37,0,98,12,10,26,8,6,20,79,673,152,1048,495,572,88,3023
SAL80026,15,71,17,22,0,147,31,15,68,37,44,11,206,3,3,5,3,5,0,15,4,0,4,7,33,0,49,4,0,3,3,7,3,21,172,91,474,259,413,39,1455
SAL80027,20,130,11,10,6,365,90,19,114,22,19,4,270,26,5,23,6,7,0,64,16,4,20,13,12,7,79,15,0,28,0,7,11,51,1210,324,1886,267,304,68,4052
SAL80028,44,164,31,31,3,466,107,25,206,40,60,7,451,7,6,32,6,21,0,69,16,3,31,11,26,7,90,13,4,17,13,7,12,70,1020,231,1484,360,438,63,3598
SAL80029,28,105,27,31,3,222,37,26,117,49,83,7,312,3,0,5,4,9,0,28,3,8,10,5,44,3,75,3,0,6,5,6,13,32,216,129,643,409,798,58,2252
SAL80030,20,84,13,12,5,220,63,14,69,16,13,0,177,21,7,16,8,3,0,53,18,0,17,9,10,0,48,7,0,13,6,5,4,34,777,206,1093,249,346,40,2708
SAL80031,0,0,0,0,0,4,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,9,8,0,42
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,29,106,24,35,8,281,66,23,151,57,60,7,365,8,3,19,4,17,0,51,8,0,13,7,42,0,74,9,3,17,8,16,7,69,559,159,942,504,670,66,2897
SAL80034,13,48,12,11,0,118,39,9,62,15,13,0,135,3,3,8,3,3,0,20,5,0,5,4,10,0,31,3,0,0,4,4,0,14,255,88,441,130,162,20,1097
SAL80035,6,37,23,27,3,116,10,3,46,37,43,3,144,0,0,11,7,6,0,29,3,5,6,7,28,0,43,4,0,6,0,13,5,29,104,32,270,198,403,35,1046
SAL80036,13,35,11,9,0,90,44,12,87,23,12,0,178,3,7,5,0,3,0,18,7,0,3,5,14,0,31,7,0,4,4,10,12,36,291,93,481,165,157,29,1227
SAL80037,13,67,21,41,4,173,28,22,86,46,68,9,262,0,0,9,10,10,4,22,3,0,15,10,46,0,76,3,0,4,0,21,0,33,180,115,467,341,727,43,1874
SAL80038,8,92,12,11,4,252,38,8,76,4,10,5,146,10,5,7,4,8,0,27,12,3,16,6,4,0,48,20,0,17,0,3,10,44,757,134,973,150,185,56,2245
SAL80039,28,77,23,33,0,177,29,18,90,45,71,9,264,0,0,0,6,11,0,19,3,3,11,0,45,3,65,5,0,3,5,8,4,25,175,101,526,365,669,55,1894
SAL80040,23,76,7,6,3,206,31,7,69,20,21,4,147,7,0,15,0,3,0,29,8,0,13,0,13,0,35,3,0,12,4,0,0,24,372,113,525,123,150,20,1301
SAL80041,19,96,15,19,0,232,102,14,236,53,36,11,445,10,5,9,3,7,0,25,10,6,19,12,10,0,49,11,0,10,3,5,10,46,634,132,1002,287,293,53,2410
SAL80042,26,84,18,18,0,223,56,19,82,42,24,10,241,5,5,21,4,5,4,34,4,4,14,9,24,3,60,14,0,10,5,7,3,37,572,137,818,303,347,43,2225
SAL80043,12,93,10,14,0,248,94,22,155,33,28,4,333,9,4,24,3,3,0,36,11,8,12,3,15,0,44,10,0,10,0,7,5,34,683,186,962,210,256,33,2327
SAL80044,14,35,5,4,4,113,73,8,93,17,9,0,200,9,0,12,3,0,0,27,12,0,14,9,3,0,34,6,0,5,4,6,0,21,407,97,554,123,91,13,1293
SAL80045,16,34,11,4,0,86,50,23,111,21,13,3,220,0,5,9,6,7,0,20,0,0,3,4,5,0,22,8,0,3,0,0,3,13,397,96,576,143,165,25,1406
SAL80046,12,62,9,8,3,179,45,11,49,24,15,4,146,9,0,20,3,6,0,39,16,0,15,0,5,0,37,7,0,4,4,4,7,24,499,124,798,137,155,24,1739
SAL80047,18,68,18,19,0,218,49,17,70,17,19,4,179,4,0,27,5,3,0,49,12,3,10,3,10,0,40,4,0,7,5,14,5,33,557,143,769,170,250,28,1909
SAL80048,17,57,10,10,0,141,35,13,56,30,39,0,169,3,4,13,4,5,0,22,4,3,6,8,13,0,33,0,0,5,3,5,0,19,299,119,481,201,258,18,1379
SAL80049,42,140,35,55,8,330,46,35,126,66,97,3,371,3,0,9,9,14,0,36,9,0,24,26,69,0,129,4,0,0,8,18,13,44,329,158,774,516,908,69,2750
SAL80050,39,118,27,25,0,285,35,14,92,36,43,7,223,7,0,17,4,13,0,35,0,0,15,9,36,0,65,12,0,6,3,9,8,41,332,166,724,311,609,55,2194
SAL80051,14,56,10,11,0,147,34,15,61,28,20,0,165,0,0,4,0,6,0,11,8,0,7,6,13,0,26,0,0,7,0,0,7,12,272,105,431,190,230,25,1256
SAL80052,10,56,9,12,4,128,56,19,82,23,17,0,202,3,0,11,0,7,0,28,8,3,7,8,7,0,29,0,0,11,3,3,0,19,345,120,496,186,194,22,1364
SAL80053,26,52,17,10,0,147,29,12,65,40,20,9,182,4,0,6,4,9,0,24,6,0,10,6,12,0,36,0,0,4,7,4,0,13,224,96,465,200,214,22,1226
SAL80054,21,90,10,16,0,188,49,23,97,41,42,7,263,3,0,13,7,14,0,35,4,0,15,5,26,0,56,11,0,7,4,8,3,33,342,112,645,238,383,38,1755
SAL80055,18,90,16,20,0,191,25,13,49,20,28,0,137,3,7,15,0,5,0,30,3,0,3,18,26,0,54,3,0,4,8,7,0,19,206,85,459,227,391,28,1399
SAL80056,16,93,19,14,0,201,30,21,76,29,24,0,185,8,0,6,3,3,0,20,4,0,10,13,11,0,40,5,0,13,4,0,0,32,481,132,748,281,300,40,1982
SAL80057,5,26,7,0,0,75,50,13,53,10,0,8,128,0,3,4,0,0,0,12,0,0,0,0,3,0,15,0,0,4,0,0,0,8,300,88,365,81,56,13,907
SAL80058,25,118,29,26,0,309,95,31,178,64,47,9,426,8,0,32,9,12,0,62,12,6,22,15,16,3,74,29,0,29,3,13,21,99,1084,200,1346,485,456,91,3668
SAL80059,12,43,11,19,0,102,6,16,27,19,16,0,83,3,0,4,0,4,0,13,3,0,4,0,14,0,23,0,0,0,0,4,3,11,84,53,254,122,219,17,749
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SAL80061,11,37,3,5,4,112,118,29,142,34,14,10,336,0,0,11,5,0,0,18,0,0,11,0,19,3,35,6,3,7,3,6,5,28,449,108,583,145,139,36,1468
SAL80062,4,41,8,14,0,89,16,17,40,20,37,0,127,0,0,8,0,5,0,12,0,3,0,8,32,0,44,0,0,0,0,3,0,9,83,46,255,174,391,10,967
SAL80063,20,70,23,18,3,185,17,14,63,20,27,0,142,4,5,8,5,7,5,29,8,3,11,4,16,3,43,3,0,10,0,11,6,22,214,95,448,183,304,42,1291
SAL80064,27,117,41,53,4,272,45,43,173,89,104,16,455,0,0,0,7,10,0,21,3,5,17,12,82,3,118,0,0,10,8,24,4,46,282,156,806,596,1028,67,2931
SAL80065,10,63,20,20,0,141,25,12,68,24,24,5,160,0,4,0,0,11,0,17,3,0,4,11,29,0,48,3,0,5,5,5,0,17,162,73,371,206,314,30,1156
SAL80066,12,59,14,20,0,133,52,16,127,46,52,4,303,0,3,5,0,9,6,19,7,0,16,11,22,3,60,3,0,16,0,6,11,38,308,107,659,285,428,55,1843
SAL80067,24,75,18,9,0,225,107,19,114,18,13,7,280,10,0,18,4,3,0,36,12,0,21,4,11,6,52,6,0,19,6,0,3,36,826,216,1206,235,214,36,2739
SAL80068,25,134,37,36,5,351,99,29,191,81,55,14,475,11,4,18,7,4,0,50,15,9,28,12,49,8,119,17,0,23,16,14,17,93,1040,197,1447,557,664,100,4000
SAL80069,23,61,14,5,0,191,37,10,51,12,9,4,123,15,7,21,3,4,0,55,10,0,4,3,9,0,21,3,0,6,0,3,7,20,423,131,542,106,139,15,1350
SAL80070,3,4,0,4,0,12,3,5,6,5,0,0,17,0,0,0,0,0,0,5,0,0,4,0,0,0,5,0,0,0,0,0,5,5,19,10,49,14,26,5,114
