SAL_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SAL80017,0,47,7,83,20,33,10,19,4,224,9,74,8,72,28,31,3,19,4,246,0,31,3,5,8,6,0,4,0,64,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,165,16,160,56,71,14,36,6,546,3,70,4,202,39,109,0,18,0,440,4,60,6,138,50,50,0,9,5,306,3,29,0,3,3,4,0,0,0,55,0,3,4,0,4,0,0,0,0,9,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,162,7,343,92,163,3,28,7,821
SAL80018,0,0,9,19,6,24,4,5,0,69,11,30,7,20,23,16,3,10,0,121,39,112,28,23,19,9,0,14,6,262,88,123,25,9,12,6,4,11,3,277,93,125,22,10,15,8,12,13,7,306,56,65,20,4,12,3,4,6,3,176,8,29,3,0,4,0,4,0,6,52,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,299,495,119,89,89,62,30,58,27,1267,0,5,7,36,5,38,0,4,0,93,7,43,6,51,46,19,0,10,7,185,40,131,5,15,42,8,0,6,5,249,105,136,4,12,31,5,0,7,3,311,100,132,9,19,40,3,0,5,9,314,55,91,4,17,34,9,0,0,3,204,7,29,0,3,8,6,0,0,0,50,0,3,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,310,567,28,148,206,88,3,29,28,1413
SAL80019,3,5,21,16,5,29,3,31,0,116,4,11,58,19,17,17,6,17,3,155,34,96,78,24,28,16,22,20,10,337,102,137,54,27,36,17,10,16,6,402,140,126,59,38,45,8,19,17,9,472,51,56,37,3,26,4,13,3,4,198,10,12,3,5,4,0,4,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,444,306,132,158,95,89,104,37,1719,0,4,8,38,8,56,0,12,0,131,16,34,4,35,36,20,0,7,4,146,33,103,18,49,61,21,7,8,5,304,95,157,11,37,95,21,3,10,0,428,92,131,15,46,135,20,5,14,3,462,32,38,5,22,59,6,0,9,6,177,6,7,0,12,12,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,477,69,231,404,143,13,55,25,1682
SAL80020,0,0,5,7,0,9,0,6,0,25,0,16,10,10,4,5,0,7,0,66,13,40,22,11,10,8,4,14,4,125,50,52,11,10,3,3,0,14,0,142,52,64,6,8,12,3,0,3,4,156,32,49,11,0,12,0,0,0,6,106,5,17,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,154,253,63,42,44,28,6,49,16,649,0,0,0,12,3,23,0,7,0,43,3,13,0,12,4,12,0,3,0,51,15,51,0,8,7,10,0,3,0,103,45,70,3,15,17,4,0,8,8,165,47,69,5,10,25,0,0,0,0,154,23,51,5,3,12,8,0,0,0,110,4,12,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,274,17,59,82,45,0,20,9,655
SAL80021,3,4,32,11,0,18,7,26,4,98,3,3,51,24,12,11,12,17,0,143,21,41,113,15,27,18,38,24,14,322,62,72,71,23,40,12,24,18,7,333,70,88,64,15,42,10,32,26,11,351,42,53,34,19,28,3,36,14,3,231,3,7,4,3,5,0,8,5,0,34,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,216,260,366,108,161,78,162,130,37,1520,0,0,9,18,4,50,0,8,0,97,6,22,19,41,42,25,0,7,4,154,40,75,17,56,95,12,0,5,8,313,59,91,15,42,110,15,0,10,11,360,68,62,13,33,112,25,5,10,6,334,24,32,10,17,62,14,0,14,3,178,0,6,0,5,3,3,0,6,0,30,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,197,290,75,214,435,152,11,58,32,1463
SAL80022,0,0,0,0,0,7,0,3,0,15,4,16,6,9,3,0,0,0,0,36,33,127,7,22,14,5,0,8,4,223,41,49,3,12,4,0,0,0,8,110,43,33,6,4,8,0,0,0,3,107,26,47,3,0,7,0,0,0,6,95,7,26,0,0,0,3,0,0,0,41,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,152,295,30,47,46,25,4,8,20,625,0,0,0,0,0,5,0,4,0,9,10,30,0,10,12,0,0,0,0,67,56,105,0,14,27,0,0,0,10,206,42,62,0,4,13,0,0,0,6,128,27,37,0,3,28,3,0,0,4,108,16,31,0,4,13,0,0,0,0,69,3,13,0,0,9,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,280,0,40,105,9,0,4,19,614
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,3,3,3,18,3,9,0,8,0,51,20,98,63,63,45,72,21,32,6,420,145,440,194,141,118,103,68,90,24,1320,93,199,79,42,62,18,19,34,9,555,46,84,25,17,33,11,9,12,7,236,32,51,10,10,14,0,3,8,4,139,11,17,4,5,9,5,3,3,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,345,893,378,286,273,220,130,188,53,2775,3,3,3,26,3,20,0,5,3,66,14,94,21,151,84,100,3,23,6,498,135,462,61,201,180,128,3,56,25,1251,70,162,16,62,71,20,0,12,11,429,41,60,6,26,39,6,0,9,3,191,17,29,5,25,27,3,0,9,0,107,3,14,0,5,7,0,0,0,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,283,822,109,495,414,278,11,120,54,2589
SAL80025,0,7,13,6,3,31,0,26,3,86,3,18,37,24,12,19,12,23,4,153,53,110,95,40,46,25,38,45,20,471,150,247,100,60,57,26,32,30,30,725,90,137,56,21,48,7,21,16,9,419,30,36,17,8,13,8,8,17,3,141,0,9,3,0,0,0,8,3,0,30,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,332,558,326,172,190,116,119,161,67,2028,3,5,3,26,6,49,0,12,6,118,0,30,14,48,42,28,0,7,0,177,47,142,26,80,94,27,0,13,21,454,104,221,24,91,160,29,0,17,18,667,53,124,22,57,69,17,3,15,8,356,8,30,7,13,21,6,3,7,6,101,0,3,0,0,9,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,558,90,321,405,167,7,82,46,1900
SAL80026,0,3,11,6,5,11,5,12,0,54,5,18,24,12,9,8,9,8,3,94,25,57,48,15,19,9,10,18,5,209,49,71,39,14,29,9,4,15,0,233,50,52,41,13,35,8,4,11,7,216,34,38,37,12,25,5,12,11,8,164,4,12,3,3,8,3,6,4,6,46,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,165,244,206,73,133,58,51,75,27,1025,0,5,10,19,5,35,0,5,0,70,8,24,0,13,24,14,0,5,3,90,19,75,7,24,61,17,0,4,10,218,39,82,12,26,53,4,0,7,14,241,55,65,8,19,75,9,0,5,5,244,19,40,3,13,54,4,0,8,4,156,7,5,0,9,13,4,0,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,299,43,126,285,88,3,34,30,1052
