SAL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SAL80062,..,177,177,295,12,308,172,3,177,184,0,184,74,0,74,32,0,32,765,191,948
SAL80063,..,222,222,375,20,396,209,11,219,223,0,227,95,0,95,24,0,27,932,262,1196
SAL80064,..,633,633,880,43,924,507,9,513,517,5,521,187,0,187,89,0,89,2191,682,2874
SAL80065,..,171,171,385,9,395,199,10,206,213,3,216,77,0,77,37,0,37,911,191,1106
SAL80066,..,907,907,692,62,750,243,13,260,123,4,133,35,0,38,8,0,8,1102,991,2088
SAL80067,..,828,828,740,97,835,267,22,289,236,3,245,100,0,100,20,0,20,1359,961,2319
SAL80068,..,809,809,917,122,1035,526,43,571,489,31,521,164,16,181,95,16,105,2188,1030,3219
SAL80069,..,304,304,322,19,338,175,19,194,243,8,256,85,6,83,12,0,12,833,349,1181
SAL80070,..,23,23,35,0,35,14,0,14,15,0,15,18,0,18,0,0,0,86,25,105
SAL80071,..,521,521,634,80,721,469,52,526,600,23,627,255,5,264,100,5,112,2068,693,2768
SAL80072,..,309,309,392,30,426,163,0,169,181,0,181,75,0,75,28,0,25,829,347,1181
SAL80073,..,267,267,410,25,436,193,11,199,206,0,205,84,0,88,35,0,35,927,305,1236
SAL80074,..,272,272,374,14,388,171,7,172,173,4,178,58,0,61,14,0,14,789,297,1092
SAL80075,..,717,717,674,54,732,360,15,376,298,6,306,102,0,106,51,0,51,1493,796,2289
SAL80076,..,290,290,332,17,345,167,7,171,205,4,208,84,4,87,29,0,29,815,317,1131
SAL80077,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
SAL80078,..,191,191,349,15,365,148,6,155,134,0,141,41,0,41,24,0,24,699,209,915
SAL80079,..,376,376,469,23,491,303,12,314,274,4,276,95,0,95,55,0,55,1198,416,1613
SAL80080,..,45,45,46,8,57,45,0,46,51,0,51,30,0,30,6,0,6,178,56,237
SAL80081,..,512,512,856,56,912,442,27,467,467,31,500,176,7,183,90,9,97,2035,647,2677
SAL80082,..,1387,1387,1910,110,2018,933,26,956,936,3,941,387,0,392,147,3,156,4321,1534,5852
SAL80083,..,1462,1462,1134,194,1332,285,44,329,134,0,137,27,0,25,13,0,13,1591,1701,3293
SAL80084,..,337,337,423,39,460,246,7,255,232,0,234,69,0,69,43,0,47,1016,387,1401
SAL80085,..,194,194,269,69,342,157,74,232,121,21,144,33,0,39,29,10,35,618,374,990
SAL80086,..,950,950,748,136,885,264,62,332,241,27,263,61,8,66,12,0,14,1321,1189,2514
SAL80087,..,472,472,362,34,397,174,17,188,191,7,199,58,4,63,31,0,33,821,524,1342
SAL80088,..,64,64,162,0,162,87,0,91,118,0,118,38,0,38,12,0,12,417,71,488
SAL80089,..,506,506,702,50,756,461,10,474,511,0,516,180,0,174,77,0,77,1926,568,2502
SAL80090,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,..,416,416,366,40,403,187,19,208,155,6,162,50,0,53,23,0,23,773,488,1260
SAL80092,..,402,402,451,31,481,170,8,186,198,3,202,73,0,76,24,0,24,920,452,1375
SAL80093,..,170,170,347,16,360,155,5,168,157,5,164,68,3,72,35,0,35,765,201,963
SAL80094,..,253,253,365,16,380,181,8,190,232,3,233,101,0,97,46,0,46,916,281,1198
SAL80095,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SAL80096,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,..,552,552,688,33,720,325,6,322,329,6,330,128,0,130,61,0,67,1531,592,2122
