SA2_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
801011001,0,0,0,4,0,3,7,4,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,6,0,0,0,29,3,0,4,0,0,38,0,0,0,0,0,0,3,0,0,7,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,6,0,4,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,4,0,13,0,0,0,0,0,18,0,6,0,0,0,0,0,0,0,7,0,0,6,7,3,9,3,4,0,37,0,0,0,0,0,0,0,0,0,0
801011002,0,0,4,3,0,3,10,10,0,29,0,0,0,0,0,0,4,0,0,6,0,0,23,34,7,3,3,0,0,61,3,16,81,386,22,9,9,4,4,525,0,11,12,19,12,3,5,0,0,59,0,5,8,71,9,0,0,0,0,91,0,0,4,11,0,0,0,0,0,11,0,0,0,7,4,0,0,3,0,13,0,0,4,6,3,0,3,5,3,27,0,0,0,14,9,0,0,0,0,24,0,3,19,112,16,3,3,0,0,145,0,0,0,0,0,0,0,0,0,4,0,3,22,36,6,6,8,7,0,78,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,0,0,8,0,0,4,6,3,0,0,0,0,21,0,3,104,370,6,0,4,0,0,482,0,0,0,7,0,0,5,9,0,15,0,5,13,38,7,8,14,5,0,83,0,0,0,4,0,6,0,0,0,3
801011003,0,4,0,17,4,3,3,3,0,33,0,0,0,0,0,0,0,3,0,9,0,0,19,23,9,9,4,0,0,57,0,11,72,218,28,18,8,7,0,365,0,0,22,15,0,0,3,0,0,43,0,0,6,25,0,0,0,0,0,33,0,0,3,4,0,0,0,0,0,8,0,0,4,6,0,0,0,4,0,15,0,0,3,9,3,8,4,6,3,32,0,0,3,6,3,0,0,0,0,17,0,0,8,42,4,4,0,0,0,59,0,0,0,4,0,0,0,0,0,10,0,0,19,28,14,10,10,7,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,6,0,0,0,0,0,0,15,0,3,61,200,0,0,0,0,0,263,0,4,5,3,4,0,0,6,0,16,0,7,21,25,8,8,6,4,4,80,0,0,0,0,0,0,0,0,0,5
801011004,0,0,0,4,0,0,0,4,0,16,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,0,0,4,0,0,4,40,6,5,0,4,0,55,0,0,0,6,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,10,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,12,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,11,0,0,0,11,7,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0
801011005,0,0,0,6,7,3,5,6,0,28,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,7,0,12,0,0,0,32,0,4,4,0,0,43,0,9,0,9,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,8,10,3,12,0,0,0,4,5,0,3,0,0,17,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,10,0,0,0,4,5,4,9,0,0,32,0,0,0,0,0,0,0,0,0,0
801011006,0,0,3,8,9,7,9,4,0,35,0,0,0,0,0,0,0,5,0,7,0,0,0,9,0,0,3,0,0,16,0,4,8,109,24,9,3,5,0,160,0,0,3,8,5,6,0,0,0,17,0,0,0,6,0,0,0,0,0,11,0,0,0,14,0,0,0,0,0,21,0,3,4,3,0,0,0,0,0,5,0,0,0,0,7,5,3,0,0,17,0,0,0,4,0,0,0,0,0,6,0,0,4,0,0,4,0,0,0,7,0,0,3,5,5,0,0,0,0,18,0,3,0,8,10,7,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,12,0,0,0,8,7,9,0,0,0,22,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,9,0,22,12,5,10,3,0,57,0,0,0,0,4,3,0,0,0,8
801011007,0,3,0,7,3,3,13,4,0,37,0,0,0,0,0,0,5,5,7,21,0,0,0,9,3,4,5,0,0,19,0,11,3,51,14,3,0,4,0,84,0,7,0,7,0,0,0,0,0,20,0,3,0,7,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,6,16,5,4,32,0,4,0,7,0,0,3,0,0,14,0,0,0,10,3,0,4,0,0,22,0,0,0,0,0,0,3,0,0,3,0,0,0,10,3,7,0,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,4,0,0,0,16,0,0,0,0,0,22,0,0,0,0,0,0,4,0,0,11,0,8,4,17,6,10,5,4,0,55,0,0,0,0,0,0,0,0,0,3
801011008,0,0,0,0,7,3,3,7,0,21,0,0,0,0,0,0,3,5,0,6,0,0,0,3,0,7,14,0,0,26,0,11,13,93,16,12,9,3,0,156,0,0,0,6,0,3,4,0,0,16,0,0,4,3,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,12,0,0,0,4,3,0,0,0,0,8,0,0,0,6,0,3,12,12,3,44,0,0,0,4,4,0,0,0,0,9,0,0,7,4,4,0,0,0,0,12,0,0,0,0,0,0,3,0,0,6,0,0,0,8,8,7,12,0,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,22,46,0,0,0,0,0,62,0,0,0,0,0,0,4,0,0,5,0,9,5,19,8,10,9,0,0,62,0,0,0,0,0,0,3,3,0,11
801011009,0,0,0,3,0,0,6,7,0,18,0,0,0,0,0,0,9,5,0,12,0,0,0,6,0,0,0,0,0,6,0,4,5,31,9,0,0,4,0,53,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,7,0,0,0,13,0,0,0,0,0,0,4,12,0,19,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,17,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,7,0,0,0,0,0,0,3,5,0,6,0,5,8,17,10,10,5,4,0,49,0,0,0,3,0,0,0,0,0,5
801011010,0,0,0,0,3,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5,0,0,0,4,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,9,0,0,3,0,0,0,3,0,0,14,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,7,5,8,5,0,0,20,0,0,0,0,0,0,0,0,0,0
