SA2_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
801011016,82,330,252,1707,15,2386,0,7,9,154,0,170,496,9,16,22,6,549,104,8,4,34,0,150,48,12,11,29,0,100,381,261,193,1515,21,2371,88,0,27,0,0,115,17,4,0,10,0,31,83,21,18,163,3,288,94,16,8,40,0,158,24,5,0,9,0,38,194,3,3,5,0,205,84,63,46,706,3,902,167,43,22,138,0,370,22,3,0,0,0,25,19,6,0,5,0,30,33,7,0,10,0,50,16,6,5,12,0,39,9,3,3,5,0,20,20,14,12,3,0,49,55,8,8,24,0,95,23,5,4,15,0,47,43,4,0,0,0,47,79,76,47,558,8,768,41,0,4,4,0,49,15,7,0,3,0,25,37,4,0,3,0,44,23,4,7,0,0,34,140,4,3,0,0,147,19,7,10,27,0,63,814,95,92,128,10,1139,32,4,6,29,219,290,2845,578,465,3508,274,7670
801011017,27,205,115,1073,8,1428,0,0,0,80,0,80,89,5,6,15,0,115,18,8,0,8,0,34,27,15,10,32,0,84,195,149,87,892,11,1334,38,0,8,0,0,46,12,0,0,7,0,19,30,17,10,82,4,143,19,6,9,11,0,45,5,6,4,5,0,20,88,0,0,0,0,88,51,38,29,402,0,520,51,15,6,60,0,132,9,0,0,0,0,9,5,0,0,0,0,5,0,0,0,0,0,0,5,0,5,12,0,22,10,4,3,4,0,21,9,11,4,0,0,24,13,8,5,10,0,36,9,0,6,0,0,15,9,3,0,0,0,12,56,29,28,300,0,413,0,3,0,0,0,3,11,0,0,0,0,11,19,0,4,9,0,32,4,0,0,3,0,7,43,0,0,0,0,43,12,7,6,16,0,41,326,43,45,53,0,467,7,0,0,14,140,161,998,332,209,2062,164,3765
801011018,35,48,67,330,0,480,0,5,0,22,0,27,564,3,3,4,0,574,0,4,0,4,0,8,11,5,4,16,0,36,111,45,40,307,0,503,47,0,9,0,0,56,0,3,0,0,0,3,13,9,5,33,0,60,4,3,0,5,0,12,6,0,0,0,0,6,256,0,0,0,0,256,19,9,8,122,0,158,9,6,5,33,0,53,49,0,0,3,0,52,3,0,6,0,0,9,0,0,0,0,0,0,0,3,0,4,0,7,9,0,0,0,0,9,6,3,6,4,0,19,13,3,0,3,0,19,9,0,0,0,0,9,5,0,0,0,0,5,30,7,9,90,0,136,7,4,0,0,0,11,7,0,5,0,0,12,10,4,0,0,0,14,18,0,0,3,0,21,78,0,7,0,0,85,0,5,0,6,0,11,538,21,30,24,0,613,28,0,0,3,172,203,1679,110,112,659,174,2734
801011019,102,289,258,1868,6,2523,6,17,0,196,0,219,167,12,20,3,0,202,18,3,0,13,0,34,23,16,7,53,0,99,379,260,167,1453,6,2265,183,10,19,0,0,212,21,3,0,5,0,29,76,30,32,166,4,308,37,9,4,25,0,75,12,6,6,5,0,29,363,3,7,6,0,379,85,61,38,561,0,745,50,22,9,100,0,181,10,0,0,0,0,10,6,3,0,4,0,13,8,3,0,3,0,14,5,0,0,13,0,18,18,0,3,0,0,21,12,12,10,11,0,45,40,14,9,28,0,91,27,0,3,0,0,30,9,8,0,0,0,17,94,57,46,450,0,647,18,0,0,4,0,22,21,8,0,5,0,34,22,0,5,8,0,35,35,8,5,5,0,53,91,0,3,0,0,94,15,8,0,25,0,48,1031,72,95,107,11,1316,32,0,0,30,160,222,2545,518,419,3389,178,7049
801011020,36,142,90,698,8,974,0,6,3,61,0,70,142,11,4,10,0,167,15,7,7,0,0,29,26,3,9,10,0,48,199,118,90,578,4,989,39,0,7,3,0,49,17,3,4,9,0,33,34,19,4,55,0,112,13,3,5,12,0,33,11,0,0,0,0,11,79,7,4,0,0,90,36,30,17,273,0,356,45,12,4,30,0,91,15,0,3,4,0,22,0,0,0,3,0,3,7,0,0,0,0,7,6,0,0,0,0,6,3,0,0,0,0,3,7,6,5,3,0,21,17,4,3,13,0,37,12,0,3,3,0,18,4,4,0,0,0,8,61,37,21,215,4,338,13,0,0,0,0,13,5,0,0,0,0,5,9,0,0,0,0,9,4,4,0,0,0,8,71,3,0,0,0,74,5,4,0,15,0,24,428,38,36,56,0,558,20,4,0,15,167,206,1148,269,164,1343,183,3107
801011021,26,98,96,607,4,831,0,5,0,43,0,48,141,8,11,0,0,160,63,5,3,10,0,81,13,17,8,23,0,61,140,77,51,519,0,787,24,3,3,0,0,30,3,0,0,9,0,12,24,8,12,72,0,116,40,10,0,24,3,77,4,0,0,3,0,7,62,0,4,5,0,71,35,13,12,201,0,261,91,20,10,55,0,176,8,0,4,0,0,12,8,3,0,14,0,25,5,0,0,0,0,5,4,0,0,0,0,4,5,3,0,5,0,13,4,3,0,3,0,10,27,3,4,3,0,37,8,0,0,0,0,8,3,0,0,0,0,3,39,18,7,151,0,215,22,0,0,0,0,22,3,5,0,3,0,11,13,3,0,0,0,16,17,0,3,0,3,23,63,0,4,0,0,67,6,0,4,10,0,20,315,37,31,32,0,415,3,0,0,16,84,103,1080,194,160,1204,97,2735
801011022,27,169,141,956,11,1304,0,3,0,68,0,71,105,8,6,5,0,124,20,8,0,10,0,38,29,11,7,24,0,71,207,141,89,761,9,1207,33,0,9,0,4,46,15,3,0,12,0,30,43,18,17,100,0,178,30,7,3,17,0,57,10,0,5,0,0,15,44,9,0,0,0,53,51,38,21,333,3,446,29,18,4,44,0,95,7,0,0,0,0,7,4,0,4,0,0,8,6,0,0,0,0,6,6,3,0,6,0,15,4,0,0,0,0,4,10,11,15,0,0,36,14,3,0,12,0,29,5,0,0,4,0,9,9,0,0,0,3,12,63,39,23,253,0,378,12,0,0,5,0,17,9,0,0,0,0,9,22,0,0,3,0,25,13,0,4,0,0,17,25,0,0,3,0,28,16,0,0,17,0,33,309,43,34,49,6,441,7,3,0,11,101,122,953,308,209,1788,130,3388
801011023,44,121,99,660,7,931,7,3,0,50,3,63,126,0,7,5,0,138,20,0,0,9,0,29,18,8,9,15,0,50,181,95,68,604,12,960,43,0,4,0,0,47,8,0,3,3,0,14,29,9,10,73,0,121,26,3,6,3,0,38,3,3,0,0,0,6,115,0,3,0,0,118,40,19,13,312,3,387,44,11,0,30,4,89,6,0,4,0,0,10,0,3,0,7,0,10,9,0,0,0,0,9,7,0,0,4,0,11,5,0,0,0,0,5,8,3,3,0,0,14,12,4,3,9,0,28,6,0,0,0,0,6,7,0,0,0,0,7,43,23,21,217,4,308,8,0,0,0,0,8,10,0,0,5,0,15,22,0,4,0,0,26,10,0,0,5,0,15,49,0,5,0,0,54,4,3,0,14,0,21,367,29,37,48,8,489,21,0,0,9,188,218,1113,196,158,1366,220,3053
801011024,38,133,113,734,0,1018,0,6,0,50,0,56,93,10,16,10,0,129,13,0,3,9,0,25,13,14,11,24,0,62,131,129,109,619,6,994,43,5,9,0,0,57,12,3,3,4,0,22,34,6,13,79,0,132,13,3,0,4,0,20,8,6,4,3,0,21,85,3,0,7,0,95,35,29,30,260,0,354,25,13,6,44,0,88,9,0,4,5,0,18,3,0,0,0,0,3,0,0,0,0,0,0,3,4,0,11,0,18,7,3,0,0,0,10,9,8,0,3,0,20,19,9,3,17,0,48,10,3,3,4,0,20,4,0,0,0,0,4,47,35,33,242,0,357,11,0,0,0,0,11,6,0,0,3,0,9,23,5,0,0,0,28,9,0,0,0,0,9,36,0,3,4,0,43,8,0,3,9,0,20,436,61,52,48,5,602,21,3,0,11,109,144,1018,271,228,1438,122,3077
801011025,19,145,90,809,5,1068,0,8,0,55,0,63,44,8,7,6,0,65,20,0,0,3,0,23,14,4,4,22,0,44,141,101,85,677,6,1010,5,0,0,0,0,5,8,0,0,4,0,12,27,16,10,67,0,120,22,0,3,21,0,46,3,0,0,0,0,3,13,0,3,3,0,19,40,31,17,303,0,391,21,5,10,41,0,77,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,3,0,9,0,19,12,0,0,0,0,12,0,0,0,0,0,0,15,0,0,21,0,36,10,0,0,5,0,15,3,0,0,0,0,3,35,35,32,228,0,330,14,0,3,0,0,17,9,0,0,0,0,9,15,0,4,0,0,19,4,0,0,0,0,4,24,3,0,0,0,27,7,5,9,10,0,31,183,43,29,43,0,298,4,0,0,8,82,94,547,218,160,1556,94,2575
