SA2_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
801011001,74,0,0,0,0,0,0,3,82,69,0,0,0,0,0,0,4,70,48,3,0,0,0,0,0,0,63,30,14,9,3,0,0,0,0,63,15,21,35,11,0,0,0,5,89,10,17,47,18,0,0,4,4,104,14,13,40,17,3,0,0,0,88,12,7,39,19,4,0,0,3,85,14,16,36,19,0,0,0,0,87,14,16,35,18,0,0,0,3,91,4,10,30,18,0,0,0,4,68,7,10,29,13,9,0,0,5,72,10,7,28,18,4,0,0,0,62,0,0,8,14,3,0,0,4,43,3,3,9,13,0,0,0,3,36,330,133,348,185,32,7,10,45,1090
801011002,104,0,0,0,0,0,0,8,116,647,8,3,0,0,0,0,47,709,825,67,15,0,0,0,0,65,967,430,108,45,5,7,0,0,47,629,183,86,46,9,7,0,0,15,344,99,39,41,11,0,0,0,11,208,60,27,37,21,0,3,0,8,147,40,31,22,16,5,0,0,12,125,31,28,29,6,7,3,3,3,114,22,15,24,5,4,0,0,6,91,21,14,35,19,8,0,0,3,101,6,10,26,25,8,0,0,9,87,8,5,36,23,10,5,0,0,90,3,11,14,28,15,8,0,6,74,10,8,42,22,11,3,5,9,119,2485,467,422,185,81,29,14,239,3923
801011003,299,0,0,0,0,0,0,22,321,711,4,0,0,0,0,0,52,768,473,25,4,4,0,3,0,24,534,277,83,26,0,6,0,0,22,415,136,59,63,18,7,0,0,6,282,67,39,65,23,7,0,0,8,206,47,33,62,17,3,0,0,8,164,35,22,44,16,0,0,3,0,125,26,22,47,19,8,0,0,5,124,26,23,40,21,8,0,0,11,136,12,18,53,26,9,0,0,3,118,12,22,44,21,12,0,0,7,110,21,7,30,23,3,6,0,0,91,13,8,14,17,8,0,0,0,57,4,4,19,24,13,3,7,6,83,2162,349,518,234,72,12,15,173,3541
801011004,72,0,0,0,0,0,0,4,78,70,3,0,0,0,0,0,0,81,62,22,16,3,0,0,0,7,108,42,30,35,10,0,0,0,10,136,44,28,39,18,9,0,5,7,149,30,13,50,13,8,4,0,0,119,21,19,43,20,5,0,6,8,122,17,9,25,18,10,0,4,0,75,11,6,25,11,7,3,0,5,72,12,10,42,25,10,6,3,0,98,7,13,21,17,3,5,0,3,71,5,8,26,15,10,6,0,0,64,3,0,6,13,9,0,0,0,33,0,5,3,5,3,0,0,0,25,0,0,5,10,3,0,0,0,19,399,167,336,166,76,26,21,58,1251
801011005,70,0,0,0,0,0,0,8,78,53,0,0,0,0,0,0,6,56,87,3,0,0,0,0,0,0,95,65,26,20,4,0,0,0,9,122,34,37,36,12,0,0,0,4,120,25,20,41,13,6,0,0,3,114,27,18,50,18,5,3,0,5,115,35,15,40,11,0,0,0,3,105,23,19,29,16,3,5,4,0,97,26,14,22,10,8,0,0,3,86,25,9,25,19,9,0,0,6,94,16,14,30,15,7,0,0,4,91,6,4,29,19,5,0,4,0,73,7,3,9,17,8,0,0,3,49,4,3,8,15,9,3,3,0,40,503,192,343,157,47,13,11,48,1321
801011006,224,0,0,0,0,0,0,20,240,159,8,3,0,0,0,0,12,181,119,33,27,12,0,0,0,10,185,79,60,74,20,8,0,0,8,251,52,61,124,51,22,0,3,5,326,42,43,136,61,14,5,0,4,309,45,38,133,62,34,9,6,13,338,48,32,96,44,23,5,5,6,257,30,27,79,53,13,5,0,3,211,31,11,53,60,12,3,0,8,178,9,14,54,35,8,4,3,5,133,8,14,34,32,12,0,5,0,107,3,3,20,12,12,0,0,5,57,5,0,11,3,4,3,4,3,40,0,0,0,0,9,0,5,0,16,843,355,856,434,170,39,30,97,2829
801011007,147,0,0,0,0,0,0,12,161,127,4,0,0,0,0,0,8,138,125,28,20,7,0,0,0,4,180,87,32,45,15,0,3,0,6,183,44,34,80,34,10,0,0,6,208,31,31,75,33,7,5,3,8,191,30,27,96,38,9,0,3,0,201,21,23,79,28,3,4,3,4,170,15,17,53,38,11,0,0,5,149,19,20,63,27,18,5,0,6,162,18,15,59,32,11,3,4,0,141,10,21,46,49,15,4,3,0,152,7,3,26,15,11,4,0,0,63,5,0,7,9,11,4,0,5,34,0,0,8,12,6,4,0,0,31,675,253,649,336,112,37,19,77,2166
801011008,112,0,0,0,0,0,0,9,121,135,3,0,0,0,0,0,8,143,131,18,12,0,0,0,0,8,167,71,44,34,10,3,0,0,8,169,49,29,66,24,3,0,0,7,178,30,35,59,30,9,4,0,3,171,20,19,62,29,3,6,6,6,143,16,19,54,29,11,0,0,4,145,20,33,60,40,11,0,0,4,172,18,26,73,43,18,5,3,7,189,18,23,50,40,14,0,4,4,155,10,14,50,25,17,8,5,8,125,6,6,25,19,10,4,3,0,76,0,5,10,11,3,3,0,0,37,3,4,4,12,11,5,0,0,42,638,283,565,314,117,30,19,76,2038
801011009,105,0,0,0,0,0,0,5,114,95,8,0,0,0,0,0,3,103,59,10,11,7,3,0,0,4,88,46,25,34,10,0,0,0,7,120,21,25,60,28,0,4,0,4,136,14,12,52,24,11,4,3,7,125,11,19,48,28,3,4,0,3,125,7,21,55,19,16,0,0,6,112,14,8,37,27,10,5,0,0,99,8,4,49,24,5,5,3,4,107,8,7,40,22,3,0,0,3,84,7,10,43,32,16,0,0,0,107,11,4,25,12,6,0,0,3,61,0,4,5,7,0,3,0,0,23,0,5,4,4,3,5,0,0,15,412,151,449,246,84,27,7,51,1434
801011010,60,0,0,0,0,0,0,0,61,44,4,0,0,0,0,0,3,51,31,6,8,0,0,0,0,6,46,15,0,16,7,0,0,0,0,45,15,12,32,13,0,0,3,3,74,12,8,35,17,3,0,0,0,80,10,12,30,13,5,3,3,0,84,15,4,28,13,3,0,0,0,61,4,7,27,9,9,5,0,0,61,6,6,19,13,7,4,0,5,59,12,5,29,26,8,0,0,0,84,3,0,27,17,7,0,0,0,63,0,0,10,14,0,0,0,3,33,5,0,6,3,0,0,0,0,15,0,0,3,3,0,0,0,0,5,232,78,268,158,46,12,8,25,825
