SA2_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
801011144,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,6,6,13,3,0,3,6,25
801031031,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,376,376,15,0,0,0,376,395
801031032,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,24,0,0,0,3,25
801031113,0,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,39,3,41,0,45,..,139,19,156,0,156,..,6,0,6,311,316,625,141,19,160,313,1097
801031114,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,33,0,33,0,33,..,0,0,0,31,31,70,33,0,33,31,125
801031115,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,8,0,10,..,23,0,23,0,24,..,0,0,0,47,47,219,23,0,23,49,296
801041034,3,45,0,45,..,15,6,17,0,17,..,3,0,3,0,3,..,49,7,62,0,62,..,188,15,204,0,207,..,1317,126,1453,14,1459,..,18,7,26,170,194,4476,1339,138,1479,180,6129
801041035,5,118,0,118,..,14,4,21,0,21,..,10,0,13,0,13,..,81,24,110,0,110,..,463,42,508,12,513,..,2944,294,3235,26,3262,..,42,9,53,248,299,3774,2984,304,3287,276,7339
801041036,0,57,0,62,..,16,3,23,0,23,..,6,0,3,0,3,..,35,7,43,0,43,..,253,31,287,9,294,..,1878,191,2067,28,2094,..,27,5,34,190,227,4152,1911,195,2107,211,6471
801041037,0,49,6,52,..,8,5,8,0,8,..,7,0,7,0,13,..,45,9,54,0,56,..,238,17,258,3,258,..,1673,171,1849,16,1864,..,25,5,29,103,131,2804,1700,182,1875,120,4800
