SA2_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
801011001,785,2201,20,34,70,194,91,232,16,42,0,0,0,0,0,0,8,14,23,53,0,0,0,0,0,0,0,0,0,0,0,5,897,2492,43,..,941,2492
801011002,20,46,414,816,583,1311,999,2123,133,266,453,854,1497,2743,938,1735,0,0,3026,5602,0,0,0,0,0,0,0,0,0,0,7,6,4042,7774,474,..,4521,7774
801011003,554,1690,260,542,960,2371,1226,2908,93,234,213,330,590,938,0,0,0,0,895,1500,0,0,0,0,0,0,0,0,0,0,3,10,2679,6108,217,..,2898,6108
801011004,1021,2628,147,296,0,3,148,295,4,4,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1167,2927,69,..,1237,2927
801011005,746,1962,416,753,34,74,448,826,35,41,0,0,0,0,0,0,0,0,35,41,0,0,0,0,0,0,0,0,0,0,0,0,1237,2831,72,..,1311,2831
801011006,2233,6645,154,326,13,49,168,374,29,50,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0,0,0,0,0,0,0,0,2424,7069,74,..,2500,7069
801011007,1899,5220,5,9,37,88,41,100,21,38,0,0,0,0,0,0,0,3,23,40,0,0,0,0,0,0,0,0,0,0,0,0,1964,5363,68,..,2033,5363
801011008,1403,3758,413,861,0,0,415,862,8,20,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,4,1835,4645,81,..,1916,4645
801011009,1174,3439,34,87,4,23,42,109,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1214,3549,61,..,1276,3549
801011010,700,1995,24,54,3,10,27,63,6,5,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,4,730,2070,42,..,772,2070
