SA2_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
801011001,54,0,62,486,120,29,638,1390,70,2095
801011002,173,9,184,841,251,20,1120,6234,409,7764
801011003,127,8,137,799,320,33,1148,5325,262,6732
801011004,28,3,30,568,162,22,753,1539,115,2407
801011005,65,4,73,506,154,28,689,1675,86,2450
801011006,38,0,40,1513,390,54,1966,3424,175,5560
801011007,46,0,49,1020,360,45,1431,2855,110,4394
801011008,61,4,69,768,361,33,1160,2650,145,3960
801011009,24,5,30,670,273,37,980,1824,96,2900
801011010,16,0,16,374,180,22,574,1087,42,1707
801011011,26,0,27,636,235,36,910,1675,85,2671
801011012,0,0,0,0,0,0,0,0,0,0
801011013,60,5,66,483,197,18,709,1718,90,2520
801011014,46,0,46,636,171,31,843,1738,77,2656
801011015,123,4,123,992,279,45,1312,3068,167,4550
801011016,119,3,130,1261,563,66,1894,4147,250,6295
801011017,34,0,32,710,268,35,1015,1843,131,2981
801011018,4,0,4,356,54,9,419,1804,170,2386
801011019,31,0,32,1559,378,64,2000,3184,152,5335
801011020,54,5,60,458,180,14,656,1780,161,2595
801011021,43,0,45,427,209,20,662,1545,84,2284
801011022,30,0,35,642,246,29,912,1629,94,2635
801011023,183,62,246,462,126,27,617,1739,217,2572
801011024,27,4,31,597,172,35,798,1517,110,2427
801011025,26,0,26,466,140,22,625,1369,77,2068
801011026,72,0,77,511,205,15,725,1489,60,2276
801011111,0,0,0,4,0,0,4,9,3,10
801011142,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,160,18,5,186,335,20,541
801011144,0,0,0,5,0,0,5,6,6,19
801031031,0,0,0,3,0,0,3,7,376,390
801031032,0,0,0,3,0,0,6,14,3,22
801031113,10,0,10,79,38,0,121,567,299,988
801031114,0,0,0,21,9,0,28,50,28,103
801031115,4,0,3,22,11,0,39,183,53,270
801041034,34,0,34,1324,259,38,1624,2962,159,4749
801041035,6,0,13,1682,253,64,1998,2965,245,5200
801041036,13,0,13,1618,255,30,1902,2736,165,4797
801041037,37,0,38,1142,193,29,1360,2141,106,3607
801041038,11,0,11,1096,196,28,1326,1813,110,3252
801041039,9,0,14,1463,251,41,1750,3933,282,5971
801041040,33,0,33,1445,299,31,1783,5113,323,7213
801041043,6,0,6,49,22,0,74,166,10,251
801041044,17,0,19,1762,284,44,2093,4001,258,6354
801041045,0,0,0,0,0,0,0,6,0,6
801041046,84,8,92,2207,503,78,2785,5493,303,8585
801041047,54,0,61,1080,468,41,1587,3834,118,5535
801041048,48,0,52,1001,289,36,1324,2965,158,4447
801041116,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0
801041118,0,0,0,195,16,3,214,263,18,492
801041119,0,0,0,4,0,0,4,5,7,16
801041120,0,0,0,1394,171,30,1593,1947,170,3713
801041121,0,0,3,556,81,19,656,826,100,1582
