SA2_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
801081095,29,38,57,119,160,278,0,0,0,9,7,17,0,0,0,349,381,727,0,0,4,10,10,20,0,0,0,0,0,6,12,12,23,0,0,0,11,13,22,9,16,29,16,23,43,0,4,4,0,0,6,26,32,54,45,49,93,0,0,5,605,723,1326,35,42,70,18,18,42,4,0,4,0,0,0,11,7,13,5,5,11,15,10,25,797,803,1598,13,9,18,0,5,6,811,816,1625,108,99,207,1619,1742,3354
801081096,10,17,27,106,132,241,0,0,0,6,12,18,0,0,0,230,294,526,0,0,0,7,10,20,0,0,0,0,0,0,7,5,14,0,0,0,13,4,12,8,16,24,19,23,35,6,5,8,0,0,0,35,46,83,24,26,54,0,3,3,461,576,1038,26,22,52,25,16,38,0,0,0,0,0,0,0,3,6,3,4,7,8,10,17,466,446,908,6,8,9,0,3,3,469,455,922,54,44,98,1054,1141,2191
801081097,18,21,40,87,126,214,0,0,0,8,3,12,0,0,0,289,314,603,0,4,3,12,21,30,0,0,0,0,0,0,6,12,20,0,0,0,9,5,14,14,16,29,13,21,34,0,6,6,4,5,9,21,32,51,37,38,80,3,0,4,501,594,1096,23,34,56,25,21,40,0,0,5,0,0,0,6,4,12,9,5,16,12,12,23,677,660,1338,10,5,12,0,5,5,689,674,1361,85,75,159,1355,1422,2785
801081098,39,43,81,159,203,359,0,0,0,21,20,35,0,0,0,363,438,800,0,0,0,18,30,41,4,0,4,6,7,8,11,13,23,3,11,9,23,15,40,13,22,45,40,30,68,0,0,4,3,6,11,30,55,90,30,36,67,0,0,3,713,880,1597,49,35,84,74,56,131,0,3,6,0,0,0,8,6,18,5,14,16,13,14,35,927,906,1833,8,12,23,4,4,10,939,924,1865,102,105,207,1933,2067,4000
801081133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
801091099,45,56,103,81,111,195,0,0,0,10,9,17,0,0,0,244,295,538,0,0,0,36,32,65,0,0,0,4,8,7,8,12,22,0,0,0,6,4,6,13,13,22,10,17,31,3,0,0,0,0,0,18,28,43,24,27,54,0,0,0,464,555,1016,108,97,206,15,26,48,0,0,4,0,0,0,13,11,20,9,6,15,16,20,37,566,552,1123,9,8,14,4,4,8,574,568,1140,58,61,123,1291,1390,2680
801091100,50,78,138,226,314,546,0,0,0,14,25,34,0,0,0,548,652,1196,3,0,0,40,52,94,4,5,10,0,3,3,18,21,34,3,6,6,10,4,18,3,5,3,38,45,83,0,0,0,8,0,6,49,68,116,42,46,84,0,6,3,1004,1249,2253,87,88,173,26,27,48,9,11,12,0,4,5,5,8,18,9,15,24,17,24,39,1353,1259,2609,24,13,37,5,8,14,1386,1278,2664,128,127,251,2701,2871,5569
801091101,26,40,70,182,230,420,0,0,0,14,20,29,0,7,0,401,435,842,0,0,0,37,40,78,4,0,0,5,6,14,7,5,18,6,0,3,7,12,14,15,12,24,36,40,69,0,0,0,8,6,18,32,52,77,35,39,74,0,3,3,774,907,1686,65,51,115,50,50,104,8,9,21,0,0,0,10,6,18,3,12,14,12,19,35,792,741,1530,13,6,16,3,4,3,800,745,1553,122,93,215,1869,1924,3787
801091102,30,56,80,150,188,345,0,0,0,11,12,29,0,0,0,366,425,796,0,0,0,38,42,80,0,0,0,0,0,0,7,11,17,0,8,8,9,16,26,0,3,9,20,25,47,3,3,7,4,0,5,28,31,55,33,32,68,0,0,0,679,805,1489,155,161,319,61,63,121,6,5,11,0,0,0,8,6,7,3,10,16,11,14,23,718,714,1428,8,5,11,0,0,4,723,718,1447,103,116,219,1768,1937,3706
801091103,44,52,95,146,202,350,0,0,0,22,28,51,0,0,0,284,334,614,0,0,0,14,16,34,0,7,10,0,0,0,0,7,9,3,3,8,10,4,14,15,13,24,26,32,57,0,0,0,0,0,0,26,41,64,27,48,72,0,5,6,577,738,1315,56,49,109,16,18,35,11,10,16,0,0,0,0,0,0,3,0,5,3,4,10,730,713,1438,10,5,20,7,3,6,750,721,1466,70,93,162,1520,1691,3210
