SA2_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
801011019,93,36,42,73,29,29,23,10,0,335,1715,696,1126,1393,834,565,491,197,32,7049
801011020,38,42,50,26,22,31,12,9,4,234,508,374,540,473,354,310,275,224,60,3118
801011021,33,24,25,13,22,22,13,4,0,156,452,320,325,324,351,414,369,132,45,2732
801011022,47,20,28,16,16,24,14,14,0,179,751,374,383,502,457,346,325,215,35,3388
801011023,34,23,38,27,22,21,7,13,16,201,481,294,517,403,324,236,242,304,246,3047
801011024,24,21,39,27,28,19,13,8,0,179,637,329,512,513,386,268,239,145,31,3060
801011025,39,24,25,21,20,13,19,3,0,164,520,310,305,404,343,251,300,131,26,2590
801011026,27,11,16,12,21,16,19,10,0,132,514,372,284,357,404,291,276,219,77,2794
801011111,0,5,0,0,0,0,0,0,0,5,4,5,0,6,0,0,0,0,0,15
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,16,3,8,9,9,0,0,0,0,45,174,81,202,154,56,20,16,0,0,703
801011144,0,0,0,0,8,0,0,0,0,8,0,0,6,5,3,3,0,0,0,17
801031031,0,44,154,103,48,14,6,5,0,374,3,45,154,103,56,16,6,10,0,393
801031032,0,0,0,0,0,3,0,0,0,3,8,3,3,0,7,6,0,0,0,27
801031113,24,31,54,58,49,71,32,19,0,338,104,86,152,162,165,197,147,66,10,1089
801031114,5,3,5,7,5,10,3,0,0,38,20,19,17,24,16,22,3,4,0,125
801031115,4,24,14,3,5,5,0,0,3,58,27,94,56,18,42,29,16,9,3,294
801041034,77,54,58,48,48,17,11,9,0,322,1383,886,784,957,1062,562,316,139,34,6123
801041035,135,59,52,88,43,25,11,4,0,417,2132,892,1150,1603,890,345,222,92,13,7339
801041036,94,29,54,64,44,20,14,0,0,319,1673,689,1211,1472,717,423,226,56,13,6480
801041037,52,25,33,41,21,9,6,6,4,197,1195,447,863,1057,552,284,218,140,38,4794
801041038,56,45,40,31,31,17,9,4,0,233,1185,554,468,901,759,313,184,59,11,4434
801041039,72,63,116,65,37,10,15,4,0,382,1511,975,1938,1484,864,409,222,58,14,7475
801041040,89,74,121,79,63,31,14,13,0,484,1377,1252,2390,1413,993,625,360,148,33,8591
801041043,0,0,0,0,0,3,5,0,0,8,54,35,16,28,55,41,47,26,6,308
801041044,95,63,94,75,49,17,6,6,0,405,1889,1107,1739,1617,1074,481,228,89,19,8243
801041045,3,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,8
801041046,129,78,101,97,68,35,34,23,8,573,2372,1266,1963,1868,1344,944,686,409,92,10944
801041047,44,52,22,23,53,46,31,6,0,277,1146,944,579,724,1147,1026,711,340,61,6678
801041048,93,33,49,53,41,30,23,8,0,330,1138,641,852,878,751,647,462,170,52,5591
801041116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041118,9,0,9,9,3,0,0,0,0,30,221,73,134,167,77,17,15,4,0,708
801041119,0,7,0,0,0,0,0,0,0,7,6,7,0,0,0,4,0,0,0,17
801041120,100,33,64,69,28,13,6,4,0,317,1597,541,1149,1227,468,190,107,32,0,5311
801041121,29,23,30,27,9,3,3,0,0,124,637,205,549,495,152,98,69,18,3,2226
801041122,26,10,24,22,7,3,8,0,0,100,712,191,514,582,236,91,50,19,3,2398
801051049,4,478,27,3,0,0,0,0,0,512,6,2509,267,51,7,0,0,0,0,2840
801051050,49,41,32,41,32,46,27,20,27,315,891,688,603,694,736,690,515,311,250,5378
801051051,15,84,190,66,35,18,23,5,3,439,334,1162,2572,1028,471,391,263,127,46,6394
801051053,12,320,140,50,22,21,11,6,6,588,151,1810,1452,525,351,275,184,71,23,4842
801051054,26,38,49,22,10,14,6,5,0,170,425,613,935,485,341,251,128,80,35,3293
