SA2_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
801041043,0,0,9,15,17,17,14,4,0,79,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,8,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,9,15,21,18,22,13,0,109,4,8,0,15,23,19,13,4,0,83,0,0,0,0,0,0,3,0,0,5,0,0,0,4,0,7,7,0,0,21,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,15,25,25,29,9,3,120,6,6,16,24,42,31,29,7,0,166,0,0,0,0,3,0,3,4,0,9,0,0,0,4,3,6,16,10,0,35,0,0,0,0,0,0,0,5,0,9
801041044,62,276,768,722,455,182,73,26,5,2570,5,7,21,22,30,10,7,0,0,99,13,7,37,32,49,31,12,9,0,189,0,0,7,3,7,5,7,3,0,34,0,3,8,4,5,4,7,6,0,21,0,0,11,0,3,3,0,3,0,23,4,13,53,29,19,6,0,0,0,130,89,309,895,817,559,240,102,44,9,3063,62,286,749,717,413,167,67,20,0,2492,7,16,14,28,29,17,3,0,0,117,5,15,30,28,41,36,28,10,0,196,0,0,5,3,0,3,8,4,0,30,0,0,0,0,4,10,10,4,4,35,0,0,8,0,4,9,9,0,3,26,13,14,31,21,19,0,3,0,0,102,90,328,836,802,516,245,124,43,6,2990,130,560,1516,1435,872,353,143,44,5,5053,14,20,38,53,58,26,12,0,0,216,18,25,69,63,88,65,38,17,0,388,6,0,11,12,3,8,16,3,0,56
801041045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041046,87,280,806,755,480,271,165,83,23,2956,13,24,46,31,27,36,19,4,0,195,15,27,74,68,86,102,54,36,3,457,5,0,16,13,7,7,17,21,3,92,4,0,6,4,8,8,11,16,10,68,0,0,0,0,3,0,9,5,3,25,9,21,33,39,17,13,9,11,4,150,131,351,980,910,627,440,279,181,44,3944,75,275,844,810,541,306,161,90,11,3113,12,6,28,32,25,44,20,5,4,178,18,17,60,69,107,113,130,74,17,587,8,0,8,7,5,12,41,21,4,111,0,0,3,9,11,16,29,21,12,106,0,0,0,3,3,7,7,0,0,24,9,7,34,32,19,11,24,18,3,149,114,311,978,959,716,510,413,227,45,4271,161,552,1650,1568,1022,584,323,171,36,6071,29,32,68,64,52,73,36,10,4,377,28,38,131,132,190,208,181,107,21,1040,9,4,21,21,15,28,57,41,7,201
801041047,76,232,270,284,468,392,238,105,10,2088,5,6,9,10,24,29,18,5,0,100,7,7,17,17,47,62,56,33,3,247,3,0,3,4,10,0,12,14,0,48,0,0,0,3,6,4,10,14,3,45,0,0,3,0,4,4,0,0,0,16,4,10,7,11,11,16,9,3,4,64,95,254,303,324,560,512,349,180,22,2601,78,205,248,363,494,379,181,73,9,2031,7,5,9,11,17,22,14,3,4,87,5,11,15,14,64,83,99,48,11,343,0,0,0,3,7,7,25,10,3,54,0,0,3,3,0,10,23,13,6,61,0,0,0,0,0,0,0,6,0,10,0,4,3,6,7,8,19,9,0,54,89,217,274,403,589,504,363,157,35,2641,159,439,516,646,958,775,424,177,20,4117,10,10,16,24,42,55,31,10,9,190,10,11,28,29,108,144,159,80,13,588,3,3,3,3,14,8,35,24,0,103
801041048,25,164,329,376,270,212,129,32,11,1547,4,7,19,21,18,12,4,0,0,87,14,11,30,30,43,71,37,14,0,253,3,0,5,5,9,6,14,8,0,58,0,0,0,4,0,0,17,12,6,36,0,0,6,6,4,6,3,0,0,19,5,3,18,15,12,11,8,5,0,79,47,188,409,454,357,315,206,71,21,2079,45,149,375,367,311,220,109,32,10,1608,4,3,14,11,21,16,12,5,0,92,7,3,23,18,41,65,77,33,0,267,5,0,4,4,0,10,16,12,4,53,0,0,4,0,6,7,22,6,9,64,0,0,0,0,3,0,10,0,3,26,0,4,20,19,12,9,12,7,0,83,57,161,438,421,391,329,254,97,33,2185,65,317,702,746,576,428,238,63,20,3151,10,9,32,29,45,34,17,9,0,182,13,24,53,43,80,137,114,50,3,515,4,0,7,8,12,19,32,20,12,109
801041116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041118,4,12,51,70,31,5,3,0,0,169,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,19,59,80,35,14,8,3,0,210,6,22,63,78,32,4,3,0,0,205,0,0,0,6,0,0,0,0,0,9,0,0,8,3,3,0,3,0,0,20,0,0,0,3,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,4,0,0,0,7,0,0,0,5,3,0,0,0,0,6,12,22,72,90,42,10,13,0,0,251,10,34,110,151,57,4,10,0,0,371,0,0,7,4,3,0,0,0,0,21,0,0,13,5,5,4,3,3,0,33,0,0,0,3,0,0,0,0,0,7
801041119,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041120,25,119,461,557,210,54,38,5,0,1462,8,7,19,13,9,6,0,0,0,61,4,12,29,23,15,17,3,7,0,112,0,0,5,3,5,4,0,6,0,20,3,0,0,3,0,4,4,0,0,14,0,0,3,4,0,0,0,0,0,11,0,6,20,20,6,4,5,6,0,72,41,147,533,632,250,87,55,14,0,1756,33,115,540,531,167,62,29,5,0,1479,0,0,13,9,3,0,0,0,0,35,3,13,21,24,30,22,8,5,0,119,0,3,9,0,5,6,0,0,0,21,0,0,0,3,0,3,6,0,0,16,0,0,3,4,0,0,5,0,0,20,5,5,29,25,14,0,5,0,0,85,48,136,609,597,218,100,52,12,0,1779,59,233,998,1088,376,114,67,12,0,2942,5,10,27,28,15,9,0,0,0,98,10,26,49,47,46,36,12,5,0,235,0,4,14,3,8,4,7,4,0,44
801041121,11,42,224,233,59,32,20,0,0,629,0,0,3,6,0,5,0,0,0,17,3,6,3,10,6,5,4,0,0,39,0,0,5,4,0,0,3,0,0,12,0,0,0,6,3,0,0,0,0,8,0,0,7,0,4,0,0,0,0,7,0,4,17,13,3,0,0,0,0,36,19,56,253,271,73,46,30,5,0,751,18,57,267,194,56,34,17,10,0,643,0,0,3,0,0,8,5,0,0,21,3,3,10,10,9,3,3,0,0,43,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,3,0,5,0,9,0,3,0,0,0,0,7,4,0,14,0,7,16,6,3,5,0,0,0,34,18,65,299,223,80,51,30,9,0,779,24,93,492,429,120,69,44,8,0,1270,0,0,12,13,7,9,5,0,0,40,3,11,15,24,13,13,5,5,0,85,0,0,0,6,0,4,3,0,0,14
