SA2_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
801011001,361,31,0,0,0,386,317,16,7,0,0,342,45,15,9,0,0,67,12,0,0,0,0,9,0,0,0,0,0,0,34,12,6,0,0,50,8,3,0,0,0,11,0,0,0,0,0,0,99,33,12,0,0,140,4,6,0,0,0,16,9,3,0,0,0,9,785,91,23,0,0,897
801011002,0,183,274,0,0,458,0,231,623,0,0,855,0,272,1538,0,0,1818,9,131,58,0,0,198,0,10,13,0,0,27,0,105,349,0,0,453,0,10,56,0,0,66,0,3,0,0,0,4,10,538,2020,0,0,2572,0,50,81,0,0,125,0,5,23,0,0,32,20,999,3026,0,7,4042
801011003,216,247,55,0,0,518,163,352,220,0,0,731,56,373,436,0,0,874,4,5,7,0,0,18,0,7,9,0,0,14,34,134,117,0,0,288,64,38,27,0,0,120,0,5,0,0,0,4,168,566,600,0,3,1330,10,47,8,0,0,66,8,17,6,0,5,33,554,1226,895,0,3,2679
801011004,241,26,0,0,0,260,470,56,0,0,0,527,69,25,0,0,0,96,145,22,0,0,0,163,11,0,0,0,0,11,62,11,0,0,0,74,9,3,0,0,0,14,4,0,0,0,0,3,295,67,3,0,0,365,3,0,0,0,0,3,8,3,0,0,0,14,1021,148,3,0,0,1167
801011005,310,191,0,0,0,499,290,135,4,0,0,425,56,83,0,0,0,140,28,0,27,0,0,60,3,0,0,0,0,6,40,41,0,0,0,80,9,3,0,0,0,6,0,0,0,0,0,0,136,125,35,0,0,294,10,6,0,0,0,11,7,0,0,0,0,8,746,448,35,0,0,1237
801011006,457,30,0,0,0,492,1375,81,16,0,0,1470,169,21,9,0,0,198,99,25,0,0,0,121,0,0,0,0,0,6,81,9,0,0,0,92,25,0,0,0,0,24,4,0,0,0,0,4,377,49,13,0,0,444,7,0,0,0,0,9,16,0,0,0,0,16,2233,168,28,0,0,2424
801011007,642,4,0,0,0,647,828,19,12,0,0,855,168,17,0,0,0,185,101,0,0,0,0,98,5,0,0,0,0,5,109,3,9,0,0,122,14,0,0,0,0,14,0,0,0,0,0,3,393,22,14,0,0,429,19,0,0,0,0,24,20,0,0,0,0,19,1899,41,23,0,0,1964
801011008,520,71,0,0,0,595,469,97,0,0,0,574,129,115,5,0,0,241,170,67,0,0,0,236,9,0,0,0,0,9,58,49,4,0,0,119,8,6,0,0,0,16,0,0,0,0,0,0,375,240,9,0,0,624,21,6,0,0,0,23,16,7,0,0,0,19,1403,415,8,0,0,1835
801011009,412,7,0,0,0,414,580,16,0,0,0,595,72,6,0,0,0,80,43,5,0,0,0,46,0,0,0,0,0,0,46,3,0,0,0,48,9,0,0,0,0,9,0,0,0,0,0,0,174,12,0,0,0,190,3,0,0,0,0,8,6,0,0,0,0,6,1174,42,0,0,0,1214
801011010,293,8,0,0,0,297,333,16,0,0,0,352,25,5,5,0,0,29,22,0,0,0,0,18,0,0,0,0,0,0,23,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,70,8,4,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,700,27,4,0,0,730
801011011,428,19,0,0,0,448,458,22,3,0,0,481,89,12,3,0,0,104,45,0,0,0,0,45,0,0,0,0,0,3,67,4,7,0,0,71,10,0,0,0,0,6,0,0,0,0,0,0,207,15,6,0,0,231,11,6,0,0,0,14,11,0,0,0,0,12,1115,63,11,0,3,1196
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,429,68,28,0,0,527,276,44,44,0,0,366,42,25,74,0,0,145,3,0,40,0,0,45,0,0,6,0,0,4,24,11,27,0,0,65,0,0,8,0,0,11,0,0,0,0,0,3,75,34,160,0,0,270,6,0,4,0,0,7,5,0,4,0,0,7,788,146,237,0,0,1181
801011014,364,12,0,0,0,374,539,5,0,0,0,547,92,6,11,0,0,106,75,0,0,0,0,77,8,0,0,0,0,8,53,8,5,0,0,63,12,0,0,0,3,13,0,0,0,0,0,0,243,14,18,0,4,279,32,0,0,0,0,32,7,0,0,0,0,7,1189,30,23,0,4,1236
801011015,397,203,17,0,0,615,670,275,35,0,0,978,102,101,51,0,0,256,80,76,9,0,0,169,8,9,23,0,0,35,56,58,17,0,0,135,5,8,0,0,0,20,0,0,0,0,0,3,262,250,105,0,0,619,12,32,0,0,0,48,22,8,0,0,0,28,1354,771,157,0,0,2289
801011016,1035,15,3,0,0,1057,867,35,8,0,0,906,210,33,3,0,0,244,67,57,36,0,0,158,3,0,19,0,0,26,182,19,6,0,3,205,22,0,0,0,0,21,3,0,0,0,0,3,488,107,62,0,3,657,17,0,0,0,0,17,32,0,0,0,0,32,2442,154,81,0,3,2677
801011017,417,31,0,0,0,447,570,49,6,0,0,626,81,21,0,0,0,110,73,15,3,0,0,92,8,0,4,0,0,7,57,16,3,0,0,77,3,5,0,0,0,8,0,0,0,0,0,3,222,61,11,0,0,292,10,5,0,0,0,16,16,0,0,0,0,20,1234,148,22,0,0,1401
