SA2_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
801011001,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,11,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,8,6,7,40,18,22,15,10,9,0,5,0,0,0,0,0,139,0,0,3,4,6,5,9,4,0,0,5,0,0,3,0,42,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,8,0,4,5,12,20,6,14,25,0,4,16,14,3,0,0,130,10,27,76,63,90,60,119,90,19,19,38,31,15,4,0,669
801011002,0,0,0,5,14,10,39,48,14,17,21,27,12,0,6,208,0,0,0,0,14,0,8,8,0,0,0,0,0,0,0,29,0,0,4,5,0,8,6,5,0,0,0,0,0,4,4,28,0,0,0,5,0,8,8,8,0,0,3,3,0,0,0,35,0,0,4,0,3,0,8,21,13,3,8,5,4,0,0,65,0,0,0,0,0,0,12,9,5,0,6,0,0,0,0,32,0,0,0,0,6,6,12,7,3,4,3,7,0,0,0,47,5,18,47,20,15,23,25,19,13,5,4,11,0,0,5,205,0,0,0,0,6,13,16,5,0,10,0,0,0,0,6,65,0,0,0,10,11,15,23,36,5,13,14,7,0,0,0,121,5,4,14,13,27,55,107,122,35,46,63,60,23,4,4,585,20,59,95,78,159,232,663,982,417,484,485,360,142,33,73,4284
801011003,0,0,0,3,5,8,25,24,0,8,11,0,0,0,0,85,0,0,0,0,3,6,4,4,0,0,0,0,0,0,0,14,0,0,0,0,3,3,10,6,0,0,0,4,0,0,0,30,0,0,0,7,9,12,11,0,0,5,0,5,0,0,0,43,0,0,0,5,8,13,17,17,5,6,9,12,4,5,0,87,0,0,0,0,0,3,3,0,0,0,3,4,0,0,0,21,0,0,0,0,0,7,13,8,0,3,0,3,0,0,3,41,0,11,33,29,16,19,33,5,7,4,9,3,0,0,11,185,0,0,0,8,5,7,20,16,4,8,4,0,3,0,3,74,0,0,0,9,25,11,11,18,8,6,8,5,5,0,3,117,4,0,20,19,27,24,80,90,25,36,57,56,19,0,6,462,18,33,95,117,194,243,542,541,186,279,261,246,107,9,54,2916
801011004,0,0,0,0,20,11,16,11,0,0,0,3,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,15,4,14,15,19,17,0,7,3,0,0,0,0,0,0,3,82,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,3,4,6,3,5,0,0,0,0,0,0,4,27,0,8,18,21,31,15,39,27,9,6,6,0,0,0,0,192,8,25,62,60,98,61,136,109,22,26,19,12,5,0,18,660
801011005,0,0,0,0,6,5,3,3,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,0,0,0,0,16,5,19,42,29,21,11,11,13,0,0,0,0,0,0,0,153,0,0,3,3,7,5,7,9,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,12,22,15,27,18,12,4,4,5,10,3,0,3,142,21,47,95,91,81,94,84,73,23,32,28,23,4,0,13,711
801011006,0,0,4,4,17,20,21,13,0,6,0,4,0,0,0,86,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,17,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,3,10,7,3,0,5,0,0,0,0,0,30,0,0,0,0,4,8,9,7,0,0,0,0,0,0,0,30,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,14,11,4,0,4,0,0,0,0,47,5,19,44,48,26,15,21,14,0,0,0,0,0,0,3,202,0,0,5,0,6,3,11,0,0,0,0,0,0,0,0,24,0,0,0,6,16,21,10,4,3,0,0,0,0,0,4,60,4,8,20,30,63,50,92,35,6,12,6,0,0,3,5,349,17,34,112,125,195,218,453,200,41,42,36,27,3,3,23,1524
801011007,0,0,0,0,3,0,10,8,0,0,0,0,0,0,0,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,12,0,0,0,3,6,4,7,4,0,0,0,0,0,0,0,22,0,0,0,0,4,7,4,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,13,5,20,39,29,19,19,13,7,6,5,0,0,0,0,3,152,0,0,0,5,0,5,10,7,0,0,0,3,0,0,0,36,0,0,0,7,14,9,7,9,0,0,0,0,6,0,0,50,0,4,27,39,25,35,42,25,5,7,10,10,0,0,0,240,21,54,117,142,117,134,213,140,25,42,42,31,13,4,18,1110
801011008,0,0,0,5,11,9,26,13,0,0,0,7,0,0,0,83,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,25,0,0,0,0,18,0,4,3,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,6,5,0,0,0,0,0,0,0,16,3,26,41,22,12,8,14,7,0,0,0,0,0,0,6,143,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,15,0,0,0,15,48,29,26,16,4,4,9,4,0,0,8,156,3,3,20,29,35,30,56,28,10,6,12,20,3,0,9,266,13,63,127,126,227,147,290,226,58,53,59,63,13,4,37,1521
801011009,0,0,0,0,6,3,5,0,0,0,0,7,0,0,0,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,4,0,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,10,31,19,18,10,10,18,0,0,0,0,0,0,3,124,0,0,0,3,9,0,0,5,0,4,0,0,5,0,0,29,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,19,4,12,19,14,25,16,20,15,4,9,5,3,7,0,9,158,12,54,87,78,105,73,102,93,21,31,32,18,9,3,20,729
801011010,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,34,29,27,3,3,7,0,0,0,0,0,0,0,113,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,8,12,7,14,11,13,3,0,0,4,0,0,0,0,66,11,25,63,54,57,34,57,30,5,10,3,9,0,5,0,359
