SA2_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
801011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,3,8,0,0,3,0,0,10,14,0,0,9,0,0,21,17,0,0,7,0,0,26,15,0,0,6,4,0,22,9,0,0,4,0,0,14,10,0,0,4,0,0,15,6,0,0,0,0,0,3,0,0,0,0,3,0,8,0,0,0,0,0,0,10,67,9,0,50,11,0,140
801011002,0,15,0,0,0,0,20,0,18,0,0,0,0,16,0,73,6,6,0,0,88,7,21,9,13,0,0,54,4,13,5,18,0,0,38,19,15,0,17,3,0,60,31,13,3,44,3,0,92,845,10,3,184,18,0,1064,647,3,0,102,18,0,774,185,0,0,31,8,0,231,40,0,0,12,0,0,53,9,0,0,0,0,0,12,4,0,0,0,0,0,4,8,0,0,0,0,0,8,18,15,0,17,7,0,55,1818,198,27,453,66,4,2572
801011003,0,8,0,0,0,0,8,0,0,0,0,0,0,0,4,7,4,0,0,0,15,5,3,0,15,3,0,28,6,0,0,15,4,0,26,5,0,3,17,13,0,48,47,0,5,18,11,0,86,328,3,3,91,58,0,482,248,0,0,60,18,0,320,130,0,0,32,3,0,168,60,0,0,18,3,0,79,17,0,0,7,3,0,27,7,0,0,6,0,0,8,4,0,0,0,0,0,0,11,0,0,12,6,3,33,874,18,14,288,120,4,1330
801011004,0,10,0,0,0,0,10,0,8,0,0,0,0,8,0,56,0,0,0,0,60,0,25,0,3,0,0,25,0,10,0,3,0,0,19,0,8,0,3,0,0,14,0,10,0,3,0,0,18,35,25,6,24,5,0,97,45,0,0,28,4,0,72,9,0,0,4,0,0,14,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,8,3,3,28,96,163,11,74,14,3,365
801011005,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,28,3,3,0,0,29,0,4,0,5,0,0,14,0,6,0,6,0,0,9,0,6,0,4,0,0,9,4,5,0,6,0,0,18,47,5,0,18,0,0,68,56,3,0,24,5,0,92,27,0,0,11,0,0,31,5,0,0,0,0,0,12,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,140,60,6,80,6,0,294
801011006,0,4,0,0,0,0,4,0,3,0,0,0,0,3,0,37,0,3,0,0,38,4,17,0,3,0,0,28,0,9,0,5,0,0,12,0,11,0,3,12,0,27,3,0,3,0,0,0,13,14,20,0,19,0,0,57,86,8,0,17,0,0,110,74,0,0,20,6,0,103,15,0,0,11,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,11,0,4,0,4,23,198,121,6,92,24,4,444
801011007,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,27,3,5,0,0,30,0,12,0,6,0,0,24,0,13,0,5,0,0,20,0,7,0,5,0,0,13,5,7,0,6,0,0,19,25,20,0,18,0,0,66,86,4,0,48,7,0,142,49,0,0,23,3,0,74,17,0,0,5,0,0,16,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,0,0,10,185,98,5,122,14,3,429
801011008,0,12,0,0,0,0,14,0,14,0,0,0,0,14,0,100,0,4,0,0,99,0,41,0,7,0,0,46,0,17,0,0,0,0,26,0,20,5,3,5,0,27,0,10,6,7,0,0,24,66,19,0,34,8,0,122,116,5,0,40,3,0,169,31,0,0,16,0,0,53,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,11,3,5,0,0,16,241,236,9,119,16,0,624
801011009,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,14,0,0,0,0,13,0,10,0,3,0,0,12,0,4,0,0,0,0,4,0,5,0,0,4,0,10,4,3,0,6,0,0,13,5,6,0,4,0,0,21,36,0,0,15,0,0,51,27,0,0,11,0,0,34,5,0,0,4,0,0,15,4,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,5,0,0,10,80,46,0,48,9,0,190
801011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,6,5,3,0,11,0,0,17,12,5,0,5,0,0,20,7,0,0,4,0,0,12,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,18,0,24,0,0,76
