SA2_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
801011001,..,0,37,96,112,102,74,68,17,515,..,0,18,24,33,18,6,7,0,110,..,0,0,5,4,3,3,4,0,18,256,..,..,..,..,..,..,..,..,256,..,70,..,..,..,..,..,..,..,70,..,27,25,7,0,6,0,0,0,65,..,5,8,0,0,0,0,0,0,12,..,9,19,4,5,0,0,0,0,38,..,26,31,5,0,3,0,0,0,68,..,0,0,5,3,8,6,8,4,46,4,3,4,3,0,3,0,0,0,11,257,143,141,146,161,149,88,86,24,1200,..,4,42,121,117,103,74,55,11,521,..,12,20,33,19,17,9,0,0,114,..,0,4,10,13,15,6,0,6,63,228,..,..,..,..,..,..,..,..,228,..,81,..,..,..,..,..,..,..,81,..,23,15,3,7,3,0,0,0,50,..,0,0,0,0,0,5,5,0,21,..,7,14,5,0,3,0,0,0,31
801011002,..,25,419,300,88,73,70,53,28,1059,..,149,411,70,28,10,11,0,0,681,..,0,4,16,20,14,6,0,0,64,327,..,..,..,..,..,..,..,..,327,..,45,..,..,..,..,..,..,..,45,..,25,19,14,0,3,0,0,0,59,..,43,45,8,5,0,0,0,0,107,..,44,84,19,0,3,0,0,0,148,..,178,230,34,21,13,3,0,0,471,..,97,276,150,122,74,36,30,5,791,4,14,24,13,10,6,3,0,0,69,333,626,1510,623,298,194,127,92,39,3835,..,52,508,226,72,63,65,51,16,1064,..,192,411,64,18,9,7,0,0,708,..,8,32,49,55,25,9,4,0,187,355,..,..,..,..,..,..,..,..,355,..,42,..,..,..,..,..,..,..,42,..,20,12,6,0,0,0,0,0,44,..,42,36,6,3,8,7,0,0,116,..,50,67,7,0,3,3,0,0,143
801011003,..,10,219,262,157,123,145,75,20,1013,..,58,195,50,26,15,14,5,0,365,..,0,0,12,12,8,7,0,0,44,384,..,..,..,..,..,..,..,..,384,..,88,..,..,..,..,..,..,..,88,..,54,27,6,5,0,0,0,0,89,..,30,30,7,3,0,0,0,0,71,..,38,72,11,0,0,0,0,0,126,..,139,190,31,6,4,7,0,0,378,..,25,128,76,48,38,13,8,8,344,0,26,30,7,3,0,0,0,0,68,387,474,887,457,260,197,183,93,24,2968,..,25,274,252,144,130,134,60,9,1025,..,87,192,43,22,18,9,3,0,377,..,0,18,27,38,24,4,3,3,130,354,..,..,..,..,..,..,..,..,354,..,95,..,..,..,..,..,..,..,95,..,18,19,6,8,3,0,0,0,53,..,31,39,16,0,9,6,11,4,111,..,47,48,4,0,0,0,0,0,100
801011004,..,3,73,128,83,67,66,28,7,453,..,9,60,33,26,5,4,0,0,138,..,0,0,11,18,6,4,0,0,42,328,..,..,..,..,..,..,..,..,328,..,46,..,..,..,..,..,..,..,46,..,76,51,21,10,4,0,0,0,162,..,8,10,4,7,0,4,5,0,33,..,4,7,3,3,4,0,0,0,27,..,3,22,10,0,5,3,0,0,52,..,5,14,19,33,25,22,20,3,131,0,9,0,3,6,0,0,0,0,22,333,160,243,232,183,114,109,54,13,1432,..,7,87,138,71,75,57,16,4,445,..,16,65,40,23,7,3,0,0,154,..,3,24,45,48,30,12,10,0,174,286,..,..,..,..,..,..,..,..,286,..,55,..,..,..,..,..,..,..,55,..,44,18,9,3,0,4,0,0,72,..,8,4,3,3,7,10,3,3,39,..,13,0,0,0,0,0,0,0,14
801011005,..,0,38,109,107,80,65,61,15,477,..,3,47,49,51,17,4,5,0,182,..,0,0,3,6,7,0,4,0,28,241,..,..,..,..,..,..,..,..,241,..,60,..,..,..,..,..,..,..,60,..,24,15,5,9,3,0,0,0,58,..,5,0,0,4,0,4,0,0,23,..,10,10,8,0,6,0,0,0,23,..,16,32,4,4,6,3,3,0,63,..,5,7,15,29,24,26,19,6,131,5,0,0,0,5,3,3,0,0,21,245,126,150,202,227,142,110,93,29,1317,..,0,58,110,93,84,69,53,7,484,..,10,56,57,54,10,8,0,0,190,..,0,6,22,31,24,12,3,6,95,241,..,..,..,..,..,..,..,..,241,..,66,..,..,..,..,..,..,..,66,..,28,23,5,4,0,0,0,0,58,..,3,3,0,3,6,4,4,6,29,..,5,11,5,0,0,0,0,0,19
801011006,..,0,145,402,380,242,141,64,9,1384,..,14,71,69,50,26,12,3,0,251,..,0,5,18,18,13,0,4,0,64,877,..,..,..,..,..,..,..,..,877,..,225,..,..,..,..,..,..,..,225,..,181,79,23,10,3,0,0,0,300,..,13,24,8,11,8,7,0,5,62,..,15,14,3,3,0,0,0,0,41,..,21,36,10,3,4,8,0,0,78,..,3,19,38,36,38,23,8,10,170,6,20,11,6,0,8,0,0,0,51,877,497,396,579,511,349,188,81,22,3498,..,8,212,437,365,210,127,42,8,1395,..,25,85,65,48,36,8,0,0,272,..,5,31,75,86,36,20,9,9,258,783,..,..,..,..,..,..,..,..,783,..,203,..,..,..,..,..,..,..,203,..,126,47,13,8,9,4,0,0,204,..,8,12,0,13,9,14,7,0,74,..,10,13,0,0,0,0,0,0,29
801011007,..,5,108,235,214,181,211,73,10,1030,..,15,85,59,60,22,14,3,0,261,..,0,0,15,20,11,6,0,0,64,604,..,..,..,..,..,..,..,..,604,..,145,..,..,..,..,..,..,..,145,..,110,75,27,17,6,0,0,0,237,..,14,16,4,9,4,0,0,0,51,..,8,21,12,5,11,0,0,0,58,..,20,63,9,5,10,8,0,0,122,..,3,16,24,25,26,33,10,0,149,17,10,14,4,4,6,3,3,0,52,615,340,397,391,364,269,281,94,17,2771,..,0,161,247,216,180,185,50,8,1045,..,19,98,63,39,31,10,5,0,260,..,4,16,42,59,23,21,10,10,185,481,..,..,..,..,..,..,..,..,481,..,129,..,..,..,..,..,..,..,129,..,77,34,5,9,4,0,0,0,129,..,17,13,0,6,0,9,9,3,56,..,0,14,0,3,0,0,0,0,18
801011008,..,3,91,195,157,201,164,74,15,904,..,17,68,33,23,23,5,10,0,184,..,0,4,8,7,12,4,0,0,36,382,..,..,..,..,..,..,..,..,382,..,108,..,..,..,..,..,..,..,108,..,74,54,23,13,8,0,0,0,167,..,20,13,4,3,3,6,8,0,46,..,14,28,7,3,0,3,0,0,47,..,22,55,16,16,7,0,4,0,114,..,6,23,31,30,48,44,18,9,200,3,8,14,8,3,0,4,0,0,47,387,267,338,316,259,299,226,118,24,2231,..,9,117,203,167,184,152,52,12,897,..,18,75,29,26,19,15,4,0,197,..,4,19,49,43,44,15,10,7,189,402,..,..,..,..,..,..,..,..,402,..,111,..,..,..,..,..,..,..,111,..,70,40,11,6,5,0,0,0,124,..,7,9,5,0,12,13,11,0,57,..,15,23,3,0,0,0,0,0,40
801011009,..,0,77,172,144,130,111,63,9,702,..,3,43,33,27,21,12,3,0,153,..,0,0,6,11,4,0,5,0,23,373,..,..,..,..,..,..,..,..,373,..,94,..,..,..,..,..,..,..,94,..,75,52,11,12,0,0,0,0,153,..,11,10,5,4,7,4,0,0,37,..,13,18,6,9,4,0,0,0,49,..,8,43,6,10,9,0,0,0,75,..,4,6,18,11,10,18,11,0,81,0,7,4,0,3,0,5,3,0,27,373,213,257,252,234,190,151,83,10,1776,..,8,102,172,155,121,116,37,0,708,..,13,45,33,26,24,4,0,0,155,..,0,6,24,29,22,13,7,0,106,375,..,..,..,..,..,..,..,..,375,..,103,..,..,..,..,..,..,..,103,..,57,20,11,0,0,0,0,0,98,..,17,5,0,0,4,7,3,4,35,..,3,8,0,0,0,0,0,0,17
801011010,..,0,20,94,88,72,112,39,6,431,..,5,26,17,15,11,8,0,0,77,..,0,0,5,7,10,5,0,0,27,209,..,..,..,..,..,..,..,..,209,..,70,..,..,..,..,..,..,..,70,..,47,27,13,11,0,0,0,0,109,..,3,3,0,0,10,10,0,0,23,..,4,8,3,0,0,0,0,0,17,..,5,9,0,0,5,0,0,0,22,..,0,5,7,3,10,19,4,3,55,0,7,4,0,0,5,0,0,0,17,211,140,100,141,137,121,151,47,13,1061,..,5,25,108,96,75,96,29,3,436,..,6,27,17,17,14,4,0,0,86,..,0,8,13,18,11,3,0,0,63,199,..,..,..,..,..,..,..,..,199,..,58,..,..,..,..,..,..,..,58,..,21,20,0,0,0,0,0,0,46,..,4,3,0,3,0,0,3,0,17,..,6,4,0,0,0,0,0,0,7
