SA2_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
801071076,0,5,5,0,0,0,15,0,0,0,0,0,0,3,5,0,0,0,0,0,7,6,0,6,0,0,0,12,3,0,3,0,0,0,6,9,0,0,0,0,0,6,3,4,6,0,0,0,15,0,4,3,5,0,0,8,7,6,3,0,0,0,16,6,5,10,0,3,0,22,3,12,0,5,5,0,25,12,26,8,0,0,0,54,3,15,5,0,0,0,29,6,12,3,0,0,0,23,14,33,14,0,4,0,59,20,61,15,0,0,0,96,10,18,4,0,0,0,31,4,9,0,0,0,0,18,3,11,4,0,0,0,19,108,229,87,14,19,0,457
801071077,8,0,3,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,7,0,0,0,3,4,0,0,0,5,0,6,5,4,0,0,0,0,9,8,9,4,5,0,0,15,5,5,5,0,0,0,22,3,5,3,0,0,0,15,7,16,4,0,3,0,35,9,20,3,0,0,0,34,14,18,5,6,9,0,48,11,19,0,0,0,0,30,4,9,3,0,0,0,21,11,15,4,3,0,0,41,11,20,11,0,3,0,41,4,6,0,0,0,0,13,0,4,0,0,0,0,6,3,7,0,0,0,0,14,118,167,55,19,21,3,385
801071078,11,10,9,0,0,0,35,7,0,4,0,0,0,10,4,0,0,0,0,0,13,4,0,4,0,0,0,13,9,7,3,0,3,0,29,15,8,9,0,11,0,40,18,8,14,9,4,3,57,21,21,15,8,10,0,69,30,32,12,11,9,3,97,39,49,13,16,11,0,126,23,55,13,11,9,0,103,43,61,33,5,8,0,154,21,46,12,5,3,0,95,13,26,4,5,0,0,55,34,64,22,3,4,0,131,25,69,24,3,5,3,134,10,16,3,3,0,0,39,7,5,5,0,0,0,18,13,12,9,4,8,0,45,338,498,220,86,98,12,1247
801071079,7,0,0,0,3,0,7,4,0,0,0,0,0,10,4,5,6,0,0,0,11,0,0,0,0,0,0,3,3,0,7,0,0,0,13,0,6,0,3,3,0,13,7,6,3,0,0,0,21,5,5,4,0,0,0,19,3,10,4,0,4,0,15,7,9,0,0,0,0,24,5,17,7,0,0,0,32,17,30,8,0,0,0,58,11,27,3,8,4,0,52,10,18,0,0,0,0,29,14,47,11,6,0,0,81,14,35,7,0,3,0,57,4,5,6,7,0,0,19,0,3,0,0,0,0,6,4,9,0,0,4,0,14,127,229,78,28,31,4,494
801071080,4,0,0,0,0,0,12,4,0,0,0,0,0,4,0,0,0,0,3,0,7,3,0,0,0,0,0,4,11,0,0,0,0,0,9,10,0,5,0,0,0,11,16,0,0,8,0,0,26,12,12,0,5,4,0,40,21,3,0,4,4,0,33,24,16,0,5,5,0,49,9,7,0,4,4,0,32,27,18,0,8,7,0,57,15,8,3,4,0,0,27,8,0,0,5,0,0,14,5,10,9,5,5,0,34,12,6,4,0,0,0,27,3,3,0,0,0,0,7,3,0,0,0,0,0,10,0,4,0,0,3,0,12,199,92,28,38,42,10,410
801071081,14,3,3,0,0,0,28,0,0,0,0,0,0,6,3,0,0,0,0,0,3,4,0,0,0,0,0,14,3,0,5,0,6,0,16,6,3,5,0,4,0,16,11,15,4,0,11,0,40,12,16,6,7,0,0,45,10,16,4,3,7,0,34,13,35,7,3,9,0,62,18,26,7,3,5,0,53,20,43,6,13,0,0,80,7,25,7,0,0,0,45,9,15,0,6,0,0,34,19,34,18,3,0,0,71,6,27,12,5,7,0,45,4,6,5,0,0,0,15,3,7,3,0,0,0,12,3,16,3,4,4,0,28,162,293,99,50,45,3,654
801071082,33,18,12,5,4,0,73,8,4,0,0,0,0,21,13,4,9,0,4,0,25,10,3,4,7,0,0,24,17,12,13,0,3,3,46,16,11,13,10,8,0,52,14,19,14,3,3,0,56,30,32,12,8,10,3,89,30,51,18,21,10,3,125,46,71,28,25,15,0,184,39,81,17,17,12,0,161,67,110,37,10,12,0,241,42,66,17,14,7,0,141,22,57,14,3,0,0,103,51,132,28,22,3,0,235,46,151,36,9,9,0,254,6,36,9,3,0,0,65,10,25,7,0,0,0,49,17,40,14,8,9,0,95,511,924,304,154,121,16,2033
801071083,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,8,0,3,3,0,0,12,6,0,4,0,0,0,9,4,0,0,4,0,0,6,5,6,5,3,0,0,11,0,8,6,0,0,0,18,9,12,5,0,0,0,25,0,8,4,4,0,0,12,4,8,0,0,0,0,11,3,30,3,0,0,0,34,9,19,4,0,0,0,30,4,0,6,0,0,0,7,0,8,0,0,0,0,8,0,5,0,0,0,0,11,42,111,33,17,5,0,214
801071084,14,8,9,0,0,0,27,0,0,0,0,0,0,6,0,0,7,6,0,0,10,3,3,0,0,0,0,5,4,0,0,0,0,0,14,9,3,4,0,0,0,23,0,0,6,0,3,0,16,12,17,9,0,3,0,36,4,17,9,6,12,0,38,15,23,11,3,4,0,52,11,25,9,10,3,0,55,21,48,17,12,9,0,95,16,22,7,0,0,0,43,9,29,8,4,0,0,43,13,55,9,3,7,0,80,10,53,11,3,0,0,83,5,8,3,0,0,0,23,5,3,5,0,0,0,10,9,3,0,4,0,0,17,171,308,102,50,48,3,685
801071085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
