SA2_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
801011001,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,4,21,5,4,4,5,0,40,4,6,6,11,3,3,6,4,0,45,78,163,155,313,172,177,139,101,36,1335,0,0,0,0,0,0,0,0,0,0,134,309,240,372,242,225,158,130,40,1854,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,9,0,0,0,9,3,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,9,42,12,9,5,4,0,81,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,4,12,21,24,22,23,4,116,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
801011002,0,3,18,38,8,8,7,9,0,79,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,16,34,112,17,14,8,5,3,211,7,3,31,93,13,12,7,6,5,180,194,181,828,2150,271,203,187,169,119,4296,0,4,3,14,0,0,0,0,0,18,337,208,753,1595,289,207,171,165,116,3843,0,0,16,46,0,0,0,0,0,63,0,0,0,3,0,4,0,0,0,10,0,0,0,24,4,3,0,0,0,31,0,0,0,3,0,0,0,0,0,11,0,0,3,11,3,0,0,0,0,19,0,0,0,11,4,0,0,6,0,22,3,5,225,627,33,24,21,8,5,946,0,0,0,3,0,5,0,3,0,14,0,0,0,9,0,0,0,0,0,14,0,0,23,41,22,22,15,14,21,168,0,0,5,13,6,4,0,0,0,18,0,0,0,0,0,0,0,0,0,10
801011003,0,0,22,20,12,12,3,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,8,34,81,21,12,15,6,0,175,0,10,46,37,9,7,6,3,8,122,139,239,1091,1435,290,261,235,148,83,3914,0,0,5,7,0,0,0,0,0,11,272,388,1276,1364,310,232,256,166,90,4367,0,0,0,39,0,0,0,0,0,41,0,0,0,0,0,0,0,3,0,8,0,0,0,13,0,0,0,0,0,15,0,0,6,8,0,0,0,5,0,20,0,0,3,4,4,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,90,248,44,39,31,9,0,470,0,0,0,0,0,5,0,4,0,11,0,0,0,7,0,0,0,0,0,7,0,5,25,32,17,22,22,19,11,156,0,0,0,9,3,0,0,0,0,15,0,4,0,9,0,0,0,0,0,11
801011004,0,0,0,5,9,4,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,10,24,3,13,17,0,0,75,7,3,0,15,5,0,5,6,0,59,105,200,159,508,197,170,132,60,19,1552,0,0,0,10,0,0,0,0,0,14,208,382,268,725,283,182,150,59,15,2272,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,6,3,0,0,0,0,3,0,0,0,0,4,4,3,0,0,14,0,0,0,12,0,5,9,0,0,21,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,4,0,0,0,21,8,11,16,8,4,64,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4
801011005,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,32,5,4,0,0,3,53,3,6,3,17,4,5,9,4,0,52,82,177,132,444,220,182,183,119,40,1570,0,0,0,0,0,0,0,0,0,3,154,302,226,571,314,232,187,125,37,2147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,16,0,0,0,0,0,0,0,3,0,15,0,0,4,19,7,7,0,6,0,41,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,3,3,10,20,18,31,25,14,132,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,9
801011006,0,0,3,11,11,6,3,0,0,37,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,7,0,0,9,28,29,19,13,3,0,105,5,15,17,28,15,13,3,0,0,94,215,587,427,1072,593,391,239,92,16,3632,0,0,9,9,7,5,5,0,0,39,463,1133,782,1490,775,484,281,112,22,5550,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,6,0,0,3,13,0,0,0,6,0,0,0,0,0,6,0,0,0,0,4,6,0,0,0,17,0,0,0,8,0,0,5,0,0,15,0,0,0,11,6,7,7,0,0,30,0,0,3,27,13,9,7,0,0,60,0,0,0,0,3,7,0,10,0,18,0,0,0,3,4,0,0,0,0,8,0,3,10,29,32,29,39,9,9,163,0,0,0,7,9,5,0,4,0,28,0,0,0,0,0,0,0,0,0,5
801011007,0,3,3,8,5,5,8,0,0,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,27,14,15,14,8,0,86,3,5,8,15,0,7,3,7,0,52,159,339,296,761,376,311,294,94,31,2667,0,0,0,0,0,0,0,0,0,0,328,711,572,1163,574,422,395,111,26,4307,0,0,0,0,4,0,0,0,0,9,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,8,0,0,0,4,3,0,0,0,0,9,0,0,4,4,0,3,6,3,0,18,0,0,3,39,11,10,7,0,0,76,0,0,0,0,4,4,9,4,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,21,25,34,27,13,0,123,0,0,0,5,5,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3
801011008,0,7,5,28,21,26,10,4,0,90,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,6,34,8,14,18,11,0,96,7,10,0,20,14,5,11,0,0,66,128,298,266,691,288,363,278,117,42,2464,0,0,0,3,0,0,0,0,0,15,242,487,431,805,354,409,272,113,29,3131,0,0,0,4,3,0,0,0,0,12,0,0,0,5,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,8,0,0,7,5,3,5,5,0,0,18,0,0,4,0,0,4,0,0,0,7,0,0,0,4,0,0,4,0,0,11,0,4,5,50,14,24,15,7,3,121,0,0,0,6,0,6,9,9,6,36,0,0,3,0,0,0,0,0,0,6,0,0,5,14,16,35,31,6,6,122,0,0,0,3,0,0,4,0,0,14,0,0,4,6,0,0,0,0,0,7
801011009,3,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,18,14,7,16,0,0,59,3,9,8,10,6,4,9,6,0,41,115,274,223,469,239,208,194,89,15,1821,0,0,0,0,0,0,0,0,0,0,227,494,383,744,361,296,227,109,14,2850,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,4,4,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,9,0,0,0,13,12,3,0,0,0,28,0,0,0,0,0,6,8,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,17,12,26,30,11,6,105,0,0,0,0,4,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0
801011010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,3,6,0,3,0,20,4,0,0,9,0,5,0,3,0,20,47,161,108,244,146,118,146,51,5,1035,0,0,5,3,0,0,0,0,0,6,96,308,231,403,224,177,226,68,6,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3,3,3,0,0,15,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,11,13,18,28,15,3,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
