SA2_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
801041034,3,0,0,3,3,0,4,3,0,16,0,0,3,3,0,8,8,10,3,35,30,79,64,58,70,42,15,7,0,365,0,0,0,0,5,8,3,4,0,20,39,45,39,60,69,62,31,13,5,363,537,275,230,315,280,120,57,13,3,1830,36,28,18,25,22,9,8,0,0,146,677,432,378,499,535,295,170,87,18,3091,0,6,16,36,101,111,71,64,16,421,108,86,82,97,101,56,40,22,0,592,0,3,5,15,25,36,27,21,7,139,0,0,0,0,0,3,0,9,4,16,6,8,10,21,61,56,46,27,0,235,0,0,0,6,24,39,47,34,12,162,5,3,0,4,8,7,10,6,0,43,0,0,3,5,12,14,16,15,5,70,56,117,105,108,112,66,28,9,0,601,0,0,0,0,8,14,8,13,0,43,84,61,59,90,134,99,54,25,8,614,1089,604,518,625,595,237,109,17,3,3797
801041035,0,0,6,4,3,3,0,3,0,19,0,0,0,4,8,6,0,4,0,22,14,62,79,92,70,16,5,0,0,338,0,0,0,5,3,0,0,3,0,11,46,21,50,72,51,32,19,11,0,302,880,321,416,538,242,72,44,11,0,2524,57,24,24,51,20,14,7,0,0,197,1061,452,593,811,425,169,122,55,5,3693,0,8,16,55,60,43,47,45,4,278,132,72,89,131,70,24,23,8,0,549,3,0,3,13,13,20,12,3,0,67,0,0,0,0,0,3,0,3,5,11,4,0,22,56,68,47,43,19,0,259,5,0,3,12,25,18,22,28,4,117,0,0,5,4,11,5,6,9,4,44,0,0,3,8,6,10,0,8,0,35,32,88,136,145,99,32,19,3,0,554,0,0,0,5,8,3,6,6,0,28,106,44,73,127,92,45,36,11,0,534,1742,664,837,1100,529,167,78,20,0,5137
801041036,0,0,4,0,5,5,0,0,0,14,0,0,6,0,0,10,4,0,0,20,16,73,96,92,53,27,8,0,0,365,0,0,0,0,0,0,0,0,0,0,22,29,49,76,41,30,15,4,0,266,699,229,463,471,201,105,44,10,0,2222,40,14,24,28,32,9,6,0,0,153,814,341,658,716,365,233,111,30,9,3277,0,0,20,38,60,70,58,21,6,273,99,56,110,123,64,47,16,8,5,528,0,0,9,9,10,19,21,13,0,81,0,0,0,0,0,0,0,6,0,6,0,0,7,39,41,56,34,12,0,189,0,3,9,4,19,22,22,11,4,94,0,0,3,5,10,6,9,0,0,33,0,5,4,5,0,16,13,4,0,47,38,108,142,152,83,46,16,3,0,588,0,0,3,0,0,3,4,8,0,18,69,39,87,132,89,57,33,9,0,515,1392,497,863,1003,403,190,81,9,3,4441
801041037,0,0,0,4,0,3,8,11,0,26,0,0,0,0,0,0,0,6,0,6,11,33,55,49,17,14,5,7,0,191,0,0,0,0,0,0,0,0,9,9,16,19,37,57,40,25,22,13,0,229,520,153,320,387,161,62,50,13,8,1674,17,14,22,23,14,5,3,6,4,108,592,226,458,544,259,139,126,88,27,2459,0,0,17,24,30,47,52,46,12,228,75,34,71,87,35,24,21,23,0,370,0,0,4,15,5,11,11,23,4,73,0,0,0,0,0,3,0,8,4,15,0,3,3,18,25,26,30,18,0,123,0,4,3,8,10,19,18,29,4,95,0,4,0,5,0,9,7,6,0,31,0,0,0,4,4,0,8,9,3,28,16,48,79,66,35,22,9,12,4,291,0,0,0,0,3,0,0,0,5,8,36,23,55,84,62,47,38,24,0,369,1017,333,641,771,376,131,80,33,7,3389
801041038,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,3,5,6,0,14,19,37,23,54,44,16,3,0,0,196,0,0,0,0,0,0,0,0,0,0,22,16,25,57,53,22,8,0,0,203,468,199,173,329,212,74,35,11,0,1501,30,19,19,20,11,6,7,0,0,112,567,276,250,497,352,156,96,31,4,2229,0,0,13,28,63,58,53,12,8,235,83,43,50,92,56,26,19,6,3,378,3,0,5,12,14,13,14,7,0,68,0,0,0,0,0,0,3,0,0,3,0,0,0,17,30,37,22,13,4,123,0,0,0,3,21,22,19,11,3,79,0,0,0,0,5,3,0,0,0,8,4,0,0,0,3,5,10,5,0,27,30,48,42,80,77,18,8,4,0,307,0,0,0,0,3,5,0,5,0,13,62,33,41,82,81,43,28,4,0,374,969,403,326,617,469,138,55,17,0,2994
801041039,0,0,0,7,0,5,4,7,0,23,5,0,0,0,0,0,4,6,0,15,8,86,93,75,36,20,9,4,0,331,0,0,0,0,3,0,6,0,0,9,20,35,63,76,47,19,24,5,4,293,645,323,763,493,263,110,41,3,0,2641,37,22,50,28,19,10,8,3,0,177,726,485,987,717,402,207,120,35,5,3684,0,3,19,30,48,37,38,12,0,187,59,78,103,93,51,28,20,6,0,438,0,0,5,14,21,19,16,0,0,75,0,0,0,0,0,3,5,3,0,11,0,8,9,45,51,58,44,14,0,229,0,3,4,11,16,24,11,5,0,74,0,0,5,8,3,6,4,9,0,35,5,0,0,4,0,4,6,7,0,26,14,123,149,116,63,33,14,4,0,516,0,0,0,4,3,8,9,3,0,27,47,53,100,112,77,46,39,11,3,488,1317,693,1518,1091,574,226,87,14,0,5520
801041040,0,0,0,0,3,3,9,5,3,23,0,0,0,3,0,4,10,3,0,20,10,113,137,84,67,35,15,4,3,468,0,0,0,0,3,0,0,0,0,3,21,52,76,56,36,44,38,9,6,338,572,422,867,483,275,150,76,26,5,2876,43,43,61,35,29,15,8,11,0,245,667,646,1160,695,473,307,201,82,19,4250,0,4,22,27,74,94,84,41,15,361,62,112,152,86,87,49,27,14,3,592,6,8,6,7,22,33,18,13,7,120,0,0,0,0,4,0,3,4,7,18,0,4,18,25,48,58,55,23,3,234,0,4,3,10,18,24,36,23,15,133,0,0,3,0,10,14,4,9,3,43,0,4,7,3,5,7,17,4,9,56,25,172,214,135,111,71,25,5,4,762,0,0,0,0,7,3,3,8,0,21,46,77,132,94,96,69,57,24,8,603,1168,882,1851,1044,595,322,130,43,7,6042
801041043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,9,0,0,0,0,0,7,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,0,19,23,10,3,7,13,8,13,0,0,77,0,0,0,0,0,0,3,0,0,3,29,20,0,15,25,25,29,9,3,155,0,0,0,0,3,6,9,14,0,32,0,5,5,3,6,4,4,3,0,30,0,0,0,0,0,6,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,0,3,6,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,9,0,4,0,0,5,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,7,7,0,31,44,31,8,19,36,22,20,0,0,180
801041044,0,0,4,3,3,5,4,0,0,19,0,0,0,3,0,5,3,0,0,11,19,87,102,91,52,23,6,5,0,385,0,0,0,0,0,6,0,0,0,6,27,61,56,86,51,38,25,14,0,358,811,375,625,545,318,135,49,12,7,2877,51,29,39,33,27,6,6,0,0,191,944,562,836,802,514,245,124,43,6,4076,3,4,20,50,58,71,52,24,3,285,96,81,129,126,69,40,17,11,0,569,3,0,4,15,18,21,13,16,0,90,0,0,0,0,0,0,4,0,0,4,5,6,11,42,47,51,47,9,0,218,0,0,8,17,22,25,27,7,0,106,0,0,5,3,4,0,6,4,0,22,4,0,0,3,0,7,10,3,0,27,39,124,162,137,88,37,12,5,0,604,0,0,0,0,5,9,10,3,0,27,86,87,92,144,107,72,32,17,4,641,1590,791,1320,1145,698,250,87,27,10,5918
801041045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
