SA2_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
801011001,0,0,0,0,3,0,3,10,5,27,0,0,0,0,0,0,0,0,0,4,3,12,11,10,3,6,18,17,4,80,35,164,270,345,340,339,241,197,62,1992
801011002,0,0,8,13,5,10,21,16,15,95,0,3,17,3,0,3,0,0,0,33,12,61,174,62,40,22,11,19,16,419,156,1323,3217,1207,592,407,324,272,184,7684
801011003,0,0,5,0,4,4,6,17,15,47,0,3,13,3,4,3,7,3,0,37,20,41,71,29,13,23,22,13,21,248,430,1334,1966,973,574,470,437,264,134,6587
801011004,0,0,3,6,10,15,21,7,3,77,5,0,4,0,7,12,3,6,0,36,6,4,28,22,21,5,11,3,0,101,83,158,495,505,391,293,242,111,30,2314
801011005,0,0,0,0,3,8,7,16,8,40,0,0,0,0,0,0,5,4,0,8,0,7,17,13,7,7,14,11,8,88,34,128,372,443,445,327,295,224,73,2349
801011006,3,0,7,10,11,23,22,23,3,113,0,0,4,11,10,14,4,3,0,41,27,13,27,26,32,26,5,6,6,172,212,402,857,1227,1128,759,435,174,40,5231
801011007,0,3,4,8,6,9,37,24,8,96,0,0,0,3,0,0,0,0,4,19,10,13,16,18,18,18,8,10,0,115,132,315,774,799,760,596,577,185,49,4197
801011008,0,0,0,5,4,25,35,31,10,115,0,0,4,8,5,9,3,8,0,38,0,7,33,23,21,17,16,9,5,130,78,304,695,681,557,670,515,231,69,3802
801011009,0,0,0,3,0,5,6,23,9,47,0,0,3,3,0,0,0,0,0,6,7,4,19,13,15,8,13,7,3,99,89,208,479,525,487,406,359,177,30,2753
801011010,0,0,3,0,0,0,17,5,0,25,0,3,4,0,5,7,0,4,0,11,0,0,7,15,7,0,10,4,0,40,32,116,198,310,289,243,303,99,16,1601
