SA3_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
80101,124,264,389,59,96,154,69,230,295,90,461,554,235,1008,1241,317,701,1014,744,759,1502,781,867,1647,1123,1028,2150,1610,1031,2641,1359,1103,2463,1474,927,2403,3501,1632,5134,3097,217,3317,2832,366,3195,2379,124,2500,6533,459,6992,1309,297,1607,128,182,310,27775,11737,39514
80103,0,4,5,0,0,0,0,5,6,4,20,26,4,44,46,6,47,53,17,19,33,15,14,30,14,35,48,19,21,41,12,15,21,9,11,21,22,17,41,22,0,21,25,4,30,7,5,9,39,3,44,17,0,17,0,7,14,234,282,515
80104,116,144,262,48,37,81,52,121,173,47,203,255,142,436,585,211,304,517,453,295,746,530,425,952,717,529,1254,1007,579,1589,1002,691,1691,1040,590,1627,2981,1148,4132,2488,164,2649,2546,240,2784,2110,79,2186,6269,370,6643,1218,146,1367,100,95,192,23084,6597,29684
80105,73,208,284,33,72,113,38,222,260,33,367,399,92,673,771,111,432,543,223,378,606,255,479,732,396,673,1074,509,858,1361,467,946,1412,562,852,1414,1420,1936,3359,1260,293,1559,1268,552,1823,1072,182,1249,4642,918,5559,680,315,1002,50,112,161,13192,10477,23677
80106,34,66,105,12,27,40,10,65,73,21,139,159,37,292,333,33,183,219,96,164,255,100,234,332,167,287,454,242,418,654,236,503,741,278,467,744,760,1129,1894,672,91,764,723,300,1023,568,66,631,3573,654,4225,422,108,521,40,61,100,8017,5245,13258
80107,93,170,263,49,65,107,53,167,221,70,365,433,214,974,1187,263,526,790,637,522,1158,625,668,1290,1011,753,1766,1314,705,2025,1221,750,1969,1248,629,1874,3100,1049,4147,2735,93,2824,2748,201,2948,2099,46,2146,5802,270,6070,1320,98,1415,124,163,283,24717,8202,32919
80108,26,56,84,8,32,34,8,60,64,24,109,134,38,306,345,59,213,267,159,186,340,159,212,380,242,220,467,369,179,543,285,169,458,312,123,433,728,307,1033,587,22,611,612,51,665,529,13,543,2148,117,2264,376,26,401,33,48,78,6709,2448,9154
80109,55,88,150,27,41,73,14,67,86,22,178,206,64,405,468,78,305,385,176,303,481,211,381,590,309,478,787,493,439,932,417,449,873,428,400,834,1157,741,1903,913,44,960,902,181,1089,737,49,793,3649,309,3961,583,67,645,55,81,135,10301,5019,15322
80110,9,7,19,9,3,11,0,12,15,17,22,42,16,31,45,17,17,40,35,37,70,51,45,100,54,91,146,120,120,239,104,146,252,124,136,253,339,265,605,337,39,372,360,53,414,302,13,314,1001,74,1076,114,34,150,16,10,20,3029,1147,4178
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,3,0,0,0,4,0,6,5,4,4,3,4,4,6,0,5,4,0,4,16,0,18,24,0,21,12,0,16,13,0,13,56,0,56,10,4,15,0,0,0,160,23,185
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
