SA3_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
80101,11424,23035,159,893,1116,5131,250,1141,7503,28654,9027,35815,539,2274,946,3213,1806,5841,3293,11334,12322,47145,72,330,310,993,111,405,1585,4022,2078,5749,180,582,426,933,1476,3234,2084,4745,4161,10496,473,982,28377,81661
80103,103,202,0,11,10,37,3,18,41,169,57,233,0,0,10,33,19,68,29,100,92,330,0,0,4,6,0,3,20,47,25,60,0,0,5,5,19,35,18,44,45,104,8,18,243,659
80104,7493,15089,161,893,1270,5723,204,947,8407,32212,10047,39771,539,2280,1068,3703,1292,4222,2898,10206,12944,49979,46,206,247,785,55,195,1367,3352,1714,4542,142,446,312,697,824,1804,1281,2953,2992,7497,322,703,23748,73267
80105,6668,13244,42,220,483,2130,51,224,3047,11346,3619,13913,173,723,528,1785,511,1579,1208,4088,4836,18004,11,63,116,338,19,62,655,1492,802,1944,51,149,232,505,501,1057,790,1708,1594,3653,266,543,13352,35444
80106,3972,7865,23,120,368,1631,28,123,1698,6351,2113,8226,147,597,448,1510,379,1208,978,3322,3095,11547,9,34,74,212,18,47,360,843,458,1130,40,120,170,361,285,603,489,1082,947,2209,94,197,8109,21825
80107,9276,18681,173,973,1085,4979,293,1299,6172,23933,7722,31188,594,2537,917,3147,2276,7374,3790,13061,11512,44247,59,275,336,1108,136,473,1519,3923,2053,5781,195,608,409,871,1561,3430,2161,4909,4215,10689,321,674,25320,74291
80108,2620,5240,45,245,351,1568,39,165,1842,7116,2273,9095,140,581,297,1038,423,1363,863,2978,3133,12077,13,61,72,214,27,106,338,832,451,1220,40,119,118,251,377,816,534,1194,984,2408,81,170,6816,19893
80109,4372,8747,50,289,458,2079,57,248,2745,10551,3313,13167,208,852,506,1765,649,2052,1359,4672,4677,17836,13,53,109,350,29,98,468,1087,618,1584,62,176,165,374,448,966,674,1522,1294,3109,164,343,10505,30034
80110,1069,2169,4,34,134,605,15,76,1235,4614,1390,5327,31,115,94,318,80,251,197,690,1588,6015,4,12,21,69,10,24,203,475,238,581,17,38,54,117,88,195,159,354,394,937,46,93,3100,9212
80111,72,144,0,0,11,44,0,0,51,201,63,252,7,13,3,10,8,36,21,60,79,309,0,0,0,7,0,3,15,41,13,55,0,0,0,4,4,11,4,14,20,72,4,5,172,525
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
