SA3_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
80101,145,103,83,9,23,7,369,40,20,22,6,9,0,94,57,30,26,13,15,0,146,49,39,18,4,12,0,131,85,52,44,18,25,3,223,100,111,61,30,32,4,347,178,172,94,35,51,9,532,201,245,103,57,61,9,673,246,350,101,97,60,11,866,269,477,124,88,85,11,1060,290,491,92,79,72,8,1021,437,818,190,118,90,12,1666,228,524,76,56,37,8,928,178,361,50,33,29,5,654,343,803,146,48,28,3,1372,339,822,175,53,28,6,1420,112,275,80,21,13,5,509,75,158,57,13,4,0,313,132,208,73,27,44,9,490,3510,6057,1616,815,719,105,12821
80103,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,4,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,5,12,17,5,3,7,0,46
80104,93,121,54,12,19,12,306,16,22,18,9,4,0,68,36,19,27,0,9,3,90,27,36,12,4,11,4,98,51,52,24,10,16,4,156,66,79,41,16,23,3,236,105,166,64,36,40,4,407,153,230,76,33,49,10,557,216,328,89,55,49,10,743,263,473,114,70,56,10,991,222,434,100,72,48,14,882,342,777,200,75,60,8,1467,194,467,93,38,34,5,830,146,429,72,32,6,7,689,276,871,167,63,41,8,1416,379,1138,296,52,43,4,1914,128,351,106,19,17,0,622,83,228,65,5,3,0,388,120,296,87,34,25,4,572,2904,6515,1704,638,559,117,12431
80105,73,50,31,5,9,4,171,18,7,11,0,6,0,42,25,8,12,8,6,0,57,20,11,11,10,6,0,48,31,23,8,6,8,0,69,48,31,16,9,11,0,111,75,46,25,15,16,0,183,115,67,22,19,14,0,234,138,76,18,14,9,0,258,163,105,26,28,12,0,341,135,103,18,17,15,5,296,204,161,40,35,23,4,468,87,97,17,17,5,3,227,75,104,9,6,10,4,215,157,245,41,23,23,0,493,225,495,97,54,28,0,902,102,222,53,14,9,0,401,102,186,47,7,5,0,347,46,60,20,11,11,5,150,1833,2108,533,294,208,34,5021
80106,63,33,30,8,7,0,148,9,3,8,0,0,0,20,10,8,3,3,0,0,33,8,6,4,3,0,0,24,21,9,12,0,0,0,37,22,4,9,0,8,0,42,35,19,18,5,7,3,85,46,28,11,11,0,0,95,77,40,11,8,4,0,137,75,28,14,8,8,0,141,50,34,11,14,7,0,112,99,77,31,19,14,0,249,42,44,10,10,6,0,114,39,42,10,9,7,0,110,68,75,15,15,4,5,176,132,234,65,27,21,4,479,77,159,67,11,8,0,324,98,287,100,17,15,0,519,41,51,28,10,4,0,133,1004,1186,455,176,127,20,2966
80107,155,101,69,12,32,5,374,51,17,26,5,9,0,103,74,23,48,6,16,0,165,52,24,40,9,8,0,139,102,47,70,17,39,9,285,114,85,73,34,44,3,349,166,131,109,41,59,0,508,191,203,124,46,67,12,638,217,290,115,87,75,11,792,277,450,166,101,113,16,1114,253,503,113,81,82,10,1035,438,799,239,114,98,11,1695,259,483,123,67,43,8,980,174,361,69,34,10,0,654,340,800,228,89,55,15,1518,306,738,266,55,49,5,1423,96,201,83,25,11,3,421,70,130,65,11,9,0,286,119,203,87,43,38,7,499,3449,5591,2122,857,865,95,12983
80108,44,29,22,4,3,3,120,6,0,6,0,0,0,20,14,8,8,0,3,0,36,10,11,5,0,8,0,32,24,14,12,9,3,0,57,19,11,7,3,5,0,55,32,51,17,4,15,3,121,34,58,21,26,6,4,141,38,59,21,17,15,6,149,33,70,23,11,17,3,154,44,79,23,11,9,0,168,62,165,42,24,26,3,315,64,118,23,13,10,0,230,49,99,12,9,0,0,166,89,260,44,23,16,0,427,119,342,67,26,5,4,559,29,119,32,3,7,0,198,27,71,19,0,5,0,126,23,54,19,3,0,0,106,774,1626,421,188,149,24,3183
80109,51,46,35,10,6,4,155,16,10,17,0,4,0,41,10,11,14,4,3,0,37,18,9,11,0,8,0,53,36,18,16,3,0,3,77,35,30,14,7,6,5,103,58,42,31,10,16,4,157,62,54,22,9,15,4,170,65,54,28,23,21,0,196,69,61,16,15,18,3,185,54,74,33,16,6,4,184,88,144,45,19,16,0,315,48,76,19,15,6,0,159,51,97,26,11,8,0,188,87,228,61,22,19,0,412,151,472,102,23,20,7,774,65,230,61,13,11,0,375,71,177,57,8,5,0,321,35,66,27,4,14,4,153,1063,1904,635,220,197,38,4052
80110,7,16,6,3,0,0,32,3,3,0,0,0,0,10,3,0,0,0,0,0,4,0,0,0,0,0,0,6,9,4,3,6,0,0,24,8,7,0,8,5,0,26,37,17,7,0,6,0,67,39,29,3,4,0,0,77,65,41,3,14,12,5,133,75,65,7,9,4,5,173,63,82,10,14,10,4,180,58,108,11,15,6,0,196,32,61,7,0,12,0,110,29,54,4,6,4,0,92,47,115,14,14,7,0,196,82,269,31,14,14,0,400,32,118,15,4,3,0,178,26,75,9,0,3,0,120,13,47,7,4,0,0,73,623,1120,145,106,94,15,2103
80111,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,4,0,0,0,0,10,0,5,0,0,0,0,7,6,5,0,0,0,0,13,3,0,0,0,3,0,8,0,4,0,0,0,0,5,3,6,5,0,0,0,12,6,4,0,0,0,0,10,0,0,0,0,0,0,8,0,5,0,0,0,0,3,3,0,0,0,0,0,7,34,42,11,3,4,0,99
