SA3_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
80101,..,81,2523,4544,3560,2829,2883,1606,348,18369,..,474,1988,1083,747,403,198,66,7,4973,..,10,61,232,319,171,76,57,24,945,9606,..,..,..,..,..,..,..,..,9606,..,2247,..,..,..,..,..,..,..,2247,..,1601,969,376,262,88,8,0,0,3304,..,326,337,76,87,90,74,36,19,1050,..,348,592,147,67,60,12,3,0,1226,..,818,1325,292,169,139,78,21,7,2848,..,218,785,716,666,657,579,370,161,4147,93,175,202,109,87,66,50,29,6,822,9703,6292,8777,7582,5968,4498,3961,2193,572,49540,..,187,3333,4702,3420,2806,2739,1156,169,18516,..,708,2119,1050,678,338,177,50,5,5121,..,53,380,829,931,527,250,167,87,3217,8815,..,..,..,..,..,..,..,..,8815,..,2172,..,..,..,..,..,..,..,2172,..,1116,579,186,113,63,14,0,0,2070,..,276,245,87,69,165,185,164,61,1249,..,310,366,73,33,19,12,3,5,818
80103,..,0,9,25,33,32,27,15,0,137,..,0,9,12,9,12,4,0,0,45,..,0,3,4,0,0,0,0,0,14,64,..,..,..,..,..,..,..,..,64,..,9,..,..,..,..,..,..,..,9,..,26,5,0,6,3,0,0,0,41,..,0,4,0,0,3,0,0,0,10,..,0,0,0,0,0,0,0,0,6,..,0,8,10,9,4,5,0,0,44,..,4,20,19,36,43,26,17,0,171,4,0,0,5,5,0,0,0,0,22,69,48,67,75,98,102,64,41,4,568,..,0,23,26,31,22,23,11,0,144,..,8,13,7,9,9,3,0,0,48,..,0,6,9,12,11,0,4,0,33,65,..,..,..,..,..,..,..,..,65,..,23,..,..,..,..,..,..,..,23,..,3,5,0,0,0,0,0,0,12,..,10,0,0,0,0,0,0,4,16,..,3,0,0,0,6,0,0,0,13
80104,..,74,2734,5577,3972,2224,1337,608,105,16634,..,333,1521,822,441,192,82,23,0,3410,..,3,75,177,245,109,33,9,10,660,9993,..,..,..,..,..,..,..,..,9993,..,2266,..,..,..,..,..,..,..,2266,..,1320,676,177,76,24,4,0,0,2272,..,291,340,115,62,46,54,24,12,945,..,253,643,133,47,24,14,5,0,1117,..,475,947,283,128,77,28,10,3,1948,..,140,633,553,442,304,196,85,30,2380,84,90,113,87,46,28,25,5,0,482,10076,5243,7684,7922,5461,3029,1768,769,162,42116,..,181,3891,5683,3545,1918,1139,392,42,16784,..,528,1628,770,366,165,64,5,0,3533,..,46,318,725,738,313,116,57,22,2334,9461,..,..,..,..,..,..,..,..,9461,..,2285,..,..,..,..,..,..,..,2285,..,1001,405,90,46,19,9,0,0,1572,..,244,199,67,72,165,214,135,32,1118,..,230,364,57,23,11,3,0,0,695
80105,..,38,1029,1845,1615,1276,957,516,183,7468,..,418,1774,731,433,320,144,37,8,3860,..,0,14,65,139,77,32,14,18,357,3583,..,..,..,..,..,..,..,..,3583,..,993,..,..,..,..,..,..,..,993,..,404,246,71,63,40,9,0,0,842,..,122,127,31,28,28,29,12,9,385,..,134,290,50,23,19,3,0,0,520,..,1239,1296,207,95,85,34,13,5,2970,..,247,1000,738,545,499,387,189,98,3713,36,177,137,86,50,46,42,20,8,602,3621,3787,5919,3821,2992,2384,1624,794,332,25283,..,66,1308,1950,1665,1178,859,403,97,7525,..,568,1722,650,445,259,100,26,7,3779,..,11,97,313,417,219,75,51,53,1240,3333,..,..,..,..,..,..,..,..,3333,..,955,..,..,..,..,..,..,..,955,..,330,171,55,31,33,6,0,0,628,..,123,141,30,15,57,60,63,33,510,..,128,207,31,10,12,3,0,0,389
80106,..,7,421,1014,1215,1083,937,548,121,5350,..,113,722,320,199,169,96,18,0,1648,..,0,7,51,84,60,18,8,4,244,2007,..,..,..,..,..,..,..,..,2007,..,768,..,..,..,..,..,..,..,768,..,313,180,60,36,24,6,0,0,624,..,44,50,24,18,12,18,7,0,173,..,38,54,17,7,7,0,0,0,126,..,193,429,65,30,30,26,0,5,769,..,91,465,344,307,297,213,113,68,1890,19,38,62,28,39,32,14,8,0,244,2025,1602,2388,1931,1937,1718,1336,710,195,13850,..,23,581,1176,1184,1050,911,377,60,5355,..,141,729,286,195,129,58,8,7,1558,..,0,45,171,254,124,39,35,30,706,2018,..,..,..,..,..,..,..,..,2018,..,751,..,..,..,..,..,..,..,751,..,193,122,37,19,12,6,0,0,395,..,40,61,11,16,12,32,28,29,227,..,23,66,11,3,0,3,0,0,110
80107,..,37,1744,3478,3430,3582,2890,1177,236,16575,..,280,1413,835,647,446,217,53,3,3901,..,5,60,225,299,199,74,28,17,916,8476,..,..,..,..,..,..,..,..,8476,..,2239,..,..,..,..,..,..,..,2239,..,2022,1185,361,179,53,14,0,0,3815,..,228,237,79,81,109,62,34,16,847,..,161,239,73,62,29,17,5,0,576,..,163,313,141,128,121,76,21,6,982,..,71,479,448,547,702,560,258,109,3172,102,127,149,108,74,79,55,13,7,712,8581,5342,5822,5741,5457,5320,3969,1598,398,42222,..,98,2332,3741,3498,3563,2483,850,103,16672,..,457,1466,784,637,409,160,34,7,3957,..,62,492,802,923,565,242,124,74,3298,7980,..,..,..,..,..,..,..,..,7980,..,2194,..,..,..,..,..,..,..,2194,..,1338,724,173,100,55,22,0,0,2408,..,171,155,39,58,189,205,114,71,999,..,156,141,43,20,17,14,7,0,398
80108,..,6,373,1046,1025,736,752,576,128,4647,..,52,333,219,212,114,60,20,3,1010,..,0,4,53,81,49,23,20,6,236,2349,..,..,..,..,..,..,..,..,2349,..,672,..,..,..,..,..,..,..,672,..,356,196,95,72,35,8,0,0,752,..,54,38,15,17,17,13,14,16,179,..,43,57,24,10,14,3,0,0,154,..,46,102,43,34,21,21,9,4,275,..,18,79,86,156,152,175,122,62,840,30,32,21,21,14,13,24,15,0,168,2380,1286,1212,1596,1616,1150,1057,778,215,11288,..,17,535,1115,1042,749,732,432,58,4682,..,72,342,238,203,98,46,17,0,1017,..,5,70,166,238,127,71,45,30,749,2224,..,..,..,..,..,..,..,..,2224,..,625,..,..,..,..,..,..,..,625,..,275,129,48,43,5,3,0,0,501,..,38,33,13,17,35,58,43,6,239,..,40,34,16,6,0,3,0,0,104
80109,..,28,931,1684,1434,1267,976,761,258,7341,..,141,539,323,261,167,92,26,3,1565,..,0,11,53,108,58,21,12,8,268,3361,..,..,..,..,..,..,..,..,3361,..,983,..,..,..,..,..,..,..,983,..,467,339,68,86,53,7,0,0,1021,..,91,116,30,21,36,24,16,16,342,..,94,182,32,10,5,0,0,0,328,..,151,303,96,50,48,23,14,0,696,..,80,337,250,287,311,255,194,101,1813,33,37,56,45,29,34,16,13,9,274,3392,2074,2811,2594,2288,1973,1424,1038,400,17989,..,84,1189,1724,1492,1207,918,658,121,7392,..,173,574,308,242,162,56,21,5,1547,..,14,80,246,326,179,68,74,52,1027,3103,..,..,..,..,..,..,..,..,3103,..,958,..,..,..,..,..,..,..,958,..,380,197,52,38,22,0,0,0,688,..,89,89,41,38,52,56,50,30,450,..,82,150,29,14,8,0,0,3,282
80110,..,11,421,888,373,169,102,33,7,1999,..,75,347,128,55,22,6,0,0,633,..,0,3,25,37,14,4,0,0,83,1320,..,..,..,..,..,..,..,..,1320,..,207,..,..,..,..,..,..,..,207,..,86,62,13,0,0,0,0,0,159,..,41,61,16,0,5,7,0,0,123,..,34,77,19,0,0,0,0,0,137,..,66,150,29,11,4,0,0,0,265,..,32,174,100,69,34,14,0,0,422,9,11,21,13,9,0,4,6,0,71,1331,558,1309,1227,551,257,139,35,8,5416,..,21,616,857,279,144,94,18,4,2027,..,120,326,117,38,14,0,0,0,617,..,14,46,104,99,45,8,4,0,315,1261,..,..,..,..,..,..,..,..,1261,..,219,..,..,..,..,..,..,..,219,..,63,35,11,3,3,0,0,0,115,..,29,43,7,3,24,19,10,6,142,..,21,58,4,3,0,0,0,0,83
80111,..,0,14,29,32,20,14,4,0,116,..,5,11,13,6,4,0,0,0,36,..,0,0,3,0,0,0,0,0,8,83,..,..,..,..,..,..,..,..,83,..,13,..,..,..,..,..,..,..,13,..,7,9,0,0,0,0,0,0,18,..,3,0,0,0,0,0,0,0,6,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,6,83,32,42,45,39,26,21,9,0,298,..,0,18,34,22,19,9,4,0,112,..,8,13,7,6,0,0,0,0,30,..,0,4,4,3,0,0,0,0,11,58,..,..,..,..,..,..,..,..,58,..,14,..,..,..,..,..,..,..,14,..,8,4,0,0,0,0,0,0,9,..,0,0,0,0,0,3,0,0,8,..,5,0,0,0,0,0,0,0,3
