SA3_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
80101,9309,1527,491,0,0,11325,12197,2127,1166,0,4,15498,2245,1525,2363,0,5,6146,1396,588,220,0,10,2210,92,42,81,0,0,212,1410,621,639,0,9,2686,259,102,99,0,4,466,28,19,8,0,0,55,5436,2901,3410,0,27,11767,243,224,105,0,0,566,232,70,41,0,5,352,27414,6848,5220,0,34,39514
80103,119,0,0,94,6,219,44,21,0,0,0,63,14,6,16,4,0,41,0,0,16,18,0,36,0,0,13,0,0,13,31,5,5,4,6,44,10,21,0,29,4,66,0,0,0,0,0,0,61,28,56,57,5,200,10,0,0,4,0,22,0,0,4,0,0,9,233,53,66,157,8,515
80104,3949,704,267,0,4,4926,10666,2580,1132,0,12,14394,2457,1583,1637,0,13,5686,410,347,161,0,3,919,122,77,52,0,4,255,840,476,381,0,4,1709,891,132,80,0,5,1104,23,13,9,0,0,38,4744,2620,2320,0,25,9713,110,133,115,0,4,361,195,51,40,0,0,294,19651,6098,3880,3,53,29684
80105,3459,875,1151,0,4,5489,3272,1285,2542,0,4,7106,1023,972,4139,0,11,6146,471,451,569,0,3,1494,52,64,78,0,5,193,618,415,1145,0,5,2188,195,72,176,0,8,452,14,6,21,0,0,49,2383,1983,6127,0,34,10517,105,85,191,0,0,386,66,35,73,0,0,176,9286,4263,10078,0,39,23677
80106,2259,515,1063,0,0,3838,1934,383,1779,0,3,4099,495,284,2554,0,4,3337,296,136,100,0,0,526,20,16,41,0,0,83,214,89,546,0,0,852,21,12,95,0,0,128,9,5,5,0,0,16,1052,536,3352,0,9,4949,89,109,87,0,5,283,47,13,27,0,0,93,5387,1553,6309,0,20,13258
80107,8681,1115,386,0,4,10185,12859,1624,653,0,0,15137,1703,746,485,0,3,2938,1210,570,199,0,4,1976,61,54,7,0,0,124,1026,333,167,0,4,1526,145,44,11,0,0,198,15,9,5,0,0,20,4157,1755,862,0,10,6788,280,173,71,0,10,525,207,44,29,0,0,280,26178,4708,1999,0,22,32919
80108,3005,322,132,0,0,3454,3197,337,54,0,0,3580,545,168,97,0,0,813,297,281,19,0,0,591,18,16,12,0,0,51,232,71,40,4,0,347,56,29,7,0,0,92,11,5,0,0,0,11,1160,570,172,4,0,1903,65,31,34,0,0,138,55,19,9,0,0,81,7477,1276,398,4,4,9154
80109,3886,708,434,0,4,5029,3327,870,876,0,3,5077,815,804,1243,0,4,2868,308,236,103,0,0,646,14,37,10,0,0,67,365,299,302,0,0,969,44,54,55,0,0,149,9,8,0,0,0,18,1551,1442,1716,0,12,4718,92,65,201,0,0,357,74,31,38,0,4,143,8933,3118,3258,0,16,15322
80110,185,57,82,0,0,322,1297,612,792,0,6,2707,104,153,401,0,0,655,20,100,48,0,0,167,0,5,0,0,0,10,38,35,107,0,3,190,30,17,14,0,0,62,0,0,0,0,0,3,194,311,572,0,3,1083,12,9,10,0,0,36,9,5,14,0,0,32,1704,996,1471,0,6,4178
80111,33,0,0,0,0,33,90,0,0,0,0,90,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,15,0,0,0,0,15,10,0,0,0,3,17,0,0,0,0,0,0,36,0,0,0,3,42,10,0,0,0,0,11,6,0,0,0,0,6,177,0,0,0,6,185
