SA3_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
80101,18,267,983,12376,10919,2187,440,215,27414,0,198,1726,1808,186,19,9,38,3976,0,139,775,1620,283,12,7,29,2873,0,335,2505,3427,470,27,12,69,6848,14,236,505,222,33,0,3,15,1029,9,311,484,93,0,0,0,9,913,3,1154,953,171,3,0,0,17,2305,11,447,402,76,0,0,0,9,938,0,5,20,11,0,3,0,0,40,41,2158,2351,571,38,7,3,49,5220,0,0,0,0,0,0,0,0,0,0,3,10,8,10,0,0,5,34,71,2769,5847,16380,11436,2219,454,336,39514
80103,0,16,75,84,40,13,4,5,233,0,6,11,14,0,0,0,0,34,0,0,0,21,4,0,0,0,22,0,6,11,29,4,0,0,0,53,0,47,9,0,0,0,0,3,61,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,15,0,0,0,0,3,66,8,56,75,18,0,0,0,4,157,0,0,4,5,0,0,0,0,8,8,120,169,137,44,13,9,11,515
80104,6,74,711,6031,10400,2017,239,182,19651,0,36,707,1558,99,10,0,19,2428,10,183,865,2015,532,35,0,36,3668,10,222,1572,3576,629,40,0,54,6098,4,51,119,25,3,0,0,0,201,0,559,558,163,30,0,0,14,1329,0,664,862,175,23,0,0,23,1748,0,81,393,112,0,0,0,5,593,0,5,5,3,0,0,0,0,10,3,1358,1933,477,56,0,3,43,3880,0,0,0,0,0,0,0,0,3,3,5,9,7,9,3,0,5,53,23,1658,4221,10094,11096,2061,240,280,29684
80105,12,163,687,4237,3239,761,123,62,9286,11,208,425,529,87,13,4,26,1303,4,319,897,1501,202,19,4,11,2964,18,522,1325,2031,295,30,11,32,4263,10,770,966,169,14,5,0,22,1952,23,820,1023,169,10,0,3,18,2064,32,1024,1387,271,11,0,0,13,2748,37,1278,1530,356,20,0,0,22,3239,0,35,15,9,4,0,3,3,72,107,3921,4914,974,69,3,6,84,10078,0,0,0,0,0,0,0,0,0,3,20,14,10,0,0,0,0,39,142,4619,6942,7248,3597,803,143,181,23677
80106,3,77,407,1895,2129,700,136,44,5387,0,50,139,194,46,4,0,8,447,0,88,319,565,110,19,4,3,1104,6,137,454,759,155,21,4,10,1553,11,168,584,135,12,0,0,9,919,7,248,1087,215,3,0,0,10,1581,13,1175,1737,555,5,0,0,16,3506,0,74,49,30,0,0,0,3,148,0,61,77,6,0,0,0,0,146,32,1726,3543,940,24,0,0,38,6309,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,20,40,1939,4409,3595,2314,723,139,95,13258
80107,11,103,658,11784,10820,2209,386,213,26178,0,101,952,2153,147,4,0,26,3388,0,55,337,705,211,5,0,13,1322,0,154,1291,2855,362,8,0,41,4708,0,45,145,481,59,0,0,13,743,0,38,138,25,3,0,0,0,200,15,218,265,41,0,0,0,10,549,0,239,164,47,0,0,0,5,459,0,6,15,12,3,3,0,0,43,17,551,720,611,67,6,0,33,1999,0,0,0,0,0,0,0,0,0,0,3,5,7,3,0,0,7,22,26,813,2682,15251,11252,2218,389,285,32919
80108,8,41,204,3097,3248,713,119,47,7477,7,95,492,288,56,0,0,15,954,0,37,70,172,28,3,0,0,322,7,137,555,464,85,3,0,20,1276,0,63,169,34,10,0,0,4,280,0,0,8,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48,23,19,3,0,0,0,102,3,111,204,58,16,0,0,4,398,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,24,291,965,3619,3349,722,125,65,9154
80109,10,58,270,3363,3826,1098,237,70,8933,3,149,394,477,93,5,5,7,1135,12,270,801,783,97,4,0,15,1982,19,422,1193,1260,191,9,10,21,3118,19,94,180,51,11,0,0,0,356,26,428,706,124,3,0,0,25,1306,3,218,408,136,0,0,0,12,777,0,313,415,52,0,0,0,9,794,0,10,10,10,0,0,0,0,29,46,1066,1711,376,10,0,0,43,3258,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,4,16,73,1548,3188,5000,4031,1104,246,136,15322
80110,0,8,23,331,1042,259,27,11,1704,0,0,58,14,16,0,0,0,95,0,39,207,502,138,6,0,5,902,0,43,265,515,159,6,0,3,996,0,10,54,18,0,0,0,0,80,0,67,146,95,31,0,0,0,343,0,280,526,176,20,0,0,8,1014,0,10,16,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,367,748,287,60,0,0,12,1471,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,6,4,416,1038,1133,1256,269,29,27,4178
80111,0,3,20,68,64,12,9,4,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,20,64,67,12,11,4,185
