SA3_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
80101,0,85,..,2385,146,2539,11,2545,..,323,45,372,3,374,..,149,14,166,3,170,..,63,18,83,0,85,..,199,43,247,0,246,..,65,13,72,0,72,..,138,4,140,0,142,..,134,25,152,0,152,..,112,8,125,0,125,..,82,4,87,0,91,..,106,17,120,4,124,..,69,4,76,3,76,..,100,11,112,4,115,..,218,7,219,0,219,..,162,7,172,0,172,..,343,4,344,0,346,..,77,0,78,0,78,..,801,22,817,0,822,..,532,78,607,4,609,..,167,5,170,5,174,..,190,33,222,0,222,..,36,7,41,0,41,..,713,181,891,10,900,..,1739,262,1994,33,2028,..,11544,1471,13015,107,13118,..,212,31,241,1647,1887,38516,11753,1503,13259,1756,53530,76764,..,..,..,..,76764,..,124,5,128,0,127,..,756,124,885,3,890,..,77,0,75,0,75,..,739,157,896,9,903,..,3027,607,3636,23,3655
80103,0,0,..,21,0,21,0,21,..,3,0,3,0,3,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,6,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,10,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,23,0,23,0,22,..,94,6,95,0,101,..,0,0,0,164,167,378,96,6,101,172,646,950,..,..,..,..,950,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,7,6,14,0,14
80104,4,187,..,4874,334,5209,46,5258,..,172,15,186,3,185,..,123,6,131,0,132,..,36,14,51,0,51,..,427,198,627,4,637,..,105,15,116,0,116,..,222,6,231,7,235,..,117,20,141,0,144,..,70,3,79,0,81,..,139,13,145,0,151,..,89,5,104,0,100,..,57,8,60,0,62,..,118,17,134,0,134,..,233,0,236,4,241,..,123,6,128,0,128,..,321,14,332,3,334,..,82,4,79,0,83,..,754,24,780,5,791,..,385,57,440,6,445,..,400,25,427,5,431,..,149,23,177,0,178,..,47,3,50,3,52,..,656,189,845,7,846,..,1909,254,2161,49,2205,..,14680,2016,16698,177,16879,..,233,50,283,1254,1541,25566,14914,2067,16977,1438,43981,50856,..,..,..,..,50856,..,291,0,291,0,297,..,798,122,916,9,925,..,49,3,47,0,47,..,1028,263,1293,3,1297,..,3717,1110,4833,42,4868
80105,0,57,..,763,27,791,4,796,..,182,16,203,0,203,..,107,6,117,0,117,..,26,4,29,0,34,..,196,43,238,3,240,..,31,6,39,0,39,..,37,0,35,0,35,..,56,10,69,0,69,..,56,5,61,0,61,..,49,0,49,0,49,..,65,7,65,0,65,..,24,0,23,0,26,..,65,13,74,0,74,..,67,0,70,0,70,..,127,3,137,0,137,..,72,0,73,0,70,..,53,0,51,0,54,..,324,8,332,4,331,..,245,33,271,3,275,..,92,3,93,0,93,..,80,17,97,0,97,..,12,0,18,0,18,..,300,83,381,7,382,..,921,93,1009,20,1030,..,6224,620,6846,60,6908,..,117,16,135,1530,1665,22436,6343,638,6982,1587,31002,44461,..,..,..,..,44461,..,60,0,60,0,60,..,215,35,248,0,247,..,44,0,44,0,44,..,580,51,635,3,644,..,2521,313,2834,19,2858
80106,0,16,..,490,21,514,5,521,..,162,17,179,0,179,..,66,0,69,0,69,..,7,0,11,0,11,..,64,9,73,3,75,..,40,0,40,0,40,..,19,0,19,0,19,..,48,0,45,0,45,..,57,3,59,0,59,..,47,6,49,0,49,..,48,3,52,0,57,..,9,0,10,0,10,..,24,4,28,0,28,..,42,0,42,0,43,..,56,0,58,0,58,..,39,0,42,0,42,..,14,4,17,0,17,..,148,9,159,0,162,..,144,14,159,0,159,..,56,0,52,0,52,..,37,6,43,0,43,..,30,6,29,0,29,..,95,7,107,0,107,..,340,31,370,11,375,..,3054,226,3286,29,3316,..,58,0,62,911,974,12045,3119,230,3343,941,16331,23533,..,..,..,..,23533,..,32,0,32,0,34,..,157,29,186,0,186,..,16,0,16,0,16,..,218,14,232,0,237,..,623,89,708,7,713
80107,0,47,..,1203,83,1289,13,1308,..,196,22,217,4,216,..,76,4,82,0,82,..,14,7,17,0,17,..,70,13,84,0,84,..,62,4,72,0,72,..,402,34,436,7,438,..,70,9,76,0,75,..,120,10,132,0,132,..,64,3,77,0,78,..,73,11,79,0,79,..,79,0,79,0,79,..,130,9,140,0,140,..,166,4,163,0,166,..,70,3,75,0,75,..,243,5,248,0,255,..,65,0,68,0,68,..,552,10,559,5,569,..,323,47,369,4,374,..,155,5,163,0,163,..,134,48,176,0,181,..,15,3,13,4,17,..,294,91,392,8,394,..,944,159,1103,22,1123,..,6602,793,7395,78,7472,..,141,17,155,1249,1405,36541,6744,804,7545,1327,45414,72435,..,..,..,..,72435,..,126,0,126,4,129,..,897,129,1024,5,1034,..,66,5,66,0,68,..,359,99,457,0,463,..,500,101,603,7,608
80108,0,15,..,270,12,284,0,284,..,105,13,117,3,116,..,29,3,38,0,38,..,5,0,5,0,5,..,20,3,22,0,22,..,13,0,14,0,14,..,87,7,97,3,101,..,29,7,27,0,27,..,31,3,37,0,37,..,14,3,15,0,15,..,22,4,28,0,28,..,17,0,17,0,18,..,30,6,41,0,41,..,35,0,33,0,33,..,31,0,32,0,32,..,41,0,41,0,41,..,17,0,19,0,19,..,129,0,132,0,132,..,81,20,102,0,102,..,28,0,28,0,28,..,31,8,39,0,39,..,9,0,10,0,10,..,41,16,59,0,59,..,261,32,298,9,309,..,1822,220,2043,19,2066,..,25,0,24,403,429,10186,1845,220,2066,421,12676,19905,..,..,..,..,19905,..,32,0,32,0,27,..,85,13,103,0,106,..,12,0,12,0,12,..,111,14,124,0,124,..,220,47,269,0,273
80109,0,45,..,1172,60,1236,10,1242,..,169,21,192,3,194,..,59,3,63,0,63,..,11,4,14,0,14,..,78,17,94,0,99,..,35,12,49,0,49,..,234,28,265,7,270,..,35,8,43,0,43,..,50,5,55,0,55,..,43,0,42,0,49,..,39,9,43,0,43,..,8,0,8,0,8,..,57,7,56,0,60,..,121,0,123,0,123,..,49,3,55,0,55,..,174,0,177,0,177,..,52,5,58,0,58,..,400,11,411,0,413,..,140,3,144,0,147,..,162,17,177,3,180,..,50,8,62,0,64,..,13,0,12,0,12,..,85,10,99,0,97,..,706,77,781,7,788,..,4758,442,5201,52,5250,..,103,16,126,617,742,14171,4866,454,5322,670,20165,27870,..,..,..,..,27870,..,33,0,34,4,35,..,232,23,255,4,256,..,21,0,21,0,21,..,310,49,356,3,363,..,746,130,878,4,885
80110,0,26,..,721,52,769,14,781,..,20,0,20,0,20,..,14,3,14,0,14,..,4,0,4,0,4,..,60,17,73,3,74,..,11,0,11,0,11,..,137,4,143,0,147,..,27,5,32,0,32,..,15,0,15,0,15,..,15,0,16,0,16,..,13,0,20,0,20,..,7,0,7,0,7,..,20,0,20,0,20,..,67,0,67,5,69,..,13,0,11,0,11,..,68,0,69,0,69,..,13,0,15,0,15,..,164,6,166,5,172,..,44,3,45,0,45,..,66,3,71,0,76,..,30,4,35,0,35,..,10,0,11,0,13,..,46,3,49,0,49,..,324,22,343,17,359,..,2254,188,2440,39,2479,..,44,9,45,173,225,3120,2299,193,2490,212,5828,6120,..,..,..,..,6120,..,5,0,5,0,5,..,189,24,213,0,219,..,0,0,0,0,0,..,169,19,189,3,187,..,435,72,507,4,511
80111,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,11,0,11,0,11,..,0,0,0,17,23,268,12,0,12,17,300,560,..,..,..,..,560,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4
