SA3_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
80101,874,3363,7730,6551,4717,3152,2697,1376,349,30807,99,154,324,312,284,231,151,81,26,1662,180,226,623,560,824,943,759,401,105,4625,26,28,75,87,97,122,235,136,42,849,6,9,50,66,57,114,178,201,109,794,3,6,57,35,37,35,24,29,14,251,88,194,444,307,240,174,147,139,64,1797,1269,3979,9304,7919,6259,4778,4193,2371,704,40781,945,3619,7963,7008,4999,3399,2703,1180,316,32135,70,105,199,223,219,262,213,132,45,1473,102,137,427,447,699,1095,1277,720,233,5137,15,20,62,61,88,146,330,190,90,993,7,11,31,42,64,124,269,278,149,981,4,11,32,24,34,54,44,59,31,281,81,170,394,246,186,167,205,142,93,1691,1224,4056,9109,8048,6289,5251,5045,2703,963,42690,1820,6975,15697,13558,9721,6552,5401,2556,665,62938,164,257,523,534,505,498,365,214,75,3131,280,365,1048,1008,1526,2041,2039,1122,337,9764,45,48,137,148,185,265,563,325,129,1843
80103,24,57,120,80,71,53,25,18,5,457,0,11,11,4,4,5,7,5,0,46,8,25,73,55,49,48,15,6,0,289,0,0,5,3,6,8,5,9,0,39,0,5,9,7,7,5,13,3,3,56,0,0,0,4,0,0,0,0,0,5,12,29,64,73,58,57,27,13,0,327,37,117,288,225,197,183,93,55,9,1206,8,30,53,53,44,28,26,8,0,246,0,3,0,3,0,4,0,0,0,19,4,0,7,10,15,18,22,8,0,91,3,0,0,0,3,8,6,10,0,29,0,0,0,0,0,3,9,6,0,13,0,0,0,0,0,3,0,0,0,10,9,18,33,20,14,28,19,10,0,140,20,53,94,89,85,93,80,34,8,546,26,91,174,131,118,83,53,32,5,708,0,10,12,6,8,9,10,5,0,63,15,22,79,65,64,68,40,15,0,373,3,0,8,7,13,23,9,13,0,66
80104,637,2482,6745,7084,4549,2210,1202,420,80,25413,72,115,241,258,226,181,75,30,6,1206,95,151,471,419,540,533,315,158,26,2706,22,19,68,65,78,54,96,64,20,492,10,6,40,59,51,54,87,93,29,423,0,7,56,42,36,31,23,14,4,216,79,125,369,273,163,105,74,38,8,1235,917,2906,8001,8199,5638,3172,1871,818,165,31688,720,2523,7275,7283,4384,2194,1090,383,55,25913,63,79,201,223,212,204,110,39,14,1138,71,107,353,383,584,636,617,276,50,3077,28,8,47,53,52,72,129,86,29,514,5,6,32,46,67,98,166,114,47,575,0,5,44,33,39,50,48,27,6,249,66,110,333,251,163,82,94,50,13,1161,961,2845,8274,8271,5498,3333,2262,981,205,32621,1361,5011,14019,14367,8934,4402,2297,799,138,51325,141,194,441,473,431,385,183,66,18,2341,164,259,823,805,1120,1171,934,430,73,5785,53,27,115,121,137,127,229,152,41,997
80105,1243,3728,5904,3651,2672,2036,1388,591,228,21432,15,44,128,98,98,79,73,25,12,574,33,51,172,137,231,301,164,106,51,1249,11,9,30,33,27,37,31,48,28,244,4,3,17,9,26,32,48,64,45,257,0,3,16,13,14,8,17,3,7,80,229,431,428,226,137,133,108,62,49,1810,1540,4270,6699,4168,3218,2621,1823,895,421,25651,1448,4112,5998,3723,2923,2116,1366,599,235,22522,23,30,83,61,74,69,62,63,16,486,31,42,116,101,171,299,277,216,142,1393,0,12,25,12,23,42,60,75,61,310,6,0,9,25,21,36,68,112,94,365,0,6,17,11,11,16,13,18,17,110,271,370,323,180,91,84,91,101,88,1591,1777,4564,6569,4115,3317,2668,1943,1183,648,26782,2691,7840,11901,7375,5601,4146,2752,1186,457,43955,44,80,215,155,178,145,135,79,31,1059,64,94,287,238,398,606,437,329,193,2645,10,16,56,45,56,75,92,117,87,558
80106,199,799,2303,1842,1760,1494,1208,596,166,10373,11,15,50,44,56,77,40,21,12,327,30,17,65,61,126,182,129,72,34,722,5,10,8,12,18,17,24,23,5,115,4,0,3,11,9,11,26,31,19,116,0,0,6,4,3,4,5,4,6,27,27,58,186,132,119,112,112,68,31,845,279,900,2622,2100,2089,1896,1546,819,268,12525,191,831,2495,2111,1835,1550,1192,550,208,10971,14,11,30,33,57,69,68,46,34,359,14,12,56,44,107,208,244,167,119,963,4,0,6,10,7,25,37,47,63,201,0,4,6,4,13,29,40,34,58,190,0,0,0,4,7,0,6,14,4,40,29,68,188,111,123,93,106,72,82,881,254,931,2787,2318,2150,1975,1698,935,574,13614,392,1635,4801,3958,3590,3040,2399,1151,378,21346,23,31,78,78,113,148,107,73,48,690,39,31,125,105,230,391,370,237,150,1681,11,6,18,15,23,39,62,70,71,316
80107,692,2216,4675,4638,3951,3394,2407,896,190,23059,85,133,284,302,353,355,233,78,21,1834,206,277,713,666,988,1377,958,336,104,5631,44,27,95,93,112,177,222,132,47,944,5,14,41,32,60,96,213,161,68,686,4,6,14,21,27,16,23,23,3,132,80,75,232,212,165,149,169,111,55,1246,1107,2748,6056,5963,5653,5559,4220,1736,489,33540,664,2136,4968,5152,4476,3713,2221,725,204,24263,71,98,247,232,305,361,231,84,22,1648,120,169,592,530,943,1585,1387,640,227,6203,21,16,80,86,112,198,343,193,71,1120,8,14,30,31,42,155,235,240,148,893,0,3,8,11,27,35,30,32,28,177,61,71,191,200,158,127,177,158,89,1240,953,2503,6121,6242,6067,6164,4628,2076,788,35545,1360,4356,9646,9787,8426,7106,4630,1625,394,47319,153,227,526,532,660,718,465,159,43,3481,322,446,1314,1201,1931,2964,2343,979,330,11837,65,45,172,176,228,375,568,323,115,2067
80108,191,491,1082,1439,1374,895,790,497,132,6892,11,16,41,63,46,53,38,29,6,309,20,43,88,73,162,185,166,140,48,919,10,3,12,7,22,22,44,51,22,191,0,0,4,13,16,19,35,66,30,185,0,0,0,6,5,0,9,10,3,37,23,32,67,70,47,44,66,71,41,459,258,593,1285,1670,1669,1214,1143,871,286,8985,177,488,1167,1608,1503,1017,807,450,117,7335,11,10,24,36,53,56,66,48,19,327,18,26,78,61,137,202,341,260,88,1206,9,3,14,14,22,19,63,79,35,262,4,3,3,5,16,17,60,81,48,239,0,0,0,0,4,6,6,18,14,42,17,19,55,57,45,47,80,99,76,505,227,550,1346,1785,1780,1368,1422,1032,400,9908,368,981,2250,3046,2876,1907,1593,950,245,14221,18,29,66,96,99,111,105,79,26,635,39,69,162,135,293,382,507,399,132,2125,14,9,21,19,48,42,103,127,60,451
80109,260,1005,2597,2377,2021,1662,1188,716,283,12116,25,40,70,54,71,90,51,45,14,458,39,37,114,124,192,249,162,182,82,1182,10,7,10,24,24,21,39,47,27,208,4,0,0,20,15,19,33,70,53,215,0,3,12,16,11,11,4,4,9,61,32,53,146,93,100,83,69,91,38,707,369,1144,2953,2714,2423,2132,1551,1163,503,14953,275,1090,2792,2582,2242,1733,1141,772,284,12912,11,18,38,47,48,76,81,71,32,422,22,29,74,90,178,277,301,378,183,1533,4,3,15,8,19,34,54,98,46,290,0,0,7,14,14,23,55,131,85,343,0,4,3,9,13,11,14,25,10,95,20,41,124,83,89,64,99,96,72,691,337,1186,3054,2830,2602,2230,1756,1570,717,16279,537,2092,5382,4961,4268,3399,2334,1491,569,25030,36,58,111,104,117,172,133,120,46,889,59,68,184,215,367,526,463,564,261,2713,12,7,27,35,38,59,93,144,75,498
80110,71,303,1218,1150,491,198,105,27,8,3558,4,15,27,19,25,10,17,0,0,118,7,10,47,48,37,40,16,7,0,214,0,0,11,8,4,5,0,0,0,29,0,0,3,3,7,4,8,0,0,25,3,0,4,0,0,0,0,0,0,9,6,12,63,33,15,11,8,7,0,149,91,346,1362,1261,571,271,150,44,8,4102,69,369,1442,1153,417,229,93,18,0,3793,9,4,26,23,24,15,9,0,0,105,11,14,34,39,44,48,40,13,4,232,5,7,6,4,5,8,3,0,0,38,0,0,5,0,7,11,3,8,0,34,0,0,0,5,0,9,0,0,0,13,7,13,68,32,19,11,14,0,0,167,103,404,1574,1249,517,320,165,39,10,4384,138,676,2661,2296,909,420,195,46,5,7348,13,21,48,42,50,23,19,0,0,224,17,17,79,82,83,90,54,21,7,452,7,7,16,10,4,14,7,3,0,61
80111,9,15,30,33,28,15,13,0,0,141,0,0,0,0,0,0,0,0,0,8,3,0,4,9,13,18,4,0,0,47,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,0,0,24,8,15,43,47,43,33,24,9,0,228,5,11,35,47,32,28,11,0,0,164,0,3,0,0,0,0,0,0,0,3,3,4,6,6,5,11,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,3,3,4,4,0,0,0,16,11,15,43,54,35,43,17,7,5,226,6,21,64,81,57,38,24,3,0,308,0,0,0,0,5,0,0,0,0,14,8,6,9,16,11,28,10,0,0,79,0,0,5,0,0,0,0,0,0,9
