SA3_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Dep_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
80101,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,372,501,132,19,252,173,67,70,770,40,640,3868,156,6122,698,669,251,46,340,270,65,153,1000,68,783,3216,171,6015,2564,1616,726,259,1264,1096,334,564,2429,337,2108,6428,331,14111,1520,1211,550,96,704,631,171,295,1457,144,1289,6682,268,11891,2105,2384,772,69,1016,857,236,322,2784,149,2529,13888,508,23236,1270,1993,502,16,667,397,149,131,2067,59,1981,10077,356,17001,370,472,145,0,209,144,37,39,375,21,465,2988,110,4729,201,73,58,88,62,84,26,44,119,25,166,467,2810,3703,9103,8923,3130,596,4506,3651,1088,1603,11014,845,9961,47605,4712,86802,1763,915,546,498,843,906,291,499
80103,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,6,7,0,5,0,0,3,3,0,7,33,0,57,9,4,0,0,3,0,0,0,8,0,9,37,0,67,69,29,14,3,34,17,15,31,66,15,45,80,6,259,16,15,3,0,10,6,0,0,14,4,8,108,9,171,31,24,6,0,8,8,0,0,29,0,28,213,4,312,6,11,0,0,5,0,0,0,10,0,12,78,3,113,0,0,5,0,0,0,0,0,0,0,5,28,0,36,4,0,0,0,0,0,0,3,6,3,0,8,743,760,150,93,34,10,68,41,19,41,139,24,119,580,774,1772,27,15,0,3,14,8,4,6
80104,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,248,369,89,19,292,117,43,35,545,43,459,4158,141,5906,276,412,98,13,193,103,48,57,568,39,504,2697,108,4370,1102,762,343,80,627,453,146,240,1199,136,1048,4624,209,8399,618,647,186,19,355,240,98,82,822,42,691,5909,184,8623,994,1593,306,13,732,360,108,137,1832,72,1556,12373,385,18224,874,1497,271,3,603,270,85,70,1428,42,1482,9512,278,14657,289,398,94,0,187,108,21,31,320,20,466,3127,93,4710,46,31,12,6,27,14,5,12,36,7,44,379,2035,2567,4448,5714,1394,163,3016,1664,541,671,6742,394,6250,42779,3431,67456,669,477,176,125,400,306,115,186
80105,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105,230,40,16,62,60,20,21,433,17,244,2287,71,3283,213,394,74,25,100,98,24,55,678,27,406,2414,88,3973,969,891,256,103,423,402,128,270,1543,140,1014,4051,168,7944,503,498,152,41,163,203,64,93,811,56,557,3818,119,6000,820,1215,346,45,297,316,77,128,1723,64,1399,7904,248,12697,713,1236,318,15,261,211,67,63,1334,37,1230,7122,242,11398,347,462,168,5,133,119,22,29,388,17,476,3249,109,4996,71,29,16,169,42,54,13,24,120,32,100,215,3073,3590,3740,4945,1369,424,1492,1460,407,674,7029,389,5420,31059,4112,53862,687,299,190,366,318,381,111,189
80106,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75,125,38,14,38,34,6,9,163,12,141,1039,37,1560,120,143,34,14,39,61,20,18,192,13,134,818,44,1410,510,293,159,103,198,203,75,103,497,58,424,1144,60,2695,343,191,124,35,101,139,31,65,222,23,264,1264,52,2276,543,562,264,54,190,260,71,68,691,45,666,3578,158,6096,512,644,222,23,172,194,62,46,618,26,723,4178,142,6689,380,377,205,10,125,178,34,39,309,22,458,2990,104,4680,45,17,21,87,20,18,9,14,62,26,137,132,1490,1851,2529,2351,1063,338,896,1083,298,371,2750,227,2953,15140,2091,27253,395,160,137,234,162,205,71,113
80107,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,377,506,133,24,267,159,41,71,804,48,618,2827,162,5038,630,541,209,43,329,253,83,113,778,66,673,2529,183,5014,2509,1387,691,193,1185,1010,335,592,1911,262,1880,4319,251,11081,1333,1024,476,52,639,560,153,238,1274,110,1109,5048,266,9674,1965,2099,734,47,1107,771,200,297,2422,132,2270,11445,501,20087,1265,1679,436,11,682,454,135,137,1606,60,1753,8607,339,14801,314,401,128,4,174,120,36,26,271,18,436,2286,84,3775,169,57,45,95,66,65,19,31,111,24,139,362,2049,2806,8568,7689,2852,465,4450,3397,1005,1496,9169,717,8876,37430,3829,72279,1519,787,490,375,784,764,296,411
80108,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93,100,29,11,53,38,10,21,153,12,126,773,41,1264,176,151,68,23,75,71,19,27,219,27,173,777,40,1475,754,335,201,104,285,313,106,166,482,95,434,1140,76,2985,403,231,146,35,166,181,38,81,244,38,287,1177,76,2357,556,479,236,28,266,231,73,82,550,36,550,2486,104,4586,384,490,122,9,158,120,33,38,465,20,505,2683,95,4434,145,177,52,0,55,44,15,15,132,11,179,1115,40,1757,40,13,23,54,25,32,12,12,36,12,94,91,674,965,2555,1968,881,265,1089,1032,305,443,2279,248,2346,10235,1155,19823,498,216,168,203,202,244,95,133
80109,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,135,140,41,20,98,54,23,30,246,22,194,1327,54,2072,215,177,93,24,95,93,27,38,266,24,216,1108,45,1982,849,462,276,126,394,401,112,189,618,105,684,1975,108,4430,542,327,195,66,193,256,59,95,386,59,420,2292,75,3976,823,731,308,52,342,336,89,120,789,72,866,4836,146,7993,561,703,210,22,263,208,51,44,672,39,763,4325,152,6982,260,321,105,5,117,109,21,19,206,18,360,2346,87,3582,58,32,19,50,26,27,12,14,48,9,43,175,1133,1497,3448,2889,1250,366,1524,1477,388,561,3227,344,3547,18384,1796,32513,667,270,246,296,294,366,124,191
80110,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,24,10,0,23,11,3,0,47,4,37,460,15,615,20,44,4,3,19,5,0,7,55,0,36,238,3,373,72,67,21,6,45,26,11,12,139,4,97,437,9,739,32,66,17,0,37,22,6,8,95,3,70,711,19,967,114,224,28,0,82,25,15,8,280,0,211,1774,40,2557,102,206,29,0,69,26,13,3,246,0,231,1642,36,2377,30,52,10,0,23,12,5,0,45,0,78,587,9,799,7,4,0,0,0,0,0,0,4,0,3,41,287,346,388,693,117,11,294,123,55,46,901,24,757,5898,428,8770,44,32,9,9,28,24,6,13
80111,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,4,0,0,0,3,0,0,5,0,7,14,0,27,0,0,0,0,0,0,0,3,5,0,0,17,0,23,13,3,7,0,3,6,0,3,12,0,0,17,0,49,9,4,0,0,6,5,0,0,5,0,3,38,3,56,6,15,6,0,3,0,0,0,16,0,7,84,5,133,7,15,3,0,4,0,0,0,12,0,10,62,3,103,4,5,0,0,0,0,0,0,6,0,5,19,0,36,0,0,0,0,0,0,0,0,0,0,0,6,35,43,42,47,13,0,21,17,8,8,54,3,36,268,48,474,4,5,3,0,5,3,0,0
