SA3_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
80101,52533,53530,106061,3259,3019,6279,6776,6210,12979,2965,2810,5775,3988,4061,8052,9309,9116,18425,7923,8050,15972,6264,6294,12556,4773,5258,10035,4198,5041,9242,2371,2708,5077,704,961,1667,50722,51872,102591,1812,1659,3470,1096,1017,2116,22,19,35,21,39,56,1138,1071,2207,36233,36309,72545,14505,15538,30044,38247,38516,76764,12296,13118,25419,44696,45710,90409,931,914,1842,6492,5934,12423,2367,2311,4678,1912,2201,4113,3115,3804,6926,30883,32222,63108,2089,1905,3989,5125,5626,10746,1370,1447,2820,980,1128,2108,251,281,534,49682,50557,100240,2512,2711,5219
80103,1289,646,1934,25,25,52,51,59,110,47,33,81,117,53,171,288,94,383,225,89,312,197,85,281,183,93,269,93,80,176,55,34,85,9,8,16,1238,631,1869,52,13,70,102,27,131,4,0,5,5,0,3,107,32,136,802,364,1164,207,129,338,568,378,950,118,101,214,624,435,1055,3,10,15,40,48,89,22,19,41,28,15,43,34,33,67,457,246,708,46,25,68,285,94,378,36,37,70,52,16,71,5,10,11,546,464,1013,781,218,1001
80104,43701,43981,87682,3505,3326,6832,6891,6511,13395,2496,2460,4957,2915,2847,5762,8011,8277,16292,8209,8279,16485,5640,5502,11141,3174,3330,6503,1871,2262,4136,818,981,1797,165,205,374,42586,42943,85529,1114,1036,2153,672,694,1363,21,16,31,19,18,43,703,728,1434,26122,26265,52389,16279,16445,32717,25284,25566,50856,16843,16879,33719,36026,36375,72403,1047,978,2017,6561,6204,12759,2075,2085,4161,1285,1346,2635,2614,3337,5952,25502,26006,51515,1635,1543,3178,3198,3542,6740,948,953,1894,571,684,1254,216,250,461,42191,42591,84777,1101,1097,2206
80105,30179,31002,61188,1245,1126,2374,2551,2396,4948,2262,2460,4714,4270,4570,8845,6703,6574,13276,4168,4122,8288,3219,3317,6535,2624,2671,5293,1823,1948,3766,894,1181,2080,421,648,1069,28792,29504,58296,1394,1504,2893,390,389,784,8,19,30,25,14,36,429,420,847,20053,20320,40377,8307,9108,17419,22029,22436,44461,6245,6908,13148,24753,25547,50301,375,340,719,2459,2311,4771,1865,2047,3905,2677,2927,5602,2423,2761,5185,21467,22558,44031,766,696,1465,1438,1582,3020,479,506,990,332,432,764,80,110,191,25204,26433,51639,5268,4575,9841
80106,15257,16331,31592,586,639,1221,1591,1523,3111,839,811,1649,902,934,1838,2622,2788,5409,2104,2319,4417,2089,2150,4238,1896,1975,3874,1546,1698,3241,819,935,1758,268,574,842,14530,15617,30143,728,719,1445,188,201,389,3,10,14,10,7,20,205,213,418,10442,10913,21359,3938,4508,8450,11494,12045,23533,2828,3316,6140,13318,14159,27478,204,195,400,1489,1445,2936,714,704,1409,422,432,859,875,1141,2019,10395,11002,21394,492,522,1019,906,1140,2047,249,341,591,168,240,406,27,40,66,13921,14883,28802,1636,1770,3410
80107,44054,45414,89461,2823,2622,5440,6021,5723,11744,2758,2458,5213,2748,2503,5254,6057,6122,12184,5960,6241,12208,5655,6069,11728,5562,6167,11734,4227,4630,8855,1740,2075,3815,489,788,1281,42517,44014,86530,1531,1401,2936,1300,1278,2578,27,32,62,40,46,87,1372,1355,2728,33717,34209,67926,9037,9930,18963,35891,36541,72435,6766,7472,14237,40584,41786,82375,798,772,1567,5782,5467,11252,2143,1972,4122,964,982,1947,1499,2246,3750,23144,24327,47478,2261,2085,4345,6094,6647,12744,1418,1551,2977,908,1025,1935,132,177,313,42339,43625,85966,1147,1303,2453
80108,11952,12676,24630,709,715,1424,1764,1626,3387,749,655,1402,593,555,1148,1288,1346,2632,1669,1785,3455,1671,1780,3453,1214,1368,2587,1142,1418,2559,871,1032,1898,286,400,683,11523,12256,23777,432,424,857,205,188,393,13,4,18,12,10,26,224,210,433,8921,9303,18226,2597,2964,5559,9720,10186,19905,1804,2066,3866,10864,11501,22367,208,225,435,1695,1561,3257,611,563,1180,255,274,528,486,636,1124,6913,7345,14253,434,437,868,1077,1339,2414,333,401,729,237,277,513,37,42,79,11317,11979,23293,461,576,1032
80109,19118,20165,39279,1033,944,1981,2476,2308,4780,1015,960,1980,1144,1186,2327,2952,3054,6008,2707,2829,5539,2429,2602,5028,2132,2230,4363,1551,1755,3311,1165,1570,2734,503,717,1221,18355,19403,37756,763,761,1524,248,259,504,9,9,16,15,17,27,270,280,549,12619,12984,25603,5789,6513,12304,13702,14171,27870,4658,5250,9910,16148,17077,33226,298,275,569,2388,2219,4607,856,828,1680,560,614,1169,984,1275,2258,12141,12937,25082,638,604,1247,1384,1726,3109,397,474,873,272,384,655,61,95,156,18048,19022,37066,1118,1201,2316
80110,5610,5828,11435,529,469,999,838,839,1668,233,238,472,346,410,751,1359,1574,2937,1261,1249,2511,571,517,1088,271,324,587,150,165,312,44,39,84,8,10,22,5474,5678,11151,131,149,281,53,60,112,4,3,9,0,0,8,60,64,123,3185,3232,6415,2263,2417,4681,2998,3120,6120,2421,2479,4897,4646,4771,9418,147,145,292,804,806,1613,195,198,398,163,178,347,403,502,909,3568,3804,7365,157,139,300,261,281,543,76,71,144,36,44,77,7,13,25,5423,5618,11041,160,179,332
80111,328,300,625,33,24,56,57,40,97,18,17,36,15,15,39,43,43,90,47,54,102,43,35,85,33,43,75,24,17,40,9,7,11,0,5,4,318,293,614,11,10,14,12,8,18,0,3,4,0,0,0,15,10,21,278,255,530,24,32,53,294,268,560,8,11,18,301,278,572,12,9,14,56,37,96,16,11,22,3,4,11,14,16,26,141,164,308,8,10,15,54,41,93,8,3,13,6,4,8,0,0,0,304,273,580,32,37,74
