SA3_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
80101,0,0,0,0,2959,2965,103,4,0,0,3883,3988,3010,107,127,3,6061,9309,4941,237,391,13,2341,7923,3833,249,673,38,1471,6264,3067,192,707,66,745,4773,3099,127,526,148,306,4198,1750,49,217,268,85,2371,429,8,44,207,22,704,20235,977,2684,742,17865,42499,0,0,5,0,2809,2810,250,13,7,0,3788,4061,3752,174,204,10,4980,9116,4984,309,566,34,2161,8050,3636,323,939,99,1299,6294,3066,226,1065,256,646,5258,2995,150,968,638,296,5041,1273,52,365,910,103,2708,219,10,80,626,25,961,20181,1254,4194,2567,16106,44298,0,0,4,0,5766,5775,350,15,12,0,7671,8052,6760,283,328,8,11042,18425,9924,546,956,45,4500,15972,7469,573,1607,129,2770,12556,6138,421,1774,322,1390,10035,6095,276,1490,783,597,9242,3024,98,584,1180,186,5077,644,15,121,838,48,1667,40411,2232,6873,3312,33977,86802
80103,0,0,0,0,46,47,8,0,0,0,104,117,67,11,0,0,209,288,81,14,10,0,113,225,56,20,21,0,102,197,50,13,71,0,43,183,39,7,25,6,21,93,19,4,19,9,7,55,0,0,0,3,0,9,319,75,157,18,636,1209,0,0,0,0,33,33,3,0,0,0,48,53,37,0,3,0,55,94,38,3,12,0,31,89,37,10,16,7,19,85,36,9,15,8,24,93,25,4,31,13,6,80,11,0,10,13,0,34,0,0,0,7,0,8,186,30,88,41,222,562,0,0,0,0,82,81,16,0,0,0,157,171,102,11,3,0,264,383,123,23,27,0,143,312,91,29,34,7,118,281,81,28,87,11,64,269,62,13,59,18,23,176,27,6,27,20,8,85,0,0,5,9,0,16,509,101,248,59,854,1772
80104,0,0,3,0,2492,2496,93,0,0,6,2819,2915,3296,90,110,5,4515,8011,6031,225,423,11,1515,8209,4227,211,488,21,695,5640,2403,117,350,48,253,3174,1467,58,186,80,78,1871,655,19,47,79,16,818,110,4,10,45,0,165,18284,721,1620,293,12382,33304,0,0,0,0,2459,2460,237,7,10,0,2595,2847,4367,156,183,11,3568,8277,5953,277,561,41,1449,8279,3754,259,743,84,658,5502,2111,137,615,183,293,3330,1265,84,439,390,85,2262,439,17,120,385,15,981,45,3,22,130,4,205,18168,934,2697,1215,11124,34143,5,0,3,0,4951,4957,328,10,14,3,5415,5762,7662,245,298,16,8077,16292,11984,503,984,47,2963,16485,7982,470,1233,107,1353,11141,4511,259,959,230,547,6503,2732,143,629,470,162,4136,1096,36,169,465,34,1797,158,9,26,182,5,374,36453,1655,4319,1516,23510,67456
80105,0,0,0,0,2259,2262,51,0,4,3,4215,4270,1274,43,72,3,5314,6703,2104,101,221,12,1728,4168,1802,151,341,10,913,3219,1472,121,388,19,624,2624,1113,64,271,68,306,1823,599,26,112,93,72,894,220,10,28,146,15,421,8635,519,1435,358,15439,26387,0,0,0,0,2452,2460,81,6,3,0,4476,4570,1558,60,100,0,4855,6574,2167,139,301,18,1491,4122,1812,162,409,41,886,3317,1339,100,503,123,605,2671,998,74,413,233,225,1948,451,29,226,409,67,1181,117,4,76,428,25,648,8525,576,2032,1253,15088,27478,3,0,0,0,4707,4714,131,8,8,3,8697,8845,2832,101,168,0,10163,13276,4273,240,519,33,3226,8288,3609,311,753,54,1799,6535,2810,223,893,146,1224,5293,2113,143,688,296,534,3766,1055,51,342,499,142,2080,340,13,96,580,36,1069,17167,1091,3469,1608,30530,53862
80106,0,0,0,0,839,839,8,0,0,0,888,902,501,25,52,0,2044,2622,1133,67,144,0,759,2104,1365,97,218,8,403,2089,1268,77,250,20,286,1896,1123,36,184,62,138,1546,640,11,58,83,27,819,156,3,14,88,11,268,6191,318,920,256,5395,13086,0,0,0,0,811,811,30,0,0,0,904,934,666,36,60,0,2022,2788,1272,82,171,10,785,2319,1320,109,249,39,436,2150,1212,60,394,53,263,1975,1073,35,280,175,130,1698,455,15,119,328,27,935,86,3,41,427,20,574,6110,341,1307,1026,5385,14176,0,0,0,0,1649,1649,47,0,0,0,1790,1838,1168,60,110,3,4065,5409,2403,147,315,10,1543,4417,2683,203,469,42,836,4238,2477,137,638,73,543,3874,2193,76,464,233,267,3241,1088,24,171,408,58,1758,241,7,51,512,27,842,12306,659,2229,1288,10782,27253
80107,0,0,0,0,2758,2758,46,5,0,0,2695,2748,1908,77,104,8,3963,6057,3662,212,356,12,1721,5960,3581,257,593,26,1199,5655,3817,226,763,89,667,5562,3148,116,574,172,220,4227,1287,48,172,197,40,1740,296,0,13,168,14,489,17745,942,2566,672,13278,35206,0,0,0,0,2455,2458,123,4,5,0,2373,2503,2503,143,156,6,3317,6122,3892,288,461,30,1573,6241,3657,335,928,94,1051,6069,3782,286,1238,272,591,6167,2724,166,956,575,215,4630,927,36,331,722,65,2075,141,5,66,571,14,788,17751,1256,4140,2274,11651,37066,0,0,0,3,5214,5213,173,7,5,0,5070,5254,4409,220,263,15,7278,12184,7561,495,817,41,3297,12208,7242,594,1521,120,2253,11728,7597,515,2003,366,1254,11734,5869,279,1524,752,431,8855,2212,80,496,918,100,3815,438,8,83,737,26,1281,35496,2195,6709,2945,24930,72279
80108,0,0,0,0,749,749,12,0,0,0,577,593,426,9,14,0,836,1288,1128,42,65,0,428,1669,1061,65,185,3,352,1671,802,40,153,16,215,1214,822,26,148,61,84,1142,634,32,96,81,31,871,165,6,26,80,10,286,5049,216,685,247,3290,9483,3,0,0,0,651,655,20,0,0,0,531,555,592,18,17,4,711,1346,1184,77,110,4,414,1785,1093,82,249,18,342,1780,836,45,222,60,208,1368,802,44,272,207,101,1418,488,17,169,327,35,1032,74,4,39,263,15,400,5080,288,1073,881,3018,10341,3,0,0,0,1399,1402,28,0,0,0,1115,1148,1017,31,31,6,1551,2632,2308,118,176,12,843,3455,2149,143,438,21,697,3453,1638,83,371,74,422,2587,1622,75,412,264,183,2559,1120,43,261,407,68,1898,234,14,61,352,23,683,10134,503,1756,1128,6304,19823
80109,0,0,0,0,1015,1015,46,0,0,0,1099,1144,1115,23,38,0,1772,2952,1829,73,110,0,688,2707,1546,104,243,12,530,2429,1401,89,248,12,378,2132,1078,50,204,69,149,1551,864,28,98,119,55,1165,309,0,24,151,15,503,8194,370,964,369,5703,15604,0,0,0,0,960,960,118,3,5,0,1065,1186,1389,39,60,0,1559,3054,1852,101,205,17,662,2829,1609,128,371,31,466,2602,1337,79,403,90,323,2230,1021,40,316,240,143,1755,738,23,189,555,67,1570,146,0,53,490,27,717,8206,416,1597,1420,5271,16911,0,0,0,0,1980,1980,160,5,5,0,2162,2327,2506,67,99,3,3332,6008,3678,180,316,17,1351,5539,3148,226,615,47,995,5028,2738,170,649,103,711,4363,2097,94,522,310,288,3311,1609,50,288,673,122,2734,453,9,81,640,44,1221,16393,784,2562,1793,10976,32513
80110,0,0,0,0,233,233,14,0,0,0,333,346,498,23,27,0,819,1359,946,23,49,0,242,1261,393,25,72,3,86,571,188,10,41,6,22,271,122,3,20,4,7,150,33,0,0,0,0,44,7,0,0,0,0,8,2201,82,205,15,1745,4245,0,0,0,0,242,238,31,0,0,0,370,410,693,18,22,0,837,1574,883,38,83,0,240,1249,301,37,83,10,80,517,180,18,67,26,27,324,110,5,22,28,5,165,18,0,5,20,0,39,4,0,0,8,0,10,2221,125,291,88,1796,4524,0,0,0,0,473,472,43,5,0,0,706,751,1193,36,52,0,1661,2937,1834,66,131,0,478,2511,693,59,151,10,165,1088,362,34,113,31,51,587,233,6,41,29,11,312,55,0,3,21,3,84,11,0,0,12,0,22,4419,208,495,102,3540,8770
80111,0,0,0,0,18,18,0,0,0,0,15,15,15,3,0,0,16,43,31,0,0,0,14,47,32,0,5,0,4,43,24,4,6,0,0,33,20,0,3,0,0,24,4,0,0,3,0,9,0,0,0,0,0,0,130,9,14,8,80,238,0,0,0,0,17,17,0,0,0,0,15,15,18,0,0,0,23,43,39,0,3,0,8,54,28,0,3,0,7,35,27,4,11,0,0,43,10,0,0,0,0,17,4,0,0,0,0,7,0,0,0,0,0,5,126,6,18,7,71,234,0,0,0,0,36,36,0,0,0,0,39,39,35,8,0,0,44,90,69,0,6,0,23,102,58,3,7,0,15,85,55,4,12,0,0,75,29,0,8,0,0,40,4,0,0,6,0,11,3,0,0,0,0,4,256,19,33,8,158,474
