SA3_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
80101,0,7,17,80,19,8,4,5,0,146,3088,5924,5253,10262,4355,3035,2645,1314,363,36233,5,17,13,147,26,0,7,0,0,206,0,0,0,17,10,14,5,10,9,57,0,3,4,34,7,3,0,0,0,54,0,0,14,19,14,10,7,3,0,64,0,11,12,53,29,15,22,8,0,145,0,0,0,31,18,31,24,13,0,122,5,32,221,835,126,120,87,37,10,1475,0,0,0,6,6,22,47,43,23,145,0,8,5,20,6,3,8,11,0,64,4,44,82,220,222,303,299,205,87,1461,0,0,11,48,27,21,5,10,0,120,0,3,4,31,11,4,6,3,0,72,0,7,9,39,26,25,76,56,8,254,0,0,0,9,0,14,40,48,20,136,0,7,26,72,14,27,22,13,5,188,14,69,167,1146,163,63,49,30,8,1718,3,24,19,61,13,7,10,10,0,145,0,9,15,94,19,6,0,4,0,141
80103,0,0,0,12,0,0,0,0,0,14,19,40,112,321,116,94,57,28,12,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,6,0,21,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
80104,0,3,13,90,36,11,9,0,0,172,3277,5827,3740,7444,2966,1563,843,394,75,26122,5,13,28,243,91,45,20,0,0,439,0,0,0,14,13,10,7,0,0,48,0,3,9,56,22,3,0,0,0,90,0,0,0,14,10,5,4,0,0,40,0,13,6,27,21,9,4,0,0,85,0,0,0,27,25,19,9,5,0,93,5,32,183,1101,200,185,137,26,5,1875,0,0,4,25,20,32,54,49,5,184,0,23,10,53,15,7,12,3,0,122,8,53,78,202,168,182,108,75,18,888,0,4,10,72,34,29,16,0,0,162,0,3,0,16,12,0,0,0,0,34,0,5,9,20,20,14,22,10,5,104,0,0,3,5,3,11,7,13,4,50,0,11,14,86,34,37,29,4,0,215,19,183,273,2319,427,122,91,23,6,3455,0,8,3,40,12,11,3,0,0,86,0,10,16,69,25,12,4,4,0,141
80105,0,0,3,16,7,8,6,0,0,40,1143,2157,4441,6569,2150,1719,1151,504,218,20053,5,4,5,49,3,3,4,0,0,79,0,0,0,7,0,4,0,4,0,20,0,0,4,34,5,0,0,0,0,45,0,5,9,10,4,0,0,0,0,31,0,6,11,46,25,16,13,6,0,125,0,3,0,23,12,3,3,3,0,52,6,19,336,575,45,41,33,11,9,1065,0,0,3,4,5,12,11,19,7,65,0,0,0,15,0,0,7,0,0,22,3,35,175,231,147,198,143,100,35,1068,0,0,3,15,6,10,6,0,0,39,3,6,10,39,12,7,0,0,4,86,4,6,22,40,25,27,25,18,13,168,0,0,3,3,5,10,10,12,12,56,0,5,62,91,15,18,5,0,0,200,0,22,127,432,53,31,20,3,6,691,5,10,21,64,8,5,5,4,0,122,0,0,8,55,13,9,5,0,0,88
80106,0,0,0,6,0,0,0,0,0,11,543,1278,1321,3136,1302,1248,981,477,155,10442,0,3,0,18,9,0,0,0,0,41,0,0,0,0,0,0,4,0,0,10,0,0,0,11,5,7,0,0,0,22,0,0,0,0,0,3,0,0,0,13,0,4,0,19,12,13,5,3,0,65,0,0,4,4,5,0,3,0,0,15,0,10,23,85,35,21,16,5,0,201,0,0,0,5,0,3,7,15,3,32,0,3,0,3,0,0,0,3,3,15,9,30,37,90,103,137,133,78,29,636,0,0,0,7,6,6,4,0,0,22,0,10,6,22,16,9,0,0,0,67,0,3,11,21,15,10,16,11,9,92,0,0,0,4,5,8,4,14,5,44,0,12,9,29,4,3,6,5,0,80,0,17,26,181,74,21,16,10,0,343,0,5,5,11,6,3,0,0,0,27,0,0,6,16,10,9,4,0,0,39
80107,0,0,3,17,4,3,0,0,0,34,2715,5477,4724,9057,4087,3821,2701,902,233,33717,0,0,8,42,12,17,8,4,0,87,0,0,0,6,4,12,13,8,0,44,0,0,0,10,3,5,0,0,0,19,0,0,3,6,3,0,6,3,0,23,0,0,6,29,17,17,9,0,0,90,0,0,0,17,13,13,10,8,0,66,0,9,8,77,27,36,27,18,4,209,0,0,0,3,17,26,31,41,11,122,4,3,4,4,9,8,6,4,0,43,5,23,58,165,189,400,318,197,64,1414,0,0,9,26,11,15,8,5,0,75,3,0,0,13,7,9,4,0,0,47,0,0,0,15,16,33,66,58,5,200,0,0,0,3,6,8,18,18,10,74,0,0,7,24,13,26,19,8,0,95,18,90,99,687,171,76,47,21,8,1221,0,4,3,11,6,7,9,0,0,41,0,3,6,14,15,10,4,3,0,59
80108,0,0,0,5,0,0,0,0,0,7,669,1562,1120,2094,1251,824,744,512,134,8921,0,0,0,12,0,0,4,0,0,15,0,0,0,0,0,0,0,6,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,13,8,10,7,5,0,37,0,0,0,0,3,0,0,4,0,16,0,3,5,36,14,9,16,0,0,93,0,0,0,0,0,6,4,24,4,44,0,0,0,0,0,0,3,0,0,7,0,13,21,52,58,104,86,84,39,457,0,3,3,8,0,3,0,0,0,22,0,0,4,10,8,3,0,0,0,24,0,5,0,8,7,7,13,23,10,74,0,0,0,0,0,0,8,8,0,23,0,4,0,12,7,3,3,0,0,34,5,19,16,140,39,17,9,8,6,248,0,4,0,5,0,3,0,0,0,24,0,4,3,12,8,5,3,3,0,33
80109,0,0,4,13,5,3,0,0,0,27,962,2035,1700,3096,1644,1381,923,626,259,12619,0,4,8,31,15,6,0,0,0,71,0,0,0,0,0,3,0,0,0,4,0,0,0,15,3,3,0,0,0,24,0,0,0,0,3,0,0,0,0,9,0,7,14,12,6,17,6,4,0,69,0,0,0,4,3,4,0,3,0,20,5,17,15,99,26,44,30,18,0,253,0,0,0,0,4,0,9,13,4,34,0,0,3,0,0,0,4,0,0,22,6,44,25,88,92,152,129,127,46,701,0,0,3,10,3,6,4,3,0,37,0,0,0,5,3,4,10,6,0,27,0,0,3,13,10,7,30,26,16,106,0,0,0,4,4,5,7,23,15,62,0,3,0,33,10,11,8,8,6,83,15,67,42,512,103,40,28,26,12,830,0,3,11,12,4,0,3,0,0,33,0,0,0,20,6,8,0,5,0,39
80110,0,0,0,3,0,0,0,0,0,4,499,640,385,1193,264,120,60,16,4,3185,0,5,0,42,12,4,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,10,0,0,5,5,4,0,0,0,0,16,0,0,0,5,0,0,0,0,0,8,0,6,4,121,9,16,5,3,0,159,0,0,0,0,0,0,0,0,0,4,0,5,0,5,0,0,0,0,0,11,0,7,13,34,14,14,8,5,0,98,0,0,0,4,3,0,0,0,0,7,0,0,0,8,5,0,0,0,0,10,0,0,0,7,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,7,0,0,8,29,5,0,3,0,0,42,4,36,38,387,83,25,13,0,0,588,0,0,3,4,0,0,0,0,0,12,0,0,0,17,8,0,0,3,0,32
80111,0,0,0,0,0,0,0,0,0,0,28,56,30,77,36,27,17,3,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
