SA3_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
80101,32,88,113,84,35,0,0,0,356,22,52,66,57,63,0,0,0,257,28,184,316,409,483,606,443,202,2666,82,321,491,556,583,606,443,202,3281,6579,8555,7147,5486,4029,3477,1839,461,37571,294,431,288,226,165,115,92,44,1647,6952,9309,7923,6264,4773,4198,2371,704,42499,19,36,38,25,5,0,0,0,123,0,9,13,19,11,0,0,0,55,14,46,84,112,121,106,64,25,558,37,93,139,149,137,106,64,25,738,6573,8643,7667,5962,4977,4787,2545,858,42011,265,382,246,176,145,160,97,82,1548,6873,9116,8050,6294,5258,5041,2708,961,44298,47,126,153,107,42,0,0,0,475,24,69,77,77,72,0,0,0,315,42,226,398,516,605,711,504,224,3227,119,414,624,704,722,711,504,224,4018,13160,17201,14812,11446,9007,8258,4379,1321,79585,552,815,537,404,307,272,188,120,3200,13824,18425,15972,12556,10035,9242,5077,1667,86802
80103,45,30,6,3,0,0,0,0,81,0,0,0,4,0,0,0,0,4,0,0,6,3,12,3,4,4,28,45,31,9,11,13,3,4,4,114,49,76,76,95,103,65,33,3,499,73,184,140,93,65,29,14,0,595,163,288,225,197,183,93,55,9,1209,6,0,3,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,4,0,4,0,3,0,0,18,60,56,62,62,61,57,31,8,392,21,37,28,14,29,20,6,0,156,87,94,89,85,93,80,34,8,562,43,32,10,3,0,0,0,0,93,0,0,4,4,0,0,0,0,8,0,4,6,7,11,8,4,4,37,43,35,13,18,12,8,4,4,136,106,127,131,159,163,125,63,10,894,96,219,167,106,95,40,18,0,749,248,383,312,281,269,176,85,16,1772
80104,41,263,430,413,83,0,0,0,1232,17,78,107,77,99,0,0,0,380,24,195,322,401,313,242,138,49,1691,82,542,857,893,501,242,138,49,3300,5119,7103,7067,4588,2579,1576,648,119,28796,208,373,288,160,92,54,32,7,1213,5410,8011,8209,5640,3174,1871,818,165,33304,26,91,119,101,13,0,0,0,350,0,23,32,23,9,0,0,0,87,5,45,128,158,103,51,11,4,498,30,159,282,279,122,51,11,4,937,5088,7777,7741,5068,3146,2148,921,195,32089,186,345,252,144,64,68,43,9,1122,5303,8277,8279,5502,3330,2262,981,205,34143,67,354,555,511,97,0,0,0,1583,18,104,138,104,111,0,0,0,464,31,246,445,561,421,291,151,48,2189,118,697,1136,1174,618,291,151,48,4237,10207,14879,14807,9662,5726,3723,1570,319,60884,396,716,544,312,158,120,80,11,2327,10717,16292,16485,11141,6503,4136,1797,374,67456
80105,876,282,208,196,56,0,0,0,1617,33,98,64,38,50,0,0,0,290,26,95,134,223,220,201,153,101,1146,938,473,404,460,327,201,153,101,3056,4927,5797,3547,2619,2174,1529,684,280,21558,671,430,218,143,123,92,61,42,1775,6531,6703,4168,3219,2624,1823,894,421,26387,363,112,85,53,9,0,0,0,624,8,31,10,13,14,0,0,0,79,5,24,48,74,69,34,15,13,284,377,158,148,149,92,34,15,13,990,5997,6097,3799,3070,2491,1844,1087,564,24944,650,314,171,97,82,71,78,80,1546,7029,6574,4122,3317,2671,1948,1181,648,27478,1234,396,295,255,68,0,0,0,2244,41,125,77,55,62,0,0,0,369,30,119,178,296,293,232,172,111,1437,1311,636,551,607,423,232,172,111,4042,10927,11891,7343,5692,4662,3374,1771,842,46501,1321,747,386,232,208,162,139,118,3323,13554,13276,8288,6535,5293,3766,2080,1069,53862
80106,54,115,134,137,52,0,0,0,487,10,63,49,36,48,0,0,0,200,8,97,107,160,188,212,136,68,984,65,277,287,332,293,212,136,68,1669,1577,2158,1681,1646,1500,1227,617,162,10570,92,181,132,116,108,103,67,42,847,1744,2622,2104,2089,1896,1546,819,268,13086,34,73,67,44,16,0,0,0,232,5,20,22,20,9,0,0,0,75,3,20,42,69,48,25,8,10,233,42,114,132,131,72,25,8,10,540,1589,2482,2076,1903,1812,1571,856,474,12765,106,185,113,114,91,99,70,90,871,1738,2788,2319,2150,1975,1698,935,574,14176,90,187,200,175,70,0,0,0,717,10,85,66,57,55,0,0,0,277,11,117,150,227,239,241,144,81,1212,111,386,420,460,364,241,144,81,2209,3171,4647,3752,3551,3306,2803,1474,638,23334,199,370,246,225,197,206,138,131,1718,3482,5409,4417,4238,3874,3241,1758,842,27253
80107,9,44,73,90,36,0,0,0,267,13,67,75,53,103,0,0,0,307,21,152,271,457,686,796,366,130,2874,46,264,421,599,826,796,366,130,3446,5298,5561,5328,4894,4605,3304,1278,319,30590,166,235,213,162,132,117,93,42,1172,5510,6057,5960,5655,5562,4227,1740,489,35206,7,14,28,19,8,0,0,0,80,0,11,17,13,13,0,0,0,51,6,33,62,148,205,110,59,11,621,12,59,111,176,224,110,59,11,757,4806,5879,5939,5741,5824,4398,1898,693,35182,144,186,197,154,115,128,124,88,1128,4959,6122,6241,6069,6167,4630,2075,788,37066,19,62,106,111,45,0,0,0,345,13,80,96,64,114,0,0,0,360,27,182,327,597,885,909,426,135,3499,54,325,527,774,1049,909,426,135,4199,10109,11440,11269,10633,10434,7703,3177,1013,65771,312,420,411,318,253,244,217,130,2304,10468,12184,12208,11728,11734,8855,3815,1281,72279
80108,5,17,40,32,7,0,0,0,100,4,14,10,18,19,0,0,0,61,3,42,77,115,129,168,187,67,789,11,76,121,160,156,168,187,67,955,1275,1143,1481,1470,1016,933,641,181,8149,59,66,65,40,43,43,41,27,374,1342,1288,1669,1671,1214,1142,871,286,9483,4,6,9,12,0,0,0,0,30,0,4,3,6,0,0,0,0,17,6,13,26,35,30,33,19,11,178,10,26,46,55,31,33,19,11,224,1159,1267,1684,1684,1294,1327,948,357,9720,39,53,60,41,43,60,60,34,398,1206,1346,1785,1780,1368,1418,1032,400,10341,7,28,45,46,9,0,0,0,135,3,21,15,24,19,0,0,0,78,6,53,104,149,160,206,208,79,962,22,100,166,214,187,206,208,79,1178,2428,2416,3164,3157,2311,2261,1592,541,17870,100,120,122,83,92,102,102,66,774,2547,2632,3455,3453,2587,2559,1898,683,19823
80109,11,33,67,69,14,0,0,0,200,5,17,25,30,46,0,0,0,125,8,47,108,146,213,229,214,161,1125,32,104,204,250,267,229,214,161,1455,2048,2709,2401,2082,1778,1269,887,312,13488,82,146,100,103,79,60,61,29,660,2160,2952,2707,2429,2132,1551,1165,503,15604,8,9,25,27,3,0,0,0,73,0,11,9,13,8,0,0,0,41,5,9,35,65,54,38,26,20,254,8,36,69,106,71,38,26,20,373,2070,2894,2678,2408,2102,1643,1476,652,15929,68,128,79,91,54,76,67,50,614,2150,3054,2829,2602,2230,1755,1570,717,16911,17,46,97,97,19,0,0,0,272,5,27,37,42,56,0,0,0,170,11,57,147,212,269,264,246,178,1378,36,134,279,350,339,264,246,178,1821,4120,5606,5082,4492,3885,2908,2368,962,29418,149,266,181,193,134,133,126,84,1273,4307,6008,5539,5028,4363,3311,2734,1221,32513
80110,11,15,35,19,4,0,0,0,82,6,10,6,8,0,0,0,0,24,0,44,26,40,22,17,0,3,162,9,71,69,65,27,17,0,3,269,547,1234,1159,489,234,126,36,0,3830,25,57,29,16,4,7,7,0,145,582,1359,1261,571,271,150,44,8,4245,0,7,4,8,0,0,0,0,24,0,7,3,4,0,0,0,0,7,5,7,9,11,9,0,0,0,43,5,17,22,20,9,0,0,0,71,613,1489,1203,475,303,148,37,7,4288,29,69,28,19,14,11,0,0,161,644,1574,1249,517,324,165,39,10,4524,10,22,41,23,4,0,0,0,106,6,13,5,11,0,0,0,0,35,3,50,41,52,31,19,0,3,205,16,86,92,88,33,19,0,3,345,1158,2725,2359,969,536,275,76,16,8115,51,128,58,32,20,21,9,0,305,1232,2937,2511,1088,587,312,84,22,8770
80111,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,5,0,0,0,0,0,9,36,37,45,41,30,18,6,0,211,7,3,0,4,5,5,0,0,15,40,43,47,43,33,24,9,0,238,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,43,52,32,36,15,7,5,213,4,3,3,5,9,5,0,0,19,32,43,54,35,43,17,7,5,234,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,5,4,3,0,0,0,0,14,62,82,90,76,65,35,12,4,423,10,4,3,9,8,5,0,0,35,73,90,102,85,75,40,11,4,474
