SA3_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
80101,0,12,22,101,63,60,164,117,23,570,0,0,0,19,16,32,90,110,45,302,0,15,53,169,39,63,46,18,10,407,23,136,338,2067,272,141,108,58,11,3155,3,41,44,138,47,31,25,20,4,350,0,19,26,183,28,9,10,0,0,285,0,7,28,77,12,13,5,4,0,150,0,10,19,65,20,31,31,28,11,215,0,3,12,56,35,70,151,156,69,550,3,18,14,72,36,21,24,6,3,193,3,12,44,292,42,31,17,0,4,452,0,3,3,36,23,10,16,11,0,105,0,11,63,198,90,98,67,38,10,573,0,0,0,4,8,0,27,4,7,54,0,0,8,46,18,13,0,0,0,79,0,0,26,61,29,22,8,5,4,157,0,12,294,1085,14,3,5,0,0,1421,0,13,13,37,25,20,71,67,12,254,6,81,113,361,171,151,137,63,16,1085,0,0,0,15,10,21,31,11,5,93
80103,0,0,0,0,0,0,6,0,0,10,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,7,3,10,3,3,0,37,0,0,0,0,0,0,0,0,0,0
80104,0,6,17,50,36,37,49,26,7,224,0,3,11,15,7,20,19,27,11,103,3,28,27,195,66,71,57,9,0,460,31,368,500,4386,684,268,185,55,9,6490,0,20,17,124,52,29,9,0,0,260,0,14,29,139,35,22,11,4,0,256,0,9,13,47,25,10,8,7,0,125,0,9,6,54,19,13,13,9,0,115,0,6,4,42,34,37,58,35,12,229,3,22,13,64,39,11,3,0,0,153,10,48,89,678,145,61,17,7,0,1059,0,9,3,25,16,0,7,4,0,60,8,38,56,273,106,61,53,15,5,608,0,0,0,0,0,3,10,12,0,28,0,4,20,67,17,17,16,4,0,138,0,0,12,105,74,28,15,10,3,253,3,21,273,1256,51,18,9,4,0,1639,3,3,4,16,8,13,24,17,7,93,15,85,113,352,162,112,50,18,8,908,0,0,7,41,24,31,33,6,0,143
80105,4,7,35,84,47,46,54,45,30,357,0,0,7,8,7,22,21,46,25,135,0,5,111,161,26,33,18,0,3,365,7,54,250,759,87,54,39,8,8,1270,3,22,41,166,25,12,12,3,0,288,0,0,12,105,14,7,4,0,0,156,0,3,6,14,9,4,0,0,0,41,0,4,10,44,21,11,14,17,3,126,0,3,3,55,20,27,33,48,30,235,0,11,34,57,26,21,8,0,0,159,4,14,66,246,56,14,6,14,0,420,0,0,0,9,11,3,5,4,0,36,0,8,123,200,50,55,24,15,3,481,0,0,0,3,3,6,11,6,3,24,0,0,8,21,3,0,0,0,0,28,0,0,9,23,31,6,10,6,0,84,5,5,60,273,4,3,0,0,0,343,4,9,14,32,25,10,35,27,16,168,5,25,153,285,141,104,67,37,10,823,0,0,0,18,10,4,7,4,5,41
80106,0,4,8,41,25,16,45,32,19,201,0,0,0,10,3,14,18,32,13,87,0,21,17,58,17,16,14,3,0,156,4,36,49,376,106,42,39,20,9,665,0,6,10,40,17,10,7,7,3,98,0,3,7,41,15,12,9,3,0,89,0,0,8,16,12,8,4,5,0,49,0,3,4,23,11,11,19,6,5,73,0,3,6,29,9,29,52,32,30,196,5,10,13,29,21,7,6,0,0,95,0,8,15,61,29,11,5,0,0,139,0,0,4,0,5,7,3,0,0,19,0,10,20,77,43,42,27,12,6,234,0,0,0,0,0,0,10,4,0,18,0,0,4,4,5,0,3,0,0,17,0,0,4,7,3,6,3,3,0,22,0,6,32,172,4,0,0,0,0,215,0,6,9,11,15,13,29,7,14,103,0,11,42,126,61,83,61,34,7,423,0,0,0,14,4,4,17,0,0,37
80107,0,6,7,42,34,71,134,107,21,432,0,0,0,5,17,19,48,39,22,151,0,6,11,46,28,60,42,9,0,195,24,178,179,1315,282,164,97,40,16,2303,0,6,8,45,26,20,25,8,4,143,0,3,18,38,27,18,17,5,0,119,0,26,29,86,44,26,15,3,0,237,0,20,11,36,19,31,25,20,8,168,0,5,0,16,15,67,109,55,24,296,0,3,9,33,23,9,10,0,0,90,0,10,15,78,28,9,8,3,0,155,0,3,11,36,43,48,41,8,4,197,3,7,17,74,66,105,78,29,9,381,0,0,4,7,0,19,25,21,3,72,0,0,6,20,6,7,4,0,0,53,0,0,7,16,12,7,12,5,0,66,0,5,78,439,10,4,3,0,0,542,0,0,3,10,11,34,89,52,22,220,7,42,77,254,199,203,123,36,9,952,0,6,3,19,5,20,11,3,0,75
80108,0,6,0,17,12,16,34,56,27,173,0,0,0,0,0,5,10,30,7,58,0,7,4,22,13,9,6,0,3,69,4,29,32,265,75,32,17,21,8,491,0,9,0,18,11,3,11,0,3,64,0,0,3,24,8,9,8,3,4,67,0,0,4,13,9,3,7,0,0,34,0,9,3,19,10,5,7,3,9,59,0,0,4,16,11,12,49,44,13,152,0,0,3,20,0,3,4,0,0,30,0,3,4,22,10,0,5,0,0,41,0,0,0,11,3,3,0,0,0,16,0,9,3,29,36,14,12,11,6,130,0,0,0,0,0,4,6,11,0,22,0,0,0,3,3,4,5,0,0,15,0,0,0,10,9,0,14,4,0,30,0,3,25,112,0,0,0,0,0,145,0,0,4,4,6,6,20,22,4,68,0,14,20,63,58,62,43,27,6,290,0,0,0,5,5,3,8,0,0,20
80109,0,0,3,29,20,14,58,63,34,222,0,0,6,9,11,16,33,59,25,144,0,12,10,61,17,28,22,8,4,164,18,138,94,1005,174,85,64,33,24,1641,0,7,12,39,9,12,11,5,4,92,0,0,0,42,8,10,0,4,0,76,0,4,4,17,7,15,3,0,0,52,0,5,4,23,15,12,13,22,12,112,0,0,3,26,6,28,50,70,46,231,4,8,11,30,17,6,16,0,4,95,4,3,16,101,25,21,3,0,4,169,0,0,3,11,4,3,4,5,0,27,3,19,19,126,48,47,40,17,8,320,0,3,0,0,0,0,8,13,4,27,0,0,4,9,0,5,0,0,0,22,0,0,0,13,7,5,0,0,5,29,0,10,177,823,3,4,3,0,0,1022,0,3,5,9,13,8,12,19,21,91,8,33,23,118,106,100,47,43,16,486,0,0,0,13,4,10,13,5,0,44
80110,0,0,3,12,0,4,0,0,0,22,0,0,0,7,3,0,0,0,0,5,0,5,10,51,10,12,3,0,0,82,3,75,88,783,127,47,30,7,0,1165,0,0,4,19,4,0,0,0,0,29,0,0,6,34,9,8,0,5,0,66,0,4,0,30,3,4,5,0,0,45,0,9,5,7,0,0,0,3,0,28,0,0,0,6,0,4,6,0,5,18,0,4,0,10,7,3,6,0,0,29,5,15,8,89,9,4,4,0,0,119,0,0,0,7,0,0,0,0,0,11,0,12,10,60,12,11,9,3,0,113,0,0,0,0,0,0,6,0,0,4,0,0,0,8,4,0,0,0,0,13,0,0,0,10,6,0,4,0,0,23,0,14,47,270,13,9,0,0,0,350,0,0,0,7,4,0,0,0,4,6,0,13,7,40,14,5,3,0,0,86,0,0,0,8,0,0,0,0,0,14
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
