SA3_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
80101,19259,13824,18425,15972,12556,10035,9242,5077,1667,106061
80103,161,248,383,312,281,269,176,85,16,1934
80104,20229,10717,16292,16485,11141,6503,4136,1797,374,87682
80105,7323,13554,13276,8288,6535,5293,3766,2080,1069,61188
80106,4335,3482,5409,4417,4238,3874,3241,1758,842,31592
80107,17189,10468,12184,12208,11728,11734,8855,3815,1281,89461
80108,4811,2547,2632,3455,3453,2587,2559,1898,683,24630
80109,6766,4307,6008,5539,5028,4363,3311,2734,1221,39279
80110,2667,1232,2937,2511,1088,587,312,84,22,11435
80111,156,73,90,102,85,75,40,11,4,625
89797,0,0,0,0,0,0,0,0,0,0
89999,50,148,108,104,77,78,34,10,4,605
