SA3_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
80101,13,10,15,38,71,82,127,142,66,564,7,5,19,42,86,161,254,187,83,844,262,1380,1628,1330,1009,670,459,197,100,7035,0,0,9,16,33,46,99,128,72,403,362,610,877,979,942,866,922,526,237,6321,7511,4237,5808,4766,3216,2278,1532,585,126,30059,593,429,503,385,312,270,247,112,47,2898,9226,6873,9116,8050,6294,5258,5041,2708,961,53527,21,96,279,645,1108,1740,2581,1916,736,9122,1461,1383,1791,1698,1285,1037,1005,559,167,10386,12,29,91,178,360,570,958,723,223,3144,3,0,0,8,12,19,88,229,241,600,30,88,167,336,643,952,1293,803,225,4537,32,34,48,122,282,582,1038,1046,495,3679,25,15,32,80,119,168,270,271,127,1107,20,16,33,76,162,290,466,403,162,1628,584,2114,2537,2219,1750,1151,747,345,152,11599,0,5,15,37,67,115,212,270,138,859,978,1000,1320,1615,1627,1541,1588,906,366,10941,15297,9187,12625,10080,6840,4521,2970,1135,247,62902
80103,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,5,4,0,9,0,0,4,14,21,5,8,0,0,52,0,0,0,0,0,0,3,0,0,3,0,0,8,5,20,16,11,8,0,68,61,44,43,42,27,33,17,4,0,271,16,30,37,28,16,31,16,8,0,182,78,87,94,89,85,93,80,34,8,648,0,0,3,5,26,32,52,24,0,142,11,12,15,8,26,14,15,9,0,110,0,0,0,0,5,0,11,11,3,30,0,0,0,0,4,0,0,6,0,10,0,0,0,0,10,24,20,6,0,60,0,0,0,3,3,9,13,8,3,39,0,0,0,0,5,5,5,0,0,15,0,0,0,0,3,6,9,15,4,37,0,9,21,26,41,25,14,8,0,144,0,0,0,0,4,0,10,4,7,25,4,0,9,13,29,32,22,13,0,122,121,122,129,97,91,80,41,22,0,703
80104,3,3,14,35,43,45,58,50,19,270,8,9,18,32,39,78,112,69,23,388,217,909,1108,983,696,343,172,57,12,4497,0,3,6,13,29,40,38,37,11,177,339,407,688,848,644,517,373,164,43,4023,8324,3560,5804,5489,3161,1533,838,210,35,28954,523,294,398,386,277,137,119,51,4,2189,9837,5303,8277,8279,5502,3330,2262,981,205,43976,18,53,230,486,875,1047,975,634,157,4475,1235,903,1338,1369,914,568,391,176,40,6934,20,25,58,141,247,338,311,225,50,1415,7,0,0,4,6,19,27,64,39,166,30,49,142,453,658,693,639,320,53,3037,25,31,51,104,243,350,428,355,106,1693,18,10,34,57,91,99,118,107,29,563,17,14,34,50,69,125,186,144,43,682,449,1331,1727,1538,1141,600,270,113,21,7190,7,6,8,21,52,86,91,98,24,393,848,656,1065,1382,1216,937,645,273,75,7097,16797,7611,11904,11446,6719,3104,1514,412,63,59570
80105,6,6,12,14,24,27,36,55,35,215,3,12,10,14,27,69,85,94,45,359,90,1438,1219,632,459,350,177,104,64,4533,0,3,5,10,6,31,25,63,53,196,133,563,696,490,442,450,340,189,127,3430,2971,4078,4100,2496,1894,1201,700,303,101,17844,181,749,386,241,162,145,101,53,44,2062,3523,7029,6574,4122,3317,2671,1948,1181,648,31013,13,72,165,250,469,841,909,687,354,3760,423,1227,1211,818,589,500,355,183,73,5379,4,24,53,120,177,286,365,248,103,1380,0,0,0,0,7,13,40,149,214,423,6,48,86,125,192,344,318,241,127,1487,7,32,33,46,112,229,377,359,264,1459,6,9,21,30,49,61,80,97,66,419,4,18,20,26,59,145,172,157,80,681,186,2026,1932,1068,819,611,308,176,100,7226,0,4,11,19,23,61,78,113,87,396,305,835,1079,810,772,796,601,329,194,5721,6085,8578,8751,5244,3859,2502,1411,546,169,37145
80106,0,0,3,11,17,16,33,36,24,140,4,0,0,6,15,21,55,55,38,194,39,326,445,283,233,190,102,72,80,1770,0,0,6,0,11,14,21,23,42,117,81,164,314,237,228,268,256,158,131,1837,1802,1052,1692,1476,1247,997,655,254,77,9252,141,155,230,152,162,128,129,57,40,1194,2160,1738,2788,2319,2150,1975,1698,935,574,16337,5,17,79,144,282,493,698,529,285,2532,240,326,517,380,348,295,282,142,58,2588,4,3,23,47,110,222,338,222,101,1070,0,0,0,4,4,5,39,106,178,336,0,16,36,56,99,191,259,157,74,888,3,9,17,37,54,155,350,281,184,1090,5,0,11,14,34,34,86,68,41,293,3,0,5,13,31,39,109,110,60,370,75,477,691,446,391,334,200,113,103,2830,5,0,0,6,14,33,56,65,50,229,174,244,464,347,397,524,489,299,185,3123,3565,2281,3511,2942,2618,1965,1215,478,131,18706
80107,0,10,28,43,49,95,111,120,66,522,13,9,12,42,86,186,213,176,67,804,240,1064,1242,1121,939,764,359,150,57,5936,3,0,3,15,34,61,74,82,50,322,352,457,694,843,910,1034,751,366,168,5575,6766,3029,3595,3508,3052,2600,1545,449,100,24644,513,284,303,313,298,244,227,149,74,2405,8345,4959,6122,6241,6069,6167,4630,2075,788,45396,21,85,251,559,1164,2181,2466,1333,524,8584,1304,996,1411,1443,1262,1189,895,374,127,9001,12,30,72,148,319,682,920,498,175,2856,0,0,0,3,4,28,75,179,174,463,27,66,167,310,697,1150,1250,619,188,4474,31,40,62,110,291,679,1107,742,368,3430,11,19,43,62,101,175,281,210,110,1012,18,15,29,73,154,324,466,318,127,1524,503,1658,1904,1782,1557,1260,670,254,86,9674,3,3,10,32,69,129,213,170,90,719,892,796,1086,1335,1555,1817,1405,629,255,9770,13670,6900,7762,7381,6296,5194,2918,824,167,51112
80108,0,3,3,3,15,21,28,48,25,146,0,0,0,3,20,26,63,73,31,216,62,249,239,271,287,150,108,70,38,1474,0,0,4,0,16,18,28,31,23,120,87,79,150,218,232,207,236,164,90,1463,1940,753,820,1074,963,592,483,262,52,6939,136,73,74,95,88,89,80,58,30,723,2338,1206,1346,1785,1780,1368,1418,1032,400,12673,4,11,50,139,302,462,702,642,254,2566,306,248,273,383,327,253,271,161,57,2279,5,3,18,44,83,136,264,254,84,891,0,0,0,0,0,6,40,99,112,257,13,16,25,60,123,192,315,267,79,1090,9,4,13,31,56,131,284,328,178,1034,0,7,5,12,28,43,70,93,48,306,4,6,4,18,33,56,127,146,55,449,138,383,377,438,447,264,198,118,53,2416,0,0,4,10,34,31,55,70,55,259,215,149,241,352,388,380,404,304,132,2565,3922,1706,1702,2177,1988,1201,869,489,99,14153
80109,0,5,0,6,17,30,36,58,30,182,6,9,0,9,17,48,72,102,45,308,60,394,412,350,338,224,131,114,39,2062,0,0,0,4,11,17,24,59,46,161,113,170,270,299,317,334,303,250,115,2171,2769,1422,2108,1844,1524,1069,645,384,111,11876,165,103,152,131,130,119,101,82,68,1051,3254,2150,3054,2829,2602,2230,1755,1570,717,20161,10,26,78,173,379,660,779,903,446,3454,366,391,496,478,442,388,326,264,97,3248,7,6,23,52,131,231,304,352,150,1256,0,3,0,0,0,9,37,134,177,360,7,21,50,114,205,312,335,348,138,1530,13,12,15,30,89,200,312,514,304,1489,6,8,10,16,46,48,79,115,69,397,5,12,5,20,28,72,130,199,89,560,133,590,666,592,556,369,224,163,60,3353,0,0,0,13,33,38,58,104,88,334,297,296,409,486,552,641,553,408,197,3839,5646,2977,4350,3765,3028,2157,1207,693,200,24023
80110,0,0,0,3,0,4,7,0,0,14,0,5,0,0,5,3,3,0,0,16,6,123,258,114,62,26,12,3,0,604,0,0,0,0,4,3,0,0,0,7,34,52,142,118,66,54,16,8,0,490,1175,423,1066,893,289,167,53,10,0,4076,51,41,76,45,26,13,18,4,0,274,1300,644,1574,1249,517,324,165,39,10,5822,0,7,50,63,86,81,60,21,13,381,105,104,252,169,92,47,28,9,0,806,3,0,8,11,28,23,28,10,5,116,0,0,0,0,0,0,0,4,3,7,0,3,28,73,61,59,55,17,3,299,0,9,6,15,18,28,29,18,3,126,7,3,9,20,6,3,14,0,0,62,0,5,4,7,10,10,13,0,0,49,28,175,350,195,111,49,20,5,0,933,0,0,0,0,0,3,3,0,0,6,86,71,201,211,119,92,41,14,7,842,2345,863,2105,1822,655,307,117,24,0,8238
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,7,9,3,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,0,0,0,18,60,21,28,32,21,9,0,0,0,171,3,3,0,6,5,7,5,0,0,29,64,32,43,54,35,43,17,7,5,300,0,0,0,8,12,16,5,3,0,44,10,5,11,13,5,9,5,0,0,58,0,0,0,0,0,8,3,5,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,5,0,0,17,0,0,0,0,0,5,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,7,8,17,12,11,0,0,0,59,0,0,0,0,0,0,0,0,0,0,4,3,4,12,5,9,4,0,0,41,126,48,60,67,48,23,9,6,0,387
