SA3_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
80101,0,4,5,40,28,32,41,24,5,167,9,23,261,986,182,164,105,41,9,1776,0,0,0,13,8,21,57,49,18,170,0,11,8,18,0,3,7,6,0,52,6,51,73,197,176,259,338,232,95,1421,0,0,10,48,27,26,13,17,0,147,0,4,6,23,10,8,6,3,0,59,4,6,13,59,36,31,89,59,12,316,0,0,0,9,8,18,51,59,19,167,0,4,30,98,17,34,22,4,3,216,8,63,173,916,110,72,59,32,3,1434,4,20,24,71,33,18,18,8,3,208,0,9,10,90,12,7,11,0,0,135,0,5,14,33,8,5,3,3,0,72,0,7,7,24,9,17,15,11,4,101,0,0,10,27,25,33,73,80,38,287,0,9,3,66,32,19,9,7,3,148,3,3,27,148,30,23,15,3,0,251,0,3,0,13,6,4,8,5,0,43,0,8,35,110,54,54,45,21,5,317
80103,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104,0,0,0,27,24,16,19,11,0,97,5,42,132,1306,257,236,149,27,6,2161,0,4,3,21,16,39,78,24,9,186,0,11,10,42,11,10,9,0,0,89,6,57,66,180,149,141,136,66,6,805,0,8,11,72,27,29,15,8,4,162,0,0,0,10,0,0,0,0,0,17,0,4,10,27,18,21,28,20,10,122,0,0,0,3,4,11,15,12,4,53,0,12,12,109,36,35,31,4,0,246,10,186,224,2072,260,152,95,33,4,3035,0,10,14,85,39,17,6,0,0,171,0,5,12,70,11,14,9,6,0,122,0,5,6,27,8,4,6,5,0,51,0,3,0,19,11,7,7,4,0,47,0,0,4,13,14,20,26,18,0,98,0,4,3,57,32,4,3,0,0,110,7,26,45,342,72,38,11,3,0,537,0,0,0,10,0,5,3,0,0,21,0,20,29,149,58,28,28,7,0,323
80105,4,4,0,20,8,6,0,4,0,47,3,15,411,749,89,81,33,23,15,1413,0,0,0,8,4,11,26,12,9,76,0,4,0,7,0,0,3,0,0,15,11,27,229,207,115,159,143,90,56,1042,0,0,7,16,8,5,6,3,0,52,0,0,16,45,13,5,3,0,0,84,0,3,17,46,26,19,28,27,17,188,0,0,0,8,6,8,12,31,20,78,0,4,49,71,8,19,6,0,0,159,5,32,122,332,33,24,16,4,0,577,0,8,20,104,15,9,8,3,0,164,0,0,10,44,5,3,0,0,0,67,0,0,6,4,3,4,0,0,0,16,0,4,7,21,13,5,10,8,0,65,0,4,4,25,5,15,22,29,11,119,0,0,21,37,25,15,5,0,0,106,3,9,36,142,33,8,0,8,0,243,0,0,0,0,3,0,4,0,0,18,0,8,53,107,28,39,14,13,3,257
80106,0,0,0,5,0,4,0,5,0,22,0,15,21,143,54,33,17,6,3,297,0,0,0,4,0,4,10,12,0,37,0,0,0,4,0,0,5,0,0,8,0,26,34,89,90,135,113,95,32,615,0,3,0,17,3,5,6,3,0,36,3,4,15,33,12,14,0,0,0,84,0,0,0,23,15,11,23,23,14,112,0,0,0,5,0,5,9,19,3,42,0,5,10,25,11,10,7,3,0,75,0,17,27,197,35,21,22,5,8,326,0,3,4,27,10,6,3,5,3,69,0,0,5,19,9,4,3,0,0,47,0,0,0,5,6,10,0,0,0,21,0,0,3,12,3,9,9,0,5,41,0,3,4,21,11,18,24,17,22,106,0,3,4,26,18,9,6,0,0,65,0,5,3,39,20,8,0,0,0,79,0,0,0,0,0,0,4,0,0,10,0,5,7,42,23,19,11,7,0,125
80107,0,3,0,16,8,12,17,4,0,75,0,3,19,124,63,62,43,22,8,343,0,0,0,0,13,23,49,29,9,132,0,3,4,8,5,4,10,5,0,41,4,43,51,170,193,373,294,202,79,1410,0,3,7,25,17,16,3,3,0,71,0,0,4,26,11,13,7,0,0,58,0,6,9,29,14,31,70,53,16,230,0,0,0,7,7,12,27,26,10,84,0,6,0,29,15,32,18,0,0,97,8,81,77,623,110,92,53,21,7,1077,0,3,4,33,17,11,21,4,0,101,0,0,5,21,11,9,7,3,0,67,0,8,11,39,25,17,4,4,0,113,0,12,6,16,10,19,12,10,6,82,0,5,0,6,9,38,42,27,14,141,0,3,3,21,16,6,4,0,0,68,0,5,3,48,17,8,0,3,0,85,0,0,10,19,19,28,18,3,5,99,0,4,8,40,41,62,46,14,9,224
80108,0,0,0,0,4,0,4,0,0,11,0,4,7,54,33,26,27,4,8,154,0,0,0,0,4,5,16,21,8,53,0,0,0,0,0,0,0,3,5,15,0,22,17,51,62,94,82,84,44,448,0,3,5,12,8,5,0,3,0,29,0,4,0,9,8,0,0,3,0,30,0,0,0,12,6,13,18,31,17,98,0,0,0,0,0,4,3,16,5,31,0,4,0,12,7,4,7,0,3,33,0,17,11,128,35,19,7,13,4,239,0,4,0,15,8,6,6,0,0,36,0,6,3,15,0,7,3,0,4,30,0,0,0,8,3,0,0,0,0,13,0,3,5,10,5,3,6,0,5,28,0,4,4,11,8,10,25,16,3,77,0,0,6,14,0,5,0,0,0,28,0,3,7,8,7,0,0,0,0,21,0,0,0,8,0,3,0,0,0,9,0,4,0,19,16,13,9,7,0,69
80109,0,0,0,3,9,5,0,0,0,19,3,17,22,186,70,60,40,25,8,431,0,0,0,0,4,6,13,16,7,52,0,5,0,3,9,3,0,3,0,24,6,28,34,69,83,124,92,117,58,610,0,0,0,23,8,9,9,4,0,53,0,4,4,10,8,4,12,0,4,52,0,0,0,13,11,3,25,35,20,116,0,0,3,6,3,7,21,35,6,85,0,9,9,32,13,19,15,4,4,85,11,76,50,493,72,47,39,9,12,811,0,6,6,27,3,11,9,3,4,62,0,0,0,25,0,3,0,0,0,34,0,0,0,13,3,7,4,0,0,29,0,5,0,9,7,10,10,9,3,59,0,0,4,8,4,16,23,45,21,121,0,3,4,22,11,3,9,0,4,65,0,6,8,55,16,16,3,0,0,107,0,0,0,7,0,0,0,0,0,7,0,12,11,72,24,19,29,10,6,182
80110,0,0,0,6,0,0,0,0,0,8,0,8,5,161,13,25,11,0,0,225,0,0,0,5,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,3,0,19,8,38,13,11,11,3,0,107,0,0,0,7,3,0,0,0,0,16,0,0,0,6,3,0,0,0,0,5,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,5,4,23,9,8,0,0,0,41,3,40,51,393,47,23,12,8,0,572,0,0,0,7,3,0,0,0,0,15,0,0,5,15,4,3,0,0,0,28,0,3,0,17,0,0,0,0,0,21,0,3,3,3,0,0,0,0,0,16,0,0,0,0,0,0,5,0,5,10,0,0,4,8,3,0,0,0,0,14,0,5,3,56,5,4,0,0,0,68,0,0,0,0,0,0,0,0,0,3,0,4,10,38,9,5,4,0,0,67
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
