SA3_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80101,12,57,56,441,49,15,11,5,0,643,0,0,14,31,75,45,17,10,0,186,5,71,137,584,199,159,61,22,10,1249,0,5,3,59,28,30,57,29,17,227,0,3,23,25,12,18,0,3,0,87,0,9,12,65,46,80,100,77,34,410,0,19,23,68,46,24,23,3,4,215,0,20,64,164,78,40,54,19,3,449,0,33,51,284,96,71,57,31,15,632,0,3,16,111,8,6,5,0,0,149,5,33,72,178,57,31,23,5,0,403,0,0,0,32,7,12,6,6,0,72,11,69,111,221,100,77,67,36,8,704,4,49,131,477,206,233,111,39,18,1270,0,0,3,22,19,23,23,16,4,108,0,7,20,64,31,24,8,4,0,155,28,245,345,1657,509,479,455,272,117,4105,193,384,469,1231,379,317,264,163,65,3466,6279,12979,13824,34397,12556,10035,9242,5077,1667,106061
80103,0,0,3,9,0,0,0,0,0,13,0,0,0,8,6,0,0,0,0,9,0,0,0,12,4,0,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,5,4,16,8,8,0,0,0,49,9,16,53,148,65,83,33,25,0,431,52,110,248,694,281,269,176,85,16,1934
80104,17,123,137,861,130,54,18,6,0,1353,0,0,5,22,47,13,4,0,0,95,5,70,128,555,219,133,58,7,0,1176,0,4,4,36,41,27,19,6,0,137,0,5,6,19,10,9,0,4,0,49,0,4,16,46,51,35,37,29,7,229,7,30,25,92,51,29,19,3,0,251,0,65,102,182,178,58,24,11,0,628,4,54,104,448,189,182,101,23,11,1114,5,11,5,136,20,10,5,0,0,178,5,30,38,178,51,28,11,5,0,342,0,0,3,32,16,4,5,0,0,62,22,70,61,155,66,25,19,9,0,433,8,35,84,484,269,205,110,19,12,1238,0,3,0,15,8,15,6,14,0,70,0,6,30,86,58,16,3,0,0,202,22,206,337,1447,547,334,214,118,23,3245,197,365,320,1040,278,161,122,85,10,2574,6832,13395,10717,32774,11141,6503,4136,1797,374,87682
80105,0,11,27,120,11,11,0,0,0,179,0,0,6,42,31,25,14,3,0,120,0,13,50,184,35,30,11,12,0,340,0,0,3,27,20,14,24,17,6,117,0,0,5,7,9,4,0,0,0,28,0,4,25,55,31,38,39,33,5,223,3,14,80,85,24,12,3,0,0,231,0,10,86,114,53,27,10,4,4,310,0,9,45,147,23,25,19,3,4,273,0,9,26,89,17,6,0,0,0,145,0,6,44,124,17,7,12,3,0,211,0,5,4,19,11,0,0,0,0,33,19,65,141,281,99,68,53,15,3,751,4,34,62,208,93,68,48,5,8,531,0,3,8,17,8,9,4,13,0,57,0,0,9,25,8,7,3,0,0,55,25,146,238,1203,272,195,158,97,73,2412,76,123,1264,1075,224,211,182,128,109,3391,2374,4948,13554,21562,6535,5293,3766,2080,1069,61188
80106,0,6,15,51,14,4,0,0,0,94,0,0,0,12,21,7,4,0,0,47,0,17,21,103,28,8,17,4,0,199,0,4,0,25,13,18,26,14,8,109,0,3,0,3,3,3,0,0,0,17,0,3,4,22,20,33,33,23,12,144,0,20,17,30,21,13,5,0,3,109,0,8,18,71,38,30,24,9,7,198,0,12,15,66,56,23,14,4,0,198,0,6,4,47,17,8,6,0,0,86,0,9,14,35,14,10,3,0,0,85,0,0,0,9,11,5,11,0,0,42,13,59,51,141,55,37,44,21,0,420,5,4,5,46,35,37,12,11,0,158,0,0,0,3,5,9,10,6,3,34,0,0,0,18,6,10,4,3,0,34,15,81,72,353,204,147,105,67,34,1073,46,133,180,600,233,200,197,109,84,1783,1221,3111,3482,9823,4238,3874,3241,1758,842,31592
80107,0,19,16,128,29,15,6,0,0,214,0,4,4,11,58,26,15,0,0,117,5,62,92,344,190,138,96,24,4,964,0,6,0,59,21,51,73,16,9,227,0,3,11,17,21,22,10,3,0,80,0,3,11,36,48,131,101,74,27,437,0,17,11,40,41,27,16,6,3,158,0,22,44,98,93,51,46,11,7,375,0,21,16,137,81,99,83,44,0,490,0,0,0,15,7,0,6,0,0,35,3,21,25,117,60,48,25,4,0,309,0,0,0,6,8,3,4,0,0,25,12,41,60,136,71,50,43,19,0,432,0,12,26,125,124,170,73,27,7,561,0,4,0,15,9,20,25,14,9,93,0,10,22,37,25,11,5,4,0,112,14,116,167,659,480,516,463,287,80,2780,111,330,248,726,303,254,278,211,118,2575,5440,11744,10468,24390,11728,11734,8855,3815,1281,89461
80108,0,17,11,35,9,0,4,0,0,73,0,0,4,13,22,14,4,0,0,56,0,17,26,77,35,14,20,3,0,189,0,3,0,15,6,8,15,6,8,61,0,5,6,8,0,8,0,0,0,26,0,4,7,10,13,29,32,28,11,139,0,4,0,11,7,9,3,5,0,39,0,11,11,37,42,19,12,13,5,147,0,7,0,37,7,13,10,5,6,87,0,0,0,5,5,6,0,0,0,25,0,0,5,37,8,10,4,4,0,72,0,0,0,3,3,0,3,0,0,9,4,21,18,52,25,26,21,10,0,175,0,4,8,26,17,18,11,3,0,84,0,0,0,11,8,6,8,10,0,43,0,4,6,13,14,5,3,0,0,41,3,31,46,176,121,111,110,105,62,765,43,89,86,228,80,86,97,95,44,846,1424,3387,2547,6090,3453,2587,2559,1898,683,24630
80109,0,20,18,104,27,14,0,0,0,191,0,0,0,14,21,23,7,0,0,69,3,41,45,369,94,41,27,3,0,623,0,0,0,16,7,20,29,20,5,96,0,0,0,4,0,4,0,0,0,10,0,4,3,33,27,28,34,45,20,190,3,16,7,38,21,18,13,4,0,119,4,10,22,58,34,29,21,3,3,190,4,5,4,121,54,59,60,16,6,334,0,0,3,26,4,7,4,0,0,41,0,15,7,53,22,9,9,6,0,119,0,4,0,8,7,8,0,5,0,27,15,49,28,105,55,33,38,24,3,345,0,4,8,60,30,23,30,10,0,166,0,0,4,7,0,0,4,17,4,39,0,3,3,18,11,11,0,0,0,51,9,150,123,742,219,175,163,166,75,1819,44,128,119,389,182,145,148,143,82,1377,1981,4780,4307,11547,5028,4363,3311,2734,1221,39279
80110,0,13,13,88,21,4,0,0,0,143,0,0,0,0,0,4,0,0,0,9,0,24,17,195,27,12,3,0,0,287,0,0,0,8,3,7,3,0,0,27,0,0,0,0,0,3,0,0,0,4,0,5,0,8,4,8,4,0,0,30,0,3,9,25,4,0,4,0,0,41,0,3,7,18,11,0,0,0,0,36,0,15,14,88,27,12,6,0,0,165,0,0,0,14,0,0,0,3,0,28,0,3,3,42,7,0,0,0,0,57,0,0,0,5,4,0,0,0,0,4,11,28,13,37,8,3,0,0,0,94,0,5,5,29,16,11,0,0,0,74,0,0,3,9,0,0,0,0,0,10,0,0,0,15,8,0,3,0,0,29,9,52,63,274,77,40,17,9,0,540,18,37,40,165,29,18,19,9,0,337,999,1668,1232,5450,1088,587,312,84,22,11435
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,8,0,5,8,9,9,11,3,0,0,44,56,97,73,188,85,75,40,11,4,625
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,0,0,0,20,0,0,9,40,20,18,14,0,0,110,19,25,148,215,77,78,34,10,4,605
