SA3_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
80101,1505,1382,702,399,460,260,118,4825,434,447,236,189,201,78,45,1626,528,497,284,174,211,91,38,1821,2871,3063,1732,1077,1289,416,177,10622,13,14,5,0,0,0,0,36,5356,5404,2961,1828,2169,840,372,18931,125,214,124,94,122,67,46,791,89,120,76,47,75,24,8,441,36,58,48,36,54,26,15,270,358,626,456,317,418,112,65,2344,25,18,6,6,4,0,0,66,628,1032,717,495,671,231,138,3913,5986,6430,3682,2329,2833,1077,510,22846
80103,10,12,6,4,3,3,0,33,0,3,10,0,4,0,3,20,7,7,0,4,4,0,0,15,15,8,4,5,6,0,0,52,0,0,0,0,0,0,0,0,34,32,22,12,19,8,4,126,3,3,0,0,0,0,0,8,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,4,6,4,0,4,0,0,22,0,0,0,0,0,0,0,0,7,11,9,4,3,0,0,35,39,45,24,14,23,4,4,159
80104,2902,2969,1392,731,905,531,249,9673,381,347,218,146,177,85,23,1372,471,464,247,140,171,64,29,1591,2248,2403,1310,753,1024,371,149,8255,25,18,15,0,0,0,0,60,6022,6205,3182,1765,2275,1053,453,20949,152,206,154,68,154,57,40,831,58,103,53,38,59,29,11,350,35,66,47,30,36,8,6,230,277,460,303,197,266,91,21,1614,20,9,8,3,0,0,0,36,538,846,563,335,513,181,75,3059,6563,7045,3736,2107,2783,1234,533,24007
80105,446,452,250,144,190,79,46,1613,218,235,145,85,125,45,24,883,284,258,155,83,114,54,23,976,1073,1077,632,421,530,211,82,4018,0,0,0,4,3,0,0,10,2031,2018,1185,738,958,388,179,7493,40,84,49,38,58,34,19,317,35,36,39,25,40,14,3,198,7,35,25,14,22,10,9,125,97,157,114,114,129,51,28,694,12,11,4,0,0,0,0,28,195,324,234,191,252,111,60,1362,2225,2347,1418,925,1207,499,232,8856
80106,244,317,201,144,184,84,40,1208,118,126,82,50,95,40,27,546,150,147,105,72,80,45,12,614,521,570,364,248,353,166,96,2324,0,0,0,0,0,0,0,4,1038,1167,764,517,715,331,176,4698,15,42,27,30,47,21,13,191,20,23,19,13,27,12,4,124,10,21,15,6,24,7,6,93,50,107,77,53,85,31,16,418,9,4,4,0,0,0,0,13,107,200,141,105,182,70,37,845,1147,1356,903,621,901,405,207,5540
80107,907,900,509,313,410,249,111,3401,337,397,234,146,198,93,51,1450,382,418,238,154,193,79,44,1502,2942,2926,1691,1029,1304,433,250,10582,9,11,11,9,0,0,0,38,4581,4656,2681,1652,2104,854,447,16978,47,88,66,46,64,63,25,398,69,124,65,70,78,19,9,435,28,59,48,45,56,20,7,278,488,760,500,336,479,129,66,2759,22,12,3,6,5,0,0,54,657,1047,683,498,695,227,110,3918,5241,5705,3360,2146,2801,1079,560,20899
80108,224,240,131,85,110,53,40,879,102,138,77,61,68,30,4,483,143,146,87,49,68,21,24,538,779,867,511,331,405,169,53,3125,6,0,6,0,0,0,0,8,1249,1392,804,531,659,278,114,5037,14,23,21,23,23,5,5,113,10,22,12,17,14,8,3,92,8,14,13,10,8,5,5,68,72,146,106,74,101,31,25,555,3,7,0,0,0,0,0,16,106,222,145,127,151,52,40,844,1352,1617,947,658,807,330,157,5877
80109,639,630,332,168,175,109,66,2118,155,179,117,76,94,40,31,704,193,209,162,84,109,47,24,812,788,929,625,392,531,223,125,3618,6,12,5,3,0,4,0,25,1777,1962,1242,725,912,419,245,7279,24,53,39,31,47,31,11,239,21,29,22,22,22,8,10,133,6,24,26,15,29,13,5,113,57,141,127,90,114,52,28,607,11,12,7,3,0,0,0,27,120,258,226,153,214,105,47,1125,1896,2219,1463,877,1128,521,291,8402
80110,468,549,222,134,133,68,29,1594,62,58,20,12,11,0,0,166,61,58,19,10,5,3,5,150,302,200,78,42,55,16,0,690,0,0,0,0,0,4,0,0,890,856,342,193,203,88,35,2606,11,38,19,12,23,11,4,118,8,15,4,3,11,0,7,37,10,9,9,3,4,0,4,30,51,69,36,21,21,13,5,208,0,0,0,0,0,0,0,4,67,134,61,35,56,25,20,400,955,995,404,226,258,112,50,3002
80111,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,4,0,8,5,0,0,0,0,14,35,39,9,9,12,4,0,110,0,0,0,0,0,0,0,0,41,46,12,13,17,4,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,4,0,0,0,27,6,0,0,0,0,0,0,3,7,8,12,7,5,0,0,34,52,57,22,16,14,9,0,166
