SA3_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
80101,502,79,34,0,0,614,157,25,12,0,0,200,135,26,14,0,0,167,246,49,37,0,0,339,347,81,69,0,0,501,1078,299,334,0,0,1708,1716,544,318,0,4,2581,3430,570,196,0,0,4200,1947,184,50,0,0,2181,1366,114,51,0,0,1534,778,64,26,0,0,863,490,85,37,0,0,609,12197,2127,1166,0,4,15498
80103,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,8,7,10,0,0,0,15,11,0,0,0,0,14,4,0,0,0,0,4,6,4,0,0,0,6,5,0,0,0,0,10,0,0,0,0,0,0,44,21,0,0,0,63
80104,349,76,22,0,0,450,94,13,7,0,0,123,87,23,16,0,0,126,139,41,36,0,0,213,194,73,74,0,0,342,742,309,337,0,0,1388,1231,705,339,0,3,2278,2594,839,180,0,0,3615,1951,219,26,0,0,2198,1810,131,28,0,5,1972,943,59,19,0,0,1022,525,94,42,0,0,663,10666,2580,1132,0,12,14394
80105,202,56,69,0,0,327,46,13,18,0,0,81,36,11,14,0,0,70,50,29,56,0,0,130,71,39,87,0,0,197,206,139,450,0,0,797,253,221,662,0,0,1130,517,300,644,0,0,1460,469,182,219,0,0,864,689,167,161,0,0,1025,604,99,102,0,0,804,129,30,62,0,0,222,3272,1285,2542,0,4,7106
80106,134,27,51,0,0,214,25,3,15,0,0,41,14,0,15,0,0,38,19,10,27,0,0,58,24,7,57,0,0,90,87,28,212,0,0,332,103,33,417,0,0,548,208,69,460,0,0,740,160,40,159,0,0,365,331,73,179,0,0,578,719,73,117,0,0,901,107,20,67,0,0,197,1934,383,1779,0,3,4099
80107,566,66,13,0,0,646,194,23,8,0,0,223,166,28,3,0,0,196,288,46,15,0,0,354,388,56,25,0,0,469,1121,240,167,0,0,1524,1774,446,173,0,0,2391,3636,424,143,0,0,4212,2118,122,39,0,0,2279,1404,69,34,0,0,1508,672,37,13,0,0,721,525,70,21,0,0,615,12859,1624,653,0,0,15137
80108,160,14,5,0,0,177,41,0,0,0,0,46,37,6,0,0,0,43,73,8,0,0,0,82,64,6,5,0,0,78,253,50,10,0,0,316,282,72,11,0,0,363,698,102,5,0,0,807,609,35,3,0,0,648,557,18,3,0,0,577,319,8,0,0,0,331,105,13,0,0,0,123,3197,337,54,0,0,3580
80109,191,25,26,0,0,246,42,4,11,0,0,60,48,13,16,0,0,77,64,23,37,0,0,126,85,37,37,0,0,160,216,101,213,0,0,529,205,174,238,0,0,615,463,216,175,0,0,849,503,106,50,0,0,666,715,76,31,0,0,826,659,49,20,0,0,735,138,28,26,0,0,193,3327,870,876,0,3,5077
80110,35,3,5,0,0,46,9,0,3,0,0,14,3,4,10,0,0,16,11,8,15,0,0,32,16,12,39,0,0,61,40,66,206,0,0,317,99,149,228,0,0,474,206,234,184,0,0,619,206,67,54,0,0,328,355,40,19,0,0,413,271,17,10,0,0,294,62,16,22,0,0,98,1297,612,792,0,6,2707
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,13,0,0,0,0,13,26,0,0,0,0,26,14,0,0,0,0,14,9,0,0,0,0,9,12,0,0,0,0,12,0,0,0,0,0,0,90,0,0,0,0,90
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
