SA3_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
80101,662,549,1214,653,629,1284,651,577,1231,615,620,1234,677,637,1311,3259,3019,6279,728,613,1340,705,667,1375,663,658,1318,692,660,1357,685,644,1323,3469,3246,6713,673,602,1269,691,638,1326,655,582,1240,663,569,1230,625,566,1200,3300,2963,6264,613,548,1162,587,500,1084,526,523,1051,611,589,1195,633,652,1283,2965,2810,5775,706,713,1422,778,781,1561,791,804,1596,843,842,1681,873,919,1787,3988,4061,8052,915,861,1775,1068,902,1968,984,966,1944,900,907,1805,969,939,1912,4831,4571,9405,974,945,1915,942,941,1875,859,930,1786,846,852,1700,865,877,1747,4477,4542,9022,901,861,1762,810,893,1706,835,855,1693,859,819,1670,826,891,1719,4231,4323,8556,768,775,1546,753,793,1547,742,774,1516,709,695,1410,711,689,1404,3694,3725,7418,695,666,1364,675,729,1402,700,682,1379,633,658,1296,642,677,1315,3346,3412,6761,669,655,1323,587,593,1184,554,570,1126,561,539,1104,544,512,1057,2917,2879,5796,508,532
80103,6,0,6,5,0,14,9,10,11,0,11,13,4,4,8,25,25,52,4,7,13,7,6,8,4,8,19,9,5,12,9,0,9,27,32,61,3,3,8,3,5,6,7,6,16,0,0,6,4,11,17,18,31,48,3,7,8,4,13,14,9,10,15,14,0,16,22,11,28,47,33,81,19,9,28,36,17,56,23,3,27,21,10,35,17,11,25,117,53,171,28,8,37,36,13,43,28,10,42,34,16,53,21,6,21,151,50,201,19,4,27,24,11,37,31,19,48,37,9,41,26,3,30,138,44,178,34,3,36,19,0,23,35,13,47,23,11,31,25,3,27,131,39,165,27,22,43,17,8,26,14,7,26,18,5,22,21,7,30,94,50,150,15,3,17,16,7,25,24,6,31,21,16,37,18,12,33,99,46,142,13,10,18,19,14,29,21,10,31,26,8,32,23,7,28,105,38,139,11,9
80104,631,612,1244,696,655,1345,690,680,1374,713,656,1368,778,725,1508,3505,3326,6832,763,735,1501,770,729,1499,783,701,1488,706,702,1406,735,683,1417,3760,3554,7314,707,651,1355,720,649,1362,585,594,1177,565,555,1126,556,510,1061,3128,2950,6081,551,531,1083,510,485,992,511,480,986,476,493,973,442,476,917,2496,2460,4957,516,489,1006,547,503,1052,578,560,1134,678,628,1309,601,666,1260,2915,2847,5762,656,651,1306,783,744,1523,806,772,1581,871,856,1726,880,860,1736,3997,3881,7871,784,882,1672,808,871,1675,812,868,1679,813,881,1692,799,904,1702,4022,4400,8422,884,898,1786,842,1000,1844,884,933,1816,887,888,1772,844,871,1706,4341,4585,8926,920,829,1749,803,811,1615,740,711,1449,743,646,1390,673,690,1361,3863,3689,7562,660,633,1295,625,633,1259,614,593,1205,643,630,1271,585,595,1178,3127,3084,6215,631,581,1212,504,533,1040,483,483,967,455,423,878,431,400,829,2514,2413,4930,407,389
80105,284,223,509,235,228,467,230,240,472,233,238,470,259,201,461,1245,1126,2374,264,267,529,249,217,466,261,240,496,279,246,528,247,235,483,1299,1200,2500,264,230,496,253,239,491,274,227,494,221,259,474,239,249,486,1250,1194,2445,269,237,500,224,186,417,213,231,449,642,781,1425,907,1022,1924,2262,2460,4714,896,906,1806,903,921,1825,862,916,1780,806,976,1777,808,847,1653,4270,4570,8845,771,794,1567,746,796,1536,759,754,1513,728,722,1452,681,668,1348,3678,3741,7424,682,650,1332,683,593,1277,567,554,1117,555,549,1102,546,485,1035,3022,2830,5855,452,461,913,502,461,957,494,461,954,442,466,909,451,427,874,2335,2276,4613,391,389,780,352,384,736,379,374,757,378,340,720,338,350,687,1837,1840,3677,301,329,629,340,349,689,314,300,608,308,335,647,335,334,676,1599,1651,3246,349,370,718,328,342,671,322,323,642,321,310,634,302,321,620,1616,1667,3282,270,296
80106,132,127,260,105,136,243,101,124,228,114,121,241,124,126,252,586,639,1221,142,130,273,156,137,294,151,148,300,161,145,306,150,142,297,762,709,1467,160,159,319,160,156,307,169,168,341,188,176,366,159,157,317,827,810,1645,174,182,359,192,174,370,161,171,338,174,168,339,131,116,251,839,811,1649,120,129,255,174,149,324,195,173,372,201,223,421,212,257,472,902,934,1838,229,283,513,235,295,529,308,305,609,298,296,595,273,290,562,1339,1469,2808,266,278,545,285,286,575,255,259,514,220,241,464,250,251,497,1284,1315,2595,251,234,485,238,250,487,220,253,467,212,231,445,213,228,438,1135,1195,2326,220,234,449,184,242,435,192,226,417,184,206,391,187,215,404,967,1128,2096,204,196,398,223,189,418,184,209,398,192,231,428,214,241,462,1018,1075,2095,226,225,454,227,211,437,213,232,442,201,203,408,201,202,400,1070,1069,2140,197,203
80107,526,493,1023,549,499,1044,580,558,1137,552,515,1064,617,554,1173,2823,2622,5440,576,582,1156,665,582,1246,639,555,1195,616,587,1208,586,590,1183,3085,2892,5981,578,590,1165,612,604,1211,590,563,1152,555,524,1074,602,560,1160,2936,2830,5768,636,525,1160,508,484,996,552,510,1058,546,468,1009,527,467,988,2758,2458,5213,550,482,1032,544,495,1039,564,502,1066,544,501,1050,546,518,1067,2748,2503,5254,584,570,1151,583,566,1151,600,588,1190,605,585,1194,578,572,1153,2948,2890,5838,604,659,1264,623,646,1267,645,664,1315,613,639,1255,620,625,1250,3109,3238,6345,631,672,1300,629,686,1323,637,653,1292,667,631,1299,623,666,1287,3186,3314,6498,589,650,1243,524,611,1138,590,577,1166,550,547,1095,517,548,1071,2776,2926,5704,531,527,1058,601,574,1177,556,609,1171,545,630,1173,606,617,1221,2844,2963,5806,635,658,1293,596,620,1217,541,643,1183,528,610,1137,521,574,1096,2817,3107,5921,541,633
80108,144,121,261,134,144,282,147,138,286,131,154,289,148,151,307,709,715,1424,176,168,344,163,160,324,156,182,342,192,179,368,177,162,341,877,840,1716,177,156,333,172,148,312,186,151,339,171,169,345,183,154,342,891,784,1670,167,144,310,147,151,299,161,128,284,148,121,267,127,110,243,749,655,1402,113,128,242,122,114,233,124,113,236,102,113,216,125,92,214,593,555,1148,102,102,205,122,106,229,112,114,227,147,135,282,119,155,277,604,614,1213,124,120,243,132,139,268,146,154,298,141,171,313,143,152,292,688,732,1417,174,164,340,169,175,341,166,179,346,174,186,360,173,189,359,855,892,1751,175,217,386,136,179,318,177,166,343,161,161,325,170,159,330,817,888,1704,164,180,347,174,190,366,167,180,352,176,189,369,188,198,391,875,941,1818,171,182,357,163,166,336,150,188,335,168,149,315,146,151,294,795,836,1633,139,152
80109,209,190,392,225,203,428,200,168,371,203,176,386,197,209,409,1033,944,1981,236,215,444,232,219,451,255,231,487,233,270,504,222,217,438,1175,1152,2321,274,254,523,278,267,543,256,219,476,247,212,460,249,217,459,1302,1157,2463,198,195,398,220,220,443,231,181,408,191,178,370,170,186,360,1015,960,1980,221,204,423,233,229,467,229,236,467,195,258,454,261,256,513,1144,1186,2327,291,291,583,289,273,564,279,301,580,309,304,615,309,330,644,1473,1503,2975,318,311,624,313,330,644,266,278,540,287,304,586,305,336,638,1478,1549,3035,275,317,592,295,295,591,270,310,583,258,277,540,289,306,594,1391,1507,2896,284,311,594,264,264,525,264,258,522,255,238,491,259,246,507,1326,1323,2640,213,226,437,235,256,488,214,273,484,262,266,533,258,273,528,1184,1291,2471,265,304,566,258,274,529,261,254,513,250,250,493,218,238,451,1241,1316,2552,225,273
80110,116,83,201,86,105,187,113,99,206,101,81,181,112,102,215,529,469,999,114,100,211,109,117,225,119,98,216,94,97,189,93,99,188,516,510,1023,75,78,157,58,76,133,62,61,121,55,49,105,71,57,128,324,327,649,52,42,94,49,49,100,39,58,94,54,42,93,42,52,97,233,238,472,48,48,97,50,70,123,82,73,148,93,83,176,77,131,210,346,410,751,131,101,227,110,157,266,129,153,283,167,179,347,126,174,303,657,761,1426,144,156,294,140,168,312,145,164,310,139,152,290,135,174,309,704,811,1515,129,165,298,132,161,296,125,161,285,139,131,270,149,129,271,671,748,1417,136,117,256,126,110,239,111,102,211,103,87,194,104,87,193,583,505,1087,87,63,153,75,54,132,73,50,121,52,69,119,51,65,118,339,301,637,45,43,90,47,49,100,52,49,100,55,40,90,30,38,72,235,215,450,28,42
80111,9,0,10,3,4,9,3,4,11,9,8,17,9,4,11,33,24,56,8,9,12,9,3,14,3,5,6,9,3,15,5,6,12,33,22,57,3,3,6,4,6,13,3,0,3,3,5,13,9,0,11,22,22,44,6,3,7,5,7,9,3,0,3,0,0,0,5,6,13,18,17,36,0,0,0,3,3,11,10,9,16,0,3,6,0,0,0,15,15,39,4,3,6,3,10,9,4,5,12,7,8,15,6,0,6,26,27,50,0,8,9,5,0,6,0,6,11,8,4,10,0,3,5,18,21,33,5,4,8,5,4,4,4,4,8,7,9,15,0,5,6,20,23,43,5,5,10,6,11,14,4,6,9,7,3,12,3,9,14,30,29,58,7,7,9,5,0,4,3,6,8,5,3,9,0,6,8,20,25,45,10,11,18,9,0,9,6,3,10,0,3,3,0,0,0,27,14,38,0,6
