SA3_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
80101,35,2000,1102,430,2628,0.8,2227,2.5
80103,40,1712,893,290,2010,0.9,1206,2
80104,32,2123,1198,462,2829,0.9,2537,2.9
80105,31,2080,1241,476,3175,0.9,2341,2.2
80106,40,2275,1600,500,3726,0.9,2711,2.2
80107,38,2000,1140,425,2709,0.8,2305,2.6
80108,41,2251,1210,420,3018,0.7,2377,2.6
80109,39,2167,1265,440,3106,0.8,2375,2.4
80110,31,2099,1461,472,3153,0.9,2734,2.7
80111,35,2296,1340,395,3026,0.9,3062,3.1
89797,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0
