SA3_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
80101,3,341,3,351,..,282,51,332,0,335,..,83,7,86,0,89,..,1253,326,1579,14,1592,..,3430,464,3892,65,3961,..,22466,2731,25200,223,25419,..,411,61,473,3397,3876,76764,22874,2795,25669,3621,106061
80103,0,4,0,4,..,13,0,13,0,13,..,0,0,0,0,0,..,7,0,7,0,7,..,54,6,60,4,61,..,191,22,213,5,214,..,6,0,6,773,769,950,191,22,213,773,1934
80104,40,870,14,883,..,222,46,261,5,269,..,94,11,99,6,108,..,1215,307,1522,10,1532,..,3932,507,4440,103,4541,..,29520,3863,33381,344,33719,..,444,83,531,2575,3109,50856,29964,3948,33914,2919,87682
80105,4,197,0,197,..,135,35,168,0,169,..,31,3,34,0,34,..,548,119,667,11,673,..,1790,195,1983,31,2016,..,11885,1153,13034,112,13148,..,222,34,258,3320,3572,44461,12102,1187,13294,3433,61188
80106,5,111,0,111,..,51,6,57,0,57,..,55,4,60,0,59,..,162,22,177,3,182,..,638,62,697,12,708,..,5696,385,6082,60,6140,..,113,15,122,1790,1914,23533,5811,404,6210,1848,31592
80107,12,325,5,326,..,204,54,260,0,264,..,27,3,34,4,33,..,565,131,696,9,704,..,1833,290,2126,37,2159,..,12664,1417,14078,158,14237,..,266,30,293,2498,2788,72435,12930,1449,14370,2654,89461
80108,0,55,0,55,..,42,11,53,0,53,..,16,0,15,0,15,..,67,23,95,0,95,..,505,68,569,22,594,..,3448,375,3819,47,3866,..,52,7,58,809,860,19905,3496,382,3881,851,24630
80109,29,354,3,356,..,74,15,87,3,88,..,27,3,33,0,33,..,145,20,161,3,168,..,1389,118,1508,24,1529,..,9036,774,9815,104,9910,..,193,17,212,1287,1502,27870,9232,791,10025,1388,39279
80110,8,125,0,131,..,44,5,46,0,46,..,16,6,24,0,22,..,82,3,87,0,87,..,634,51,690,19,700,..,4482,357,4830,60,4897,..,74,9,82,336,412,6120,4551,363,4913,396,11435
80111,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,18,0,18,0,18,..,0,0,0,42,45,560,21,0,21,42,625
89797,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
89999,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,18,3,19,0,19,..,71,10,78,0,81,..,5,0,5,125,130,400,76,10,82,127,605
