SA3_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
80101,1530,253,24,3,1049,101,2965,1465,790,89,33,1387,220,3988,2683,2757,507,179,2706,478,9309,1860,3152,915,279,1394,322,7923,1537,2572,707,236,966,246,6264,1095,1836,568,203,895,184,4773,768,1574,642,291,787,136,4198,394,709,361,184,625,101,2371,115,149,62,34,307,48,704,11444,13783,3869,1447,10113,1842,42499,1448,363,30,17,855,100,2810,1421,1141,174,59,1069,195,4061,1810,3144,1079,844,1823,422,9116,994,3012,1743,1131,907,257,8050,792,2613,1407,612,671,200,6294,629,2027,1128,574,735,167,5258,454,1392,1216,843,948,191,5041,238,664,560,446,688,113,2708,134,155,102,75,412,84,961,7927,14514,7446,4596,8098,1716,44298,2984,619,54,20,1901,200,5775,2883,1935,266,93,2454,416,8052,4488,5895,1586,1025,4527,901,18425,2862,6163,2661,1413,2296,583,15972,2334,5183,2114,848,1635,448,12556,1723,3855,1700,772,1630,357,10035,1217,2970,1862,1135,1736,327,9242,634,1377,919,630,1313,215,5077,249,305,163,108
80103,9,5,0,0,16,17,47,17,7,0,3,37,54,117,30,25,5,5,45,180,288,22,23,7,3,27,147,225,24,42,9,0,34,88,197,32,32,5,3,34,63,183,14,20,5,9,25,27,93,3,9,4,0,21,14,55,3,0,0,0,4,0,9,149,165,35,20,245,592,1209,17,6,0,0,10,9,33,7,6,3,0,3,17,53,12,19,6,7,14,37,94,14,19,9,10,11,28,89,5,28,13,5,14,14,85,11,16,15,7,14,28,93,10,16,14,5,12,20,80,0,7,4,0,10,6,34,0,0,0,0,0,0,8,84,131,64,45,92,154,562,21,8,0,0,24,26,81,29,17,3,5,45,73,171,38,45,11,12,59,219,383,32,43,14,13,35,168,312,32,69,20,13,42,104,281,46,51,20,10,51,95,269,22,42,17,11,38,47,176,6,21,9,0,37,18,85,8,0,0,0
80104,1228,207,5,6,945,105,2496,1094,492,47,22,1118,146,2915,2149,2221,447,168,2598,431,8011,1873,3084,896,313,1717,329,8209,1401,2281,535,175,1083,173,5640,799,1187,302,117,667,102,3174,375,623,238,84,484,74,1871,151,237,105,45,245,34,818,31,37,8,13,68,5,165,9091,10373,2597,935,8913,1389,33304,1243,311,23,8,790,79,2460,1003,733,132,55,793,138,2847,1373,2607,1032,894,2000,381,8277,868,2845,1720,1320,1252,272,8279,669,2213,1161,574,714,163,5502,442,1182,708,365,559,82,3330,199,640,489,326,512,87,2262,87,250,189,151,254,43,981,41,40,15,15,80,9,205,5931,10819,5470,3713,6960,1255,34143,2469,523,29,9,1737,190,4957,2097,1224,173,74,1908,282,5762,3519,4828,1479,1063,4601,807,16292,2738,5931,2622,1627,2975,595,16485,2071,4494,1705,750,1794,330,11141,1237,2369,1015,481,1222,184,6503,578,1269,727,410,995,159,4136,240,484,291,196,499,84,1797,75,82,22,28
80105,987,303,24,4,692,243,2262,1525,1061,84,33,1118,448,4270,2143,2299,281,91,1430,454,6703,1025,1711,438,129,635,226,4168,769,1363,443,84,416,150,3219,617,1093,298,111,366,139,2624,314,719,291,88,308,95,1823,160,286,138,48,205,64,894,73,78,37,17,164,48,421,7604,8919,2048,618,5335,1861,26387,1141,442,46,10,545,278,2460,1779,1415,166,43,778,387,4570,1735,2721,496,259,1018,338,6574,651,1549,857,486,395,174,4122,510,1465,743,275,221,98,3317,416,1115,559,218,270,82,2671,194,686,510,228,246,83,1948,130,311,245,132,284,83,1181,74,135,64,39,254,76,648,6631,9839,3688,1687,4022,1612,27478,2125,748,71,16,1240,514,4714,3307,2476,251,79,1894,836,8845,3872,5022,782,351,2455,796,13276,1676,3261,1296,616,1037,398,8288,1283,2828,1186,357,642,241,6535,1037,2211,862,335,637,221,5293,509,1404,800,315,556,184,3766,284,596,381,185,486,152,2080,149,213,101,60
80106,457,64,3,5,278,30,839,404,186,22,8,221,60,902,905,986,110,28,402,188,2622,542,851,241,58,274,135,2104,560,874,198,59,276,123,2089,489,775,207,61,249,113,1896,328,593,227,60,227,105,1546,153,281,114,43,158,68,819,41,50,27,10,104,36,268,3881,4661,1147,339,2190,865,13086,461,66,6,0,238,38,811,399,274,35,10,144,78,934,806,1128,233,116,315,190,2788,387,907,443,289,169,119,2319,338,840,476,198,171,120,2150,318,790,406,182,187,91,1975,175,561,430,225,197,104,1698,84,240,208,126,217,68,935,63,95,54,22,253,88,574,3019,4901,2290,1171,1890,905,14176,918,126,4,7,512,72,1649,798,463,53,20,362,137,1838,1709,2114,343,145,723,379,5409,933,1759,686,342,441,257,4417,895,1713,672,264,449,247,4238,809,1565,617,246,437,211,3874,502,1152,660,284,426,213,3241,229,521,319,169,378,140,1758,102,145,77,35
80107,1373,238,17,5,1020,104,2758,1161,394,44,18,1035,97,2748,1792,1944,392,172,1507,251,6057,1401,2401,684,262,975,237,5960,1554,2254,576,191,903,182,5655,1357,2164,657,260,978,141,5562,801,1510,606,269,894,145,4227,323,476,225,134,474,106,1740,75,83,55,27,193,58,489,9840,11467,3251,1339,7984,1329,35206,1260,252,23,9,831,82,2458,974,656,115,54,616,85,2503,1079,2172,913,766,991,207,6122,661,2409,1334,998,627,216,6241,784,2678,1216,579,642,172,6069,748,2407,1329,709,838,141,6167,433,1312,1118,762,858,143,4630,223,428,346,331,600,152,2075,89,130,72,51,325,130,788,6256,12439,6470,4255,6321,1331,37066,2632,491,37,16,1852,190,5213,2137,1052,161,78,1651,178,5254,2875,4116,1304,935,2500,455,12184,2066,4804,2023,1262,1607,449,12208,2338,4931,1790,772,1540,350,11728,2110,4573,1986,963,1818,283,11734,1239,2820,1726,1032,1752,293,8855,544,900,573,457,1072,262,3815,157,213,120,74
80108,414,53,0,0,253,29,749,272,101,9,7,177,28,593,400,429,93,36,253,69,1288,361,712,252,79,198,69,1669,371,777,219,66,196,43,1671,283,512,189,52,142,46,1214,203,439,170,62,223,50,1142,150,281,114,69,200,56,871,40,42,24,24,115,29,286,2497,3333,1083,396,1763,420,9483,364,63,7,0,198,16,655,244,130,21,7,126,21,555,265,511,213,138,163,55,1346,184,669,437,303,134,59,1785,220,781,444,164,128,48,1780,173,564,307,137,144,43,1368,126,437,347,222,216,68,1418,89,249,202,167,246,79,1032,46,73,42,26,159,48,400,1714,3471,2032,1163,1516,444,10341,781,116,8,3,450,44,1402,511,229,29,16,306,52,1148,668,940,311,178,420,126,2632,543,1383,690,376,334,133,3455,593,1553,669,230,318,88,3453,456,1068,497,181,294,87,2587,332,869,519,287,439,113,2559,237,531,318,236,444,132,1898,91,118,67,52
80109,570,79,6,4,323,40,1015,474,228,21,8,363,51,1144,895,830,171,49,840,161,2952,571,1070,349,120,497,108,2707,608,994,303,88,322,107,2429,501,918,243,91,293,82,2132,294,634,220,76,277,59,1551,207,361,164,91,273,66,1165,92,107,54,23,204,28,503,4214,5215,1526,547,3402,712,15604,563,95,4,0,260,26,960,464,311,32,26,299,52,1186,632,1062,315,215,701,134,3054,375,970,644,424,331,85,2829,351,1116,595,261,186,92,2602,291,935,509,207,224,62,2230,180,583,395,249,269,72,1755,135,393,321,264,377,72,1570,95,141,61,54,323,42,717,3080,5611,2886,1695,2985,655,16911,1132,176,12,7,586,68,1980,937,545,50,35,661,102,2327,1524,1890,481,265,1545,300,6008,944,2033,993,545,827,195,5539,954,2107,901,348,513,199,5028,795,1857,750,292,519,145,4363,475,1218,613,323,548,135,3311,341,752,493,353,654,142,2734,181,243,121,73
80110,106,22,7,3,91,7,233,135,72,7,4,106,17,346,393,449,69,25,364,64,1359,286,496,146,59,248,33,1261,130,244,65,17,98,20,571,76,94,35,6,52,9,271,24,51,14,9,41,8,150,4,14,6,0,15,7,44,4,0,0,0,5,0,8,1157,1438,354,124,1012,162,4245,113,35,0,4,74,12,238,123,155,10,10,89,23,410,313,564,169,152,304,70,1574,151,450,264,178,171,35,1249,85,187,96,66,58,20,517,48,115,58,39,53,13,324,17,44,42,19,25,15,165,3,16,6,3,10,0,39,4,0,6,0,9,0,10,870,1565,648,466,783,184,4524,221,55,6,5,170,21,472,259,231,17,16,191,38,751,708,1009,238,178,673,134,2937,437,944,409,236,415,66,2511,217,433,160,81,157,38,1088,126,206,95,44,100,18,587,39,93,58,23,70,20,312,11,26,16,3,23,9,84,3,6,4,0
80111,5,0,0,0,3,3,18,5,5,0,0,3,0,15,15,12,0,0,8,3,43,12,22,8,0,4,5,47,11,22,7,3,5,4,43,13,13,3,0,3,4,33,7,5,3,0,4,6,24,0,3,0,0,0,0,9,0,0,0,0,0,0,0,66,77,25,11,34,20,238,6,3,0,0,3,5,17,12,6,0,0,0,0,15,15,19,8,0,4,3,43,8,16,21,10,0,3,54,9,18,5,0,3,5,35,3,15,10,4,0,4,43,0,4,7,6,0,0,17,0,0,0,0,0,0,7,0,0,0,0,0,0,5,47,75,47,24,20,15,234,13,5,0,0,10,3,36,15,6,0,0,7,4,39,26,30,7,0,10,4,90,14,39,29,9,7,3,102,15,37,16,11,6,9,85,17,30,13,4,5,11,75,7,14,4,7,3,9,40,0,3,0,0,0,0,11,0,0,0,0
