SA3_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
80101,1335,1696,3032,3889,4726,8619,0,0,0,537,580,1114,0,4,8,9284,10766,20044,27,46,70,760,792,1549,82,130,211,120,116,233,216,287,503,54,44,96,334,368,705,528,659,1181,662,774,1439,43,55,99,91,98,194,886,1221,2111,1208,1424,2635,50,57,109,18770,22151,40921,2133,1853,3991,1739,1512,3249,46,55,100,3,3,11,463,405,867,179,241,423,648,654,1301,24542,22663,47202,300,223,527,83,123,199,24925,23007,47935,2936,2598,5534,52533,53530,106061
80103,11,14,27,78,45,119,0,0,0,10,0,10,0,0,0,127,105,235,0,0,0,9,0,7,3,0,7,0,0,0,10,6,13,0,0,0,3,5,4,7,6,15,6,6,19,4,0,0,4,0,3,16,17,28,18,18,29,0,0,0,288,209,501,6,13,18,34,11,44,0,0,0,0,0,0,4,4,9,6,5,12,10,9,19,299,209,509,0,0,0,3,0,6,304,213,517,626,176,806,1289,646,1934
80104,1443,1787,3234,2731,3364,6101,0,0,0,361,429,788,3,3,8,7585,8423,16004,16,13,31,648,711,1360,83,86,167,70,60,131,125,178,307,176,189,360,232,277,514,551,603,1157,549,605,1157,30,40,71,75,104,178,583,783,1366,1152,1311,2464,17,23,37,14992,17203,32198,4161,3763,7921,2859,2496,5358,26,39,67,7,10,9,1060,921,1981,117,151,273,1180,1085,2259,16620,15506,32127,170,117,290,40,59,100,16831,15683,32513,2197,1929,4122,43701,43981,87682
80105,850,1087,1940,1623,1941,3561,0,0,0,195,197,391,0,0,0,3913,4512,8421,15,8,27,361,426,784,23,45,68,21,15,39,97,109,211,14,22,40,149,179,333,132,143,273,309,301,609,15,15,30,24,32,56,356,482,836,445,520,963,22,40,64,7717,8986,16698,765,677,1437,565,489,1052,133,167,304,4,9,9,85,68,155,110,129,242,200,206,403,17027,16912,33939,305,219,525,65,84,146,17391,17217,34609,2561,2177,4738,30179,31002,61188
80106,235,366,598,1406,1779,3183,0,0,0,119,123,242,8,4,13,2668,3102,5769,6,0,6,340,339,683,6,9,14,12,6,17,58,80,142,9,15,24,61,73,139,54,64,117,202,262,464,17,17,32,12,8,23,280,368,643,221,271,494,11,9,27,5485,6534,12018,436,458,893,348,313,658,86,89,175,0,0,0,55,56,113,54,66,121,104,130,232,7296,7177,14467,103,87,190,18,38,51,7411,7300,14711,1168,1140,2301,15257,16331,31592
80107,774,1016,1787,4187,5138,9327,0,4,8,340,402,745,3,10,8,9951,11288,21232,31,34,66,566,588,1147,74,110,184,68,74,148,200,248,446,75,72,146,192,217,408,427,489,911,644,826,1472,95,113,207,87,96,182,640,937,1577,1049,1251,2303,21,22,38,18654,21907,40564,1039,926,1974,1053,1011,2061,39,33,69,0,7,11,296,246,545,114,200,318,410,460,869,19632,17812,37449,198,140,343,57,101,162,19887,18058,37947,2191,1992,4187,44054,45414,89461
80108,167,200,363,1021,1315,2333,0,0,0,80,95,175,0,0,0,2495,2890,5383,9,7,14,133,157,297,4,12,19,12,18,37,62,67,132,18,21,32,94,77,164,84,115,203,185,220,402,10,12,29,18,14,34,240,347,586,242,311,555,12,7,19,4719,5691,10413,238,233,471,226,191,412,15,22,35,3,0,5,56,45,108,44,47,92,111,92,202,5736,5544,11283,66,49,116,21,25,50,5823,5616,11447,662,637,1295,11952,12676,24630
80109,535,685,1220,1469,1830,3306,0,0,0,144,179,326,0,4,5,3888,4493,8384,8,5,19,366,444,810,20,36,63,38,36,79,99,130,225,41,45,88,76,98,172,120,118,240,261,319,577,15,16,32,31,31,58,305,414,718,380,442,820,13,12,27,7277,8656,15941,1239,1184,2426,473,488,965,58,61,118,3,4,4,146,130,283,64,79,142,209,216,430,8082,7730,15813,121,76,202,26,45,81,8231,7859,16089,1080,1015,2098,19118,20165,39279
80110,203,277,479,231,259,485,0,0,3,56,61,120,0,0,0,873,1031,1909,4,0,3,72,67,138,10,5,14,5,10,16,6,23,32,36,34,71,42,44,81,51,63,113,43,49,95,5,0,4,5,26,35,57,62,120,148,179,324,0,0,0,1635,1925,3559,706,667,1372,411,379,797,6,5,14,0,0,0,144,124,267,29,36,65,174,161,334,2171,2097,4272,31,21,50,10,18,30,2208,2141,4349,263,271,536,5610,5828,11435
80111,0,3,3,40,35,74,0,0,0,0,3,3,0,0,0,59,61,123,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,9,14,0,0,0,6,6,14,0,0,0,0,0,0,0,0,3,4,13,16,0,0,0,121,133,256,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,6,6,4,7,174,137,312,0,0,0,0,0,0,178,138,313,29,19,45,328,300,625
