SA3_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
80101,181,818,1190,610,457,499,831,502,170,5258,160,916,1731,996,636,698,865,486,140,6634,79,895,2544,1432,1018,912,871,466,110,8326,19,766,2214,1441,1021,878,728,276,78,7421,14,374,2256,1754,1263,935,622,231,53,7488,8,114,1492,1648,1234,798,372,119,31,5821,0,112,2061,3661,3080,1602,506,133,29,11186,0,11,231,607,574,348,109,30,6,1918,0,18,211,909,937,532,129,53,19,2810,212,430,877,585,464,366,344,258,161,3703,5775,8052,18425,15972,12556,10035,9242,5077,1667,86802
80103,0,9,13,4,22,16,12,4,0,80,3,21,18,14,16,11,6,5,0,90,6,27,26,25,19,24,8,3,0,140,4,15,26,9,21,17,11,0,0,96,0,9,25,15,18,12,0,0,0,72,0,0,9,7,17,11,0,0,0,48,0,0,12,26,20,5,4,0,0,69,0,0,0,3,4,6,0,0,0,14,0,0,0,6,11,3,0,4,0,24,21,71,219,167,108,94,43,21,0,760,81,171,383,312,281,269,176,85,16,1772
80104,109,569,1081,607,412,318,315,150,29,3591,101,740,1649,1011,620,417,330,137,31,5034,76,788,2260,1459,896,563,327,104,22,6485,26,606,2012,1567,856,492,255,68,6,5895,8,294,1947,1720,1056,570,197,49,9,5847,8,92,1240,1703,1116,543,129,27,6,4858,0,62,1798,3765,2828,1120,202,22,7,9802,0,0,231,776,614,252,32,13,0,1928,0,5,228,1077,987,401,68,8,3,2780,168,261,758,591,327,196,155,80,13,2567,4957,5762,16292,16485,11141,6503,4136,1797,374,67456
80105,238,745,609,221,151,197,263,174,80,2668,246,853,786,369,242,250,326,178,73,3330,66,943,1299,524,284,350,378,164,66,4072,29,839,1646,542,309,342,305,136,66,4219,12,448,1868,698,508,409,299,129,42,4409,4,141,1347,787,511,413,224,70,21,3522,10,97,2269,2289,1770,994,325,99,28,7875,0,13,264,536,499,299,106,23,11,1758,0,13,280,894,1139,698,149,39,18,3234,513,840,787,413,250,222,195,173,193,3590,4714,8845,13276,8288,6535,5293,3766,2080,1069,53862
80106,42,138,148,102,68,113,182,132,62,997,19,163,251,141,118,152,225,135,72,1282,13,230,396,221,185,211,296,164,58,1781,6,280,682,245,169,253,284,125,39,2090,15,166,821,311,244,252,255,123,40,2230,0,52,648,357,300,243,196,104,28,1927,0,39,1217,1252,971,731,356,154,45,4764,0,9,154,352,364,250,109,39,10,1300,0,8,182,763,1116,856,340,92,32,3380,69,148,386,261,250,211,219,155,147,1851,1649,1838,5409,4417,4238,3874,3241,1758,842,27253
80107,163,573,701,472,411,605,738,393,95,4155,141,722,1154,682,673,844,876,335,100,5523,76,727,1597,1146,1024,1219,893,233,70,6983,31,567,1708,1197,987,1056,639,171,47,6409,4,288,1715,1486,1316,1196,533,132,25,6692,0,78,1133,1292,1174,982,374,61,4,5100,5,58,1476,2814,2929,1951,411,50,10,9698,0,10,157,382,491,360,96,7,0,1504,4,4,169,645,732,565,125,20,6,2277,182,196,472,458,386,307,304,279,230,2806,5213,5254,12184,12208,11728,11734,8855,3815,1281,72279
80108,36,104,126,93,100,111,228,151,57,1015,26,140,192,160,147,164,244,209,49,1339,17,138,260,245,226,208,254,205,49,1600,8,98,315,224,243,205,223,114,36,1459,6,63,366,323,284,210,159,104,15,1534,0,18,246,314,327,219,123,46,12,1305,0,17,472,1006,939,474,147,53,17,3125,0,0,53,188,223,103,32,6,0,620,0,5,66,351,436,209,66,11,0,1140,44,58,134,131,93,101,136,145,126,965,1402,1148,2632,3455,3453,2587,2559,1898,683,19823
80109,44,233,353,181,117,177,222,266,111,1702,43,242,583,288,211,243,258,266,134,2267,18,310,748,420,314,349,370,267,97,2897,10,250,725,422,287,302,253,191,66,2516,3,138,790,461,397,342,271,137,43,2576,0,39,548,515,410,338,196,76,28,2154,0,32,832,1353,1300,868,291,118,34,4826,0,4,114,340,343,218,57,27,7,1117,0,4,168,703,830,566,126,43,20,2471,70,115,272,191,192,158,166,164,169,1497,1980,2327,6008,5539,5028,4363,3311,2734,1221,32513
80110,10,77,137,65,33,27,24,8,0,375,13,110,241,117,56,27,29,10,0,591,6,121,344,179,82,43,27,6,0,801,3,95,386,197,86,52,24,3,3,843,0,68,420,257,86,65,13,5,0,909,0,17,322,290,103,44,12,0,0,791,0,22,477,679,273,109,15,4,0,1583,0,0,57,164,66,22,3,0,0,319,0,0,58,229,146,35,11,0,0,475,20,39,130,79,35,18,23,9,0,346,472,751,2937,2511,1088,587,312,84,22,8770
80111,3,0,5,0,3,4,3,0,0,17,3,7,15,10,7,3,0,0,3,45,0,4,20,3,4,12,0,0,0,41,0,9,8,10,7,4,0,0,0,32,0,0,10,14,15,10,0,3,0,53,0,0,7,12,5,7,0,0,0,35,0,0,13,28,19,12,0,0,0,69,0,0,0,9,0,0,6,0,0,12,0,0,0,11,6,7,0,0,0,22,7,8,4,3,6,8,3,0,0,43,36,39,90,102,85,75,40,11,4,474
