SA3_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
80101,2036,15081,15315,4451,2278,39161,351,39514
80103,52,233,139,34,43,504,10,515
80104,986,10177,13045,3449,1756,29410,276,29684
80105,2687,11650,6778,1679,685,23468,203,23677
80106,811,6366,4543,992,456,13172,94,13258
80107,1221,10588,13475,4755,2579,32623,295,32919
80108,427,3270,3791,1037,561,9079,72,9154
80109,967,6420,5533,1482,772,15178,148,15322
80110,84,1638,1928,377,115,4147,31,4178
80111,0,28,83,33,36,185,4,185
89797,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0
