SA3_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
80101,6508,8693,2259,336,2741,2408,756,1176,9786,540,8298,42088,2148,72545,157,168,72,15,131,94,22,30,160,13,187,1054,41,1770,742,356,260,59,281,343,74,165,424,72,524,1484,95,3503,300,120,100,28,133,136,34,61,153,39,236,796,36,1612,537,147,149,85,322,256,55,85,208,76,331,1201,72,2538,76,62,25,3,60,41,15,4,80,10,94,968,33,1293,233,273,72,23,237,113,61,30,178,37,400,3223,99,4473,85,106,53,9,137,59,23,15,112,14,237,3812,62,4516,146,159,45,10,290,93,27,20,126,14,267,5952,137,6978,198,168,57,19,126,72,22,20,230,22,215,1204,41,1991,67,78,31,3,54,35,11,8,94,3,107,930,18,1300,2544,1649,854,251,1772,1249,345,435,1779,292,2594,20617,631,29985,73,40,24,11,26,30,4,16,36,8,45,204,3153,3534,9122,10380,3140,601,4545,3686,1110,1626,11597,842,10938,62906,5935,106061,..,..,..,..
80103,111,100,26,6,45,34,13,37,110,20,85,482,334,1164,6,0,0,0,3,0,0,0,4,0,7,25,17,60,9,0,0,0,5,3,0,0,4,4,5,33,3,52,3,0,0,0,0,6,0,0,3,0,0,5,5,17,0,0,0,0,0,0,0,0,0,5,3,11,0,22,0,0,0,0,4,0,0,0,0,0,0,4,8,14,4,0,0,0,0,0,0,0,3,0,4,31,7,46,0,0,0,0,0,0,0,0,0,0,7,18,0,26,0,0,0,0,0,0,0,0,0,0,0,64,5,65,0,3,0,0,0,0,0,0,0,0,4,6,4,12,4,0,0,0,5,3,3,0,3,0,3,17,3,22,30,9,4,0,18,7,11,5,23,10,33,213,52,338,3,6,3,0,5,0,0,0,0,5,0,6,411,433,150,107,34,10,69,41,19,41,137,24,116,701,801,1934,..,..,..,..
80104,3012,5534,933,81,1285,984,331,475,5958,219,4935,34455,1481,52389,91,152,35,5,109,43,16,18,104,17,128,938,42,1475,296,211,82,15,124,110,29,51,252,19,265,1100,52,2057,93,42,33,8,41,42,9,13,54,15,82,386,10,663,233,70,58,17,120,91,31,31,98,28,171,1023,39,1691,56,66,15,4,70,31,12,3,66,7,112,984,40,1335,182,256,63,7,244,96,43,24,136,23,357,3201,97,4371,82,77,67,11,168,60,22,15,82,20,268,5110,91,5902,232,314,66,11,725,171,35,27,189,32,509,9787,254,11852,97,117,27,3,51,22,9,13,148,8,130,1003,22,1469,63,91,22,4,96,36,15,3,85,8,117,1420,39,1855,1417,1396,469,80,1746,694,229,206,1224,172,2146,24949,674,32658,37,18,10,4,15,18,5,9,10,5,19,167,2378,2633,4467,6943,1409,165,3045,1692,557,690,7196,399,7097,59575,4535,87682,..,..,..,..
80105,2594,4409,994,195,889,953,263,493,5760,244,4216,24692,1041,40377,94,116,31,9,46,38,11,14,134,9,133,648,29,1115,294,197,104,40,86,108,27,47,306,34,351,1306,65,2452,130,85,47,14,55,64,15,22,106,22,140,671,6,1116,209,54,60,41,108,92,37,33,109,24,151,620,26,1174,25,32,7,0,12,15,0,3,49,4,45,416,17,570,77,128,36,12,74,38,11,5,160,7,190,1703,43,2300,49,76,19,9,58,48,12,4,146,9,153,3164,36,3661,54,94,15,4,87,37,11,7,117,7,111,2433,44,2878,117,116,31,9,44,27,5,19,197,5,153,996,21,1503,43,42,9,3,9,18,0,0,65,4,51,415,13,615,1096,936,366,141,586,478,139,168,1387,133,1470,12366,304,17379,66,28,15,85,29,40,8,21,66,23,33,81,3147,3429,3755,5370,1375,424,1497,1464,415,684,7213,391,5725,37144,4493,61188,..,..,..,..
80106,1800,2119,747,203,529,740,211,279,2260,134,2267,13020,592,21359,58,56,22,9,21,21,5,7,58,0,68,346,13,577,243,107,114,33,57,98,23,32,133,31,191,775,30,1490,71,35,26,17,22,34,8,7,50,12,74,430,18,686,138,37,45,24,55,52,16,19,51,12,80,466,24,842,24,8,13,0,15,11,10,3,14,0,32,271,8,368,42,49,17,6,35,30,8,3,40,8,92,705,18,974,24,23,19,0,24,9,0,5,43,6,70,775,14,970,34,54,15,6,79,33,9,0,34,0,68,1066,25,1338,48,62,29,5,23,26,8,3,85,4,91,552,15,831,30,34,6,0,12,17,3,0,17,0,26,233,12,350,714,475,317,101,359,336,93,88,530,78,799,5617,165,8428,24,3,10,30,10,16,0,6,40,21,63,68,1626,1803,2533,2596,1070,338,899,1086,302,375,2826,226,3131,18705,2383,31592,..,..,..,..
80107,6364,7705,2062,291,2829,2338,701,1128,8440,470,7758,39547,2101,67926,162,155,44,6,111,66,18,21,130,14,171,737,30,1358,751,356,261,48,321,313,89,167,348,60,518,1493,79,3450,243,101,103,22,110,126,34,61,98,34,174,593,27,1244,365,107,136,48,243,187,49,53,138,54,243,986,56,2014,63,56,31,5,89,37,19,13,36,8,96,694,25,1022,207,184,90,15,258,100,36,24,136,35,303,1959,61,2988,42,40,25,6,68,38,8,4,31,0,95,739,19,1025,122,94,33,8,295,113,26,9,59,14,180,3074,79,3866,122,102,43,6,71,50,15,7,137,12,130,632,22,1119,81,65,17,0,52,29,9,7,80,9,66,524,22,836,2159,1267,780,162,1621,1065,302,366,1197,241,1978,11434,420,18926,65,34,23,10,32,28,12,23,37,8,30,122,2335,2614,8588,8995,2865,465,4478,3430,1021,1517,9666,722,9772,51099,4857,89461,..,..,..,..
80108,1836,1901,628,148,689,693,209,307,2033,158,1967,10790,541,18226,48,37,25,4,34,25,4,0,38,6,44,258,6,440,252,106,83,24,100,107,31,47,126,35,175,467,29,1116,98,43,31,23,41,54,12,23,41,13,65,235,14,502,132,31,42,34,66,50,15,29,46,22,91,314,18,672,15,12,9,5,9,9,3,0,12,4,24,155,8,223,36,49,21,9,38,19,3,4,22,3,54,446,11,645,17,12,11,4,27,17,0,3,10,0,33,313,9,423,35,32,12,4,50,34,11,0,28,0,43,691,12,875,37,32,16,4,12,16,3,3,34,3,34,239,7,371,24,16,14,0,15,12,5,3,19,0,25,187,10,288,688,367,246,105,390,344,99,127,380,89,590,3319,127,5554,32,9,12,5,13,9,0,7,5,6,6,45,757,859,2557,2278,891,265,1099,1042,306,448,2417,252,2567,14152,1426,24630,..,..,..,..
80109,2398,2603,882,216,842,945,251,389,2753,222,2806,15421,697,25603,81,52,31,3,48,39,14,8,54,11,80,391,11,687,290,163,112,44,82,133,32,61,161,33,226,727,43,1605,137,54,44,17,62,74,22,21,40,28,93,357,15,719,225,57,71,42,112,109,23,43,68,22,139,467,42,1030,18,16,3,0,20,13,9,4,15,0,30,321,9,423,77,93,27,3,76,40,16,10,55,7,116,1161,29,1545,39,46,14,4,49,21,10,10,44,3,77,900,24,1167,93,81,30,3,173,60,20,12,49,7,118,3392,56,3920,51,55,17,6,24,14,0,5,67,5,87,502,10,745,29,22,14,4,21,13,0,3,34,4,42,292,7,438,1026,635,364,139,678,523,143,171,589,117,1015,8514,244,12276,33,15,13,13,19,21,6,9,16,3,19,94,1211,1398,3455,3251,1257,366,1535,1486,393,567,3360,347,3843,24033,2153,39279,..,..,..,..
80110,273,627,73,0,105,66,39,38,781,13,564,4429,125,6415,8,17,3,0,8,4,0,0,13,0,16,81,0,126,12,27,13,0,10,5,0,0,22,0,25,162,9,253,3,3,4,0,3,0,0,0,4,0,14,85,5,116,10,4,6,0,13,7,0,0,3,0,9,114,7,154,3,10,5,0,11,0,3,0,7,0,22,222,4,272,16,29,3,0,23,8,0,0,29,0,44,532,5,656,6,21,8,3,11,0,7,0,6,0,36,572,6,651,30,35,3,0,101,27,12,6,25,6,90,1714,36,2019,9,13,4,0,4,4,0,6,20,4,17,179,4,234,3,17,0,0,9,0,0,0,13,0,10,138,0,186,110,172,46,9,190,63,22,11,147,9,278,3797,78,4677,0,0,0,0,0,0,0,0,4,0,3,14,324,342,388,801,116,11,293,127,58,46,930,24,842,8242,528,11435,..,..,..,..
80111,34,59,12,0,23,17,8,6,59,3,38,353,15,530,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,3,0,3,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,3,0,3,4,0,0,3,0,9,35,0,53,0,0,0,0,0,0,0,0,0,0,0,5,38,44,42,59,13,0,21,17,8,6,60,3,43,392,61,625,..,..,..,..
