SA3_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
80101,1062,4266,3508,25790,154,34780,34,116,74,1973,21,2218,5527,127,267,274,21,6216,682,123,62,284,10,1161,627,312,185,660,15,1799,5800,3695,2869,22140,171,34675,1456,34,217,48,10,1765,300,67,38,212,0,617,1134,447,356,2608,17,4562,647,143,73,424,7,1294,225,68,44,126,4,467,3522,78,54,65,5,3724,1330,902,658,9475,39,12404,1339,410,212,1511,17,3489,506,9,40,14,0,569,150,48,16,81,0,295,155,29,11,39,5,239,119,50,34,203,0,406,171,49,38,34,4,296,254,144,121,95,0,614,602,129,91,371,7,1200,290,46,51,89,3,479,198,49,15,7,7,276,1500,974,763,7504,35,10776,294,41,20,54,8,417,251,57,43,29,0,380,484,41,44,88,4,661,390,25,29,32,5,481,1575,30,101,22,9,1737,255,109,91,423,0,878,13300,1232,1219,1745,91,17587,529,32,26,386,3410,4383,37796,7759,6285,50312,3918,106070
80103,16,45,51,322,3,437,0,3,0,27,0,30,19,5,0,0,0,24,6,0,0,6,0,12,0,0,4,13,0,17,71,34,32,254,3,394,32,0,4,0,0,36,6,0,0,0,0,6,17,3,4,35,0,59,12,0,0,5,0,17,3,0,0,4,0,7,7,0,0,0,0,7,11,17,3,129,4,164,13,6,0,16,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,10,3,4,0,0,17,12,4,0,0,0,16,6,0,0,4,0,10,0,0,4,0,0,4,0,0,0,0,0,0,18,6,3,77,0,104,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,3,0,6,130,10,17,26,0,183,0,0,0,3,766,769,361,80,77,628,783,1929
80104,1339,2778,2497,16985,85,23684,26,87,58,1236,6,1413,7030,127,322,171,32,7682,868,133,86,418,11,1516,412,187,130,447,0,1176,4120,2190,1778,13441,72,21601,1492,54,161,55,7,1769,161,41,19,130,4,355,660,255,196,1580,13,2704,388,96,42,324,3,853,116,37,25,85,0,263,7177,72,57,45,17,7368,746,467,383,5061,17,6674,901,328,178,1259,10,2676,1349,9,47,13,0,1418,106,45,15,72,0,238,252,44,19,59,4,378,88,42,37,156,0,323,181,44,53,50,3,331,191,120,92,50,0,453,346,68,78,242,0,734,208,17,25,69,0,319,183,37,11,12,0,243,953,552,450,4055,7,6017,304,49,19,57,0,429,405,33,40,10,0,488,390,38,43,69,0,540,585,19,26,12,4,646,1567,35,76,36,7,1721,163,67,46,222,0,498,16668,902,965,1061,62,19658,724,32,18,232,2541,3547,43755,5089,4410,31580,2836,87670
80105,532,2847,2353,12788,74,18594,15,55,31,698,11,810,4250,124,233,184,23,4814,345,58,48,175,0,626,425,206,140,440,0,1211,3892,2490,2097,12116,79,20674,415,21,102,19,3,560,279,74,54,173,3,583,842,329,256,1481,7,2915,351,102,60,340,4,857,119,41,33,78,0,271,1519,68,71,44,0,1702,1006,788,633,6005,41,8473,685,297,170,955,8,2115,504,13,54,8,0,579,69,26,21,68,0,184,93,25,10,40,0,168,80,31,26,94,5,236,82,19,18,16,0,135,228,101,83,38,0,450,351,72,97,229,10,759,185,14,29,82,0,310,57,14,4,5,0,80,1149,709,574,4482,20,6934,165,27,11,19,0,222,189,45,32,19,0,285,217,34,25,51,3,330,180,20,21,20,0,241,742,35,45,24,4,850,190,77,62,255,3,587,6336,928,932,1168,45,9409,213,33,13,115,3349,3723,20990,5389,4554,26640,3602,61175
80106,278,1317,1208,6296,45,9144,7,26,19,347,5,404,1265,69,100,99,3,1536,199,32,17,122,0,370,197,105,59,185,0,546,2114,1233,1001,6675,56,11079,243,16,35,19,4,317,212,48,54,88,0,402,431,127,109,770,7,1444,284,74,37,224,3,622,83,16,12,30,0,141,868,35,42,30,0,975,562,319,277,3335,10,4503,550,168,76,577,7,1378,163,3,30,6,0,202,53,14,8,41,0,116,79,7,14,23,0,123,50,24,14,50,0,138,53,9,10,8,0,80,121,42,30,19,0,212,236,50,44,97,0,427,121,19,22,35,0,197,30,4,5,0,0,39,624,361,274,2455,13,3727,107,21,15,19,0,162,97,21,20,14,0,152,135,17,17,11,0,180,135,9,22,14,0,180,221,7,21,10,0,259,98,41,20,138,0,297,3170,417,466,531,16,4600,113,5,10,66,1794,1988,10479,2617,2255,14313,1923,31587
80107,908,3911,3025,25209,140,33193,26,173,86,2340,21,2646,1598,81,173,230,9,2091,589,129,36,301,7,1062,701,265,174,666,7,1813,5424,3374,2495,21035,141,32469,1151,37,154,44,7,1393,220,54,48,182,3,507,1022,357,281,2420,16,4096,374,104,58,297,0,833,197,43,41,137,0,418,2526,52,51,47,9,2685,1177,758,584,8434,56,11009,932,360,142,1380,13,2827,173,9,39,13,0,234,302,88,35,66,0,491,163,37,17,78,0,295,195,74,60,241,5,575,153,73,55,58,0,339,268,193,103,105,0,669,550,109,90,283,0,1032,201,32,31,83,0,347,213,48,25,10,0,296,1474,861,690,6627,38,9690,354,73,42,90,0,559,251,42,44,29,0,366,543,83,50,150,6,832,253,44,28,16,5,346,730,17,52,17,0,816,249,82,41,304,0,676,7833,1103,989,1476,41,11442,345,41,41,332,2467,3226,25623,7129,5466,48392,2861,89471
80108,187,1077,952,6550,43,8809,9,18,20,355,6,408,564,41,72,79,0,756,201,25,11,82,0,319,184,66,54,151,0,455,1623,983,696,5721,58,9081,217,7,30,5,0,259,118,25,30,80,0,253,354,115,75,673,10,1227,131,15,14,74,0,234,88,33,12,66,0,199,557,20,22,21,0,620,369,264,168,2625,8,3434,319,121,65,391,6,902,45,8,9,0,0,62,34,8,0,13,0,55,37,6,5,7,0,55,31,20,11,38,0,100,36,17,8,13,0,74,77,34,33,29,0,173,150,40,30,74,0,294,59,14,4,26,0,103,49,0,8,3,0,60,496,323,219,2041,14,3093,68,17,3,25,0,113,68,20,24,9,0,121,96,22,15,41,0,174,56,7,10,18,0,91,108,0,11,7,0,126,78,37,24,118,0,257,2140,299,293,428,16,3176,82,11,0,84,825,1002,7021,2062,1620,12968,959,24630
80109,389,1531,1386,8155,67,11528,5,35,24,448,3,515,1560,71,144,101,6,1882,245,36,18,138,4,441,245,111,67,210,0,633,2386,1326,1049,7612,64,12437,715,7,69,23,3,817,146,39,31,108,0,324,464,181,127,909,12,1693,342,71,45,235,4,697,85,32,21,49,0,187,1831,51,37,20,0,1939,568,386,288,3786,31,5059,583,159,91,645,11,1489,208,3,28,4,0,243,62,17,11,62,0,152,92,11,7,34,0,144,63,20,10,54,4,151,58,22,10,9,0,99,109,42,45,24,0,220,257,36,53,107,4,457,106,16,19,25,3,169,30,8,3,3,0,44,691,382,343,2752,24,4192,157,14,10,23,0,204,92,14,26,8,0,140,194,19,20,62,6,301,181,18,17,13,0,229,235,12,22,16,0,285,114,48,30,153,0,345,5528,470,431,590,29,7048,172,13,16,77,1287,1565,15140,2939,2518,17182,1495,39274
80110,189,379,304,1808,7,2687,5,3,0,125,3,136,898,23,43,29,0,993,40,15,3,54,0,112,34,23,19,72,0,148,445,273,259,1492,8,2477,337,7,23,7,0,374,33,12,3,25,4,77,74,29,21,235,0,359,24,14,8,56,0,102,14,8,0,16,0,38,1305,18,8,12,0,1343,92,65,47,610,0,814,73,41,29,138,0,281,149,0,9,0,0,158,33,18,0,17,0,68,31,7,0,11,0,49,7,4,9,23,0,43,3,5,0,5,0,13,18,19,13,8,0,58,57,14,4,29,0,104,34,0,5,13,0,52,8,0,4,0,0,12,93,77,89,507,0,766,49,12,13,8,5,87,26,4,10,0,0,40,52,11,0,21,0,84,120,3,6,0,0,129,117,6,4,5,0,132,27,16,0,37,0,80,2585,120,133,146,11,2995,80,5,0,29,336,450,6232,691,586,3560,373,11442
80111,3,23,27,248,5,306,0,0,0,17,0,17,0,0,3,3,0,6,0,3,0,0,0,3,3,0,0,8,0,11,29,17,28,169,0,243,0,0,0,0,0,0,4,0,0,0,0,4,3,0,3,19,0,25,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,3,9,7,6,70,0,92,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,66,0,94,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,10,6,42,0,0,0,3,38,41,72,28,44,426,47,617
