SA3_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
80101,0,10,11,35,23,11,10,0,0,110,0,11,33,73,39,19,29,10,0,213,6,18,30,142,54,28,30,17,4,321,0,0,9,57,0,0,0,0,0,69,3,11,37,57,6,9,0,3,0,129,0,0,0,18,3,10,0,3,0,40,5,33,48,94,49,41,28,18,3,321,4,16,46,185,87,114,44,12,8,531,0,0,0,5,14,16,16,5,3,62,0,4,3,31,17,13,3,4,0,73,12,135,172,812,234,230,202,138,47,1978,94,195,243,659,211,168,115,85,28,1790,3259,6776,6952,17234,6264,4773,4198,2371,704,52533,0,5,10,35,9,6,9,0,0,81,2834,5407,5098,10197,4216,3349,3102,1582,528,36309,0,11,24,113,16,9,3,0,0,170,0,0,0,9,10,17,12,10,4,60,0,5,0,48,8,4,6,0,0,70,0,4,11,35,18,10,13,4,3,96,3,4,8,58,40,26,14,3,0,152
80103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,9,3,7,0,0,0,35,8,4,31,103,49,59,20,14,0,281,25,51,163,511,197,183,93,55,9,1289,0,0,0,0,0,0,0,0,0,0,21,40,52,85,56,52,47,19,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104,3,18,8,45,31,12,9,0,0,122,0,34,48,78,79,38,9,9,0,299,5,21,52,223,92,89,52,8,3,553,0,4,0,60,7,8,0,0,0,83,0,14,21,50,19,4,0,0,0,109,0,0,0,18,11,0,0,0,0,33,12,40,34,69,31,13,8,3,0,206,8,10,37,189,114,97,51,6,4,521,0,0,0,3,5,5,3,3,0,34,0,0,12,45,28,7,0,0,0,91,12,108,164,681,301,165,92,45,8,1580,100,186,160,532,142,94,51,35,5,1302,3505,6891,5410,16220,5640,3174,1871,818,165,43701,0,3,13,52,23,8,4,3,0,108,3138,5497,3742,7551,3056,1633,1061,488,102,26265,0,17,33,248,56,43,7,0,0,404,0,0,0,21,9,14,0,3,0,53,0,4,0,56,18,3,0,0,0,97,0,0,5,21,14,3,8,4,0,55,0,3,10,40,24,6,5,0,0,88
80105,0,5,37,43,8,0,0,4,0,100,0,3,43,53,24,9,4,4,0,148,0,6,25,70,14,13,9,4,0,134,0,0,8,44,7,3,0,0,0,64,0,6,23,44,4,3,3,0,0,84,0,0,4,7,3,4,0,0,0,24,10,35,57,142,42,35,26,0,3,346,0,11,24,88,44,27,23,0,3,219,0,0,0,4,3,5,4,6,0,26,0,0,4,17,3,4,0,0,0,25,15,78,112,569,136,102,66,42,27,1142,44,61,642,616,135,127,99,59,40,1821,1245,2551,6531,10871,3219,2624,1823,894,421,30179,0,0,7,10,5,0,3,0,0,26,1022,2022,4776,6300,2224,1755,1217,673,343,20320,0,5,10,56,5,0,0,0,0,81,0,0,0,12,4,8,3,6,0,27,0,0,10,31,8,0,0,3,0,42,0,0,8,15,0,4,5,0,0,37,0,4,12,57,37,21,10,0,0,147
80106,0,6,9,10,9,3,0,0,0,42,0,0,8,35,22,10,11,3,0,96,0,3,10,28,21,16,6,0,0,96,0,4,4,20,6,0,0,0,0,34,0,3,0,5,4,0,0,0,0,21,0,0,0,10,5,0,4,0,0,20,3,24,28,60,28,16,20,16,0,200,5,0,0,19,9,13,8,7,0,62,0,0,0,3,3,4,3,3,0,21,0,0,0,11,6,7,9,0,0,29,3,32,37,152,105,64,36,38,7,471,19,75,82,299,116,111,97,58,24,874,586,1591,1744,4722,2089,1896,1546,819,268,15257,0,0,0,6,0,0,0,0,0,9,572,1209,1346,3236,1336,1272,1047,569,340,10913,0,6,4,23,9,4,0,0,0,40,0,0,0,3,0,0,0,0,0,5,0,4,0,22,7,0,3,0,0,41,0,0,0,6,0,0,3,0,0,15,3,10,3,30,18,15,14,0,0,91
80107,0,8,7,13,19,7,10,5,0,69,0,10,27,53,49,24,16,4,6,194,0,5,8,57,43,42,37,26,4,221,0,0,0,5,0,3,0,0,0,12,0,11,17,23,11,12,5,0,0,81,0,0,0,5,4,0,3,0,0,21,9,19,36,49,33,23,28,13,0,208,0,0,9,38,55,81,40,8,7,238,0,0,0,12,11,7,14,5,7,50,0,4,11,17,16,7,4,0,0,56,8,64,88,299,223,252,217,131,35,1312,49,166,127,375,153,139,133,89,54,1297,2823,6021,5510,12019,5655,5562,4227,1740,489,44054,0,0,4,16,0,3,8,0,0,29,2533,5149,4308,9075,4397,4210,2938,1148,440,34209,0,3,0,40,14,17,3,0,0,82,0,0,0,9,7,5,11,4,0,42,0,0,0,15,8,4,0,0,0,29,0,0,4,9,7,9,6,3,0,33,0,3,0,38,18,19,20,0,0,104
80108,0,0,0,4,8,6,0,3,0,24,0,7,4,19,19,9,5,6,0,73,0,3,0,19,7,4,7,0,0,48,0,0,0,0,0,3,3,0,0,6,0,0,0,11,0,0,0,0,0,21,0,0,0,0,4,0,0,0,0,10,3,13,6,27,10,14,3,5,0,81,0,7,0,8,11,5,3,0,0,30,0,0,0,9,5,0,0,0,0,21,0,0,4,10,0,3,0,0,0,17,0,11,24,79,49,50,41,38,29,336,16,51,50,123,40,40,37,47,22,436,709,1764,1342,2964,1671,1214,1142,871,286,11952,0,3,0,0,0,0,0,0,0,7,684,1443,1003,2205,1299,895,934,624,214,9303,0,0,0,13,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,5,19,11,3,0,8,4,52
80109,0,6,3,18,6,3,3,0,0,49,3,11,8,15,14,8,11,0,0,81,0,4,3,61,23,26,33,8,0,160,0,0,0,11,0,0,0,0,0,17,0,5,5,21,0,0,0,0,0,33,0,3,0,3,4,3,0,0,0,15,7,26,14,56,23,21,11,8,0,168,0,4,11,20,12,5,11,6,0,62,0,0,0,4,0,0,5,12,5,22,0,0,3,7,5,5,0,0,0,25,6,82,62,358,105,91,66,69,32,868,25,66,69,206,97,89,71,65,35,713,1033,2476,2160,5666,2429,2132,1551,1165,503,19118,0,4,0,3,5,0,0,0,0,17,889,1890,1626,3110,1699,1420,1032,909,404,12984,0,3,4,46,17,7,5,0,0,78,0,0,0,7,4,0,0,3,0,15,0,0,0,22,0,0,3,0,0,31,0,0,3,6,0,0,0,0,0,16,0,8,10,29,14,15,3,13,3,92
80110,0,0,0,11,6,0,0,0,0,16,0,3,0,9,4,0,0,0,0,15,0,8,5,40,16,7,0,0,0,83,0,0,0,4,5,0,0,0,0,11,0,0,3,15,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,3,4,10,10,21,4,0,0,0,0,45,0,3,4,11,6,9,0,0,0,26,0,0,3,6,0,0,0,0,0,6,0,0,0,7,5,0,0,0,0,12,0,28,26,139,38,17,12,3,0,258,10,22,20,83,14,4,8,7,0,158,529,838,582,2620,571,271,150,44,8,5610,0,0,0,6,0,0,0,0,0,10,434,633,412,1266,245,145,76,17,6,3232,0,5,0,42,6,3,3,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,5,0,6,0,10,0,0,0,0,0,21
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,4,4,5,5,0,0,27,33,57,40,91,43,33,24,9,0,328,0,0,0,0,0,0,0,0,0,0,23,40,31,80,31,25,10,0,5,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
