SA3_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
80101,721,128,1667,19372,28301,11315,6045,18210,3561,86802
80103,5,0,16,230,295,100,63,333,747,1772
80104,150,20,374,15021,21198,8068,4650,15872,2643,67456
80105,417,124,1069,14234,18753,5737,2308,9357,3468,53862
80106,356,128,842,6903,9563,3436,1507,4078,1772,27253
80107,519,191,1281,16093,23909,9722,5588,14304,2654,72279
80108,281,80,683,4211,6804,3115,1556,3278,863,19823
80109,526,72,1221,7288,10819,4412,2243,6384,1366,32513
80110,8,0,22,2027,3006,1002,593,1796,348,8770
80111,0,0,4,110,157,76,28,58,41,474
89797,0,0,0,0,0,0,0,0,0,0
89999,0,0,4,123,123,39,17,138,126,560
