SA3_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
80101,0,5,10,42,4,6,3,0,0,79,0,0,8,41,15,10,14,19,3,110,0,0,6,27,19,30,77,70,32,267,0,9,7,10,0,0,9,0,0,47,0,3,15,140,16,15,4,0,4,201,0,0,0,24,11,5,6,6,0,53,0,0,29,90,38,44,26,18,5,258,0,0,0,4,0,3,10,4,4,23,0,0,0,30,0,9,0,0,0,44,0,3,9,37,12,13,0,5,0,74,0,6,139,606,8,0,3,0,0,768,0,4,0,20,10,8,30,35,4,114,4,40,63,196,75,84,61,29,7,560,0,0,0,11,4,13,15,8,5,46,3,30,30,277,30,12,3,3,0,390,0,0,4,14,38,19,0,0,0,79,0,35,70,221,76,52,7,5,6,475,0,4,3,30,13,14,24,10,8,98,0,0,15,11,0,9,0,3,0,42,0,4,9,35,23,46,54,47,12,219
80103,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,7,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,9,0,0,0,4,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
80104,0,5,8,27,17,9,0,0,0,68,0,10,0,33,6,3,0,4,0,65,0,3,0,30,27,16,24,18,3,131,6,12,4,4,9,4,0,0,0,45,10,19,45,336,71,23,11,0,0,522,0,0,4,16,9,0,3,4,0,40,8,18,28,122,52,34,19,12,0,282,0,0,0,0,0,3,9,5,0,14,0,0,15,29,6,9,4,0,0,71,0,0,7,53,37,13,5,3,0,125,0,12,134,690,32,8,3,3,0,882,3,0,0,5,6,10,8,4,7,38,12,37,63,183,81,61,25,11,3,482,0,0,3,20,10,13,17,8,0,71,12,71,74,480,88,31,13,6,0,770,0,0,0,9,31,4,5,0,0,50,0,37,69,231,94,44,23,3,0,500,0,6,4,14,24,12,10,3,0,64,0,0,4,11,5,4,0,0,0,26,0,3,6,26,32,23,23,10,4,123
80105,0,0,0,7,6,3,0,0,0,18,0,0,10,26,12,9,5,3,0,65,0,3,0,37,14,15,12,21,19,115,0,9,15,25,3,5,0,0,0,52,0,3,31,111,25,12,4,5,0,178,0,0,0,6,3,3,0,0,0,21,0,8,68,98,16,15,12,3,0,225,0,0,0,0,3,3,3,0,0,14,0,0,0,9,0,0,0,0,0,12,0,0,4,12,8,7,3,9,0,37,0,0,31,152,0,3,0,0,0,181,4,0,0,18,12,12,14,14,8,84,0,10,83,147,83,55,30,18,4,424,0,0,0,11,4,5,0,4,0,20,0,9,20,67,8,8,0,0,0,109,0,0,3,19,11,12,5,0,0,49,5,9,19,72,10,9,5,0,0,125,0,0,3,12,9,4,10,5,4,49,0,0,4,7,3,0,0,0,0,13,0,0,15,27,18,22,18,17,0,117
80106,0,0,9,8,5,3,4,0,0,30,0,0,0,7,4,7,5,4,0,36,0,0,0,14,4,18,28,16,8,88,0,5,10,4,3,0,0,0,0,30,0,3,11,24,8,5,0,0,0,55,0,0,4,0,3,0,0,0,0,11,0,3,12,36,20,20,12,0,0,107,0,0,0,0,0,0,5,0,0,6,0,0,3,3,3,0,0,0,0,6,0,0,3,7,0,6,0,0,0,15,0,7,14,93,0,0,0,0,0,117,0,0,4,5,7,6,13,3,3,49,0,8,20,71,36,37,27,18,5,219,0,0,0,3,0,5,4,0,0,17,0,5,12,30,8,3,0,0,0,55,0,0,0,4,13,4,0,0,0,22,0,8,8,43,12,4,4,0,0,77,0,0,0,16,6,5,10,8,0,49,0,3,0,3,0,0,0,0,0,7,0,0,0,10,12,19,12,9,3,74
80107,0,12,14,50,19,12,10,0,0,127,0,10,3,22,13,16,12,11,4,87,0,0,0,11,8,27,65,28,11,154,0,0,3,5,6,0,4,0,0,21,0,6,16,29,12,7,0,0,0,68,0,3,3,16,27,19,22,4,3,97,3,3,10,34,25,44,32,15,0,161,0,0,0,3,0,8,13,8,0,39,0,0,0,9,3,3,0,0,0,26,0,0,0,11,6,6,6,4,0,30,0,5,49,235,8,0,0,0,0,292,0,0,3,4,3,19,40,23,12,113,0,17,45,131,109,103,61,23,0,494,0,0,3,5,6,8,8,0,0,34,0,6,8,68,17,8,0,0,0,118,0,0,4,5,29,15,4,0,0,64,5,26,48,140,76,32,25,6,0,355,0,4,0,21,11,24,32,9,0,100,0,0,7,12,10,12,0,0,0,33,0,0,8,18,29,61,50,29,10,212
80108,0,0,4,7,4,0,7,0,0,22,0,3,0,9,3,0,4,0,4,31,0,4,4,9,6,6,19,25,5,78,0,0,0,0,0,0,0,0,0,6,0,0,0,11,3,0,0,0,0,18,0,0,0,5,0,0,0,0,0,5,0,8,0,14,25,9,8,9,6,64,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,8,5,0,22,0,0,9,63,0,0,0,0,0,78,0,0,4,0,4,4,11,5,3,34,0,10,9,30,29,26,22,16,4,139,0,0,0,5,3,0,0,0,0,11,0,8,5,20,7,4,0,0,0,44,0,0,4,4,12,7,0,3,0,30,0,7,11,33,10,0,3,0,0,71,0,0,0,9,0,3,8,4,3,26,0,5,0,0,0,0,0,0,0,13,0,4,0,4,5,18,13,9,5,61
80109,0,4,3,9,6,9,0,0,0,25,0,5,0,11,3,0,3,14,9,53,0,0,0,14,10,15,24,22,24,106,0,4,4,9,9,0,3,0,0,27,0,0,3,41,9,6,5,0,0,64,0,0,3,6,0,0,0,0,0,18,0,13,9,49,19,30,16,7,6,142,0,0,0,0,0,0,9,5,0,18,0,0,0,4,0,3,0,0,0,10,0,0,0,9,0,0,0,0,4,9,0,3,66,464,0,0,0,0,0,538,0,0,3,0,8,0,12,5,6,39,3,21,13,74,50,44,22,20,5,257,0,0,0,7,5,7,4,0,0,23,0,6,9,68,11,14,0,0,0,111,0,0,0,4,13,10,3,0,0,23,3,24,21,136,42,17,6,0,0,240,0,0,0,8,0,10,15,9,0,35,0,0,0,3,0,0,0,0,0,0,0,0,0,15,15,15,20,17,7,95
80110,0,0,0,13,3,4,0,0,0,25,0,4,3,4,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,14,0,6,0,6,0,0,0,0,0,14,5,4,0,30,8,0,4,0,0,55,0,0,0,3,0,0,0,0,0,7,0,3,3,23,5,4,3,5,0,48,0,0,0,0,0,0,6,0,0,6,0,0,0,3,3,0,0,0,0,4,0,0,0,3,4,0,0,0,0,4,0,3,27,143,9,0,0,0,0,191,0,0,0,0,4,0,0,0,0,7,0,9,10,20,11,5,5,0,0,54,0,0,0,3,0,0,0,0,0,8,0,6,4,43,12,0,0,0,0,69,0,0,0,0,0,0,0,0,0,5,0,12,9,92,15,4,0,0,0,133,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,4,0,0,15
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
