SA3_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
80101,1221,874,1059,813,698,533,437,216,78,5929,19259,13824,18425,15972,12556,10035,9242,5077,1667,106057
80103,26,99,221,166,113,101,44,24,4,798,161,248,383,312,281,269,176,85,16,1931
80104,1098,642,861,794,543,280,200,90,20,4528,20229,10717,16292,16485,11141,6503,4136,1797,374,87674
80105,378,1533,933,543,370,326,217,112,84,4496,7323,13554,13276,8288,6535,5293,3766,2080,1069,61184
80106,294,297,450,319,327,278,240,122,55,2382,4335,3482,5409,4417,4238,3874,3241,1758,842,31596
80107,1026,649,662,615,598,505,423,252,122,4852,17189,10468,12184,12208,11728,11734,8855,3815,1281,89462
80108,275,172,166,190,173,159,132,108,64,1439,4811,2547,2632,3455,3453,2587,2559,1898,683,24625
80109,353,232,325,252,292,248,189,150,107,2148,6766,4307,6008,5539,5028,4363,3311,2734,1221,39277
80110,104,70,153,89,54,21,26,11,0,528,2667,1232,2937,2511,1088,587,312,84,22,11440
80111,8,6,3,3,7,12,5,3,0,47,156,73,90,102,85,75,40,11,4,636
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,7,21,17,35,22,22,11,0,0,135,50,148,108,104,77,78,34,10,4,613
