SA3_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
80101,1089,971,2058,3321,3015,6335,868,844,1718,366,363,722,4558,4232,8788,2166,1918,4080,769,768,1530,394,395,783,3319,3078,6399,198,181,374,299,303,608,393,214,605,645,790,1437,6,5,10,1542,1494,3033,1589,2082,3674,838,909,1753,267,330,594,926,1293,2226,8,7,18,3630,4623,8258,5185,6124,11309,223,234,457,455,533,988,5,3,13,689,772,1459,1904,1787,3685,16741,16961,33703
80103,5,6,16,23,23,43,4,9,11,3,3,11,30,34,63,13,18,34,0,8,6,0,4,9,16,34,48,0,9,10,3,5,5,4,5,3,6,9,9,0,0,0,14,14,26,6,8,13,7,9,16,3,3,3,0,8,14,0,0,0,21,31,48,31,47,79,45,5,54,0,3,5,0,0,0,47,12,55,609,163,774,743,295,1033
80104,1171,1090,2261,2906,2734,5637,1240,1160,2403,669,623,1290,4815,4526,9341,1751,1646,3391,789,773,1565,492,501,994,3031,2924,5957,168,151,320,270,298,563,307,221,532,567,783,1346,0,0,4,1311,1454,2765,999,1198,2195,578,698,1277,176,251,427,821,1077,1902,8,10,15,2585,3229,5812,3911,4690,8597,280,247,525,391,487,880,3,0,3,672,729,1403,1482,1385,2869,15084,15354,30437
80105,422,378,799,1305,1171,2477,255,220,471,197,196,396,1758,1591,3344,881,802,1686,197,261,455,263,268,533,1343,1334,2676,69,67,145,129,166,304,120,98,218,276,354,632,0,3,3,600,700,1297,3262,3664,6926,937,875,1814,275,396,676,873,1113,1985,6,0,3,5346,6055,11402,5948,6761,12705,159,104,263,173,228,404,4,0,4,327,339,670,1829,1547,3374,11636,11939,23577
80106,232,213,445,653,643,1293,133,108,234,226,249,469,1011,992,2000,487,448,933,134,108,251,357,412,772,983,971,1955,23,26,46,42,44,86,59,34,85,113,184,300,0,0,0,239,287,529,386,406,793,184,212,392,96,97,190,463,571,1035,0,6,4,1122,1291,2414,1358,1586,2945,34,45,82,81,117,201,0,0,0,122,165,279,934,949,1884,4637,4871,9510
80107,889,846,1731,2525,2293,4814,1216,1164,2381,347,378,724,4096,3833,7925,1814,1662,3473,1002,916,1916,284,345,628,3093,2923,6021,150,136,281,131,146,281,444,230,677,497,640,1130,3,6,5,1217,1155,2378,617,795,1412,209,296,506,146,195,337,476,853,1331,9,0,11,1448,2141,3589,2675,3303,5975,164,154,318,285,397,682,0,0,0,445,551,1000,1420,1379,2795,12612,12835,25450
80108,248,264,509,741,706,1450,305,239,537,122,151,266,1168,1087,2255,509,431,937,282,275,555,156,125,279,942,830,1774,25,26,53,33,27,61,92,50,144,94,139,234,0,0,0,248,244,489,212,248,459,96,124,221,39,60,100,202,264,471,0,0,0,548,699,1246,796,942,1739,37,39,74,66,98,168,0,5,5,105,141,246,444,448,896,3709,3718,7422
80109,362,304,665,1061,1054,2113,397,356,751,181,200,376,1643,1601,3245,658,617,1275,397,283,684,224,279,504,1286,1176,2469,68,55,119,110,104,213,108,78,190,186,225,408,3,0,3,478,458,931,438,543,975,239,286,524,106,106,218,327,493,812,0,3,3,1112,1428,2532,1586,1884,3476,82,78,155,134,165,302,4,4,5,213,247,463,718,691,1409,5810,5907,11719
80110,170,157,331,422,401,824,94,120,211,73,107,182,588,632,1217,181,145,324,74,60,136,55,74,127,307,284,593,20,17,41,41,32,74,36,26,62,78,93,179,0,0,0,181,168,354,120,145,262,99,103,201,39,45,83,148,200,347,0,0,0,399,494,892,581,662,1241,30,31,67,38,68,106,0,0,0,68,103,173,178,186,366,1900,2026,3919
80111,9,9,17,24,15,42,9,5,12,7,4,11,35,24,58,10,3,20,11,11,21,0,0,6,25,20,39,0,3,3,0,0,0,3,6,9,0,9,12,0,0,0,3,11,21,0,5,4,4,0,5,0,0,0,6,6,11,0,0,0,11,12,23,13,24,37,0,5,0,0,4,5,0,0,0,0,5,8,24,23,44,110,101,216
