SA3_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
80101,2623,10,0,0,0,0,0,180,2810,3634,104,24,0,0,0,0,289,4061,3538,460,231,71,11,6,0,258,4571,2185,999,822,221,57,20,14,236,4542,1161,849,1493,492,128,28,23,153,4323,771,618,1393,598,138,40,32,125,3725,585,525,1345,579,185,61,32,111,3412,501,437,1077,515,176,38,34,102,2879,423,334,968,539,178,54,28,78,2603,361,328,960,606,220,56,34,96,2657,260,287,942,602,217,79,28,88,2505,236,286,945,630,258,56,42,88,2536,149,134,596,429,187,76,38,56,1667,75,82,288,287,146,51,47,61,1038,52,69,247,235,155,71,59,74,961,16551,5528,11343,5792,2052,635,409,1997,44298
80103,24,0,0,0,0,0,0,9,33,28,3,0,0,0,0,0,20,53,19,4,3,0,0,0,0,26,50,18,12,8,0,0,0,0,14,44,10,8,8,3,0,4,0,14,39,10,6,12,0,3,0,0,17,50,7,8,7,8,0,0,0,11,46,10,7,11,6,5,0,0,4,38,6,5,5,3,7,0,0,6,43,4,5,8,6,0,0,0,22,46,7,0,12,12,4,0,0,9,50,0,3,8,6,3,0,0,7,28,0,0,5,0,3,0,0,9,19,0,0,0,5,4,0,0,3,19,0,0,0,3,0,0,0,0,8,146,65,92,59,33,11,3,157,562
80104,2285,6,0,0,0,0,0,166,2460,2508,105,43,4,0,0,0,196,2847,2776,522,264,64,23,0,0,234,3881,1805,1142,977,238,53,16,5,163,4400,934,1006,1758,549,130,32,8,166,4585,558,642,1587,594,145,45,20,101,3689,434,490,1317,530,157,37,28,99,3084,333,414,952,464,139,23,19,74,2413,257,319,748,351,126,20,15,46,1880,161,254,541,319,95,34,11,33,1453,97,191,494,282,110,29,21,45,1263,79,124,389,251,89,25,16,35,1005,21,67,236,162,63,23,15,33,620,17,27,114,101,45,16,20,16,362,9,16,53,45,35,14,19,13,205,12260,5315,9470,3961,1201,301,210,1413,34143
80105,2126,3,0,0,0,0,0,324,2460,4041,26,8,0,0,0,0,492,4570,3278,145,38,8,8,0,8,258,3741,1980,418,199,45,3,3,0,177,2830,938,474,569,144,23,10,3,116,2276,564,306,616,210,37,11,4,88,1840,424,260,607,246,48,11,9,51,1651,427,290,590,226,63,13,5,54,1667,366,219,481,204,56,12,8,51,1396,288,206,459,194,65,17,4,39,1277,211,155,343,184,68,15,3,47,1031,146,120,340,183,67,12,9,32,915,95,59,230,139,54,17,5,37,641,43,41,146,144,68,29,17,49,540,48,50,142,161,101,31,42,73,648,14969,2776,4778,2090,668,185,123,1898,27478
80106,749,0,0,0,0,0,0,57,811,817,16,0,0,5,0,0,97,934,1269,65,11,5,0,0,0,124,1469,882,197,105,31,9,0,0,94,1315,513,243,264,74,18,8,5,73,1195,324,186,403,122,28,8,5,52,1128,261,174,377,160,33,8,0,65,1075,206,162,424,166,44,9,0,60,1069,189,140,382,197,48,4,9,55,1024,167,162,308,163,73,18,4,51,948,141,105,285,173,58,12,8,45,827,129,96,309,197,65,12,9,54,866,63,54,207,121,35,17,17,41,555,29,26,112,96,51,20,8,35,379,52,32,134,131,82,34,32,83,574,5793,1654,3325,1639,534,150,90,990,14176
80107,2288,9,0,0,0,0,0,159,2458,2168,139,35,8,0,0,0,150,2503,1925,451,277,84,17,0,0,137,2890,1153,775,838,260,83,17,10,109,3238,629,599,1246,515,147,35,25,123,3314,465,420,1187,533,166,43,24,92,2926,428,427,1181,573,198,47,38,82,2963,410,407,1282,625,204,57,37,89,3107,421,369,1267,720,268,67,37,75,3218,340,324,1188,694,237,52,44,67,2949,229,241,1013,679,267,60,23,87,2596,173,198,763,532,186,66,36,68,2035,79,120,414,319,152,49,20,73,1240,50,60,219,216,140,48,43,64,840,32,52,198,171,130,47,67,95,788,10773,4593,11115,5926,2195,588,404,1477,37066
80108,607,3,0,0,0,0,0,43,655,501,13,5,0,0,0,0,39,555,452,80,22,18,3,0,0,36,614,306,182,155,48,4,3,0,32,732,182,170,361,123,25,4,0,26,892,135,133,389,157,28,13,7,33,888,153,131,397,178,38,15,7,25,941,174,96,339,152,43,7,5,26,836,128,106,244,121,42,11,0,28,682,108,85,260,139,53,10,8,28,682,76,64,217,134,43,6,10,27,580,94,77,331,187,85,16,4,39,840,55,50,223,164,71,18,24,33,632,29,33,114,109,55,21,24,28,398,31,43,94,86,48,30,22,38,400,3025,1257,3159,1603,543,154,114,480,10341
80109,908,3,0,0,0,0,0,47,960,1072,22,5,0,0,0,0,85,1186,1229,143,34,7,6,0,0,86,1503,799,362,247,49,11,9,0,76,1549,430,331,525,141,24,4,6,47,1507,246,217,521,217,56,13,3,44,1323,219,183,551,211,61,12,3,52,1291,245,181,534,221,66,23,8,36,1316,208,177,466,243,67,18,0,37,1205,174,140,386,211,63,11,10,31,1021,144,120,332,179,67,21,3,35,902,118,92,320,197,61,22,10,45,855,87,66,334,229,84,30,10,46,886,42,47,204,189,106,38,18,33,686,62,43,191,165,111,42,44,53,717,5988,2132,4632,2260,787,238,121,751,16911
80110,214,0,0,0,0,0,0,24,238,358,25,4,0,0,0,0,24,410,601,89,25,7,0,0,0,42,761,400,198,136,32,9,0,0,40,811,182,174,309,47,11,0,0,26,748,91,105,226,53,11,0,0,4,505,61,43,120,40,14,9,6,7,301,32,34,84,28,3,4,5,9,215,13,34,72,30,6,0,0,8,177,11,26,50,34,11,5,0,0,147,8,10,48,21,7,4,0,7,102,6,6,27,15,13,0,0,3,66,0,0,3,7,5,0,0,4,21,0,0,4,13,0,0,0,0,16,0,0,6,5,0,0,0,0,10,1971,752,1108,338,100,29,16,207,4524
80111,13,0,0,0,0,0,0,3,17,13,0,0,0,0,0,0,0,15,18,4,3,5,0,0,0,3,27,7,8,4,0,0,0,0,0,21,8,3,12,3,0,0,0,0,23,3,0,8,6,0,0,0,0,29,0,0,8,6,0,0,0,4,25,3,0,6,0,0,0,0,0,14,0,4,3,3,4,0,0,0,10,0,3,8,8,3,0,0,4,30,3,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,5,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,71,23,57,38,23,3,0,18,234
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
