SA3_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
80101,1298,335,305,156,143,200,188,82,23,2721,562,118,51,44,29,60,97,37,9,1000,349,261,151,86,94,102,160,99,33,1322,128,303,251,136,139,193,315,293,80,1845,123,273,292,152,157,184,300,241,108,1826,150,431,462,193,147,153,250,177,62,2026,104,386,559,251,167,166,290,227,77,2226,74,482,859,413,267,284,405,256,66,3106,42,445,1429,687,480,457,476,290,57,4362,9,383,1119,684,489,425,450,174,50,3787,5,192,1117,858,590,447,388,160,34,3784,3,68,749,866,620,414,223,77,22,3047,3,53,1189,1988,1652,889,332,95,11,6219,0,9,152,408,383,229,82,14,5,1268,0,10,157,667,653,388,96,31,13,2030,110,234,468,326,255,195,149,118,59,1914,2965,3988,9309,7923,6264,4773,4198,2371,704,42499,988,286,503,430,279,429,331,126,29,3399,638,150,132,136,101,160,207,83,34,1636,438,284,223,164,135,181,352,211,58,2049
80103,0,3,4,0,0,0,10,6,0,19,0,0,0,0,0,4,0,0,0,5,0,3,3,0,5,0,5,4,0,19,0,0,3,6,4,13,10,11,0,53,0,3,5,3,9,11,14,4,3,50,0,3,0,3,3,12,9,8,0,44,0,5,11,0,14,10,5,5,0,46,5,9,10,5,7,6,3,4,0,49,6,22,21,14,10,17,4,0,0,107,4,9,21,6,6,14,4,0,0,59,0,0,19,10,11,7,0,0,0,53,0,0,5,0,13,3,0,0,0,27,0,0,6,14,13,5,0,0,0,39,0,0,0,0,5,0,0,0,0,11,0,0,0,3,9,0,0,4,0,12,17,54,180,140,89,66,24,18,0,606,47,117,288,225,197,183,93,55,9,1209,13,0,8,4,0,10,3,3,0,37,4,0,0,0,0,0,3,0,0,13,3,0,0,6,0,5,4,0,0,27
80104,1179,263,238,132,126,123,201,58,5,2331,515,88,46,32,21,37,49,10,0,800,278,192,100,65,63,57,85,51,10,897,97,191,142,69,76,76,182,147,30,1018,58,185,191,114,83,69,111,97,35,941,103,226,352,180,98,92,124,91,18,1282,63,305,426,194,139,122,125,56,16,1439,51,384,807,416,249,178,156,73,13,2332,38,412,1238,652,402,279,187,65,14,3287,17,277,1066,730,387,242,142,46,5,2906,5,149,983,854,469,286,132,36,5,2914,6,62,660,889,539,291,76,20,6,2538,0,39,1050,2221,1646,686,148,17,3,5808,0,0,146,540,422,191,29,11,0,1338,0,6,170,812,761,317,56,8,0,2129,98,138,405,312,164,107,68,38,9,1350,2496,2915,8011,8209,5640,3174,1871,818,165,33304,984,179,684,568,313,439,309,89,15,3573,598,87,126,129,91,91,102,39,6,1274,356,214,169,177,91,125,179,80,15,1402
80105,661,359,198,79,70,76,49,22,11,1525,413,152,46,35,20,32,22,15,5,737,240,292,94,51,62,60,71,40,13,925,125,339,139,64,76,90,90,79,47,1052,105,280,134,64,68,97,147,84,52,1020,111,354,324,104,57,81,97,58,36,1217,133,349,298,95,53,83,92,54,32,1192,172,460,396,165,102,92,150,77,33,1641,39,481,673,237,128,163,174,84,30,2005,18,395,803,238,134,152,156,86,26,2010,14,232,907,319,206,189,169,88,20,2141,0,66,669,400,224,171,138,41,10,1723,3,53,1201,1166,852,499,183,60,19,4052,0,11,164,327,288,199,76,15,8,1086,0,10,202,605,711,497,111,25,11,2163,235,449,454,232,152,139,108,72,74,1912,2262,4270,6703,4168,3219,2624,1823,894,421,26387,565,313,293,169,134,151,78,35,18,1755,516,148,53,43,56,48,47,41,14,967,432,394,120,71,75,85,82,75,21,1342
80106,400,63,52,42,24,41,38,17,7,686,219,31,16,4,11,9,17,7,0,315,74,60,17,23,21,19,23,16,10,259,16,52,26,23,30,55,45,42,16,304,20,55,39,32,31,39,73,48,19,351,19,47,53,23,17,41,54,42,17,311,20,63,58,33,22,35,69,41,20,367,8,84,115,64,51,53,97,53,21,554,5,110,198,79,69,89,120,86,23,772,4,137,336,108,67,90,144,77,14,975,9,72,363,140,91,97,148,71,23,1011,0,26,329,151,132,104,98,56,20,919,0,21,602,583,457,378,215,105,21,2388,0,3,99,202,200,158,61,23,6,756,0,8,128,454,727,582,240,56,16,2201,38,68,190,139,126,112,109,73,51,904,839,902,2622,2104,2089,1896,1546,819,268,13086,323,42,77,97,110,87,86,33,18,871,244,26,18,17,25,43,48,28,10,449,84,44,37,37,32,43,60,41,15,385
80107,1185,230,176,125,116,178,215,59,12,2285,546,86,41,26,24,42,82,30,13,884,342,169,77,58,54,99,171,90,22,1076,113,138,143,107,123,154,357,271,62,1467,80,171,159,99,124,189,312,185,94,1406,147,240,138,108,110,170,251,154,42,1364,104,314,271,144,141,209,312,179,47,1718,74,407,529,284,278,340,413,183,47,2551,39,380,817,544,478,590,491,137,40,3525,14,270,867,558,470,511,396,134,26,3240,4,142,843,698,561,602,370,100,15,3344,0,52,599,686,559,506,259,48,3,2707,5,34,888,1573,1558,1121,297,39,8,5519,0,7,111,253,321,254,64,3,0,1007,3,4,140,478,544,440,96,13,3,1715,104,112,261,226,191,156,147,115,75,1390,2758,2748,6057,5960,5655,5562,4227,1740,489,35206,901,146,302,247,269,480,298,86,20,2751,622,79,70,80,80,163,221,78,15,1412,362,142,148,141,117,239,312,155,39,1644
80108,310,44,29,21,42,45,32,16,8,563,189,25,15,9,16,12,18,15,8,298,90,47,23,14,21,27,27,29,13,294,29,31,26,19,21,34,57,93,34,344,18,29,37,31,31,35,76,72,37,367,34,58,42,30,31,27,76,68,17,395,26,51,59,37,31,46,75,59,22,399,18,85,92,64,60,72,108,105,23,625,3,71,134,113,112,95,123,126,31,804,8,42,156,86,89,108,134,78,25,718,0,32,168,136,124,95,94,65,9,732,0,12,113,153,144,101,77,29,9,632,0,17,247,495,456,257,103,44,8,1626,0,0,40,130,136,63,24,6,0,397,0,5,47,261,301,147,49,5,0,811,29,39,72,71,40,53,60,65,48,476,749,593,1288,1669,1671,1214,1142,871,286,9483,251,34,43,96,67,89,73,39,9,700,190,29,15,29,27,30,74,39,8,438,84,57,26,27,30,40,98,68,20,445
80109,446,104,66,44,59,63,69,38,15,900,242,42,21,17,13,14,28,16,3,411,102,77,34,28,17,27,38,47,24,388,38,90,60,37,49,43,67,91,48,519,25,68,64,59,48,62,108,98,51,588,45,101,127,56,55,70,86,88,39,666,29,116,169,70,42,61,88,100,36,707,20,113,314,131,96,92,89,105,72,1034,12,146,421,194,136,155,162,139,53,1423,0,119,331,191,122,134,130,120,35,1189,3,65,364,179,161,143,158,86,31,1189,0,13,236,253,150,168,125,49,16,1014,0,23,404,684,614,467,192,74,26,2483,0,4,71,198,206,140,46,16,4,674,0,0,120,469,535,407,97,30,8,1684,43,65,147,101,106,90,74,76,52,750,1015,1144,2952,2707,2429,2132,1551,1165,503,15604,383,68,119,133,118,135,111,75,26,1176,246,40,27,38,33,54,71,65,20,570,130,78,50,32,40,59,91,98,35,619
80110,111,14,22,16,8,13,19,6,0,220,48,13,5,0,4,8,6,0,0,74,24,14,13,11,4,4,3,4,0,76,14,17,20,11,6,4,9,7,0,88,11,10,22,9,4,5,12,3,0,82,14,27,44,17,7,8,12,0,3,122,8,34,63,24,9,9,7,5,0,164,0,58,105,46,24,8,14,4,0,252,0,70,175,82,38,11,17,6,0,399,0,21,178,92,37,33,17,3,3,387,0,32,185,128,39,30,5,0,0,415,0,8,140,133,48,28,3,0,0,362,0,11,229,364,164,59,8,0,0,846,0,0,43,105,46,14,3,0,0,218,0,0,52,179,114,19,6,0,0,367,8,15,60,35,18,10,8,7,0,159,233,346,1359,1261,571,271,150,44,8,4245,109,13,70,89,30,48,29,10,0,395,39,16,20,5,8,6,6,0,0,105,30,8,23,19,9,18,4,5,0,115
80111,4,0,0,0,0,3,0,0,0,11,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,7,0,0,0,0,5,0,3,0,0,8,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,5,0,0,7,3,0,0,0,0,0,3,0,0,10,3,5,4,0,3,3,0,0,0,20,0,0,10,4,3,5,0,0,0,27,0,6,3,3,3,5,0,0,0,19,0,0,6,4,9,7,0,0,0,33,0,0,5,11,0,0,0,0,0,20,0,0,7,18,14,3,0,0,0,36,0,0,0,3,0,0,0,0,0,7,0,0,0,9,6,4,0,0,0,16,3,0,3,0,4,0,5,0,0,20,18,15,43,47,43,33,24,9,0,238,7,0,3,5,3,4,3,0,0,21,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,9
