SA3_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
80101,7618,10587,3110,274,21587,4916,912,27414,895,598,416,46,1960,1847,169,3976,831,539,303,72,1742,725,401,2873,1728,1142,717,116,3702,2574,571,6848,243,146,92,11,493,439,89,1029,259,66,44,14,382,442,85,913,773,188,89,37,1087,1044,175,2305,349,84,30,14,478,360,94,938,14,11,0,0,25,5,5,40,1636,486,262,81,2470,2287,454,5220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,0,18,14,5,34,10991,12221,4095,471,27775,9792,1941,39514
80103,57,58,20,3,141,81,9,233,8,3,0,0,11,18,3,34,4,3,0,0,15,8,3,22,9,7,0,0,28,27,9,53,3,3,0,0,9,51,0,61,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,53,0,66,5,3,5,0,16,29,0,44,17,8,13,5,37,63,6,105,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,15,14,6,57,90,5,157,0,0,0,0,8,0,0,8,93,87,41,10,234,253,26,515
80104,4283,10502,1857,175,16814,2262,574,19651,523,593,350,29,1500,834,92,2428,929,1164,456,54,2608,828,233,3668,1453,1759,806,87,4106,1665,332,6098,43,30,24,0,101,86,16,201,383,217,92,15,704,540,90,1329,593,239,104,34,968,690,94,1748,223,81,40,20,357,194,43,593,0,0,0,0,3,4,0,10,1236,571,258,63,2134,1508,242,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,9,6,0,29,20,3,53,6990,12849,2930,321,23084,5450,1146,29684
80105,2404,3379,850,99,6744,1750,796,9286,267,211,102,11,593,603,112,1303,853,550,245,44,1693,915,355,2964,1124,756,349,57,2288,1519,464,4263,482,135,85,14,713,1048,192,1952,539,138,79,28,786,989,284,2064,896,164,79,30,1168,1284,291,2748,1073,226,111,37,1441,1442,356,3239,18,11,6,0,34,33,3,72,3015,674,363,107,4150,4794,1133,10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,4,0,16,20,6,39,6545,4816,1566,261,13192,8080,2402,23677
80106,1497,2178,475,36,4186,1023,176,5387,140,66,36,5,239,192,12,447,352,204,93,7,658,404,51,1104,493,267,124,7,897,597,59,1553,241,134,72,11,456,406,59,919,457,161,107,23,755,692,134,1581,1096,311,158,16,1575,1712,220,3506,57,13,5,0,77,68,4,148,43,13,3,0,60,77,12,146,1900,632,345,47,2919,2950,432,6309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,5,0,20,3898,3087,940,93,8017,4573,671,13258
80107,7332,10416,3178,258,21180,4514,484,26178,733,496,513,27,1767,1523,99,3388,303,276,225,17,817,436,72,1322,1037,769,739,44,2584,1956,169,4708,169,123,97,4,387,331,21,743,52,19,9,3,89,108,9,200,140,51,42,3,237,295,17,549,119,40,30,8,196,255,13,459,7,8,10,3,32,12,0,43,476,243,192,18,936,1005,56,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,11,0,22,8849,11427,4109,325,24717,7486,715,32919
80108,2202,2925,814,56,5993,1342,143,7477,198,103,79,14,396,529,30,954,60,57,55,5,172,125,20,322,262,159,134,19,573,655,52,1276,54,19,13,4,87,179,14,280,3,0,0,0,5,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,9,4,42,54,3,102,76,38,23,4,142,242,20,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,2534,3122,974,78,6709,2234,213,9154
80109,2529,3628,817,76,7050,1658,223,8933,281,178,95,17,571,535,27,1135,488,410,190,26,1114,781,92,1982,768,588,283,40,1682,1315,118,3118,86,55,21,3,167,180,9,356,348,203,74,23,648,593,67,1306,249,76,27,13,365,378,28,777,225,87,47,9,366,363,61,794,7,8,3,0,17,13,0,29,914,427,171,49,1558,1522,171,3258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,11,10,0,16,4214,4647,1273,164,10301,4508,514,15322
80110,334,1075,131,6,1542,125,37,1704,19,21,32,0,71,19,5,95,252,239,106,16,615,218,69,902,269,263,139,19,689,238,72,996,10,21,22,0,51,33,4,80,107,75,21,9,207,112,22,343,289,150,67,15,522,415,81,1014,11,3,0,0,11,13,4,33,0,0,0,0,0,0,0,0,417,244,109,23,790,572,103,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,0,6,1017,1584,380,44,3029,934,218,4178
80111,57,76,20,0,151,20,3,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,61,76,20,4,160,25,3,185
