SA3_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
80101,8220,5194,7080,5691,4004,2580,1725,661,146,35302,1111,1147,1415,1435,1390,1250,1330,802,204,10089,74,162,230,301,361,471,616,445,163,2825,5,8,26,65,110,208,341,368,158,1283,1190,1314,1668,1803,1859,1931,2288,1610,530,14199,626,441,560,429,394,263,192,103,32,3036,10031,6952,9309,7923,6264,4773,4198,2371,704,52533,7786,4512,6211,5258,3668,2635,1878,726,169,32853,784,1588,1844,1804,1586,1443,1624,883,298,11866,57,316,481,480,533,604,820,542,228,4051,6,24,80,115,194,313,467,439,224,1855,847,1925,2400,2403,2317,2358,2916,1867,745,17772,593,429,503,385,312,270,247,112,47,2905,9226,6873,9116,8050,6294,5258,5041,2708,961,53530,16009,9709,13293,10955,7674,5216,3602,1386,318,68155,1897,2735,3262,3245,2980,2700,2955,1686,507,21958,130,474,710,781,892,1069,1439,989,393,6876,6,28,99,181,306,520,813,803,383,3138,2036,3243,4074,4201,4178,4292,5208,3477,1275,31973,1221,874,1059,813,698,533,437,216,78,5935
80103,60,81,82,61,66,55,27,14,0,443,6,8,17,15,24,39,21,15,3,149,0,0,0,4,10,13,9,3,3,49,0,0,0,0,6,9,10,9,0,29,6,8,19,19,38,55,38,32,10,221,12,74,185,145,91,74,26,14,4,620,83,163,288,225,197,183,93,55,9,1289,58,48,47,45,36,40,17,12,0,302,3,5,5,17,14,15,15,10,0,92,0,5,4,6,12,5,15,8,0,42,0,0,0,0,7,5,14,6,4,29,3,10,11,19,31,26,43,19,8,166,16,30,37,28,16,31,16,8,0,174,78,87,94,89,85,93,80,34,8,646,125,126,131,99,99,96,42,24,0,745,15,18,22,35,39,50,38,20,8,242,0,5,5,3,16,14,24,13,6,84,0,0,0,0,15,9,25,14,4,58,15,21,30,42,71,77,79,44,8,388,26,99,221,166,113,101,44,24,4,801
80104,8845,4209,6344,6328,3899,1805,796,235,42,32499,906,763,1018,1245,1148,833,607,264,58,6844,63,86,167,200,260,273,258,141,27,1467,4,6,20,32,70,120,126,137,39,548,973,853,1206,1468,1475,1223,991,539,124,8862,576,351,460,410,269,145,85,39,8,2345,10396,5410,8011,8209,5640,3174,1871,818,165,43701,8588,3768,6122,5955,3495,1782,979,257,43,30989,685,1027,1358,1481,1248,903,689,355,67,7821,42,209,342,370,342,349,316,190,54,2211,0,9,50,85,138,163,159,131,38,771,724,1245,1754,1932,1725,1416,1166,669,156,10799,523,294,398,386,277,137,119,51,4,2187,9837,5303,8277,8279,5502,3330,2262,981,205,43981,17430,7978,12470,12280,7391,3584,1773,495,82,63490,1592,1791,2379,2727,2396,1738,1303,616,125,14658,106,292,510,568,596,621,577,327,80,3682,4,14,75,115,209,276,282,264,72,1318,1699,2095,2959,3408,3204,2640,2164,1208,277,19660,1098,642,861,794,543,280,200,90,20,4535
80105,3245,4661,4901,2943,2146,1476,828,295,84,20581,340,947,1087,756,648,654,530,275,136,5374,16,133,159,152,179,215,221,157,97,1328,0,8,12,19,35,98,120,111,65,465,358,1087,1257,923,864,972,880,546,300,7171,193,783,551,301,210,186,117,53,35,2433,3800,6531,6703,4168,3219,2624,1823,894,421,30179,3081,4366,4437,2773,2141,1419,850,354,133,19541,253,1629,1436,860,758,715,603,385,200,6838,10,267,294,208,197,259,267,231,156,1893,0,22,24,36,63,132,132,150,110,670,267,1915,1751,1100,1018,1106,999,771,470,9408,181,749,386,241,162,145,101,53,44,2060,3523,7029,6574,4122,3317,2671,1948,1181,648,31002,6324,9024,9335,5721,4288,2889,1673,650,218,40118,592,2577,2520,1617,1402,1368,1133,663,337,12209,27,395,454,357,375,478,487,394,255,3226,4,30,31,53,98,233,254,262,174,1139,621,3002,3004,2025,1878,2078,1880,1321,767,16577,378,1533,933,543,370,326,217,112,84,4493
80106,1842,1297,1920,1542,1489,1124,674,276,56,10227,182,281,408,335,351,465,450,262,99,2830,4,23,61,50,69,115,213,142,52,742,0,0,4,6,17,35,97,80,43,282,188,305,472,393,438,626,761,483,198,3848,148,144,218,164,166,152,113,63,14,1179,2173,1744,2622,2104,2089,1896,1546,819,268,15257,1866,1128,1856,1608,1375,1140,775,297,107,10160,140,387,575,448,464,496,508,309,193,3538,0,69,116,89,98,152,199,168,133,1035,0,0,6,17,50,54,88,96,87,401,148,459,696,562,614,705,793,575,426,4976,141,155,230,152,162,128,129,57,40,1203,2160,1738,2788,2319,2150,1975,1698,935,574,16331,3714,2425,3784,3149,2860,2267,1447,576,165,20384,318,666,988,785,810,965,958,576,299,6369,11,95,175,145,173,269,413,305,189,1781,0,0,17,24,65,89,178,176,128,678,328,762,1170,950,1047,1326,1554,1057,620,8821,294,297,450,319,327,278,240,122,55,2383
80107,7307,4080,4395,4173,3640,2985,1645,471,84,28776,949,929,1117,1217,1303,1583,1305,580,147,9130,61,133,169,226,300,516,664,339,104,2519,6,6,20,49,114,218,413,242,116,1179,1020,1065,1308,1487,1721,2315,2378,1165,366,12823,516,359,357,297,296,263,202,99,44,2449,8842,5510,6057,5960,5655,5562,4227,1740,489,44054,7036,3252,3912,3911,3494,3041,1829,537,121,27144,749,1172,1454,1474,1510,1814,1459,702,226,10565,48,220,389,425,543,727,735,382,193,3662,4,31,60,115,222,342,385,306,166,1631,804,1420,1906,2016,2271,2887,2579,1389,587,15858,513,284,303,313,298,244,227,149,74,2408,8345,4959,6122,6241,6069,6167,4630,2075,788,45414,14343,7331,8309,8085,7135,6031,3477,1004,209,55921,1703,2097,2573,2686,2813,3393,2762,1286,376,19699,111,354,563,654,842,1240,1394,719,299,6179,4,31,76,164,336,557,798,554,277,2808,1815,2490,3217,3511,3994,5200,4955,2553,953,28688,1026,649,662,615,598,505,423,252,122,4857
80108,2073,999,938,1180,1126,701,459,271,59,7805,245,207,218,328,356,300,353,275,75,2352,15,34,39,70,85,106,186,163,65,761,0,3,3,11,20,39,90,115,50,334,261,239,258,401,457,442,628,548,194,3441,141,99,86,92,89,74,54,50,26,708,2473,1342,1288,1669,1671,1214,1142,871,286,11952,2015,802,883,1201,1068,673,565,309,75,7591,170,289,323,371,446,399,460,345,139,2952,12,44,52,99,132,141,196,178,79,935,0,3,11,20,42,72,121,138,76,488,188,336,383,489,621,606,776,666,295,4371,136,73,74,95,88,89,80,58,30,716,2338,1206,1346,1785,1780,1368,1418,1032,400,12676,4087,1804,1827,2377,2196,1379,1022,583,132,15391,418,494,547,702,799,697,816,620,217,5303,31,78,85,166,218,244,383,342,144,1696,4,8,14,30,65,111,214,256,124,816,452,574,644,894,1081,1048,1410,1219,487,7814,275,172,166,190,173,159,132,108,64,1426
80109,3009,1640,2320,2047,1642,1256,685,360,101,13063,296,345,396,444,485,541,487,388,167,3544,8,41,59,81,117,156,197,212,106,978,0,0,7,22,28,56,93,134,84,422,304,392,465,539,625,745,780,738,358,4946,194,135,169,122,162,131,85,70,39,1107,3510,2160,2952,2707,2429,2132,1551,1165,503,19118,2855,1521,2257,2019,1678,1231,785,473,134,12954,235,437,508,547,567,579,524,509,240,4144,3,84,118,111,176,213,231,300,160,1400,0,4,19,19,56,83,114,204,105,617,240,524,646,677,796,882,867,1022,507,6165,165,103,152,131,130,119,101,82,68,1048,3254,2150,3054,2829,2602,2230,1755,1570,717,20165,5868,3156,4575,4070,3316,2486,1471,831,241,26017,531,780,906,988,1048,1119,1009,895,414,7689,12,127,176,186,295,368,427,516,269,2380,0,10,29,39,80,142,212,339,190,1042,545,920,1115,1215,1421,1625,1649,1754,874,11108,353,232,325,252,292,248,189,150,107,2153
80110,1212,452,1079,995,389,159,67,14,0,4387,88,87,180,186,112,69,33,12,3,772,0,4,31,34,37,18,24,3,0,146,0,0,3,3,6,7,11,5,3,39,93,90,207,221,151,96,66,23,6,958,57,36,76,45,28,6,14,6,0,264,1364,582,1359,1261,571,271,150,44,8,5610,1200,447,1128,970,328,184,66,16,0,4338,48,132,287,187,118,86,48,15,11,929,0,32,71,45,39,24,21,12,0,231,0,6,14,5,9,10,19,0,0,66,48,160,375,233,161,120,84,26,9,1219,51,41,76,45,26,13,18,4,0,267,1300,644,1574,1249,517,324,165,39,10,5828,2420,901,2207,1964,723,346,136,31,0,8721,145,214,460,375,232,158,85,22,15,1697,0,33,103,74,71,42,39,11,0,378,0,10,15,11,14,19,29,13,0,104,144,258,575,454,313,219,156,46,16,2179,104,70,153,89,54,21,26,11,0,528
80111,71,25,32,40,25,17,10,5,0,222,5,3,4,6,12,12,9,0,0,55,4,4,0,3,0,0,3,0,0,10,0,0,0,0,0,3,0,0,0,3,7,5,4,7,11,17,14,0,0,73,3,4,3,0,3,5,5,0,0,32,87,40,43,47,43,33,24,9,0,328,60,21,33,32,26,13,0,0,0,187,5,5,12,11,9,6,8,0,0,61,0,0,3,3,6,6,4,0,0,19,0,0,0,3,0,3,0,0,0,6,8,5,11,16,10,19,13,0,5,84,3,3,0,6,5,7,5,0,0,28,64,32,43,54,35,43,17,7,5,300,128,52,61,67,56,25,10,6,0,408,12,15,13,18,14,18,13,0,0,111,3,4,3,8,6,8,9,0,0,35,0,0,0,3,0,4,0,0,0,14,12,18,20,26,25,37,22,3,5,160,8,6,3,3,7,12,5,3,0,61
