SA3_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80101,..,841,730,126,110,128,74,12,15,2029,..,217,741,617,637,890,1248,908,393,5651,78,190,174,78,70,67,76,48,12,789,8895,6071,8666,7745,6065,4994,4773,2510,728,50449,..,272,5859,9247,6979,5641,5623,2765,514,36889,..,1183,4104,2135,1428,739,379,114,11,10094,..,59,438,1055,1256,697,324,221,110,4165,18426,..,..,..,..,..,..,..,..,18426,..,4417,..,..,..,..,..,..,..,4417,..,2720,1546,562,372,149,21,0,0,5373,..,602,586,162,155,250,262,203,78,2300,..,656,957,216,100,75,27,8,5,2042,..,1657,2053,420,277,265,150,37,14,4883,..,433,1527,1331,1307,1545,1820,1279,551,9793,172,365,370,189,161,135,126,76,20,1606,18598,12367,17444,15326,12034,9495,8732,4705,1303,99985
80103,..,3,0,0,3,0,0,0,0,17,..,3,14,6,11,17,26,10,3,85,0,0,0,4,0,0,0,0,0,7,70,52,53,64,66,62,61,31,8,457,..,0,37,55,65,55,46,23,0,282,..,3,23,20,14,19,13,0,0,96,..,0,7,12,8,6,0,7,0,45,131,..,..,..,..,..,..,..,..,131,..,29,..,..,..,..,..,..,..,29,..,28,12,0,6,3,0,0,0,52,..,10,3,0,0,10,0,0,4,29,..,9,3,0,4,5,0,0,0,19,..,8,11,10,9,10,0,6,0,55,..,3,30,30,47,62,54,31,6,257,4,6,0,7,7,0,3,0,0,33,138,94,126,132,166,168,123,71,12,1021
80104,..,373,487,102,53,54,38,5,6,1125,..,137,559,461,444,532,532,315,99,3068,81,104,119,60,57,37,49,17,5,537,9536,5136,7965,8021,5344,3222,2150,930,196,42507,..,253,6626,11256,7520,4148,2473,1005,146,33425,..,858,3149,1592,802,361,146,28,0,6939,..,54,393,901,981,418,142,65,28,2992,19455,..,..,..,..,..,..,..,..,19455,..,4551,..,..,..,..,..,..,..,4551,..,2320,1077,267,122,40,14,0,0,3841,..,538,541,184,133,209,266,159,43,2069,..,483,1005,189,75,36,12,6,0,1812,..,846,1429,392,185,131,69,17,6,3074,..,277,1188,1012,885,831,729,402,130,5452,161,197,234,149,103,65,71,27,3,1015,19614,10378,15644,15948,10804,6251,3916,1702,362,84622
80105,..,1651,1219,146,46,58,32,16,4,3169,..,321,966,591,474,637,613,473,291,4369,40,285,164,70,44,54,44,28,7,733,3373,4430,5987,3836,3159,2505,1791,1063,494,26628,..,98,2337,3795,3283,2454,1823,918,282,14996,..,982,3499,1379,880,580,245,59,13,7638,..,17,108,373,557,297,104,63,72,1589,6913,..,..,..,..,..,..,..,..,6913,..,1942,..,..,..,..,..,..,..,1942,..,737,412,131,94,72,18,0,0,1463,..,241,266,57,41,82,86,72,43,895,..,262,492,83,34,26,7,3,0,908,..,2894,2516,351,143,137,65,32,5,6140,..,571,1970,1327,1022,1135,1001,669,394,8082,73,469,307,153,99,95,81,46,19,1335,6987,8215,11912,7655,6149,4892,3418,1859,824,51907
80106,..,230,366,41,25,40,10,10,11,731,..,112,524,391,284,412,409,334,221,2684,28,48,64,27,20,32,23,11,3,247,2043,1564,2550,2160,1997,1810,1493,806,359,14784,..,31,998,2190,2398,2136,1850,926,184,10712,..,253,1449,609,396,301,152,37,6,3205,..,6,55,222,346,182,63,40,31,951,4027,..,..,..,..,..,..,..,..,4027,..,1514,..,..,..,..,..,..,..,1514,..,509,307,99,60,39,8,0,0,1010,..,84,111,35,27,24,54,32,30,402,..,60,123,25,11,11,4,0,0,236,..,420,791,107,50,73,34,15,11,1501,..,199,986,735,590,712,622,451,287,4574,38,86,120,59,58,61,40,17,4,489,4067,3168,4942,4092,3934,3530,2830,1515,559,28635
80107,..,117,164,70,68,112,71,14,0,618,..,90,330,314,509,928,1099,721,313,4316,110,110,117,61,55,104,83,29,17,672,8085,4799,5923,6030,5876,5951,4377,1886,589,43515,..,137,4072,7218,6928,7149,5374,2023,345,33247,..,744,2877,1624,1281,856,376,88,11,7859,..,69,556,1026,1223,767,317,160,96,4211,16458,..,..,..,..,..,..,..,..,16458,..,4443,..,..,..,..,..,..,..,4443,..,3358,1908,531,280,117,37,0,0,6227,..,399,389,121,138,296,265,144,89,1844,..,311,381,107,84,49,30,11,0,971,..,285,487,215,198,232,150,33,4,1598,..,164,807,760,1062,1631,1657,984,418,7486,208,237,268,166,134,179,137,36,23,1391,16664,10142,11746,11767,11327,11269,8341,3483,983,85734
80108,..,51,66,21,18,26,11,12,8,208,..,25,61,74,146,213,378,344,163,1399,29,26,24,18,14,30,19,21,3,178,2252,1163,1285,1710,1718,1287,1320,915,277,11932,..,24,912,2159,2067,1483,1482,1014,181,9329,..,128,673,463,409,212,105,36,4,2027,..,4,76,213,317,176,89,62,40,985,4577,..,..,..,..,..,..,..,..,4577,..,1295,..,..,..,..,..,..,..,1295,..,628,321,143,109,45,11,0,0,1259,..,88,74,28,33,49,69,62,21,421,..,81,97,40,15,10,6,3,0,257,..,95,171,64,54,46,34,17,8,485,..,42,136,159,299,362,544,467,226,2239,56,60,46,37,28,41,36,36,5,346,4636,2454,2501,3302,3333,2432,2377,1693,486,23217
80109,..,149,233,48,31,32,24,19,4,541,..,87,353,235,279,418,472,564,282,2690,37,55,61,32,29,25,27,28,5,306,3141,2068,2925,2716,2475,2101,1624,1422,501,18977,..,110,2121,3405,2929,2467,1890,1421,386,14729,..,314,1115,635,501,330,151,54,8,3108,..,7,82,298,426,235,90,84,61,1294,6459,..,..,..,..,..,..,..,..,6459,..,1942,..,..,..,..,..,..,..,1942,..,847,534,126,123,75,9,0,0,1710,..,181,205,75,57,89,79,66,43,797,..,169,333,63,23,17,0,0,3,612,..,303,533,145,83,77,52,34,6,1234,..,170,695,482,566,731,727,757,386,4502,69,98,116,81,60,54,46,38,7,578,6531,4144,5738,5306,4764,4078,3049,2461,900,36961
80110,..,80,129,20,7,8,0,0,0,248,..,36,217,98,62,59,28,7,5,511,14,9,25,6,5,9,0,0,0,75,1275,617,1503,1220,495,311,147,37,10,5612,..,30,1040,1742,649,315,194,44,11,4023,..,194,674,244,93,35,9,0,0,1252,..,14,52,127,134,60,11,4,0,395,2577,..,..,..,..,..,..,..,..,2577,..,423,..,..,..,..,..,..,..,423,..,151,93,24,4,0,0,0,0,275,..,66,105,19,4,30,24,14,6,267,..,54,133,23,3,0,0,0,0,222,..,149,280,49,13,16,5,0,0,511,..,72,389,202,135,92,39,7,5,928,24,22,50,14,15,10,3,0,0,148,2601,1175,2809,2446,1048,564,288,77,22,11025
80111,..,0,0,0,0,0,0,0,0,4,..,0,0,0,4,9,3,0,0,9,0,0,0,0,0,0,0,0,0,4,58,32,41,51,35,36,18,7,5,275,..,0,34,63,53,41,30,4,3,236,..,12,24,21,8,5,0,0,0,67,..,0,9,3,3,9,0,0,0,24,144,..,..,..,..,..,..,..,..,144,..,25,..,..,..,..,..,..,..,25,..,13,8,0,0,0,0,0,0,26,..,4,0,0,0,0,3,5,0,18,..,5,4,0,0,0,0,0,0,8,..,4,0,0,0,4,0,0,0,11,..,4,4,0,3,10,4,0,0,24,0,0,3,0,3,0,0,0,0,4,144,63,83,96,80,68,35,11,4,575
