SA3_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
80101,38247,..,..,..,..,38247,..,53,0,53,0,53,..,396,53,454,0,454,..,28,0,26,0,26,..,354,76,423,7,428,..,1412,302,1720,11,1730,..,49,11,57,0,55,..,1808,388,2201,21,2218,..,204,27,226,0,226,..,174,5,177,3,179,..,189,6,192,3,196,..,283,32,313,0,317,..,245,12,250,0,257,..,175,3,180,0,180,..,472,23,490,0,495,..,748,31,773,4,778,..,501,39,544,6,547,..,219,3,220,0,224,..,376,15,390,3,389,..,101,5,101,0,105,..,2830,127,2955,18,2971,..,310,24,338,3,339,..,115,5,123,0,123,..,51,10,64,0,64,..,171,39,214,5,212,..,58,7,69,0,70,..,124,11,133,0,132,..,124,19,150,0,150,..,89,12,100,0,104,..,73,6,78,0,80,..,98,3,109,0,104,..,63,5,70,5,73,..,107,13,120,0,123,..,142
80103,568,..,..,..,..,568,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,8,14,0,14,..,0,0,0,0,0,..,11,8,12,0,12,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,7,0,7,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,18,0,21,0,21,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4
80104,25284,..,..,..,..,25284,..,149,0,151,0,151,..,434,54,491,4,494,..,20,0,21,0,21,..,470,130,601,0,600,..,1747,594,2344,18,2362,..,38,14,49,4,53,..,2257,734,2994,22,3018,..,319,25,343,0,344,..,109,9,118,4,123,..,80,4,83,0,83,..,184,11,189,0,189,..,580,15,591,3,599,..,526,17,539,0,544,..,891,26,920,8,921,..,894,23,919,5,924,..,1141,99,1243,11,1254,..,403,10,415,0,415,..,908,37,940,6,954,..,195,6,203,0,204,..,5535,233,5773,40,5813,..,191,8,206,0,205,..,95,4,99,0,99,..,39,15,57,0,57,..,442,194,637,0,635,..,94,8,110,0,110,..,240,11,244,3,250,..,150,25,170,0,170,..,67,8,77,0,77,..,134,7,141,0,141,..,83,4,87,0,87,..,54,4,54,0,54,..,111,14,124,0,122,..,158
80105,22029,..,..,..,..,22029,..,28,0,28,0,28,..,123,17,140,0,140,..,22,0,22,0,22,..,277,22,301,3,302,..,1103,166,1272,7,1282,..,41,5,47,0,47,..,1420,198,1622,12,1631,..,86,12,100,5,106,..,181,4,185,0,185,..,177,9,185,4,191,..,162,9,165,4,170,..,96,3,103,0,103,..,39,0,37,0,37,..,235,0,234,0,238,..,184,3,189,0,188,..,81,6,89,0,89,..,67,4,71,0,71,..,106,6,109,0,110,..,62,0,66,0,66,..,873,21,897,7,906,..,157,19,175,0,175,..,87,5,93,0,93,..,31,0,30,0,30,..,163,35,196,0,197,..,33,4,34,0,34,..,38,0,42,0,44,..,77,3,76,3,81,..,39,0,41,0,41,..,44,0,45,0,45,..,52,4,57,0,57,..,21,0,23,0,23,..,54,9,56,0,56,..,46
80106,11494,..,..,..,..,11494,..,21,0,21,0,21,..,87,12,99,0,99,..,3,0,3,0,3,..,86,9,92,0,97,..,280,36,313,0,313,..,13,4,14,0,14,..,377,48,420,0,424,..,58,5,58,0,63,..,199,0,198,0,200,..,72,0,73,0,70,..,131,8,141,9,144,..,62,4,60,0,66,..,20,0,20,0,20,..,123,7,132,0,135,..,115,4,119,4,119,..,55,0,52,0,52,..,72,0,66,0,66,..,60,0,60,0,57,..,15,0,15,0,15,..,516,12,525,6,532,..,142,0,148,0,148,..,52,0,55,0,57,..,8,0,8,0,8,..,58,3,57,0,57,..,29,0,27,0,27,..,21,0,21,0,21,..,44,4,42,0,42,..,44,6,49,0,49,..,34,0,30,0,30,..,34,3,37,0,37,..,12,0,12,0,12,..,39,0,43,0,43,..,22
80107,35891,..,..,..,..,35891,..,73,0,73,4,71,..,456,71,531,8,530,..,30,0,31,0,32,..,165,44,205,0,208,..,217,42,259,0,261,..,17,3,18,0,18,..,390,89,483,4,483,..,135,19,158,0,155,..,131,4,131,0,130,..,134,4,134,0,134,..,147,10,161,0,155,..,118,3,120,0,121,..,34,3,41,0,40,..,243,10,256,0,260,..,298,19,318,6,323,..,299,22,316,9,318,..,112,4,117,0,116,..,182,7,188,5,189,..,39,0,39,4,38,..,1323,62,1386,21,1411,..,176,21,188,0,188,..,65,3,63,0,67,..,16,0,19,0,19,..,50,16,67,0,64,..,54,3,59,0,57,..,402,46,446,14,457,..,61,3,66,0,66,..,103,4,109,0,110,..,46,0,51,0,52,..,59,8,64,0,64,..,64,11,70,0,70,..,134,17,151,0,151,..,118
80108,9720,..,..,..,..,9720,..,14,0,14,0,14,..,43,10,49,0,50,..,3,0,3,0,3,..,41,8,53,0,53,..,89,24,112,0,112,..,6,0,6,0,6,..,144,30,171,0,171,..,56,8,69,0,69,..,81,3,88,0,88,..,60,0,62,0,62,..,47,12,54,0,55,..,31,0,31,0,31,..,20,0,23,0,23,..,46,3,50,0,50,..,74,3,75,0,75,..,63,4,70,0,70,..,28,0,28,0,29,..,36,0,39,0,37,..,13,0,14,0,14,..,317,11,334,5,332,..,86,11,93,0,96,..,24,0,20,0,20,..,8,0,3,0,3,..,11,0,11,0,11,..,19,0,19,0,19,..,90,5,98,0,98,..,34,3,37,0,36,..,28,0,25,0,25,..,16,4,18,0,22,..,11,0,14,0,14,..,18,0,20,0,20,..,28,0,25,0,26,..,36
80109,13702,..,..,..,..,13702,..,16,0,16,0,16,..,109,9,121,0,120,..,10,0,10,0,10,..,143,24,169,0,169,..,312,57,370,0,371,..,17,0,20,0,20,..,477,83,557,8,566,..,62,3,70,0,69,..,127,7,129,0,129,..,74,0,76,0,79,..,142,10,151,0,151,..,103,4,104,0,104,..,42,0,42,0,48,..,178,5,180,0,182,..,524,24,547,0,552,..,161,15,179,3,177,..,74,3,76,0,76,..,119,4,121,0,128,..,37,0,37,0,37,..,1234,60,1288,9,1300,..,136,11,146,0,146,..,56,9,61,4,64,..,3,0,5,0,10,..,53,18,71,0,71,..,39,0,40,0,40,..,210,32,242,3,247,..,42,3,44,0,44,..,33,0,36,0,36,..,41,9,44,0,45,..,27,0,30,0,30,..,8,0,8,0,8,..,43,3,47,0,47,..,92
80110,2998,..,..,..,..,2998,..,3,0,3,0,3,..,105,11,112,0,115,..,0,0,0,0,0,..,74,14,84,0,90,..,201,31,232,5,236,..,3,0,4,0,4,..,284,45,328,3,328,..,29,0,32,0,32,..,35,0,36,0,36,..,4,0,4,0,7,..,20,0,20,0,19,..,97,5,106,0,107,..,33,0,33,0,33,..,128,0,131,0,132,..,197,4,208,6,205,..,142,11,156,0,159,..,66,0,66,0,64,..,113,5,120,0,121,..,36,0,36,0,36,..,817,37,851,6,861,..,17,0,17,0,17,..,17,4,19,0,19,..,8,0,8,0,8,..,52,18,70,0,70,..,8,0,8,0,8,..,120,8,131,0,134,..,42,3,46,0,46,..,13,0,13,0,13,..,14,0,14,0,14,..,11,0,11,0,11,..,5,0,5,0,5,..,18,0,18,0,18,..,50
80111,294,..,..,..,..,294,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
